@RELATION HOG

@ATTRIBUTE hog_mean NUMERIC
@ATTRIBUTE hog_std NUMERIC
@ATTRIBUTE hog_skew NUMERIC
@ATTRIBUTE hog_kurtosis NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.041695,0.334339,0.783427,0.515255,BASLANGIC
0.950065,0.631210,0.039090,0.002292,BASLANGIC
0.150568,0.655603,0.488855,0.238083,BASLANGIC
0.955270,0.622496,0.031699,0.003960,BASLANGIC
0.126158,0.568823,0.447893,0.170206,BASLANGIC
0.949083,0.632835,0.031937,0.000916,BASLANGIC
0.085580,0.497746,0.652405,0.422730,BASLANGIC
0.043157,0.334134,0.722116,0.424620,BASLANGIC
0.937670,0.651307,0.046885,0.002664,BASLANGIC
0.098215,0.549583,0.755508,0.623088,BASLANGIC
0.966369,0.603327,0.018387,0.001559,BASLANGIC
0.125536,0.568974,0.460327,0.183980,BASLANGIC
0.904392,0.701236,0.039806,0.000449,BASLANGIC
0.095446,0.495766,0.532703,0.252781,BASLANGIC
0.903029,0.703169,0.044309,0.002459,BASLANGIC
0.099041,0.494988,0.503082,0.216100,BASLANGIC
0.752514,0.876904,0.117703,0.019363,BASLANGIC
0.229985,0.771681,0.332587,0.093419,BASLANGIC
0.912781,0.689159,0.036977,0.001550,BASLANGIC
0.133905,0.566868,0.404508,0.133053,BASLANGIC
0.883413,0.730104,0.049984,0.001379,BASLANGIC
0.089544,0.496977,0.628482,0.403876,BASLANGIC
0.881420,0.732752,0.062461,0.002547,BASLANGIC
0.086017,0.525445,0.788336,0.663856,BASLANGIC
0.859332,0.761107,0.074103,0.007845,BASLANGIC
0.248877,0.853023,0.353882,0.111792,BASLANGIC
0.961316,0.612156,0.020763,0.001800,BASLANGIC
0.082865,0.498252,0.657436,0.420834,BASLANGIC
0.961589,0.611684,0.026200,0.002341,BASLANGIC
0.090454,0.496796,0.564783,0.278328,BASLANGIC
0.907778,0.696400,0.043774,0.001387,BASLANGIC
0.086424,0.497586,0.705308,0.540536,BASLANGIC
0.928024,0.666354,0.033068,0.000076,BASLANGIC
0.106392,0.547904,0.610762,0.392348,BASLANGIC
0.888359,0.723462,0.048200,0.001980,BASLANGIC
0.282637,0.841356,0.281697,0.066121,BASLANGIC
0.940564,0.646694,0.034401,0.002531,BASLANGIC
0.094275,0.496013,0.540949,0.263512,BASLANGIC
0.876776,0.738865,0.061494,0.003600,BASLANGIC
0.158209,0.715884,0.555129,0.316893,BASLANGIC
0.946045,0.637827,0.038505,0.002488,BASLANGIC
0.061960,0.407820,0.660623,0.368982,BASLANGIC
0.956524,0.620370,0.027511,0.001133,BASLANGIC
0.155466,0.632250,0.410306,0.143407,BASLANGIC
0.947600,0.635278,0.029215,0.001672,BASLANGIC
0.157485,0.631699,0.419622,0.155047,BASLANGIC
0.943993,0.641167,0.032713,0.000828,BASLANGIC
0.132519,0.591752,0.524134,0.290834,BASLANGIC
0.893880,0.715931,0.047989,0.001911,BASLANGIC
0.097219,0.495386,0.537359,0.267591,BASLANGIC
0.072073,0.405985,0.546123,0.248669,BASLANGIC
0.878300,0.736869,0.060855,0.006334,BASLANGIC
0.214222,0.776663,0.357350,0.109301,BASLANGIC
0.894011,0.715751,0.061208,0.003715,BASLANGIC
0.110959,0.572302,0.616117,0.391885,BASLANGIC
0.930896,0.661926,0.045977,0.001985,BASLANGIC
0.148258,0.634154,0.445712,0.172813,BASLANGIC
0.936596,0.653008,0.019213,0.001773,BASLANGIC
0.070485,0.406292,0.577856,0.284502,BASLANGIC
0.945723,0.638352,0.029790,0.001256,BASLANGIC
0.092148,0.496453,0.576605,0.303739,BASLANGIC
0.943691,0.641657,0.043018,0.004850,BASLANGIC
0.060396,0.408078,0.891407,0.923565,BASLANGIC
0.937846,0.651030,0.043037,0.002090,BASLANGIC
0.214556,0.794652,0.379115,0.129282,BASLANGIC
0.928300,0.665930,0.038097,0.001482,BASLANGIC
0.121940,0.569835,0.460628,0.180157,BASLANGIC
0.901509,0.705314,0.049788,0.001644,BASLANGIC
0.157693,0.631642,0.431566,0.181051,BASLANGIC
0.962733,0.609698,0.029234,0.001428,BASLANGIC
0.080981,0.469223,0.737698,0.604094,BASLANGIC
0.865506,0.753361,0.067842,0.004999,BASLANGIC
0.213408,0.794993,0.381606,0.132635,BASLANGIC
0.879261,0.735605,0.047947,0.003604,BASLANGIC
0.102756,0.494153,0.496456,0.217629,BASLANGIC
0.940332,0.647066,0.033594,0.003247,BASLANGIC
0.095651,0.495722,0.530845,0.246073,BASLANGIC
0.934488,0.656327,0.033881,0.000481,BASLANGIC
0.138388,0.636607,0.483717,0.208597,BASLANGIC
0.921976,0.675540,0.036240,0.000867,BASLANGIC
0.124792,0.569155,0.469326,0.193663,BASLANGIC
0.947808,0.634936,0.038438,0.001931,BASLANGIC
0.222543,0.809969,0.395959,0.151964,BASLANGIC
0.970440,0.596086,0.012905,0.000953,BASLANGIC
0.148181,0.634174,0.496676,0.255551,BASLANGIC
0.928947,0.664936,0.046300,0.002874,BASLANGIC
0.059810,0.472710,0.985823,0.988883,BASLANGIC
0.979846,0.578887,0.007856,0.000651,BASLANGIC
0.101724,0.548880,0.639980,0.422738,BASLANGIC
0.903911,0.701920,0.043243,0.001762,BASLANGIC
0.176560,0.711141,0.447125,0.198470,BASLANGIC
0.884971,0.728023,0.066946,0.004984,BASLANGIC
0.071425,0.470930,0.777531,0.630995,BASLANGIC
0.981646,0.575516,0.008459,0.001515,BASLANGIC
0.090838,0.496719,0.560200,0.274787,BASLANGIC
0.928328,0.665888,0.036163,0.001820,BASLANGIC
0.189072,0.765477,0.458797,0.212085,BASLANGIC
0.775276,0.854780,0.113362,0.015649,BASLANGIC
0.329020,0.965632,0.287263,0.074634,BASLANGIC
0.944377,0.640543,0.024824,0.000995,BASLANGIC
0.123995,0.569346,0.470631,0.195770,BASLANGIC
0.913726,0.687777,0.037772,0.000583,BASLANGIC
0.079588,0.526561,0.817887,0.686485,BASLANGIC
0.896488,0.712330,0.046868,0.002424,BASLANGIC
