@RELATION LBP

@ATTRIBUTE lbp_energy NUMERIC
@ATTRIBUTE lbp_entropy NUMERIC
@ATTRIBUTE lbp_mean NUMERIC
@ATTRIBUTE lbp_std NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.991325,0.011946,0.994663,0.096318,BASLANGIC
0.047902,0.948679,0.124392,0.960183,BASLANGIC
0.956866,0.052198,0.981081,0.153543,BASLANGIC
0.037826,0.962398,0.110307,0.939337,BASLANGIC
0.962936,0.045145,0.982989,0.147213,BASLANGIC
0.049101,0.950521,0.136053,0.961445,BASLANGIC
0.984123,0.021413,0.991978,0.107034,BASLANGIC
0.994081,0.008242,0.996296,0.083849,BASLANGIC
0.032452,0.969374,0.094759,0.925136,BASLANGIC
0.978772,0.027515,0.990050,0.115053,BASLANGIC
0.052729,0.946194,0.154377,0.951885,BASLANGIC
0.963582,0.044347,0.983087,0.146594,BASLANGIC
0.030857,0.970358,0.087945,0.910295,BASLANGIC
0.987000,0.017808,0.993343,0.099584,BASLANGIC
0.032184,0.967013,0.092433,0.906969,BASLANGIC
0.979946,0.026115,0.990253,0.114289,BASLANGIC
0.101165,0.839788,0.330215,0.860209,BASLANGIC
0.924036,0.084453,0.968584,0.191416,BASLANGIC
0.010546,0.988709,0.059553,0.884540,BASLANGIC
0.936493,0.071579,0.972686,0.179263,BASLANGIC
0.058159,0.932004,0.157102,0.969172,BASLANGIC
0.989095,0.015274,0.994271,0.096050,BASLANGIC
0.055698,0.934439,0.146473,0.972899,BASLANGIC
0.985169,0.019951,0.992435,0.102418,BASLANGIC
0.013998,0.980729,0.078760,0.889186,BASLANGIC
0.913685,0.093941,0.963710,0.204415,BASLANGIC
0.044672,0.955923,0.122504,0.955110,BASLANGIC
0.977729,0.029043,0.989567,0.118039,BASLANGIC
0.043728,0.958301,0.127952,0.951064,BASLANGIC
0.983339,0.022442,0.992004,0.107804,BASLANGIC
0.046264,0.946118,0.121177,0.936146,BASLANGIC
0.982686,0.022868,0.991135,0.110377,BASLANGIC
0.037075,0.960460,0.099815,0.930136,BASLANGIC
0.970838,0.036554,0.986425,0.132103,BASLANGIC
0.000000,1.000000,0.000000,0.825727,BASLANGIC
0.891906,0.114308,0.953793,0.229634,BASLANGIC
0.035293,0.965344,0.108902,0.924080,BASLANGIC
0.989096,0.015174,0.994068,0.095717,BASLANGIC
0.041967,0.947420,0.119048,0.918929,BASLANGIC
0.948128,0.060762,0.976390,0.171300,BASLANGIC
0.041895,0.957444,0.118486,0.949338,BASLANGIC
0.984122,0.021554,0.991958,0.106724,BASLANGIC
0.038586,0.962426,0.122347,0.940625,BASLANGIC
0.948898,0.059335,0.978350,0.161492,BASLANGIC
0.029844,0.973300,0.081869,0.933133,BASLANGIC
0.954938,0.053278,0.980709,0.153298,BASLANGIC
0.050307,0.942728,0.142657,0.975387,BASLANGIC
0.969539,0.038127,0.985641,0.136914,BASLANGIC
0.039399,0.957405,0.104257,0.932959,BASLANGIC
0.985693,0.019115,0.992500,0.102990,BASLANGIC
0.987525,0.016931,0.993323,0.099167,BASLANGIC
0.038238,0.943176,0.180842,0.952614,BASLANGIC
0.914947,0.092694,0.963743,0.205350,BASLANGIC
0.045214,0.950572,0.121988,0.954503,BASLANGIC
0.976689,0.029671,0.988920,0.120064,BASLANGIC
0.040218,0.957858,0.110934,0.951228,BASLANGIC
0.963840,0.044198,0.983897,0.141232,BASLANGIC
0.048911,0.919007,0.246908,0.954555,BASLANGIC
0.988572,0.015560,0.993363,0.100316,BASLANGIC
0.041030,0.946280,0.174943,0.952326,BASLANGIC
0.976297,0.030347,0.988829,0.121115,BASLANGIC
0.039209,0.959731,0.106302,0.947683,BASLANGIC
0.986608,0.018131,0.992840,0.103595,BASLANGIC
0.049588,0.947021,0.138058,0.956329,BASLANGIC
0.906922,0.099773,0.959000,0.216549,BASLANGIC
0.027089,0.970401,0.123039,0.936058,BASLANGIC
0.944546,0.063240,0.975567,0.170891,BASLANGIC
0.033366,0.965990,0.094654,0.924934,BASLANGIC
0.945184,0.063236,0.975365,0.172475,BASLANGIC
0.045274,0.955556,0.131539,0.955403,BASLANGIC
0.980206,0.026101,0.990475,0.114243,BASLANGIC
0.028991,0.952221,0.161884,0.924102,BASLANGIC
0.928868,0.078627,0.968531,0.191466,BASLANGIC
0.041880,0.923672,0.231210,0.911593,BASLANGIC
0.973954,0.033443,0.987927,0.125677,BASLANGIC
0.028974,0.963397,0.150817,0.927655,BASLANGIC
0.969022,0.038153,0.985824,0.133957,BASLANGIC
0.036737,0.966322,0.105747,0.945915,BASLANGIC
0.965394,0.042530,0.984458,0.141364,BASLANGIC
0.020838,0.982752,0.058795,0.914413,BASLANGIC
0.967596,0.040052,0.985438,0.135091,BASLANGIC
0.037935,0.961896,0.108889,0.937608,BASLANGIC
0.928094,0.080579,0.969054,0.190937,BASLANGIC
0.043732,0.956616,0.126155,0.950579,BASLANGIC
0.937762,0.071190,0.973477,0.178747,BASLANGIC
0.034063,0.967755,0.096640,0.928282,BASLANGIC
0.982947,0.022586,0.991690,0.108513,BASLANGIC
0.042944,0.958199,0.115422,0.950357,BASLANGIC
0.976559,0.029700,0.988398,0.123986,BASLANGIC
0.010643,0.990328,0.064734,0.902101,BASLANGIC
0.940448,0.067907,0.974274,0.174855,BASLANGIC
0.042457,0.950161,0.111261,0.939927,BASLANGIC
0.982817,0.022649,0.991272,0.110290,BASLANGIC
0.046962,0.954537,0.131846,0.949685,BASLANGIC
0.988048,0.016370,0.993552,0.099431,BASLANGIC
0.020363,0.978396,0.096849,0.912323,BASLANGIC
0.941982,0.066297,0.975273,0.170635,BASLANGIC
0.013542,0.968684,0.092165,0.867837,BASLANGIC
0.871272,0.132239,0.944536,0.248604,BASLANGIC
0.027302,0.975872,0.083098,0.931202,BASLANGIC
0.966818,0.040648,0.985249,0.134533,BASLANGIC
0.033653,0.962547,0.117199,0.941196,BASLANGIC
0.982164,0.023546,0.990710,0.114317,BASLANGIC
0.030323,0.963191,0.142860,0.934149,BASLANGIC
0.979683,0.027109,0.989750,0.121481,BASLANGIC
0.048201,0.921765,0.234842,0.947734,BASLANGIC
0.973696,0.033016,0.987875,0.124735,BASLANGIC
0.017891,0.981108,0.098495,0.906775,BASLANGIC
0.942117,0.065673,0.974502,0.173338,BASLANGIC
0.987917,0.016553,0.993624,0.097200,BASLANGIC
0.023495,0.977007,0.089448,0.921952,BASLANGIC
0.973956,0.032772,0.988019,0.123071,BASLANGIC
0.030820,0.969836,0.100867,0.918810,BASLANGIC
0.943513,0.065249,0.976279,0.167316,BASLANGIC
0.041051,0.955798,0.148563,0.952169,BASLANGIC
