@RELATION PHOG

@ATTRIBUTE phog_L0_mean NUMERIC
@ATTRIBUTE phog_L1_mean NUMERIC
@ATTRIBUTE phog_L1_std NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.041695,0.028493,0.157019,BASLANGIC
0.950065,0.937808,0.154157,BASLANGIC
0.150568,0.102154,0.376354,BASLANGIC
0.955270,0.941630,0.116457,BASLANGIC
0.126158,0.095925,0.528627,BASLANGIC
0.949083,0.948321,0.084241,BASLANGIC
0.085580,0.116540,0.642234,BASLANGIC
0.043157,0.029385,0.161937,BASLANGIC
0.937670,0.933091,0.091073,BASLANGIC
0.098215,0.035086,0.116661,BASLANGIC
0.966369,0.957744,0.124174,BASLANGIC
0.125536,0.135150,0.744788,BASLANGIC
0.904392,0.903914,0.116253,BASLANGIC
0.095446,0.129975,0.716272,BASLANGIC
0.903029,0.895762,0.231910,BASLANGIC
0.099041,0.055749,0.179371,BASLANGIC
0.752514,0.733994,0.216523,BASLANGIC
0.229985,0.184845,0.633590,BASLANGIC
0.912781,0.906658,0.274852,BASLANGIC
0.133905,0.141512,0.779853,BASLANGIC
0.883413,0.878195,0.226840,BASLANGIC
0.089544,0.075107,0.413901,BASLANGIC
0.881420,0.880406,0.048268,BASLANGIC
0.086017,0.044733,0.246519,BASLANGIC
0.859332,0.887233,0.144413,BASLANGIC
0.248877,0.208163,0.428319,BASLANGIC
0.961316,0.949628,0.055731,BASLANGIC
0.082865,0.088252,0.486345,BASLANGIC
0.961589,0.950961,0.091569,BASLANGIC
0.090454,0.089765,0.494682,BASLANGIC
0.907778,0.897264,0.109537,BASLANGIC
0.086424,0.070681,0.389513,BASLANGIC
0.928024,0.926133,0.046312,BASLANGIC
0.106392,0.106221,0.585367,BASLANGIC
0.888359,0.893479,0.119619,BASLANGIC
0.282637,0.255292,0.547042,BASLANGIC
0.940564,0.941272,0.160523,BASLANGIC
0.094275,0.064756,0.356859,BASLANGIC
0.876776,0.882715,0.285264,BASLANGIC
0.158209,0.147960,0.509707,BASLANGIC
0.946045,0.936633,0.143638,BASLANGIC
0.061960,0.042070,0.145382,BASLANGIC
0.956524,0.953866,0.064169,BASLANGIC
0.155466,0.095862,0.116767,BASLANGIC
0.947600,0.946601,0.143482,BASLANGIC
0.157485,0.098292,0.204581,BASLANGIC
0.943993,0.934044,0.054948,BASLANGIC
0.132519,0.065992,0.169203,BASLANGIC
0.893880,0.899245,0.162935,BASLANGIC
0.097219,0.104389,0.575270,BASLANGIC
0.072073,0.049335,0.271880,BASLANGIC
0.878300,0.891552,0.327803,BASLANGIC
0.214222,0.161805,0.534061,BASLANGIC
0.894011,0.888200,0.186065,BASLANGIC
0.110959,0.088558,0.330205,BASLANGIC
0.930896,0.923934,0.096564,BASLANGIC
0.148258,0.102146,0.357904,BASLANGIC
0.936596,0.913353,0.253437,BASLANGIC
0.070485,0.095984,0.528955,BASLANGIC
0.945723,0.930735,0.099741,BASLANGIC
0.092148,0.088781,0.489257,BASLANGIC
0.943691,0.936322,0.179898,BASLANGIC
0.060396,0.071829,0.395840,BASLANGIC
0.937846,0.938834,0.107782,BASLANGIC
0.214556,0.191470,0.623629,BASLANGIC
0.928300,0.909859,0.152719,BASLANGIC
0.121940,0.134564,0.741562,BASLANGIC
0.901509,0.894575,0.138981,BASLANGIC
0.157693,0.163261,0.672543,BASLANGIC
0.962733,0.951156,0.118324,BASLANGIC
0.080981,0.110278,0.607723,BASLANGIC
0.865506,0.886691,0.166220,BASLANGIC
0.213408,0.165377,0.068450,BASLANGIC
0.879261,0.873219,0.326669,BASLANGIC
0.102756,0.093057,0.512824,BASLANGIC
0.940332,0.926544,0.160877,BASLANGIC
0.095651,0.089717,0.494416,BASLANGIC
0.934488,0.931491,0.151807,BASLANGIC
0.138388,0.095365,0.322282,BASLANGIC
0.921976,0.912464,0.147972,BASLANGIC
0.124792,0.085029,0.294646,BASLANGIC
0.947808,0.949521,0.146008,BASLANGIC
0.222543,0.175066,0.429800,BASLANGIC
0.970440,0.968516,0.063513,BASLANGIC
0.148181,0.140183,0.772527,BASLANGIC
0.928947,0.931178,0.086578,BASLANGIC
0.059810,0.046874,0.258317,BASLANGIC
0.979846,0.967731,0.063991,BASLANGIC
0.101724,0.080864,0.445626,BASLANGIC
0.903911,0.903499,0.142853,BASLANGIC
0.176560,0.127173,0.700832,BASLANGIC
0.884971,0.869813,0.167712,BASLANGIC
0.071425,0.047337,0.170743,BASLANGIC
0.981646,0.978782,0.109477,BASLANGIC
0.090838,0.123701,0.681696,BASLANGIC
0.928328,0.925501,0.087114,BASLANGIC
0.189072,0.143327,0.385989,BASLANGIC
0.775276,0.801158,0.090762,BASLANGIC
0.329020,0.320065,0.320587,BASLANGIC
0.944377,0.945600,0.100693,BASLANGIC
0.123995,0.096384,0.531159,BASLANGIC
0.913726,0.909070,0.113309,BASLANGIC
0.079588,0.055026,0.209483,BASLANGIC
0.896488,0.890832,0.159621,BASLANGIC
0.087607,0.086135,0.474675,BASLANGIC
0.911755,0.903000,0.254530,BASLANGIC
