@RELATION SHAPE

@ATTRIBUTE shape_area NUMERIC
@ATTRIBUTE shape_perimeter NUMERIC
@ATTRIBUTE shape_circularity NUMERIC
@ATTRIBUTE shape_aspect_ratio NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.004157,0.014622,0.844823,0.380580,BASLANGIC
0.865392,0.405638,0.228520,0.303922,BASLANGIC
0.048710,0.050993,0.813924,0.438244,BASLANGIC
0.802088,0.298353,0.391518,0.322917,BASLANGIC
0.036781,0.043866,0.830539,0.363281,BASLANGIC
0.836880,0.333837,0.326276,0.348315,BASLANGIC
0.009399,0.020862,0.938273,0.308239,BASLANGIC
0.002666,0.011096,0.940762,0.276786,BASLANGIC
0.582034,0.574668,0.076578,0.322917,BASLANGIC
0.016538,0.027103,0.978248,0.274479,BASLANGIC
0.483937,0.497989,0.084789,0.336957,BASLANGIC
0.039402,0.042795,0.934793,0.297230,BASLANGIC
0.886901,0.353131,0.309024,0.322917,BASLANGIC
0.007772,0.018721,0.963524,0.264205,BASLANGIC
0.963264,0.288435,0.503084,0.326316,BASLANGIC
0.014505,0.025902,0.939349,0.316707,BASLANGIC
0.478243,0.380018,0.143889,0.289720,BASLANGIC
0.157968,0.085666,0.935273,0.237344,BASLANGIC
0.799151,0.419221,0.197575,0.244094,BASLANGIC
0.116940,0.073553,0.939181,0.225291,BASLANGIC
0.606706,0.983335,0.027262,0.303922,BASLANGIC
0.005693,0.017207,0.835527,0.393555,BASLANGIC
0.244318,0.317866,0.105065,0.775000,BASLANGIC
0.009444,0.020732,0.954635,0.339062,BASLANGIC
0.345262,0.356258,0.118198,0.563636,BASLANGIC
0.192987,0.098201,0.869536,0.368786,BASLANGIC
0.361981,0.553667,0.051307,0.230198,BASLANGIC
0.015047,0.027860,0.842329,0.372596,BASLANGIC
0.356062,0.349273,0.126819,0.397436,BASLANGIC
0.010619,0.022506,0.910853,0.209896,BASLANGIC
0.900185,0.288923,0.468553,0.329787,BASLANGIC
0.011839,0.023004,0.972072,0.260817,BASLANGIC
0.924314,0.376318,0.283595,0.303922,BASLANGIC
0.026885,0.035798,0.911576,0.341912,BASLANGIC
0.345127,0.204416,0.358871,0.242188,BASLANGIC
0.285256,0.121204,0.843698,0.235168,BASLANGIC
0.274321,0.216950,0.253237,0.460156,BASLANGIC
0.005919,0.016450,0.950483,0.296007,BASLANGIC
0.452849,0.259970,0.291136,0.462687,BASLANGIC
0.059509,0.059872,0.721317,0.530506,BASLANGIC
0.699336,0.375821,0.215136,0.373494,BASLANGIC
0.009127,0.021489,0.858796,0.308239,BASLANGIC
0.713885,0.246289,0.511362,0.369048,BASLANGIC
0.072975,0.057363,0.963590,0.264893,BASLANGIC
0.810357,0.361772,0.269026,0.344444,BASLANGIC
0.058018,0.051437,0.952816,0.276786,BASLANGIC
0.883015,0.548202,0.127666,0.303922,BASLANGIC
0.028467,0.036998,0.903575,0.278516,BASLANGIC
0.886584,0.381390,0.264833,0.300971,BASLANGIC
0.009263,0.020105,0.995695,0.242188,BASLANGIC
0.006823,0.017520,0.965783,0.181641,BASLANGIC
0.599476,0.655273,0.060662,0.264957,BASLANGIC
0.184989,0.093605,0.917365,0.333681,BASLANGIC
0.898604,0.331588,0.355108,0.316327,BASLANGIC
0.020288,0.030185,0.967525,0.215278,BASLANGIC
0.148434,0.150189,0.285924,0.352273,BASLANGIC
0.043243,0.044179,0.962632,0.284307,BASLANGIC
0.651891,0.369549,0.207405,0.326316,BASLANGIC
0.006597,0.017390,0.947805,0.296007,BASLANGIC
0.519226,0.318740,0.222062,0.402597,BASLANGIC
0.018390,0.028930,0.954722,0.191201,BASLANGIC
0.756044,0.261224,0.481403,0.418919,BASLANGIC
0.007501,0.018277,0.975587,0.242188,BASLANGIC
0.377434,0.589277,0.047227,0.476923,BASLANGIC
0.169355,0.111914,0.587520,0.795759,BASLANGIC
0.618183,0.442292,0.137306,0.340659,BASLANGIC
0.082915,0.062273,0.929015,0.371931,BASLANGIC
0.814604,0.386290,0.237197,0.352273,BASLANGIC
0.072975,0.065225,0.745294,0.515965,BASLANGIC
0.371334,0.307536,0.170594,0.455882,BASLANGIC
0.014595,0.026529,0.901038,0.316707,BASLANGIC
0.621978,0.245921,0.446860,0.469697,BASLANGIC
0.146220,0.082302,0.937937,0.289444,BASLANGIC
0.277936,0.315192,0.121558,0.484375,BASLANGIC
0.022638,0.033213,0.891683,0.196057,BASLANGIC
0.585875,0.317064,0.253221,0.407895,BASLANGIC
0.030455,0.036998,0.966682,0.278516,BASLANGIC
0.583887,0.249523,0.407471,0.484375,BASLANGIC
0.030591,0.039086,0.870036,0.252717,BASLANGIC
0.249424,0.273059,0.145349,0.271643,BASLANGIC
0.031088,0.039767,0.854150,0.331414,BASLANGIC
0.644707,0.283233,0.349191,0.344444,BASLANGIC
0.125570,0.083319,0.785937,0.350535,BASLANGIC
0.560029,0.431088,0.130939,0.462687,BASLANGIC
0.091591,0.068330,0.852358,0.375000,BASLANGIC
0.705978,0.412734,0.180069,0.336957,BASLANGIC
0.011116,0.022376,0.964590,0.224888,BASLANGIC
0.834486,0.257753,0.545761,0.373494,BASLANGIC
0.017758,0.028930,0.921881,0.391226,BASLANGIC
0.713072,0.735586,0.057261,0.258333,BASLANGIC
0.097058,0.068827,0.890234,0.207589,BASLANGIC
1.000000,0.340109,0.375625,0.292453,BASLANGIC
0.011567,0.022560,0.987521,0.242188,BASLANGIC
0.730920,0.239000,0.555985,0.413333,BASLANGIC
0.006145,0.017207,0.901839,0.322917,BASLANGIC
0.451900,0.219079,0.409102,0.645833,BASLANGIC
0.102435,0.068070,0.960569,0.201823,BASLANGIC
0.632461,0.435975,0.144577,0.242188,BASLANGIC
0.461931,0.147604,0.921239,0.329937,BASLANGIC
0.894492,0.402642,0.239733,0.322917,BASLANGIC
0.038543,0.041595,0.967973,0.252717,BASLANGIC
0.763273,0.220647,0.681201,0.407895,BASLANGIC
0.011839,0.023447,0.935648,0.374290,BASLANGIC
0.613709,0.258088,0.400327,0.430556,BASLANGIC
0.012878,0.026973,0.769105,0.508594,BASLANGIC
0.693868,0.326548,0.282730,0.387500,BASLANGIC
0.024174,0.033213,0.952197,0.299173,BASLANGIC
0.698071,0.289756,0.361264,0.360465,BASLANGIC
0.092404,0.069508,0.831020,0.415179,BASLANGIC
0.006868,0.017650,0.957922,0.242188,BASLANGIC
0.793864,0.337644,0.302563,0.316327,BASLANGIC
0.025439,0.033840,0.965233,0.242188,BASLANGIC
0.380597,0.503928,0.065120,0.418919,BASLANGIC
0.083819,0.066372,0.826724,0.415179,BASLANGIC
0.423795,0.371691,0.133285,0.430556,BASLANGIC
0.017758,0.028930,0.921881,0.306771,BASLANGIC
0.726944,0.306497,0.336232,0.364706,BASLANGIC
0.044779,0.045953,0.921356,0.302734,BASLANGIC
0.003796,0.013551,0.898064,0.272461,BASLANGIC
0.594144,0.391590,0.168352,0.407895,BASLANGIC
0.072975,0.058618,0.922792,0.317349,BASLANGIC
0.552347,0.288923,0.287501,0.397436,BASLANGIC
0.006913,0.017964,0.930854,0.349826,BASLANGIC
0.806290,0.568590,0.108363,0.269565,BASLANGIC
0.060187,0.052691,0.941934,0.339062,BASLANGIC
0.416068,0.186524,0.519616,0.756098,BASLANGIC
0.308707,0.130451,0.788212,0.505435,BASLANGIC
0.518775,0.479398,0.098079,0.418919,BASLANGIC
0.012742,0.025145,0.875663,0.343099,BASLANGIC
0.417966,0.401951,0.112404,0.397436,BASLANGIC
0.652569,0.176870,0.906375,0.284307,BASLANGIC
0.714608,0.432687,0.165848,0.298077,BASLANGIC
0.058696,0.052377,0.929630,0.296007,BASLANGIC
0.556550,0.540179,0.082874,0.244094,BASLANGIC
0.043694,0.044363,0.964652,0.273777,BASLANGIC
0.716777,0.264902,0.443816,0.387500,BASLANGIC
0.263657,0.112930,0.898271,0.378418,BASLANGIC
0.721522,0.484957,0.133301,0.242188,BASLANGIC
0.283991,0.113266,0.961817,0.227509,BASLANGIC
0.596855,0.236666,0.463007,0.397436,BASLANGIC
0.011387,0.024518,0.823054,0.460156,BASLANGIC
0.307306,0.259822,0.197793,0.488945,BASLANGIC
0.012516,0.025902,0.810591,0.418324,BASLANGIC
0.191406,0.286902,0.101036,0.253720,BASLANGIC
0.010980,0.022690,0.926672,0.224888,BASLANGIC
0.636031,0.487206,0.116424,0.250000,BASLANGIC
0.113099,0.071542,0.960130,0.280428,BASLANGIC
0.412182,0.273857,0.238798,0.364706,BASLANGIC
0.336677,0.123713,0.955809,0.256866,BASLANGIC
0.778546,0.391276,0.220957,0.316327,BASLANGIC
0.010031,0.021933,0.906042,0.330256,BASLANGIC
0.656952,0.386053,0.191527,0.348315,BASLANGIC
0.049162,0.048592,0.904665,0.312826,BASLANGIC
0.484614,0.310631,0.218221,0.455882,BASLANGIC
0.023316,0.031829,1.000000,0.229441,BASLANGIC
0.358050,0.472140,0.069790,0.424658,BASLANGIC
0.041028,0.043239,0.953520,0.223558,BASLANGIC
0.848809,0.314305,0.373334,0.336957,BASLANGIC
0.016899,0.027730,0.954923,0.188368,BASLANGIC
0.471646,0.463055,0.095574,0.322917,BASLANGIC
0.066920,0.055589,0.940936,0.322917,BASLANGIC
0.313407,0.222940,0.273981,0.756098,BASLANGIC
