@RELATION FFT

@ATTRIBUTE fft_mean NUMERIC
@ATTRIBUTE fft_std NUMERIC
@ATTRIBUTE fft_max NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.940403,0.789366,0.831634,BASLANGIC
0.952963,0.906582,0.990794,BASLANGIC
0.965481,0.794403,0.905488,BASLANGIC
0.957965,0.881674,0.986833,BASLANGIC
0.963830,0.791889,0.896647,BASLANGIC
0.955939,0.892489,0.987241,BASLANGIC
0.953901,0.748720,0.855489,BASLANGIC
0.938715,0.758462,0.818743,BASLANGIC
0.948901,0.947929,0.980748,BASLANGIC
0.958983,0.751530,0.871954,BASLANGIC
0.943691,0.892446,0.967945,BASLANGIC
0.965825,0.761038,0.898507,BASLANGIC
0.944931,0.943510,0.985901,BASLANGIC
0.953502,0.717623,0.849173,BASLANGIC
0.938347,0.949661,0.985381,BASLANGIC
0.954499,0.795200,0.868022,BASLANGIC
0.947650,0.961810,0.959868,BASLANGIC
0.981645,0.743724,0.942321,BASLANGIC
0.953805,0.959271,0.983900,BASLANGIC
0.978394,0.752098,0.932822,BASLANGIC
0.952304,0.947132,0.992199,BASLANGIC
0.942559,0.845615,0.840441,BASLANGIC
0.948462,0.948542,0.978318,BASLANGIC
0.952012,0.760201,0.855061,BASLANGIC
0.940757,0.963271,0.969989,BASLANGIC
0.982699,0.775236,0.948795,BASLANGIC
0.955424,0.905640,0.972916,BASLANGIC
0.958400,0.738073,0.869666,BASLANGIC
0.944766,0.940704,0.971560,BASLANGIC
0.955216,0.737312,0.858207,BASLANGIC
0.949379,0.936221,0.989159,BASLANGIC
0.951450,0.805717,0.861482,BASLANGIC
0.952773,0.941865,0.989411,BASLANGIC
0.962154,0.741465,0.886473,BASLANGIC
0.941059,0.972006,0.984052,BASLANGIC
0.986892,0.766535,0.961183,BASLANGIC
0.946165,0.900089,0.969217,BASLANGIC
0.946759,0.796239,0.841530,BASLANGIC
0.927751,1.000000,0.975163,BASLANGIC
0.965977,0.824399,0.911911,BASLANGIC
0.951317,0.945771,0.988378,BASLANGIC
0.950081,0.790091,0.854621,BASLANGIC
0.952750,0.885625,0.977013,BASLANGIC
0.970850,0.781337,0.917970,BASLANGIC
0.950454,0.934921,0.987606,BASLANGIC
0.971241,0.744272,0.910789,BASLANGIC
0.950456,0.929309,0.976488,BASLANGIC
0.959816,0.794530,0.888727,BASLANGIC
0.951875,0.944443,0.993027,BASLANGIC
0.954789,0.704591,0.854184,BASLANGIC
0.945897,0.821837,0.846185,BASLANGIC
0.951832,0.916660,0.969950,BASLANGIC
0.979925,0.779273,0.947222,BASLANGIC
0.956204,0.933878,0.987993,BASLANGIC
0.954049,0.849852,0.878288,BASLANGIC
0.948838,0.955601,0.980646,BASLANGIC
0.966228,0.791479,0.901821,BASLANGIC
0.945536,0.958370,0.963771,BASLANGIC
0.945326,0.824680,0.844431,BASLANGIC
0.947280,0.939333,0.968764,BASLANGIC
0.960134,0.756345,0.875547,BASLANGIC
0.951129,0.938720,0.983952,BASLANGIC
0.948526,0.773677,0.848551,BASLANGIC
0.939870,0.910736,0.966386,BASLANGIC
0.975857,0.833896,0.945012,BASLANGIC
0.950137,0.960620,0.976349,BASLANGIC
0.970925,0.785462,0.922036,BASLANGIC
0.958301,0.925721,0.984166,BASLANGIC
0.969216,0.799612,0.918292,BASLANGIC
0.948197,0.976493,0.974061,BASLANGIC
0.955529,0.783834,0.868497,BASLANGIC
0.946906,0.951818,0.970194,BASLANGIC
0.977021,0.784074,0.939929,BASLANGIC
0.933534,0.922286,0.952859,BASLANGIC
0.960955,0.787147,0.881737,BASLANGIC
0.943664,0.934245,0.965139,BASLANGIC
0.963158,0.756286,0.890757,BASLANGIC
0.952308,0.949346,0.989801,BASLANGIC
0.960919,0.786595,0.890956,BASLANGIC
0.946196,0.951223,0.971047,BASLANGIC
0.963218,0.778819,0.891632,BASLANGIC
0.946077,0.932870,0.974820,BASLANGIC
0.978169,0.774078,0.935281,BASLANGIC
0.937735,0.953048,0.975733,BASLANGIC
0.972192,0.792134,0.925224,BASLANGIC
0.947510,0.930726,0.978097,BASLANGIC
0.954359,0.740166,0.859857,BASLANGIC
0.950229,0.931252,0.984063,BASLANGIC
0.956244,0.765110,0.874064,BASLANGIC
0.955884,0.947655,0.983313,BASLANGIC
0.975495,0.768858,0.927108,BASLANGIC
0.955543,0.951750,0.991183,BASLANGIC
0.949504,0.826852,0.861357,BASLANGIC
0.941576,0.913232,0.978709,BASLANGIC
0.947445,0.765112,0.842955,BASLANGIC
0.947051,0.923606,0.968206,BASLANGIC
0.976802,0.760904,0.928729,BASLANGIC
0.950569,0.958731,0.978168,BASLANGIC
0.990094,0.777946,0.976565,BASLANGIC
0.955542,0.922620,0.981785,BASLANGIC
0.966625,0.777418,0.898037,BASLANGIC
0.940747,0.958271,0.976956,BASLANGIC
0.950897,0.777045,0.860877,BASLANGIC
0.964470,0.835589,0.974175,BASLANGIC
0.949403,0.822025,0.865203,BASLANGIC
0.943307,0.945492,0.964988,BASLANGIC
0.960094,0.784956,0.883635,BASLANGIC
0.957080,0.935382,0.974652,BASLANGIC
0.971810,0.797241,0.925612,BASLANGIC
0.950133,0.771740,0.845514,BASLANGIC
0.949222,0.953714,0.982197,BASLANGIC
0.963367,0.749494,0.885259,BASLANGIC
0.938756,0.918440,0.964826,BASLANGIC
0.975797,0.753337,0.922471,BASLANGIC
0.946717,0.942249,0.961936,BASLANGIC
0.958299,0.765968,0.874541,BASLANGIC
0.951001,0.945807,0.977271,BASLANGIC
0.967666,0.762375,0.903062,BASLANGIC
0.945635,0.738042,0.828469,BASLANGIC
0.944074,0.945121,0.981317,BASLANGIC
0.971145,0.774076,0.918044,BASLANGIC
0.954193,0.875474,0.971349,BASLANGIC
0.948899,0.788933,0.845141,BASLANGIC
0.938120,0.966304,0.982914,BASLANGIC
0.970079,0.745653,0.911684,BASLANGIC
0.927808,0.997719,0.981512,BASLANGIC
0.983593,0.808677,0.963810,BASLANGIC
0.933907,0.956248,0.968275,BASLANGIC
0.953445,0.796790,0.864158,BASLANGIC
0.943048,0.932609,0.972617,BASLANGIC
0.993750,0.780174,0.987546,BASLANGIC
0.946460,0.954850,0.976666,BASLANGIC
0.970067,0.759483,0.911065,BASLANGIC
0.953684,0.932668,0.972984,BASLANGIC
0.962213,0.788381,0.901502,BASLANGIC
0.947239,0.965340,0.979654,BASLANGIC
0.983304,0.791032,0.958651,BASLANGIC
0.948990,0.951070,0.982217,BASLANGIC
0.986146,0.761213,0.960985,BASLANGIC
0.941450,0.904704,0.967993,BASLANGIC
0.955782,0.759935,0.861034,BASLANGIC
0.941486,0.938595,0.967804,BASLANGIC
0.954085,0.787805,0.864505,BASLANGIC
0.940008,0.955156,0.966555,BASLANGIC
0.953233,0.760113,0.860219,BASLANGIC
0.951167,0.967912,0.979838,BASLANGIC
0.977051,0.756145,0.931766,BASLANGIC
0.945193,0.922017,0.982362,BASLANGIC
0.983765,0.800031,0.966543,BASLANGIC
0.947668,0.924830,0.980418,BASLANGIC
0.946596,0.826495,0.857572,BASLANGIC
0.954047,0.956475,0.975200,BASLANGIC
0.968671,0.770645,0.905645,BASLANGIC
0.949533,0.942406,0.975002,BASLANGIC
0.959130,0.809286,0.882659,BASLANGIC
0.941433,0.927264,0.943178,BASLANGIC
0.965024,0.774679,0.899849,BASLANGIC
0.952562,0.950904,0.983352,BASLANGIC
0.958042,0.758930,0.872774,BASLANGIC
0.936017,0.915037,0.957928,BASLANGIC
0.971165,0.763855,0.915294,BASLANGIC
0.942905,0.975878,0.974184,BASLANGIC
0.985185,0.771780,0.965742,BASLANGIC
0.950212,0.927043,0.980402,BASLANGIC
0.961300,0.754840,0.878410,BASLANGIC
0.945696,0.892015,0.964480,BASLANGIC
0.969884,0.778814,0.915688,BASLANGIC
0.952366,0.939055,0.985060,BASLANGIC
0.953434,0.776187,0.862354,BASLANGIC
0.952791,0.748845,0.854892,BASLANGIC
0.952866,0.955922,0.968358,BASLANGIC
0.979412,0.768730,0.940727,BASLANGIC
0.945388,0.944632,0.972498,BASLANGIC
0.975105,0.817273,0.941372,BASLANGIC
0.951057,0.936343,0.981051,BASLANGIC
0.951863,0.773900,0.852445,BASLANGIC
0.952033,0.955928,0.974116,BASLANGIC
0.959215,0.827869,0.887211,BASLANGIC
0.955720,0.943918,0.968611,BASLANGIC
0.974272,0.800404,0.931651,BASLANGIC
0.955498,0.922802,0.980412,BASLANGIC
0.960691,0.766369,0.879182,BASLANGIC
0.945893,0.947373,0.983263,BASLANGIC
0.954400,0.739013,0.855492,BASLANGIC
0.940246,0.935186,0.960615,BASLANGIC
0.949181,0.765034,0.847651,BASLANGIC
0.950251,0.946996,0.981467,BASLANGIC
0.972254,0.763834,0.916697,BASLANGIC
0.959136,0.741650,0.874495,BASLANGIC
0.947571,0.925619,0.976554,BASLANGIC
0.966119,0.761273,0.896071,BASLANGIC
0.958270,0.738014,0.867371,BASLANGIC
0.935421,0.974751,0.983339,BASLANGIC
0.962492,0.784538,0.891498,BASLANGIC
0.951533,0.947692,0.975068,BASLANGIC
0.956890,0.787549,0.873235,BASLANGIC
0.943289,0.963434,0.980386,BASLANGIC
0.983656,0.749981,0.949382,BASLANGIC
0.954682,0.921430,0.979338,BASLANGIC
0.983219,0.766306,0.956726,BASLANGIC
0.957139,0.953160,0.982365,BASLANGIC
0.973336,0.755008,0.916754,BASLANGIC
0.987319,0.791405,0.970665,BASLANGIC
0.945400,0.975811,0.977306,BASLANGIC
0.967733,0.784867,0.911410,BASLANGIC
0.934156,0.986575,0.979436,BASLANGIC
0.964002,0.859074,0.914146,BASLANGIC
0.959433,0.791550,0.885871,BASLANGIC
0.949642,0.920485,0.983859,BASLANGIC
0.957028,0.771774,0.878294,BASLANGIC
0.939053,0.943952,0.962901,BASLANGIC
0.969971,0.771188,0.915747,BASLANGIC
0.948863,0.948248,0.979489,BASLANGIC
0.979554,0.760606,0.942221,BASLANGIC
0.952137,0.957825,0.982327,BASLANGIC
0.953165,0.759717,0.860448,BASLANGIC
0.950442,0.915868,0.982885,BASLANGIC
0.962506,0.747804,0.882119,BASLANGIC
0.945892,0.928616,0.972685,BASLANGIC
0.965162,0.736310,0.887188,BASLANGIC
0.946299,0.953654,0.974931,BASLANGIC
0.964880,0.736710,0.888539,BASLANGIC
0.938828,0.958726,0.983458,BASLANGIC
0.967116,0.775414,0.900986,BASLANGIC
0.948551,0.953413,0.973491,BASLANGIC
0.981085,0.744738,0.941372,BASLANGIC
0.935436,0.972387,0.962638,BASLANGIC
0.979882,0.779634,0.951183,BASLANGIC
0.933116,0.993936,0.983441,BASLANGIC
0.953124,0.837533,0.878784,BASLANGIC
0.940103,0.930939,0.962288,BASLANGIC
0.958094,0.749597,0.871320,BASLANGIC
0.944974,0.933314,0.974866,BASLANGIC
0.968266,0.784770,0.907894,BASLANGIC
0.936920,0.952132,0.983210,BASLANGIC
0.974572,0.741713,0.916773,BASLANGIC
0.955762,0.910154,0.985922,BASLANGIC
0.958391,0.781157,0.880761,BASLANGIC
0.936244,0.951254,0.982075,BASLANGIC
0.958444,0.750114,0.870649,BASLANGIC
0.949229,0.917167,0.976248,BASLANGIC
0.965723,0.761065,0.893630,BASLANGIC
0.937919,0.950791,0.972066,BASLANGIC
