@RELATION DOMAIN_TRANSFORM

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.196365,0.347099,0.523058,0.068812,0.904051,0.018471,BASLANGIC
0.718658,0.853808,0.067084,0.020342,0.256820,0.004621,BASLANGIC
0.608781,0.723536,0.190786,0.029812,0.464730,0.007313,BASLANGIC
0.705619,0.843008,0.075210,0.024013,0.216053,0.005524,BASLANGIC
0.663810,0.753485,0.174093,0.015698,0.570597,0.003813,BASLANGIC
0.632550,0.793162,0.103902,0.030883,0.247069,0.007272,BASLANGIC
0.336219,0.473525,0.405080,0.061147,0.770112,0.016102,BASLANGIC
0.261967,0.382676,0.509063,0.074689,0.876052,0.020354,BASLANGIC
0.750476,0.874216,0.055872,0.014812,0.293673,0.003299,BASLANGIC
0.543702,0.642330,0.273822,0.029334,0.664767,0.007001,BASLANGIC
0.794377,0.897469,0.046483,0.009136,0.299260,0.001997,BASLANGIC
0.517473,0.654964,0.237426,0.040212,0.545819,0.009934,BASLANGIC
0.680974,0.821128,0.090233,0.021736,0.288773,0.004965,BASLANGIC
0.276618,0.426947,0.447012,0.078460,0.806124,0.021623,BASLANGIC
0.758253,0.876380,0.057397,0.012549,0.297343,0.002775,BASLANGIC
0.411302,0.558303,0.326777,0.043429,0.705082,0.010928,BASLANGIC
0.693121,0.826512,0.088440,0.026942,0.335680,0.006263,BASLANGIC
0.832548,0.894704,0.065908,0.023795,0.118380,0.005493,BASLANGIC
0.733386,0.850189,0.079015,0.016071,0.315402,0.003597,BASLANGIC
0.788515,0.854509,0.098451,0.025489,0.240005,0.005943,BASLANGIC
0.663501,0.821860,0.082138,0.016512,0.316347,0.003701,BASLANGIC
0.254418,0.408029,0.463411,0.052393,0.874075,0.013512,BASLANGIC
0.754718,0.883974,0.045070,0.005291,0.357201,0.001139,BASLANGIC
0.377989,0.507802,0.382224,0.052544,0.750722,0.013622,BASLANGIC
0.726193,0.859254,0.063853,0.008742,0.368197,0.001906,BASLANGIC
0.723197,0.834404,0.095484,0.029424,0.169923,0.006960,BASLANGIC
0.771024,0.883335,0.053609,0.011964,0.263988,0.002640,BASLANGIC
0.513905,0.631692,0.270129,0.035309,0.681447,0.008812,BASLANGIC
0.781203,0.894505,0.045761,0.010649,0.293685,0.002337,BASLANGIC
0.285187,0.447867,0.414099,0.067940,0.793902,0.018140,BASLANGIC
0.724554,0.854699,0.068806,0.017630,0.291787,0.003968,BASLANGIC
0.342212,0.496050,0.379165,0.053841,0.759381,0.013803,BASLANGIC
0.724606,0.858530,0.064372,0.016544,0.281235,0.003708,BASLANGIC
