@RELATION FUSION_WITH_STATS

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE lbp_energy NUMERIC
@ATTRIBUTE lbp_entropy NUMERIC
@ATTRIBUTE lbp_mean NUMERIC
@ATTRIBUTE lbp_std NUMERIC
@ATTRIBUTE lcp_mean NUMERIC
@ATTRIBUTE lcp_std NUMERIC
@ATTRIBUTE lcp_energy NUMERIC
@ATTRIBUTE lcp_entropy NUMERIC
@ATTRIBUTE shape_area NUMERIC
@ATTRIBUTE shape_perimeter NUMERIC
@ATTRIBUTE shape_circularity NUMERIC
@ATTRIBUTE shape_aspect_ratio NUMERIC
@ATTRIBUTE hog_mean NUMERIC
@ATTRIBUTE hog_std NUMERIC
@ATTRIBUTE hog_skew NUMERIC
@ATTRIBUTE hog_kurtosis NUMERIC
@ATTRIBUTE phog_L0_mean NUMERIC
@ATTRIBUTE phog_L1_mean NUMERIC
@ATTRIBUTE phog_L1_std NUMERIC
@ATTRIBUTE softhist_bin_0 NUMERIC
@ATTRIBUTE softhist_bin_1 NUMERIC
@ATTRIBUTE softhist_bin_2 NUMERIC
@ATTRIBUTE softhist_bin_3 NUMERIC
@ATTRIBUTE softhist_bin_4 NUMERIC
@ATTRIBUTE softhist_bin_5 NUMERIC
@ATTRIBUTE softhist_bin_6 NUMERIC
@ATTRIBUTE softhist_bin_7 NUMERIC
@ATTRIBUTE softhist_bin_8 NUMERIC
@ATTRIBUTE softhist_bin_9 NUMERIC
@ATTRIBUTE softhist_bin_10 NUMERIC
@ATTRIBUTE softhist_bin_11 NUMERIC
@ATTRIBUTE softhist_bin_12 NUMERIC
@ATTRIBUTE softhist_bin_13 NUMERIC
@ATTRIBUTE softhist_bin_14 NUMERIC
@ATTRIBUTE softhist_bin_15 NUMERIC
@ATTRIBUTE softhist_bin_16 NUMERIC
@ATTRIBUTE softhist_bin_17 NUMERIC
@ATTRIBUTE softhist_bin_18 NUMERIC
@ATTRIBUTE softhist_bin_19 NUMERIC
@ATTRIBUTE softhist_bin_20 NUMERIC
@ATTRIBUTE softhist_bin_21 NUMERIC
@ATTRIBUTE softhist_bin_22 NUMERIC
@ATTRIBUTE softhist_bin_23 NUMERIC
@ATTRIBUTE softhist_bin_24 NUMERIC
@ATTRIBUTE softhist_bin_25 NUMERIC
@ATTRIBUTE softhist_bin_26 NUMERIC
@ATTRIBUTE softhist_bin_27 NUMERIC
@ATTRIBUTE softhist_bin_28 NUMERIC
@ATTRIBUTE softhist_bin_29 NUMERIC
@ATTRIBUTE softhist_bin_30 NUMERIC
@ATTRIBUTE softhist_bin_31 NUMERIC
@ATTRIBUTE softhist_mean NUMERIC
@ATTRIBUTE softhist_std NUMERIC
@ATTRIBUTE softhist_energy NUMERIC
@ATTRIBUTE softhist_entropy NUMERIC
@ATTRIBUTE stat_skew NUMERIC
@ATTRIBUTE stat_kurtosis NUMERIC
@ATTRIBUTE stat_mean NUMERIC
@ATTRIBUTE stat_std NUMERIC
@ATTRIBUTE fft_mean NUMERIC
@ATTRIBUTE fft_std NUMERIC
@ATTRIBUTE fft_max NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.062758,0.033791,0.994945,0.994648,0.370084,0.990321,0.991325,0.011946,0.994663,0.096318,0.036484,0.266964,0.067141,0.002185,0.004157,0.014622,0.844823,0.380580,0.041695,0.334339,0.783427,0.515255,0.041695,0.028493,0.157019,1.000000,0.000000,0.000000,0.000123,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000245,0.000000,0.000000,0.000000,0.000061,0.000000,0.000123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000475,0.000000,0.000000,0.000000,0.000000,0.000000,0.003839,0.000217,0.028033,0.000001,0.002735,0.705119,0.492162,0.005458,0.117702,0.940403,0.789366,0.831634,BASLANGIC
0.194525,0.842779,0.122320,0.007985,0.840478,0.001597,0.047902,0.948679,0.124392,0.960183,0.846186,0.321583,0.267353,0.889644,0.865392,0.405638,0.228520,0.303922,0.950065,0.631210,0.039090,0.002292,0.950065,0.937808,0.154157,0.000000,0.000000,0.004634,0.087118,0.293791,0.727525,0.662651,0.733086,0.525487,0.461538,0.501390,0.392030,0.590361,0.543095,0.673772,0.924931,1.000000,0.955514,0.921043,0.898054,0.798888,0.922150,0.723896,0.470774,0.497861,0.498108,0.451149,0.450101,0.532632,0.501158,0.356605,0.034156,0.760760,0.698033,0.689296,0.745915,0.014123,0.002039,0.752075,0.403643,0.952963,0.906582,0.990794,BASLANGIC
0.236724,0.110022,0.986631,0.957382,0.761279,0.924214,0.956866,0.052198,0.981081,0.153543,0.120745,0.496212,0.234336,0.002895,0.048710,0.050993,0.813924,0.438244,0.150568,0.655603,0.488855,0.238083,0.150568,0.102154,0.376354,1.000000,0.000127,0.000063,0.000000,0.000127,0.000063,0.000000,0.000000,0.000000,0.000063,0.000190,0.000000,0.000000,0.000000,0.000063,0.000000,0.000127,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000300,0.000098,0.000000,0.000135,0.000000,0.000601,0.000000,0.044341,0.002011,0.027683,0.000095,0.013966,0.225641,0.045090,0.053666,0.371145,0.965481,0.794403,0.905488,BASLANGIC
0.217754,0.788799,0.195491,0.013872,0.854604,0.002746,0.037826,0.962398,0.110307,0.939337,0.794290,0.381648,0.286699,0.820982,0.802088,0.298353,0.391518,0.322917,0.955270,0.622496,0.031699,0.003960,0.955270,0.941630,0.116457,0.000000,0.028571,0.854187,0.752709,0.527094,0.606897,0.675862,0.699507,0.640394,0.695567,0.593103,0.531034,0.582266,0.533005,0.538916,0.689655,0.694581,0.780296,0.847506,0.913301,0.912315,1.000000,0.625103,0.419774,0.439292,0.407437,0.289567,0.320393,0.377478,0.322459,0.179015,0.006052,0.812111,0.594907,0.725741,0.775739,0.015645,0.001568,0.665304,0.446789,0.957965,0.881674,0.986833,BASLANGIC
0.198762,0.096041,0.987455,0.967126,0.738042,0.941280,0.962936,0.045145,0.982989,0.147213,0.102429,0.454190,0.195917,0.003540,0.036781,0.043866,0.830539,0.363281,0.126158,0.568823,0.447893,0.170206,0.126158,0.095925,0.528627,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000063,0.000126,0.000063,0.000000,0.000000,0.000126,0.000063,0.000000,0.000000,0.000000,0.000188,0.000000,0.000064,0.000000,0.000063,0.000063,0.000000,0.000069,0.000000,0.000000,0.000000,0.001209,0.000000,0.000595,0.000671,0.032691,0.001518,0.027683,0.000052,0.011715,0.259448,0.060874,0.040819,0.324462,0.963830,0.791889,0.896647,BASLANGIC
0.196594,0.782732,0.186168,0.013866,0.861301,0.002778,0.049101,0.950521,0.136053,0.961445,0.782783,0.346275,0.258238,0.830585,0.836880,0.333837,0.326276,0.348315,0.949083,0.632835,0.031937,0.000916,0.949083,0.948321,0.084241,0.000000,0.039252,0.551402,0.837383,0.619626,0.542991,0.419626,0.614019,0.595327,0.589720,0.540187,0.490654,0.501869,0.504673,0.593458,0.909346,0.820561,1.000000,0.871096,0.923365,0.779439,0.651402,0.553665,0.394060,0.393438,0.440053,0.322753,0.259935,0.309246,0.363515,0.084907,0.019518,0.767610,0.573262,0.659854,0.809531,0.013604,0.001792,0.673767,0.434815,0.955939,0.892489,0.987241,BASLANGIC
0.103664,0.047382,0.994280,0.989985,0.520752,0.981926,0.984123,0.021413,0.991978,0.107034,0.051589,0.326648,0.100676,0.001166,0.009399,0.020862,0.938273,0.308239,0.085580,0.497746,0.652405,0.422730,0.085580,0.116540,0.642234,1.000000,0.000000,0.000000,0.000185,0.000000,0.000062,0.000000,0.000123,0.000062,0.000000,0.000000,0.000000,0.000000,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000658,0.009070,0.000429,0.027948,0.000004,0.004411,0.492152,0.232909,0.011420,0.173320,0.953901,0.748720,0.855489,BASLANGIC
0.052310,0.026254,0.996194,0.996282,0.226634,0.993271,0.994081,0.008242,0.996296,0.083849,0.030476,0.247786,0.057789,0.001225,0.002666,0.011096,0.940762,0.276786,0.043157,0.334134,0.722116,0.424620,0.043157,0.029385,0.161937,1.000000,0.000000,0.000000,0.000000,0.000000,0.000306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000190,0.000225,0.000000,0.000000,0.000000,0.000000,0.002632,0.000148,0.028065,0.000000,0.001944,0.862169,0.739284,0.003662,0.096928,0.938715,0.758462,0.818743,BASLANGIC
0.190309,0.759551,0.216543,0.031402,0.811330,0.006727,0.032452,0.969374,0.094759,0.925136,0.759722,0.347298,0.250438,0.809901,0.582034,0.574668,0.076578,0.322917,0.937670,0.651307,0.046885,0.002664,0.937670,0.933091,0.091073,0.000000,0.022205,0.372720,0.784298,0.682791,0.643933,0.540841,0.657415,0.607454,0.838224,0.944488,1.000000,0.945282,0.984140,0.900872,0.671689,0.448850,0.267248,0.166931,0.152260,0.141158,0.189532,0.281119,0.225548,0.211592,0.189156,0.103428,0.123855,0.052481,0.067709,0.122902,0.032149,0.637774,0.816043,0.581920,0.683175,0.042689,0.003919,0.551109,0.368748,0.948901,0.947929,0.980748,BASLANGIC
0.134296,0.060299,0.993159,0.984334,0.626920,0.971798,0.978772,0.027515,0.990050,0.115053,0.065756,0.369825,0.129268,0.000976,0.016538,0.027103,0.978248,0.274479,0.098215,0.549583,0.755508,0.623088,0.098215,0.035086,0.116661,1.000000,0.000000,0.000000,0.000000,0.000000,0.000124,0.000000,0.000000,0.000000,0.000000,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000062,0.000000,0.000000,0.000000,0.000000,0.000074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000431,0.000000,0.000330,0.015266,0.000693,0.027860,0.000011,0.006237,0.381294,0.136972,0.019010,0.223576,0.958983,0.751530,0.871954,BASLANGIC
