@RELATION GLCM_ONLY

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.062758,0.033791,0.994945,0.994648,0.370084,0.990321,BASLANGIC
0.194525,0.842779,0.122320,0.007985,0.840478,0.001597,BASLANGIC
0.236724,0.110022,0.986631,0.957382,0.761279,0.924214,BASLANGIC
0.217754,0.788799,0.195491,0.013872,0.854604,0.002746,BASLANGIC
0.198762,0.096041,0.987455,0.967126,0.738042,0.941280,BASLANGIC
0.196594,0.782732,0.186168,0.013866,0.861301,0.002778,BASLANGIC
0.103664,0.047382,0.994280,0.989985,0.520752,0.981926,BASLANGIC
0.052310,0.026254,0.996194,0.996282,0.226634,0.993271,BASLANGIC
0.190309,0.759551,0.216543,0.031402,0.811330,0.006727,BASLANGIC
0.134296,0.060299,0.993159,0.984334,0.626920,0.971798,BASLANGIC
0.115417,0.538259,0.396934,0.129606,0.877843,0.037918,BASLANGIC
0.191244,0.093594,0.987725,0.965369,0.761443,0.938191,BASLANGIC
0.144115,0.669678,0.276006,0.030887,0.872730,0.006594,BASLANGIC
0.093553,0.042466,0.995169,0.991906,0.475468,0.985379,BASLANGIC
0.123677,0.608466,0.316975,0.038552,0.887595,0.008459,BASLANGIC
0.125200,0.057910,0.992930,0.985643,0.606140,0.974140,BASLANGIC
0.162969,0.525527,0.495961,0.396371,0.894621,0.201838,BASLANGIC
0.401007,0.182956,0.978690,0.877232,0.860029,0.789682,BASLANGIC
0.212201,0.827502,0.155861,0.013470,0.856066,0.002649,BASLANGIC
0.334247,0.158113,0.980819,0.906105,0.848055,0.836942,BASLANGIC
0.241263,0.892955,0.126131,0.027283,0.642530,0.005888,BASLANGIC
0.082430,0.039152,0.995063,0.993465,0.389414,0.988187,BASLANGIC
0.244414,0.873283,0.159846,0.047784,0.609261,0.011069,BASLANGIC
0.104378,0.047163,0.994716,0.990364,0.511946,0.982606,BASLANGIC
0.161059,0.628845,0.341485,0.061207,0.827762,0.014501,BASLANGIC
0.457343,0.210277,0.975258,0.852613,0.865575,0.750456,BASLANGIC
0.263460,0.867986,0.151102,0.049891,0.425566,0.011514,BASLANGIC
0.134877,0.062019,0.992499,0.984875,0.596541,0.972765,BASLANGIC
0.215528,0.726921,0.263435,0.070006,0.522283,0.017214,BASLANGIC
0.104429,0.050318,0.993628,0.989317,0.552780,0.980725,BASLANGIC
0.187760,0.748616,0.240657,0.021966,0.877929,0.004519,BASLANGIC
0.107958,0.051575,0.993567,0.988188,0.582839,0.978699,BASLANGIC
0.220774,0.847899,0.164512,0.009324,0.866665,0.001833,BASLANGIC
0.157894,0.078135,0.989895,0.975555,0.715557,0.956169,BASLANGIC
0.148215,0.668814,0.272525,0.022678,0.935611,0.004610,BASLANGIC
0.551276,0.259012,0.967556,0.794279,0.880638,0.661444,BASLANGIC
0.144956,0.648725,0.301408,0.069275,0.742908,0.016986,BASLANGIC
0.082004,0.037906,0.995500,0.993431,0.415518,0.988126,BASLANGIC
0.111842,0.505825,0.451754,0.206678,0.950251,0.073399,BASLANGIC
0.268198,0.129586,0.983275,0.948170,0.776113,0.908220,BASLANGIC
0.224838,0.880904,0.122395,0.014755,0.757020,0.003014,BASLANGIC
0.104350,0.048856,0.994108,0.990293,0.502531,0.982479,BASLANGIC
0.162475,0.675372,0.280404,0.049026,0.890054,0.011104,BASLANGIC
0.259371,0.123107,0.984642,0.938916,0.819188,0.892292,BASLANGIC
0.182502,0.827010,0.127287,0.004648,0.845922,0.000924,BASLANGIC
0.241423,0.111366,0.986979,0.950623,0.792311,0.912465,BASLANGIC
0.183268,0.783215,0.176940,0.033875,0.727400,0.007347,BASLANGIC
0.168115,0.081073,0.989410,0.973864,0.718300,0.953172,BASLANGIC
