@RELATION GLCM_LBP

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE lbp_energy NUMERIC
@ATTRIBUTE lbp_entropy NUMERIC
@ATTRIBUTE lbp_mean NUMERIC
@ATTRIBUTE lbp_std NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.062758,0.033791,0.994945,0.994648,0.370084,0.990321,0.991325,0.011946,0.994663,0.096318,BASLANGIC
0.194525,0.842779,0.122320,0.007985,0.840478,0.001597,0.047902,0.948679,0.124392,0.960183,BASLANGIC
0.236724,0.110022,0.986631,0.957382,0.761279,0.924214,0.956866,0.052198,0.981081,0.153543,BASLANGIC
0.217754,0.788799,0.195491,0.013872,0.854604,0.002746,0.037826,0.962398,0.110307,0.939337,BASLANGIC
0.198762,0.096041,0.987455,0.967126,0.738042,0.941280,0.962936,0.045145,0.982989,0.147213,BASLANGIC
0.196594,0.782732,0.186168,0.013866,0.861301,0.002778,0.049101,0.950521,0.136053,0.961445,BASLANGIC
0.103664,0.047382,0.994280,0.989985,0.520752,0.981926,0.984123,0.021413,0.991978,0.107034,BASLANGIC
0.052310,0.026254,0.996194,0.996282,0.226634,0.993271,0.994081,0.008242,0.996296,0.083849,BASLANGIC
0.190309,0.759551,0.216543,0.031402,0.811330,0.006727,0.032452,0.969374,0.094759,0.925136,BASLANGIC
0.134296,0.060299,0.993159,0.984334,0.626920,0.971798,0.978772,0.027515,0.990050,0.115053,BASLANGIC
0.115417,0.538259,0.396934,0.129606,0.877843,0.037918,0.052729,0.946194,0.154377,0.951885,BASLANGIC
0.191244,0.093594,0.987725,0.965369,0.761443,0.938191,0.963582,0.044347,0.983087,0.146594,BASLANGIC
0.144115,0.669678,0.276006,0.030887,0.872730,0.006594,0.030857,0.970358,0.087945,0.910295,BASLANGIC
0.093553,0.042466,0.995169,0.991906,0.475468,0.985379,0.987000,0.017808,0.993343,0.099584,BASLANGIC
0.123677,0.608466,0.316975,0.038552,0.887595,0.008459,0.032184,0.967013,0.092433,0.906969,BASLANGIC
0.125200,0.057910,0.992930,0.985643,0.606140,0.974140,0.979946,0.026115,0.990253,0.114289,BASLANGIC
0.162969,0.525527,0.495961,0.396371,0.894621,0.201838,0.101165,0.839788,0.330215,0.860209,BASLANGIC
0.401007,0.182956,0.978690,0.877232,0.860029,0.789682,0.924036,0.084453,0.968584,0.191416,BASLANGIC
0.212201,0.827502,0.155861,0.013470,0.856066,0.002649,0.010546,0.988709,0.059553,0.884540,BASLANGIC
0.334247,0.158113,0.980819,0.906105,0.848055,0.836942,0.936493,0.071579,0.972686,0.179263,BASLANGIC
0.241263,0.892955,0.126131,0.027283,0.642530,0.005888,0.058159,0.932004,0.157102,0.969172,BASLANGIC
0.082430,0.039152,0.995063,0.993465,0.389414,0.988187,0.989095,0.015274,0.994271,0.096050,BASLANGIC
0.244414,0.873283,0.159846,0.047784,0.609261,0.011069,0.055698,0.934439,0.146473,0.972899,BASLANGIC
0.104378,0.047163,0.994716,0.990364,0.511946,0.982606,0.985169,0.019951,0.992435,0.102418,BASLANGIC
0.161059,0.628845,0.341485,0.061207,0.827762,0.014501,0.013998,0.980729,0.078760,0.889186,BASLANGIC
0.457343,0.210277,0.975258,0.852613,0.865575,0.750456,0.913685,0.093941,0.963710,0.204415,BASLANGIC
0.263460,0.867986,0.151102,0.049891,0.425566,0.011514,0.044672,0.955923,0.122504,0.955110,BASLANGIC
0.134877,0.062019,0.992499,0.984875,0.596541,0.972765,0.977729,0.029043,0.989567,0.118039,BASLANGIC
0.215528,0.726921,0.263435,0.070006,0.522283,0.017214,0.043728,0.958301,0.127952,0.951064,BASLANGIC
0.104429,0.050318,0.993628,0.989317,0.552780,0.980725,0.983339,0.022442,0.992004,0.107804,BASLANGIC
0.187760,0.748616,0.240657,0.021966,0.877929,0.004519,0.046264,0.946118,0.121177,0.936146,BASLANGIC
0.107958,0.051575,0.993567,0.988188,0.582839,0.978699,0.982686,0.022868,0.991135,0.110377,BASLANGIC
0.220774,0.847899,0.164512,0.009324,0.866665,0.001833,0.037075,0.960460,0.099815,0.930136,BASLANGIC
0.157894,0.078135,0.989895,0.975555,0.715557,0.956169,0.970838,0.036554,0.986425,0.132103,BASLANGIC
0.148215,0.668814,0.272525,0.022678,0.935611,0.004610,0.000000,1.000000,0.000000,0.825727,BASLANGIC
0.551276,0.259012,0.967556,0.794279,0.880638,0.661444,0.891906,0.114308,0.953793,0.229634,BASLANGIC
0.144956,0.648725,0.301408,0.069275,0.742908,0.016986,0.035293,0.965344,0.108902,0.924080,BASLANGIC
0.082004,0.037906,0.995500,0.993431,0.415518,0.988126,0.989096,0.015174,0.994068,0.095717,BASLANGIC
0.111842,0.505825,0.451754,0.206678,0.950251,0.073399,0.041967,0.947420,0.119048,0.918929,BASLANGIC
0.268198,0.129586,0.983275,0.948170,0.776113,0.908220,0.948128,0.060762,0.976390,0.171300,BASLANGIC
0.224838,0.880904,0.122395,0.014755,0.757020,0.003014,0.041895,0.957444,0.118486,0.949338,BASLANGIC
0.104350,0.048856,0.994108,0.990293,0.502531,0.982479,0.984122,0.021554,0.991958,0.106724,BASLANGIC
0.162475,0.675372,0.280404,0.049026,0.890054,0.011104,0.038586,0.962426,0.122347,0.940625,BASLANGIC
0.259371,0.123107,0.984642,0.938916,0.819188,0.892292,0.948898,0.059335,0.978350,0.161492,BASLANGIC
0.182502,0.827010,0.127287,0.004648,0.845922,0.000924,0.029844,0.973300,0.081869,0.933133,BASLANGIC
0.241423,0.111366,0.986979,0.950623,0.792311,0.912465,0.954938,0.053278,0.980709,0.153298,BASLANGIC
0.183268,0.783215,0.176940,0.033875,0.727400,0.007347,0.050307,0.942728,0.142657,0.975387,BASLANGIC
0.168115,0.081073,0.989410,0.973864,0.718300,0.953172,0.969539,0.038127,0.985641,0.136914,BASLANGIC
0.190391,0.817019,0.146938,0.009456,0.837456,0.001926,0.039399,0.957405,0.104257,0.932959,BASLANGIC
0.099400,0.045488,0.994544,0.990517,0.521700,0.982881,0.985693,0.019115,0.992500,0.102990,BASLANGIC
0.083325,0.040450,0.994945,0.992333,0.481389,0.986148,0.987525,0.016931,0.993323,0.099167,BASLANGIC
0.197023,0.794321,0.191145,0.059476,0.742836,0.014018,0.038238,0.943176,0.180842,0.952614,BASLANGIC
0.405403,0.199847,0.973870,0.858278,0.875482,0.759396,0.914947,0.092694,0.963743,0.205350,BASLANGIC
0.249950,0.894765,0.132961,0.009329,0.803134,0.001868,0.045214,0.950572,0.121988,0.954503,BASLANGIC
0.147404,0.067367,0.992221,0.981099,0.662049,0.966023,0.976689,0.029671,0.988920,0.120064,BASLANGIC
0.244424,0.883852,0.136406,0.037464,0.628242,0.008380,0.040218,0.957858,0.110934,0.951228,BASLANGIC
0.215666,0.096941,0.989153,0.962250,0.757968,0.932721,0.963840,0.044198,0.983897,0.141232,BASLANGIC
0.173095,0.682308,0.315292,0.188576,0.838310,0.064142,0.048911,0.919007,0.246908,0.954555,BASLANGIC
0.086612,0.039907,0.994851,0.992829,0.435879,0.987042,0.988572,0.015560,0.993363,0.100316,BASLANGIC
0.147640,0.664404,0.297185,0.099122,0.891016,0.026499,0.041030,0.946280,0.174943,0.952326,BASLANGIC
0.142269,0.064340,0.992278,0.982099,0.645314,0.967807,0.976297,0.030347,0.988829,0.121115,BASLANGIC
0.192252,0.825487,0.147736,0.014481,0.836872,0.002950,0.039209,0.959731,0.106302,0.947683,BASLANGIC
0.086263,0.042170,0.994346,0.991663,0.501202,0.984942,0.986608,0.018131,0.992840,0.103595,BASLANGIC
0.117481,0.598947,0.323044,0.091535,0.718470,0.024151,0.049588,0.947021,0.138058,0.956329,BASLANGIC
0.515594,0.237214,0.971624,0.865539,0.832329,0.770932,0.906922,0.099773,0.959000,0.216549,BASLANGIC
0.185450,0.770384,0.208841,0.031267,0.859879,0.006644,0.027089,0.970401,0.123039,0.936058,BASLANGIC
0.282872,0.134541,0.982024,0.930448,0.824740,0.877840,0.944546,0.063240,0.975567,0.170891,BASLANGIC
0.250194,0.801948,0.211366,0.024469,0.863765,0.005094,0.033366,0.965990,0.094654,0.924934,BASLANGIC
0.290313,0.140268,0.981556,0.937601,0.799121,0.890041,0.945184,0.063236,0.975365,0.172475,BASLANGIC
0.194168,0.819476,0.162352,0.033662,0.822528,0.007253,0.045274,0.955556,0.131539,0.955403,BASLANGIC
0.132164,0.059461,0.993377,0.985851,0.591871,0.974512,0.980206,0.026101,0.990475,0.114243,BASLANGIC
0.177767,0.688755,0.294104,0.084432,0.808300,0.021584,0.028991,0.952221,0.161884,0.924102,BASLANGIC
0.371185,0.177633,0.977180,0.884371,0.861463,0.801241,0.928868,0.078627,0.968531,0.191466,BASLANGIC
0.067847,0.398020,0.526460,0.239658,0.929402,0.091494,0.041880,0.923672,0.231210,0.911593,BASLANGIC
0.163384,0.073447,0.991466,0.978922,0.663266,0.962147,0.973954,0.033443,0.987927,0.125677,BASLANGIC
0.138638,0.612348,0.345279,0.148034,0.895855,0.045472,0.028974,0.963397,0.150817,0.927655,BASLANGIC
0.171442,0.080874,0.989990,0.972366,0.730395,0.950523,0.969022,0.038153,0.985824,0.133957,BASLANGIC
0.233036,0.874665,0.152029,0.024997,0.881173,0.005170,0.036737,0.966322,0.105747,0.945915,BASLANGIC
0.171152,0.085151,0.988358,0.971845,0.731243,0.949602,0.965394,0.042530,0.984458,0.141364,BASLANGIC
0.184589,0.730186,0.253880,0.065232,0.666067,0.015792,0.020838,0.982752,0.058795,0.914413,BASLANGIC
0.187577,0.087290,0.989654,0.971643,0.712991,0.949244,0.967596,0.040052,0.985438,0.135091,BASLANGIC
0.159093,0.690770,0.274302,0.066790,0.901491,0.016113,0.037935,0.961896,0.108889,0.937608,BASLANGIC
0.384050,0.179490,0.978174,0.898767,0.837131,0.824803,0.928094,0.080579,0.969054,0.190937,BASLANGIC
0.103652,0.590266,0.310465,0.058600,0.924682,0.013755,0.043732,0.956616,0.126155,0.950579,BASLANGIC
0.305792,0.146826,0.980810,0.924070,0.827223,0.867032,0.937762,0.071190,0.973477,0.178747,BASLANGIC
0.162809,0.703781,0.259878,0.048715,0.867192,0.011071,0.034063,0.967755,0.096640,0.928282,BASLANGIC
0.104122,0.050072,0.993654,0.988787,0.577270,0.979774,0.982947,0.022586,0.991690,0.108513,BASLANGIC
0.166704,0.746876,0.201000,0.021704,0.907128,0.004476,0.042944,0.958199,0.115422,0.950357,BASLANGIC
0.128401,0.064090,0.991458,0.982994,0.661349,0.969405,0.976559,0.029700,0.988398,0.123986,BASLANGIC
0.250264,0.889162,0.138210,0.014613,0.817562,0.002885,0.010643,0.990328,0.064734,0.902101,BASLANGIC
0.318636,0.148710,0.981731,0.919960,0.829681,0.860101,0.940448,0.067907,0.974274,0.174855,BASLANGIC
0.260454,0.915635,0.135904,0.008310,0.833449,0.001672,0.042457,0.950161,0.111261,0.939927,BASLANGIC
0.109700,0.050879,0.993949,0.988258,0.576213,0.978824,0.982817,0.022649,0.991272,0.110290,BASLANGIC
0.104285,0.549841,0.353115,0.040891,0.942325,0.008994,0.046962,0.954537,0.131846,0.949685,BASLANGIC
0.083987,0.039601,0.995063,0.992984,0.424530,0.987321,0.988048,0.016370,0.993552,0.099431,BASLANGIC
0.135833,0.634239,0.313426,0.113944,0.917094,0.031861,0.020363,0.978396,0.096849,0.912323,BASLANGIC
0.323507,0.146888,0.983316,0.916916,0.835150,0.854986,0.941982,0.066297,0.975273,0.170635,BASLANGIC
0.184703,0.691902,0.305184,0.079423,0.920898,0.019929,0.013542,0.968684,0.092165,0.867837,BASLANGIC
0.671713,0.316187,0.960672,0.708085,0.893300,0.540049,0.871272,0.132239,0.944536,0.248604,BASLANGIC
