@RELATION GLCM_LBP_HOG

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE lbp_energy NUMERIC
@ATTRIBUTE lbp_entropy NUMERIC
@ATTRIBUTE lbp_mean NUMERIC
@ATTRIBUTE lbp_std NUMERIC
@ATTRIBUTE hog_mean NUMERIC
@ATTRIBUTE hog_std NUMERIC
@ATTRIBUTE hog_skew NUMERIC
@ATTRIBUTE hog_kurtosis NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.062758,0.033791,0.994945,0.994648,0.370084,0.990321,0.991325,0.011946,0.994663,0.096318,0.041695,0.334339,0.783427,0.515255,BASLANGIC
0.194525,0.842779,0.122320,0.007985,0.840478,0.001597,0.047902,0.948679,0.124392,0.960183,0.950065,0.631210,0.039090,0.002292,BASLANGIC
0.236724,0.110022,0.986631,0.957382,0.761279,0.924214,0.956866,0.052198,0.981081,0.153543,0.150568,0.655603,0.488855,0.238083,BASLANGIC
0.217754,0.788799,0.195491,0.013872,0.854604,0.002746,0.037826,0.962398,0.110307,0.939337,0.955270,0.622496,0.031699,0.003960,BASLANGIC
0.198762,0.096041,0.987455,0.967126,0.738042,0.941280,0.962936,0.045145,0.982989,0.147213,0.126158,0.568823,0.447893,0.170206,BASLANGIC
0.196594,0.782732,0.186168,0.013866,0.861301,0.002778,0.049101,0.950521,0.136053,0.961445,0.949083,0.632835,0.031937,0.000916,BASLANGIC
0.103664,0.047382,0.994280,0.989985,0.520752,0.981926,0.984123,0.021413,0.991978,0.107034,0.085580,0.497746,0.652405,0.422730,BASLANGIC
0.052310,0.026254,0.996194,0.996282,0.226634,0.993271,0.994081,0.008242,0.996296,0.083849,0.043157,0.334134,0.722116,0.424620,BASLANGIC
0.190309,0.759551,0.216543,0.031402,0.811330,0.006727,0.032452,0.969374,0.094759,0.925136,0.937670,0.651307,0.046885,0.002664,BASLANGIC
0.134296,0.060299,0.993159,0.984334,0.626920,0.971798,0.978772,0.027515,0.990050,0.115053,0.098215,0.549583,0.755508,0.623088,BASLANGIC
0.115417,0.538259,0.396934,0.129606,0.877843,0.037918,0.052729,0.946194,0.154377,0.951885,0.966369,0.603327,0.018387,0.001559,BASLANGIC
0.191244,0.093594,0.987725,0.965369,0.761443,0.938191,0.963582,0.044347,0.983087,0.146594,0.125536,0.568974,0.460327,0.183980,BASLANGIC
0.144115,0.669678,0.276006,0.030887,0.872730,0.006594,0.030857,0.970358,0.087945,0.910295,0.904392,0.701236,0.039806,0.000449,BASLANGIC
0.093553,0.042466,0.995169,0.991906,0.475468,0.985379,0.987000,0.017808,0.993343,0.099584,0.095446,0.495766,0.532703,0.252781,BASLANGIC
