@RELATION GLCM_PHOG

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE phog_L0_mean NUMERIC
@ATTRIBUTE phog_L1_mean NUMERIC
@ATTRIBUTE phog_L1_std NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.062758,0.033791,0.994945,0.994648,0.370084,0.990321,0.041695,0.028493,0.157019,BASLANGIC
0.194525,0.842779,0.122320,0.007985,0.840478,0.001597,0.950065,0.937808,0.154157,BASLANGIC
0.236724,0.110022,0.986631,0.957382,0.761279,0.924214,0.150568,0.102154,0.376354,BASLANGIC
0.217754,0.788799,0.195491,0.013872,0.854604,0.002746,0.955270,0.941630,0.116457,BASLANGIC
0.198762,0.096041,0.987455,0.967126,0.738042,0.941280,0.126158,0.095925,0.528627,BASLANGIC
0.196594,0.782732,0.186168,0.013866,0.861301,0.002778,0.949083,0.948321,0.084241,BASLANGIC
0.103664,0.047382,0.994280,0.989985,0.520752,0.981926,0.085580,0.116540,0.642234,BASLANGIC
0.052310,0.026254,0.996194,0.996282,0.226634,0.993271,0.043157,0.029385,0.161937,BASLANGIC
0.190309,0.759551,0.216543,0.031402,0.811330,0.006727,0.937670,0.933091,0.091073,BASLANGIC
0.134296,0.060299,0.993159,0.984334,0.626920,0.971798,0.098215,0.035086,0.116661,BASLANGIC
0.115417,0.538259,0.396934,0.129606,0.877843,0.037918,0.966369,0.957744,0.124174,BASLANGIC
0.191244,0.093594,0.987725,0.965369,0.761443,0.938191,0.125536,0.135150,0.744788,BASLANGIC
0.144115,0.669678,0.276006,0.030887,0.872730,0.006594,0.904392,0.903914,0.116253,BASLANGIC
0.093553,0.042466,0.995169,0.991906,0.475468,0.985379,0.095446,0.129975,0.716272,BASLANGIC
0.123677,0.608466,0.316975,0.038552,0.887595,0.008459,0.903029,0.895762,0.231910,BASLANGIC
0.125200,0.057910,0.992930,0.985643,0.606140,0.974140,0.099041,0.055749,0.179371,BASLANGIC
0.162969,0.525527,0.495961,0.396371,0.894621,0.201838,0.752514,0.733994,0.216523,BASLANGIC
0.401007,0.182956,0.978690,0.877232,0.860029,0.789682,0.229985,0.184845,0.633590,BASLANGIC
0.212201,0.827502,0.155861,0.013470,0.856066,0.002649,0.912781,0.906658,0.274852,BASLANGIC
0.334247,0.158113,0.980819,0.906105,0.848055,0.836942,0.133905,0.141512,0.779853,BASLANGIC
0.241263,0.892955,0.126131,0.027283,0.642530,0.005888,0.883413,0.878195,0.226840,BASLANGIC
0.082430,0.039152,0.995063,0.993465,0.389414,0.988187,0.089544,0.075107,0.413901,BASLANGIC
0.244414,0.873283,0.159846,0.047784,0.609261,0.011069,0.881420,0.880406,0.048268,BASLANGIC
0.104378,0.047163,0.994716,0.990364,0.511946,0.982606,0.086017,0.044733,0.246519,BASLANGIC
0.161059,0.628845,0.341485,0.061207,0.827762,0.014501,0.859332,0.887233,0.144413,BASLANGIC
0.457343,0.210277,0.975258,0.852613,0.865575,0.750456,0.248877,0.208163,0.428319,BASLANGIC
0.263460,0.867986,0.151102,0.049891,0.425566,0.011514,0.961316,0.949628,0.055731,BASLANGIC
0.134877,0.062019,0.992499,0.984875,0.596541,0.972765,0.082865,0.088252,0.486345,BASLANGIC
0.215528,0.726921,0.263435,0.070006,0.522283,0.017214,0.961589,0.950961,0.091569,BASLANGIC
0.104429,0.050318,0.993628,0.989317,0.552780,0.980725,0.090454,0.089765,0.494682,BASLANGIC
0.187760,0.748616,0.240657,0.021966,0.877929,0.004519,0.907778,0.897264,0.109537,BASLANGIC
0.107958,0.051575,0.993567,0.988188,0.582839,0.978699,0.086424,0.070681,0.389513,BASLANGIC
0.220774,0.847899,0.164512,0.009324,0.866665,0.001833,0.928024,0.926133,0.046312,BASLANGIC
0.157894,0.078135,0.989895,0.975555,0.715557,0.956169,0.106392,0.106221,0.585367,BASLANGIC
0.148215,0.668814,0.272525,0.022678,0.935611,0.004610,0.888359,0.893479,0.119619,BASLANGIC
0.551276,0.259012,0.967556,0.794279,0.880638,0.661444,0.282637,0.255292,0.547042,BASLANGIC
0.144956,0.648725,0.301408,0.069275,0.742908,0.016986,0.940564,0.941272,0.160523,BASLANGIC
0.082004,0.037906,0.995500,0.993431,0.415518,0.988126,0.094275,0.064756,0.356859,BASLANGIC
0.111842,0.505825,0.451754,0.206678,0.950251,0.073399,0.876776,0.882715,0.285264,BASLANGIC
0.268198,0.129586,0.983275,0.948170,0.776113,0.908220,0.158209,0.147960,0.509707,BASLANGIC
0.224838,0.880904,0.122395,0.014755,0.757020,0.003014,0.946045,0.936633,0.143638,BASLANGIC
0.104350,0.048856,0.994108,0.990293,0.502531,0.982479,0.061960,0.042070,0.145382,BASLANGIC
0.162475,0.675372,0.280404,0.049026,0.890054,0.011104,0.956524,0.953866,0.064169,BASLANGIC
0.259371,0.123107,0.984642,0.938916,0.819188,0.892292,0.155466,0.095862,0.116767,BASLANGIC
0.182502,0.827010,0.127287,0.004648,0.845922,0.000924,0.947600,0.946601,0.143482,BASLANGIC
0.241423,0.111366,0.986979,0.950623,0.792311,0.912465,0.157485,0.098292,0.204581,BASLANGIC
0.183268,0.783215,0.176940,0.033875,0.727400,0.007347,0.943993,0.934044,0.054948,BASLANGIC
