@RELATION GLCM_SHAPE

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE shape_area NUMERIC
@ATTRIBUTE shape_perimeter NUMERIC
@ATTRIBUTE shape_circularity NUMERIC
@ATTRIBUTE shape_aspect_ratio NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.062758,0.033791,0.994945,0.994648,0.370084,0.990321,0.004157,0.014622,0.844823,0.380580,BASLANGIC
0.194525,0.842779,0.122320,0.007985,0.840478,0.001597,0.865392,0.405638,0.228520,0.303922,BASLANGIC
0.236724,0.110022,0.986631,0.957382,0.761279,0.924214,0.048710,0.050993,0.813924,0.438244,BASLANGIC
0.217754,0.788799,0.195491,0.013872,0.854604,0.002746,0.802088,0.298353,0.391518,0.322917,BASLANGIC
0.198762,0.096041,0.987455,0.967126,0.738042,0.941280,0.036781,0.043866,0.830539,0.363281,BASLANGIC
0.196594,0.782732,0.186168,0.013866,0.861301,0.002778,0.836880,0.333837,0.326276,0.348315,BASLANGIC
0.103664,0.047382,0.994280,0.989985,0.520752,0.981926,0.009399,0.020862,0.938273,0.308239,BASLANGIC
0.052310,0.026254,0.996194,0.996282,0.226634,0.993271,0.002666,0.011096,0.940762,0.276786,BASLANGIC
0.190309,0.759551,0.216543,0.031402,0.811330,0.006727,0.582034,0.574668,0.076578,0.322917,BASLANGIC
0.134296,0.060299,0.993159,0.984334,0.626920,0.971798,0.016538,0.027103,0.978248,0.274479,BASLANGIC
0.115417,0.538259,0.396934,0.129606,0.877843,0.037918,0.483937,0.497989,0.084789,0.336957,BASLANGIC
0.191244,0.093594,0.987725,0.965369,0.761443,0.938191,0.039402,0.042795,0.934793,0.297230,BASLANGIC
0.144115,0.669678,0.276006,0.030887,0.872730,0.006594,0.886901,0.353131,0.309024,0.322917,BASLANGIC
