@RELATION GLCM_SOFTHIST

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE softhist_bin_0 NUMERIC
@ATTRIBUTE softhist_bin_1 NUMERIC
@ATTRIBUTE softhist_bin_2 NUMERIC
@ATTRIBUTE softhist_bin_3 NUMERIC
@ATTRIBUTE softhist_bin_4 NUMERIC
@ATTRIBUTE softhist_bin_5 NUMERIC
@ATTRIBUTE softhist_bin_6 NUMERIC
@ATTRIBUTE softhist_bin_7 NUMERIC
@ATTRIBUTE softhist_bin_8 NUMERIC
@ATTRIBUTE softhist_bin_9 NUMERIC
@ATTRIBUTE softhist_bin_10 NUMERIC
@ATTRIBUTE softhist_bin_11 NUMERIC
@ATTRIBUTE softhist_bin_12 NUMERIC
@ATTRIBUTE softhist_bin_13 NUMERIC
@ATTRIBUTE softhist_bin_14 NUMERIC
@ATTRIBUTE softhist_bin_15 NUMERIC
@ATTRIBUTE softhist_bin_16 NUMERIC
@ATTRIBUTE softhist_bin_17 NUMERIC
@ATTRIBUTE softhist_bin_18 NUMERIC
@ATTRIBUTE softhist_bin_19 NUMERIC
@ATTRIBUTE softhist_bin_20 NUMERIC
@ATTRIBUTE softhist_bin_21 NUMERIC
@ATTRIBUTE softhist_bin_22 NUMERIC
@ATTRIBUTE softhist_bin_23 NUMERIC
@ATTRIBUTE softhist_bin_24 NUMERIC
@ATTRIBUTE softhist_bin_25 NUMERIC
@ATTRIBUTE softhist_bin_26 NUMERIC
@ATTRIBUTE softhist_bin_27 NUMERIC
@ATTRIBUTE softhist_bin_28 NUMERIC
@ATTRIBUTE softhist_bin_29 NUMERIC
@ATTRIBUTE softhist_bin_30 NUMERIC
@ATTRIBUTE softhist_bin_31 NUMERIC
@ATTRIBUTE softhist_mean NUMERIC
@ATTRIBUTE softhist_std NUMERIC
@ATTRIBUTE softhist_energy NUMERIC
@ATTRIBUTE softhist_entropy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.062758,0.033791,0.994945,0.994648,0.370084,0.990321,1.000000,0.000000,0.000000,0.000123,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000245,0.000000,0.000000,0.000000,0.000061,0.000000,0.000123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000475,0.000000,0.000000,0.000000,0.000000,0.000000,0.003839,0.000217,0.028033,0.000001,0.002735,BASLANGIC
0.194525,0.842779,0.122320,0.007985,0.840478,0.001597,0.000000,0.000000,0.004634,0.087118,0.293791,0.727525,0.662651,0.733086,0.525487,0.461538,0.501390,0.392030,0.590361,0.543095,0.673772,0.924931,1.000000,0.955514,0.921043,0.898054,0.798888,0.922150,0.723896,0.470774,0.497861,0.498108,0.451149,0.450101,0.532632,0.501158,0.356605,0.034156,0.760760,0.698033,0.689296,0.745915,BASLANGIC
0.236724,0.110022,0.986631,0.957382,0.761279,0.924214,1.000000,0.000127,0.000063,0.000000,0.000127,0.000063,0.000000,0.000000,0.000000,0.000063,0.000190,0.000000,0.000000,0.000000,0.000063,0.000000,0.000127,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000300,0.000098,0.000000,0.000135,0.000000,0.000601,0.000000,0.044341,0.002011,0.027683,0.000095,0.013966,BASLANGIC
0.217754,0.788799,0.195491,0.013872,0.854604,0.002746,0.000000,0.028571,0.854187,0.752709,0.527094,0.606897,0.675862,0.699507,0.640394,0.695567,0.593103,0.531034,0.582266,0.533005,0.538916,0.689655,0.694581,0.780296,0.847506,0.913301,0.912315,1.000000,0.625103,0.419774,0.439292,0.407437,0.289567,0.320393,0.377478,0.322459,0.179015,0.006052,0.812111,0.594907,0.725741,0.775739,BASLANGIC
0.198762,0.096041,0.987455,0.967126,0.738042,0.941280,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000063,0.000126,0.000063,0.000000,0.000000,0.000126,0.000063,0.000000,0.000000,0.000000,0.000188,0.000000,0.000064,0.000000,0.000063,0.000063,0.000000,0.000069,0.000000,0.000000,0.000000,0.001209,0.000000,0.000595,0.000671,0.032691,0.001518,0.027683,0.000052,0.011715,BASLANGIC
0.196594,0.782732,0.186168,0.013866,0.861301,0.002778,0.000000,0.039252,0.551402,0.837383,0.619626,0.542991,0.419626,0.614019,0.595327,0.589720,0.540187,0.490654,0.501869,0.504673,0.593458,0.909346,0.820561,1.000000,0.871096,0.923365,0.779439,0.651402,0.553665,0.394060,0.393438,0.440053,0.322753,0.259935,0.309246,0.363515,0.084907,0.019518,0.767610,0.573262,0.659854,0.809531,BASLANGIC
0.103664,0.047382,0.994280,0.989985,0.520752,0.981926,1.000000,0.000000,0.000000,0.000185,0.000000,0.000062,0.000000,0.000123,0.000062,0.000000,0.000000,0.000000,0.000000,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000658,0.009070,0.000429,0.027948,0.000004,0.004411,BASLANGIC
0.052310,0.026254,0.996194,0.996282,0.226634,0.993271,1.000000,0.000000,0.000000,0.000000,0.000000,0.000306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000190,0.000225,0.000000,0.000000,0.000000,0.000000,0.002632,0.000148,0.028065,0.000000,0.001944,BASLANGIC
0.190309,0.759551,0.216543,0.031402,0.811330,0.006727,0.000000,0.022205,0.372720,0.784298,0.682791,0.643933,0.540841,0.657415,0.607454,0.838224,0.944488,1.000000,0.945282,0.984140,0.900872,0.671689,0.448850,0.267248,0.166931,0.152260,0.141158,0.189532,0.281119,0.225548,0.211592,0.189156,0.103428,0.123855,0.052481,0.067709,0.122902,0.032149,0.637774,0.816043,0.581920,0.683175,BASLANGIC
0.134296,0.060299,0.993159,0.984334,0.626920,0.971798,1.000000,0.000000,0.000000,0.000000,0.000000,0.000124,0.000000,0.000000,0.000000,0.000000,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000062,0.000000,0.000000,0.000000,0.000000,0.000074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000431,0.000000,0.000330,0.015266,0.000693,0.027860,0.000011,0.006237,BASLANGIC
0.115417,0.538259,0.396934,0.129606,0.877843,0.037918,0.001435,0.250287,1.000000,0.524397,0.298220,0.231630,0.218714,0.216418,0.221010,0.202067,0.185132,0.215844,0.186854,0.171068,0.158152,0.129162,0.101607,0.075201,0.077848,0.067451,0.049369,0.053387,0.043114,0.013659,0.015317,0.005335,0.006854,0.000000,0.000000,0.000000,0.000000,0.000000,0.198585,0.116861,0.064521,0.623249,BASLANGIC
0.191244,0.093594,0.987725,0.965369,0.761443,0.938191,1.000000,0.000000,0.000000,0.000063,0.000000,0.000063,0.000000,0.000000,0.000063,0.000000,0.000000,0.000000,0.000189,0.000000,0.000000,0.000377,0.000000,0.000126,0.000000,0.000063,0.000000,0.000000,0.000000,0.000070,0.000000,0.000000,0.000462,0.000000,0.000876,0.000895,0.000000,0.034832,0.001612,0.027676,0.000059,0.012187,BASLANGIC
0.144115,0.669678,0.276006,0.030887,0.872730,0.006594,0.000000,0.000000,0.028597,0.598749,0.866845,0.860590,0.734584,0.582663,0.555853,0.447721,0.424486,0.511171,0.645219,0.767650,0.970509,0.898123,0.810545,1.000000,0.814863,0.654155,0.638963,0.580876,0.492909,0.359002,0.235263,0.200703,0.162518,0.145308,0.096493,0.033912,0.028655,0.000000,0.731648,0.767377,0.675158,0.665131,BASLANGIC
0.093553,0.042466,0.995169,0.991906,0.475468,0.985379,1.000000,0.000000,0.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,0.000000,0.000061,0.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000583,0.000000,0.007395,0.000343,0.027983,0.000003,0.003613,BASLANGIC
0.123677,0.608466,0.316975,0.038552,0.887595,0.008459,0.000000,0.002899,0.181159,0.540580,0.794203,0.607246,0.401449,0.321739,0.386957,0.394928,0.329710,0.508696,0.502899,0.723188,0.810870,0.847101,0.865942,1.000000,0.690082,0.513044,0.344203,0.280435,0.183733,0.242186,0.179597,0.160499,0.142430,0.080618,0.153963,0.168426,0.042598,0.004451,0.583128,0.592705,0.452489,0.784513,BASLANGIC
0.125200,0.057910,0.992930,0.985643,0.606140,0.974140,1.000000,0.000062,0.000000,0.000124,0.000124,0.000000,0.000124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000113,0.000000,0.000000,0.000000,0.000000,0.013503,0.000629,0.027878,0.000009,0.005922,BASLANGIC
0.162969,0.525527,0.495961,0.396371,0.894621,0.201838,1.000000,0.061688,0.054600,0.068513,0.072582,0.064050,0.037406,0.040688,0.047119,0.062082,0.071663,0.074157,0.071007,0.064575,0.047644,0.044100,0.025988,0.042919,0.026964,0.028744,0.029794,0.029400,0.025393,0.026000,0.021168,0.009555,0.006751,0.011232,0.014172,0.008716,0.008417,0.000000,0.061701,0.006190,0.004468,0.367135,BASLANGIC
0.401007,0.182956,0.978690,0.877232,0.860029,0.789682,1.000000,0.000137,0.000137,0.000069,0.000000,0.000069,0.000069,0.000000,0.000069,0.000000,0.000206,0.000000,0.000000,0.000000,0.000000,0.000069,0.000000,0.000069,0.000070,0.000069,0.000069,0.000137,0.000000,0.000076,0.000326,0.000106,0.000126,0.000000,0.000718,0.000000,0.000367,0.151923,0.006740,0.031022,0.001115,0.029152,BASLANGIC
0.212201,0.827502,0.155861,0.013470,0.856066,0.002649,1.000000,0.181724,0.273105,0.336449,0.467290,0.619938,0.641745,0.714434,0.760125,0.703011,0.597092,0.755971,0.865005,0.930426,0.796469,0.860852,0.820353,0.981308,0.706208,0.560748,0.504673,0.287643,0.396812,0.355102,0.252441,0.228390,0.085838,0.044433,0.000000,0.078811,0.099890,0.181145,0.784006,0.685595,0.715753,0.752522,BASLANGIC
0.334247,0.158113,0.980819,0.906105,0.848055,0.836942,1.000000,0.000067,0.000000,0.000133,0.000000,0.000000,0.000067,0.000000,0.000067,0.000000,0.000067,0.000000,0.000333,0.000067,0.000067,0.000000,0.000533,0.000000,0.000000,0.000000,0.000000,0.000067,0.000160,0.000147,0.000079,0.000000,0.000000,0.000285,0.000000,0.000316,0.000356,0.109381,0.004886,0.028956,0.000578,0.024590,BASLANGIC
0.241263,0.892955,0.126131,0.027283,0.642530,0.005888,0.011019,0.005510,0.002066,0.000689,0.002066,0.005510,0.017906,0.124656,0.334022,0.572314,0.460055,0.481405,0.498623,0.742424,0.913223,1.000000,0.991047,0.993802,0.683045,0.689394,0.610882,0.473141,0.568557,0.407763,0.321782,0.228277,0.275794,0.215125,0.225489,0.071870,0.000000,0.000000,0.546825,0.777581,0.475669,0.613843,BASLANGIC
0.082430,0.039152,0.995063,0.993465,0.389414,0.988187,1.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,0.000123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000062,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000190,0.000000,0.000000,0.000214,0.000000,0.000000,0.005501,0.000270,0.028012,0.000001,0.003100,BASLANGIC
0.244414,0.873283,0.159846,0.047784,0.609261,0.011069,0.000000,0.000000,0.020496,0.067961,0.350054,0.636462,1.000000,0.721143,0.727616,0.759978,0.865156,0.761597,0.619202,0.420173,0.364078,0.271845,0.221143,0.245415,0.200876,0.111650,0.146710,0.132686,0.131574,0.044768,0.026224,0.027569,0.007926,0.002308,0.000000,0.000000,0.000000,0.000000,0.420331,0.647775,0.325950,0.596984,BASLANGIC
0.104378,0.047163,0.994716,0.990364,0.511946,0.982606,1.000000,0.000062,0.000000,0.000000,0.000000,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000062,0.000123,0.000074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008991,0.000412,0.027956,0.000004,0.004163,BASLANGIC
0.161059,0.628845,0.341485,0.061207,0.827762,0.014501,1.000000,0.406879,0.680078,0.770928,0.617781,0.538611,0.661259,0.624919,0.709280,0.622323,0.571058,0.750811,0.551590,0.412070,0.398443,0.284880,0.195977,0.164179,0.169437,0.147956,0.116807,0.097339,0.057705,0.061043,0.031551,0.008041,0.007152,0.005553,0.000000,0.000000,0.000000,0.000000,0.516600,0.599712,0.390960,0.702332,BASLANGIC
