@RELATION GLCM_STAT

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE stat_skew NUMERIC
@ATTRIBUTE stat_kurtosis NUMERIC
@ATTRIBUTE stat_mean NUMERIC
@ATTRIBUTE stat_std NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.062758,0.033791,0.994945,0.994648,0.370084,0.990321,0.705119,0.492162,0.005458,0.117702,BASLANGIC
0.194525,0.842779,0.122320,0.007985,0.840478,0.001597,0.014123,0.002039,0.752075,0.403643,BASLANGIC
0.236724,0.110022,0.986631,0.957382,0.761279,0.924214,0.225641,0.045090,0.053666,0.371145,BASLANGIC
0.217754,0.788799,0.195491,0.013872,0.854604,0.002746,0.015645,0.001568,0.665304,0.446789,BASLANGIC
0.198762,0.096041,0.987455,0.967126,0.738042,0.941280,0.259448,0.060874,0.040819,0.324462,BASLANGIC
0.196594,0.782732,0.186168,0.013866,0.861301,0.002778,0.013604,0.001792,0.673767,0.434815,BASLANGIC
0.103664,0.047382,0.994280,0.989985,0.520752,0.981926,0.492152,0.232909,0.011420,0.173320,BASLANGIC
0.052310,0.026254,0.996194,0.996282,0.226634,0.993271,0.862169,0.739284,0.003662,0.096928,BASLANGIC
0.190309,0.759551,0.216543,0.031402,0.811330,0.006727,0.042689,0.003919,0.551109,0.368748,BASLANGIC
0.134296,0.060299,0.993159,0.984334,0.626920,0.971798,0.381294,0.136972,0.019010,0.223576,BASLANGIC
0.115417,0.538259,0.396934,0.129606,0.877843,0.037918,0.051193,0.003069,0.370814,0.356607,BASLANGIC
0.191244,0.093594,0.987725,0.965369,0.761443,0.938191,0.252009,0.057219,0.043237,0.333607,BASLANGIC
0.144115,0.669678,0.276006,0.030887,0.872730,0.006594,0.015740,0.001735,0.646394,0.390081,BASLANGIC
0.093553,0.042466,0.995169,0.991906,0.475468,0.985379,0.540522,0.282712,0.009392,0.157349,BASLANGIC
0.123677,0.608466,0.316975,0.038552,0.887595,0.008459,0.015523,0.002249,0.636087,0.385281,BASLANGIC
0.125200,0.057910,0.992930,0.985643,0.606140,0.974140,0.405378,0.155781,0.016831,0.210050,BASLANGIC
0.162969,0.525527,0.495961,0.396371,0.894621,0.201838,0.058373,0.003345,0.288797,0.462527,BASLANGIC
0.401007,0.182956,0.978690,0.877232,0.860029,0.789682,0.119384,0.010909,0.167785,0.631235,BASLANGIC
0.212201,0.827502,0.155861,0.013470,0.856066,0.002649,0.022780,0.002822,0.607588,0.445899,BASLANGIC
0.334247,0.158113,0.980819,0.906105,0.848055,0.836942,0.142485,0.016374,0.125048,0.552970,BASLANGIC
0.241263,0.892955,0.126131,0.027283,0.642530,0.005888,0.021532,0.003000,0.785495,0.300922,BASLANGIC
0.082430,0.039152,0.995063,0.993465,0.389414,0.988187,0.617990,0.373136,0.007168,0.136825,BASLANGIC
0.244414,0.873283,0.159846,0.047784,0.609261,0.011069,0.049972,0.003832,0.511186,0.286760,BASLANGIC
