@RELATION LCP

@ATTRIBUTE lcp_mean NUMERIC
@ATTRIBUTE lcp_std NUMERIC
@ATTRIBUTE lcp_energy NUMERIC
@ATTRIBUTE lcp_entropy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.036484,0.266964,0.067141,0.002185,BASLANGIC
0.846186,0.321583,0.267353,0.889644,BASLANGIC
0.120745,0.496212,0.234336,0.002895,BASLANGIC
0.794290,0.381648,0.286699,0.820982,BASLANGIC
0.102429,0.454190,0.195917,0.003540,BASLANGIC
0.782783,0.346275,0.258238,0.830585,BASLANGIC
0.051589,0.326648,0.100676,0.001166,BASLANGIC
0.030476,0.247786,0.057789,0.001225,BASLANGIC
0.759722,0.347298,0.250438,0.809901,BASLANGIC
0.065756,0.369825,0.129268,0.000976,BASLANGIC
0.541127,0.299374,0.153714,0.639490,BASLANGIC
0.101059,0.450048,0.192338,0.003810,BASLANGIC
0.676847,0.309168,0.198638,0.757036,BASLANGIC
0.047262,0.313421,0.092637,0.000783,BASLANGIC
0.610805,0.275728,0.160063,0.721720,BASLANGIC
0.061646,0.355845,0.119631,0.001511,BASLANGIC
0.551750,0.405598,0.226690,0.535881,BASLANGIC
0.203431,0.643188,0.397731,0.003834,BASLANGIC
0.850982,0.389670,0.314696,0.854122,BASLANGIC
0.169546,0.584355,0.327009,0.004716,BASLANGIC
0.882768,0.358979,0.306266,0.896241,BASLANGIC
0.042628,0.295340,0.082217,0.001171,BASLANGIC
0.861982,0.371057,0.305903,0.870556,BASLANGIC
0.049317,0.319979,0.096578,0.000840,BASLANGIC
0.637555,0.355497,0.215221,0.697439,BASLANGIC
0.228090,0.679097,0.444783,0.004699,BASLANGIC
0.870405,0.388955,0.322130,0.876213,BASLANGIC
0.068012,0.374363,0.132506,0.001544,BASLANGIC
0.721184,0.364369,0.248248,0.771819,BASLANGIC
0.057077,0.340735,0.109633,0.001714,BASLANGIC
0.747518,0.348945,0.247136,0.791774,BASLANGIC
0.054724,0.333155,0.104781,0.001794,BASLANGIC
0.853916,0.368606,0.300910,0.860895,BASLANGIC
0.083403,0.408116,0.157824,0.003378,BASLANGIC
0.697899,0.353509,0.233076,0.753521,BASLANGIC
0.279179,0.745004,0.538954,0.007975,BASLANGIC
0.645980,0.306740,0.187519,0.730619,BASLANGIC
0.041097,0.291136,0.079875,0.000944,BASLANGIC
0.513691,0.303421,0.149114,0.602803,BASLANGIC
0.137595,0.525039,0.262975,0.004931,BASLANGIC
0.880310,0.353321,0.301456,0.893987,BASLANGIC
0.051952,0.325903,0.100229,0.001495,BASLANGIC
0.695335,0.331788,0.218269,0.762890,BASLANGIC
0.137676,0.528097,0.266000,0.003713,BASLANGIC
0.841615,0.311351,0.259445,0.890056,BASLANGIC
0.123292,0.502275,0.240160,0.002603,BASLANGIC
0.793682,0.318132,0.244795,0.852168,BASLANGIC
0.088117,0.421945,0.168779,0.002934,BASLANGIC
0.821475,0.330839,0.263209,0.868310,BASLANGIC
0.048954,0.317919,0.095337,0.001079,BASLANGIC
0.043779,0.297848,0.083635,0.001546,BASLANGIC
0.804397,0.354195,0.271603,0.827837,BASLANGIC
0.219072,0.657385,0.416616,0.008323,BASLANGIC
0.898869,0.385567,0.331653,0.891437,BASLANGIC
0.069865,0.379549,0.136233,0.001427,BASLANGIC
0.871408,0.350481,0.295871,0.892285,BASLANGIC
0.102743,0.460721,0.201534,0.001655,BASLANGIC
0.691751,0.347334,0.226985,0.717929,BASLANGIC
0.041089,0.290358,0.079450,0.001219,BASLANGIC
0.681156,0.322938,0.208192,0.737301,BASLANGIC
0.069865,0.380144,0.136656,0.001401,BASLANGIC
0.827708,0.330022,0.265148,0.865459,BASLANGIC
0.045884,0.304737,0.087572,0.001732,BASLANGIC
0.594157,0.262541,0.148634,0.710741,BASLANGIC
0.243300,0.699133,0.472381,0.005888,BASLANGIC
0.783492,0.345252,0.257839,0.819278,BASLANGIC
0.145766,0.541365,0.279849,0.004978,BASLANGIC
0.807699,0.438101,0.335201,0.803660,BASLANGIC
0.146326,0.540528,0.279040,0.005417,BASLANGIC
0.821807,0.332706,0.264500,0.855337,BASLANGIC
0.061646,0.357627,0.120823,0.001061,BASLANGIC
0.695443,0.352470,0.231573,0.738303,BASLANGIC
0.184309,0.606324,0.352779,0.006340,BASLANGIC
0.417288,0.239655,0.095288,0.523799,BASLANGIC
0.078085,0.402337,0.153228,0.001303,BASLANGIC
0.635975,0.351464,0.212068,0.679138,BASLANGIC
0.087747,0.422803,0.169443,0.002410,BASLANGIC
0.889839,0.380244,0.323988,0.874857,BASLANGIC
0.096401,0.439478,0.183304,0.003697,BASLANGIC
0.742012,0.340049,0.239438,0.792070,BASLANGIC
0.092469,0.435040,0.179488,0.002163,BASLANGIC
0.700107,0.332375,0.220219,0.755826,BASLANGIC
0.191102,0.621277,0.370597,0.004743,BASLANGIC
0.599330,0.256160,0.147000,0.715159,BASLANGIC
0.162334,0.571378,0.312378,0.005056,BASLANGIC
0.707634,0.324614,0.217959,0.773040,BASLANGIC
0.055481,0.336456,0.106873,0.001637,BASLANGIC
0.754335,0.310405,0.225746,0.826073,BASLANGIC
0.069615,0.371995,0.130901,0.003155,BASLANGIC
0.908903,0.415346,0.358333,0.876568,BASLANGIC
0.159860,0.569249,0.309911,0.003959,BASLANGIC
0.917636,0.397052,0.348194,0.888577,BASLANGIC
0.053491,0.331271,0.103576,0.001424,BASLANGIC
0.556873,0.265946,0.140109,0.681875,BASLANGIC
0.043152,0.296924,0.083107,0.001316,BASLANGIC
0.662050,0.321100,0.200974,0.728855,BASLANGIC
0.158224,0.569196,0.309731,0.002778,BASLANGIC
0.722419,0.421673,0.290906,0.720886,BASLANGIC
0.335337,0.813454,0.647187,0.009669,BASLANGIC
0.930018,0.374782,0.337521,0.912843,BASLANGIC
0.096578,0.448223,0.190590,0.001094,BASLANGIC
0.625691,0.309728,0.183107,0.707387,BASLANGIC
0.056078,0.333755,0.105192,0.002573,BASLANGIC
0.733986,0.438901,0.308816,0.728174,BASLANGIC
0.063386,0.356478,0.120106,0.002663,BASLANGIC
0.623777,0.326601,0.192605,0.678439,BASLANGIC
0.078085,0.401124,0.152314,0.001524,BASLANGIC
0.755617,0.415255,0.297546,0.749433,BASLANGIC
0.156169,0.563466,0.303492,0.003621,BASLANGIC
0.044659,0.304636,0.087488,0.000688,BASLANGIC
0.797945,0.317182,0.245843,0.847974,BASLANGIC
0.078085,0.403910,0.154417,0.000785,BASLANGIC
0.621281,0.284167,0.167565,0.720729,BASLANGIC
0.156169,0.567462,0.307729,0.001968,BASLANGIC
0.692103,0.339473,0.222039,0.742067,BASLANGIC
0.069865,0.378297,0.135343,0.001780,BASLANGIC
0.765552,0.356096,0.258357,0.804401,BASLANGIC
0.111768,0.474356,0.213949,0.003762,BASLANGIC
0.034634,0.265627,0.066442,0.001083,BASLANGIC
0.639162,0.337517,0.204026,0.711866,BASLANGIC
0.137829,0.528400,0.266309,0.003990,BASLANGIC
0.579011,0.349709,0.194445,0.646687,BASLANGIC
0.044409,0.301890,0.085921,0.001080,BASLANGIC
0.627494,0.243344,0.149220,0.754124,BASLANGIC
0.122309,0.493954,0.232330,0.004671,BASLANGIC
0.582843,0.250704,0.139769,0.706963,BASLANGIC
0.291790,0.762483,0.565373,0.007554,BASLANGIC
0.558572,0.248565,0.132175,0.687966,BASLANGIC
0.059962,0.350740,0.116200,0.001634,BASLANGIC
0.530611,0.251174,0.126151,0.660211,BASLANGIC
0.410988,0.896239,0.793332,0.011654,BASLANGIC
0.750270,0.337591,0.240809,0.799950,BASLANGIC
0.122309,0.496381,0.234583,0.003935,BASLANGIC
0.788821,0.370470,0.276755,0.810189,BASLANGIC
0.099020,0.440868,0.184573,0.005081,BASLANGIC
0.776657,0.343646,0.254264,0.820224,BASLANGIC
0.252498,0.709467,0.487116,0.007461,BASLANGIC
0.793442,0.388385,0.291243,0.799333,BASLANGIC
0.262660,0.724583,0.508686,0.006711,BASLANGIC
0.587910,0.271799,0.151515,0.696227,BASLANGIC
0.059591,0.352471,0.117331,0.000795,BASLANGIC
0.617026,0.304780,0.177693,0.708315,BASLANGIC
0.062744,0.356931,0.120389,0.002166,BASLANGIC
0.603762,0.292076,0.166731,0.701937,BASLANGIC
0.056376,0.336629,0.107007,0.002452,BASLANGIC
0.818723,0.358909,0.280288,0.837603,BASLANGIC
0.168281,0.582220,0.324573,0.004929,BASLANGIC
0.677880,0.299412,0.193404,0.760677,BASLANGIC
0.280412,0.737568,0.528782,0.012780,BASLANGIC
0.685129,0.324731,0.210572,0.752141,BASLANGIC
0.053160,0.322362,0.098107,0.003089,BASLANGIC
0.956233,0.356311,0.336627,0.947689,BASLANGIC
0.113017,0.480921,0.219897,0.002489,BASLANGIC
0.836058,0.356467,0.285477,0.861034,BASLANGIC
0.076030,0.397534,0.149550,0.001058,BASLANGIC
0.531790,0.299944,0.151650,0.584369,BASLANGIC
0.101736,0.451798,0.193851,0.003633,BASLANGIC
0.839457,0.378463,0.301989,0.849499,BASLANGIC
0.065756,0.368813,0.128566,0.001192,BASLANGIC
0.573570,0.227043,0.126619,0.711139,BASLANGIC
0.129456,0.513075,0.250812,0.003189,BASLANGIC
0.675975,0.386800,0.249016,0.701776,BASLANGIC
0.285497,0.745413,0.540374,0.011981,BASLANGIC
0.811211,0.312821,0.248347,0.865138,BASLANGIC
0.073596,0.391238,0.144807,0.000988,BASLANGIC
0.530634,0.283352,0.142284,0.626734,BASLANGIC
0.128667,0.509370,0.247212,0.004017,BASLANGIC
0.794391,0.375398,0.282300,0.803554,BASLANGIC
0.055586,0.337424,0.107488,0.001580,BASLANGIC
0.052524,0.326630,0.100688,0.001731,BASLANGIC
0.745141,0.422780,0.299718,0.731014,BASLANGIC
0.212916,0.654638,0.412605,0.005271,BASLANGIC
0.712305,0.297416,0.203675,0.789523,BASLANGIC
0.189281,0.617972,0.366592,0.004856,BASLANGIC
0.826014,0.322840,0.260085,0.869598,BASLANGIC
0.051372,0.326542,0.100606,0.000876,BASLANGIC
0.831419,0.354852,0.282558,0.854079,BASLANGIC
0.094725,0.438023,0.182030,0.002914,BASLANGIC
0.751976,0.373274,0.265202,0.771971,BASLANGIC
0.162334,0.578228,0.319761,0.002115,BASLANGIC
0.841709,0.369088,0.296318,0.856856,BASLANGIC
0.073975,0.390578,0.144337,0.001490,BASLANGIC
0.662304,0.314338,0.197026,0.742294,BASLANGIC
0.051372,0.326585,0.100632,0.000906,BASLANGIC
0.565232,0.279721,0.149389,0.665329,BASLANGIC
0.047052,0.309695,0.090454,0.001460,BASLANGIC
0.792399,0.338900,0.257104,0.844788,BASLANGIC
0.137676,0.531692,0.269571,0.002359,BASLANGIC
0.071138,0.380033,0.136620,0.002176,BASLANGIC
0.694033,0.337524,0.221438,0.749598,BASLANGIC
0.106853,0.468135,0.208196,0.002385,BASLANGIC
0.061646,0.357596,0.120802,0.001029,BASLANGIC
0.585448,0.224166,0.128677,0.726874,BASLANGIC
0.096087,0.441846,0.185246,0.002691,BASLANGIC
0.759740,0.352387,0.253784,0.797707,BASLANGIC
0.065756,0.368429,0.128301,0.001435,BASLANGIC
0.678070,0.299393,0.193455,0.764608,BASLANGIC
0.228090,0.680416,0.446465,0.004147,BASLANGIC
0.739033,0.350066,0.244869,0.791257,BASLANGIC
0.249025,0.699631,0.473705,0.009786,BASLANGIC
0.847191,0.414804,0.332122,0.831795,BASLANGIC
0.135621,0.526774,0.264557,0.002782,BASLANGIC
0.287483,0.760670,0.562191,0.005240,BASLANGIC
0.759712,0.336706,0.243642,0.807232,BASLANGIC
0.123292,0.496544,0.234792,0.004551,BASLANGIC
0.564077,0.290116,0.154632,0.662709,BASLANGIC
0.135742,0.517454,0.255440,0.006071,BASLANGIC
0.086304,0.419274,0.166597,0.002438,BASLANGIC
0.736104,0.315536,0.222292,0.806572,BASLANGIC
0.072903,0.382098,0.138156,0.003177,BASLANGIC
0.611095,0.288022,0.166646,0.716101,BASLANGIC
0.131511,0.515870,0.253636,0.003701,BASLANGIC
0.781627,0.344087,0.256391,0.822244,BASLANGIC
0.202053,0.632666,0.385012,0.007424,BASLANGIC
0.834924,0.344949,0.277450,0.867224,BASLANGIC
0.055481,0.335092,0.106014,0.001890,BASLANGIC
0.753719,0.324305,0.233798,0.813325,BASLANGIC
0.079511,0.404504,0.154921,0.001621,BASLANGIC
0.667360,0.317918,0.200748,0.738478,BASLANGIC
0.083927,0.417378,0.165013,0.001137,BASLANGIC
0.675676,0.301570,0.193910,0.745690,BASLANGIC
0.086304,0.421218,0.168129,0.001791,BASLANGIC
0.591228,0.235994,0.135399,0.727393,BASLANGIC
0.114282,0.483032,0.221873,0.002652,BASLANGIC
0.732266,0.374879,0.259366,0.760259,BASLANGIC
0.195341,0.629438,0.380557,0.004351,BASLANGIC
0.524435,0.317948,0.160232,0.610124,BASLANGIC
0.228920,0.668554,0.431552,0.010391,BASLANGIC
