@RELATION SINGLE_GLCM_ASM

@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.990321,BASLANGIC
0.001597,BASLANGIC
0.924214,BASLANGIC
0.002746,BASLANGIC
0.941280,BASLANGIC
0.002778,BASLANGIC
0.981926,BASLANGIC
0.993271,BASLANGIC
0.006727,BASLANGIC
0.971798,BASLANGIC
0.037918,BASLANGIC
0.938191,BASLANGIC
0.006594,BASLANGIC
0.985379,BASLANGIC
0.008459,BASLANGIC
0.974140,BASLANGIC
0.201838,BASLANGIC
0.789682,BASLANGIC
0.002649,BASLANGIC
0.836942,BASLANGIC
0.005888,BASLANGIC
0.988187,BASLANGIC
0.011069,BASLANGIC
0.982606,BASLANGIC
0.014501,BASLANGIC
0.750456,BASLANGIC
0.011514,BASLANGIC
0.972765,BASLANGIC
0.017214,BASLANGIC
0.980725,BASLANGIC
0.004519,BASLANGIC
0.978699,BASLANGIC
0.001833,BASLANGIC
0.956169,BASLANGIC
0.004610,BASLANGIC
0.661444,BASLANGIC
0.016986,BASLANGIC
0.988126,BASLANGIC
0.073399,BASLANGIC
0.908220,BASLANGIC
0.003014,BASLANGIC
0.982479,BASLANGIC
0.011104,BASLANGIC
0.892292,BASLANGIC
0.000924,BASLANGIC
0.912465,BASLANGIC
0.007347,BASLANGIC
0.953172,BASLANGIC
0.001926,BASLANGIC
0.982881,BASLANGIC
0.986148,BASLANGIC
0.014018,BASLANGIC
0.759396,BASLANGIC
0.001868,BASLANGIC
0.966023,BASLANGIC
0.008380,BASLANGIC
0.932721,BASLANGIC
0.064142,BASLANGIC
0.987042,BASLANGIC
0.026499,BASLANGIC
0.967807,BASLANGIC
0.002950,BASLANGIC
0.984942,BASLANGIC
0.024151,BASLANGIC
0.770932,BASLANGIC
0.006644,BASLANGIC
0.877840,BASLANGIC
0.005094,BASLANGIC
0.890041,BASLANGIC
0.007253,BASLANGIC
0.974512,BASLANGIC
0.021584,BASLANGIC
0.801241,BASLANGIC
0.091494,BASLANGIC
0.962147,BASLANGIC
0.045472,BASLANGIC
0.950523,BASLANGIC
0.005170,BASLANGIC
0.949602,BASLANGIC
0.015792,BASLANGIC
0.949244,BASLANGIC
0.016113,BASLANGIC
0.824803,BASLANGIC
0.013755,BASLANGIC
0.867032,BASLANGIC
0.011071,BASLANGIC
0.979774,BASLANGIC
0.004476,BASLANGIC
0.969405,BASLANGIC
0.002885,BASLANGIC
0.860101,BASLANGIC
0.001672,BASLANGIC
0.978824,BASLANGIC
0.008994,BASLANGIC
0.987321,BASLANGIC
0.031861,BASLANGIC
0.854986,BASLANGIC
0.019929,BASLANGIC
0.540049,BASLANGIC
0.002149,BASLANGIC
0.939789,BASLANGIC
0.021012,BASLANGIC
0.978633,BASLANGIC
0.016078,BASLANGIC
0.975745,BASLANGIC
0.057315,BASLANGIC
0.960378,BASLANGIC
0.017139,BASLANGIC
0.865790,BASLANGIC
0.986830,BASLANGIC
0.003310,BASLANGIC
0.958517,BASLANGIC
0.018945,BASLANGIC
0.877950,BASLANGIC
0.030128,BASLANGIC
0.968929,BASLANGIC
0.009430,BASLANGIC
0.928929,BASLANGIC
0.991471,BASLANGIC
0.012603,BASLANGIC
0.891395,BASLANGIC
0.054164,BASLANGIC
0.986921,BASLANGIC
0.007687,BASLANGIC
0.909305,BASLANGIC
0.008028,BASLANGIC
0.640129,BASLANGIC
0.013933,BASLANGIC
0.977012,BASLANGIC
0.015434,BASLANGIC
0.478593,BASLANGIC
0.007622,BASLANGIC
0.911041,BASLANGIC
0.015562,BASLANGIC
0.932175,BASLANGIC
0.005931,BASLANGIC
0.681169,BASLANGIC
0.012470,BASLANGIC
0.664056,BASLANGIC
0.018317,BASLANGIC
0.979348,BASLANGIC
0.022715,BASLANGIC
0.976275,BASLANGIC
0.022763,BASLANGIC
0.978663,BASLANGIC
0.007554,BASLANGIC
0.841355,BASLANGIC
0.005930,BASLANGIC
0.617280,BASLANGIC
0.011416,BASLANGIC
0.980289,BASLANGIC
0.002288,BASLANGIC
0.924209,BASLANGIC
0.010591,BASLANGIC
0.961559,BASLANGIC
0.174541,BASLANGIC
0.935843,BASLANGIC
0.003739,BASLANGIC
0.970975,BASLANGIC
0.021366,BASLANGIC
0.900488,BASLANGIC
0.024271,BASLANGIC
0.624579,BASLANGIC
0.003978,BASLANGIC
0.966088,BASLANGIC
0.046343,BASLANGIC
0.898835,BASLANGIC
0.016527,BASLANGIC
0.977810,BASLANGIC
0.982169,BASLANGIC
0.018917,BASLANGIC
0.797231,BASLANGIC
0.010312,BASLANGIC
0.794394,BASLANGIC
0.003074,BASLANGIC
0.983805,BASLANGIC
0.005121,BASLANGIC
0.954353,BASLANGIC
0.025043,BASLANGIC
0.843123,BASLANGIC
0.004474,BASLANGIC
0.964933,BASLANGIC
0.010308,BASLANGIC
0.982606,BASLANGIC
0.025003,BASLANGIC
0.985405,BASLANGIC
0.001370,BASLANGIC
0.896809,BASLANGIC
0.968895,BASLANGIC
0.015524,BASLANGIC
0.942042,BASLANGIC
0.975339,BASLANGIC
0.009863,BASLANGIC
0.949530,BASLANGIC
0.011161,BASLANGIC
0.969933,BASLANGIC
0.008775,BASLANGIC
0.746973,BASLANGIC
0.007350,BASLANGIC
0.693951,BASLANGIC
0.003861,BASLANGIC
0.896265,BASLANGIC
0.589239,BASLANGIC
0.007288,BASLANGIC
0.910307,BASLANGIC
0.032767,BASLANGIC
0.902107,BASLANGIC
0.957013,BASLANGIC
0.005314,BASLANGIC
0.964824,BASLANGIC
0.018681,BASLANGIC
0.898607,BASLANGIC
0.004495,BASLANGIC
0.788243,BASLANGIC
0.002646,BASLANGIC
0.979465,BASLANGIC
0.004037,BASLANGIC
0.961790,BASLANGIC
0.015261,BASLANGIC
0.956292,BASLANGIC
0.025554,BASLANGIC
0.953887,BASLANGIC
0.010378,BASLANGIC
0.933411,BASLANGIC
0.014864,BASLANGIC
0.794385,BASLANGIC
0.057217,BASLANGIC
0.733160,BASLANGIC
0.040542,BASLANGIC
0.964365,BASLANGIC
0.020370,BASLANGIC
0.972223,BASLANGIC
0.009858,BASLANGIC
0.918975,BASLANGIC
0.010459,BASLANGIC
0.895968,BASLANGIC
0.004316,BASLANGIC
0.963008,BASLANGIC
0.009951,BASLANGIC
0.972804,BASLANGIC
0.007802,BASLANGIC
0.947060,BASLANGIC
0.017930,BASLANGIC
0.962624,BASLANGIC
0.008832,BASLANGIC
0.973895,BASLANGIC
0.048077,BASLANGIC
0.991504,BASLANGIC
0.022772,BASLANGIC
0.908074,BASLANGIC
0.009353,BASLANGIC
0.931631,BASLANGIC
0.012448,NORMAL
1.000000,NORMAL
0.027194,NORMAL
1.000000,NORMAL
0.005654,NORMAL
1.000000,NORMAL
0.000497,NORMAL
1.000000,NORMAL
0.001656,NORMAL
1.000000,NORMAL
0.003731,NORMAL
1.000000,NORMAL
0.047069,NORMAL
1.000000,NORMAL
0.191322,NORMAL
1.000000,NORMAL
0.204798,NORMAL
1.000000,NORMAL
0.004468,NORMAL
1.000000,NORMAL
0.002390,NORMAL
1.000000,NORMAL
0.000490,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.011741,NORMAL
1.000000,NORMAL
0.003181,NORMAL
1.000000,NORMAL
0.023079,NORMAL
1.000000,NORMAL
0.087398,NORMAL
1.000000,NORMAL
0.013616,NORMAL
1.000000,NORMAL
0.011587,NORMAL
1.000000,NORMAL
0.065326,NORMAL
1.000000,NORMAL
0.009845,NORMAL
1.000000,NORMAL
0.001432,NORMAL
1.000000,NORMAL
0.013928,NORMAL
1.000000,NORMAL
0.003034,NORMAL
1.000000,NORMAL
0.020247,NORMAL
1.000000,NORMAL
0.025936,NORMAL
1.000000,NORMAL
0.019809,NORMAL
1.000000,NORMAL
0.042109,NORMAL
1.000000,NORMAL
0.033249,NORMAL
