@RELATION SINGLE_GLCM_CONTRAST

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.062758,BASLANGIC
0.194525,BASLANGIC
0.236724,BASLANGIC
0.217754,BASLANGIC
0.198762,BASLANGIC
0.196594,BASLANGIC
0.103664,BASLANGIC
0.052310,BASLANGIC
0.190309,BASLANGIC
0.134296,BASLANGIC
0.115417,BASLANGIC
0.191244,BASLANGIC
0.144115,BASLANGIC
0.093553,BASLANGIC
0.123677,BASLANGIC
0.125200,BASLANGIC
0.162969,BASLANGIC
0.401007,BASLANGIC
0.212201,BASLANGIC
0.334247,BASLANGIC
0.241263,BASLANGIC
0.082430,BASLANGIC
0.244414,BASLANGIC
0.104378,BASLANGIC
0.161059,BASLANGIC
0.457343,BASLANGIC
0.263460,BASLANGIC
0.134877,BASLANGIC
0.215528,BASLANGIC
0.104429,BASLANGIC
0.187760,BASLANGIC
0.107958,BASLANGIC
0.220774,BASLANGIC
0.157894,BASLANGIC
0.148215,BASLANGIC
0.551276,BASLANGIC
0.144956,BASLANGIC
0.082004,BASLANGIC
0.111842,BASLANGIC
0.268198,BASLANGIC
0.224838,BASLANGIC
0.104350,BASLANGIC
0.162475,BASLANGIC
0.259371,BASLANGIC
0.182502,BASLANGIC
0.241423,BASLANGIC
0.183268,BASLANGIC
0.168115,BASLANGIC
0.190391,BASLANGIC
0.099400,BASLANGIC
0.083325,BASLANGIC
0.197023,BASLANGIC
0.405403,BASLANGIC
0.249950,BASLANGIC
0.147404,BASLANGIC
0.244424,BASLANGIC
0.215666,BASLANGIC
0.173095,BASLANGIC
0.086612,BASLANGIC
0.147640,BASLANGIC
0.142269,BASLANGIC
0.192252,BASLANGIC
0.086263,BASLANGIC
0.117481,BASLANGIC
0.515594,BASLANGIC
0.185450,BASLANGIC
0.282872,BASLANGIC
0.250194,BASLANGIC
0.290313,BASLANGIC
0.194168,BASLANGIC
0.132164,BASLANGIC
0.177767,BASLANGIC
0.371185,BASLANGIC
0.067847,BASLANGIC
