@RELATION SINGLE_GLCM_CORRELATION

@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.370084,BASLANGIC
0.840478,BASLANGIC
0.761279,BASLANGIC
0.854604,BASLANGIC
0.738042,BASLANGIC
0.861301,BASLANGIC
0.520752,BASLANGIC
0.226634,BASLANGIC
0.811330,BASLANGIC
0.626920,BASLANGIC
0.877843,BASLANGIC
0.761443,BASLANGIC
0.872730,BASLANGIC
0.475468,BASLANGIC
0.887595,BASLANGIC
0.606140,BASLANGIC
0.894621,BASLANGIC
0.860029,BASLANGIC
0.856066,BASLANGIC
0.848055,BASLANGIC
0.642530,BASLANGIC
0.389414,BASLANGIC
0.609261,BASLANGIC
0.511946,BASLANGIC
0.827762,BASLANGIC
0.865575,BASLANGIC
0.425566,BASLANGIC
0.596541,BASLANGIC
0.522283,BASLANGIC
0.552780,BASLANGIC
0.877929,BASLANGIC
0.582839,BASLANGIC
0.866665,BASLANGIC
0.715557,BASLANGIC
0.935611,BASLANGIC
0.880638,BASLANGIC
0.742908,BASLANGIC
0.415518,BASLANGIC
0.950251,BASLANGIC
0.776113,BASLANGIC
0.757020,BASLANGIC
0.502531,BASLANGIC
0.890054,BASLANGIC
0.819188,BASLANGIC
0.845922,BASLANGIC
0.792311,BASLANGIC
0.727400,BASLANGIC
0.718300,BASLANGIC
0.837456,BASLANGIC
0.521700,BASLANGIC
0.481389,BASLANGIC
0.742836,BASLANGIC
0.875482,BASLANGIC
0.803134,BASLANGIC
0.662049,BASLANGIC
0.628242,BASLANGIC
0.757968,BASLANGIC
0.838310,BASLANGIC
0.435879,BASLANGIC
0.891016,BASLANGIC
0.645314,BASLANGIC
0.836872,BASLANGIC
0.501202,BASLANGIC
0.718470,BASLANGIC
0.832329,BASLANGIC
0.859879,BASLANGIC
0.824740,BASLANGIC
0.863765,BASLANGIC
0.799121,BASLANGIC
0.822528,BASLANGIC
0.591871,BASLANGIC
0.808300,BASLANGIC
0.861463,BASLANGIC
0.929402,BASLANGIC
0.663266,BASLANGIC
0.895855,BASLANGIC
0.730395,BASLANGIC
0.881173,BASLANGIC
0.731243,BASLANGIC
0.666067,BASLANGIC
0.712991,BASLANGIC
0.901491,BASLANGIC
0.837131,BASLANGIC
0.924682,BASLANGIC
0.827223,BASLANGIC
0.867192,BASLANGIC
0.577270,BASLANGIC
0.907128,BASLANGIC
0.661349,BASLANGIC
0.817562,BASLANGIC
0.829681,BASLANGIC
0.833449,BASLANGIC
0.576213,BASLANGIC
0.942325,BASLANGIC
