@RELATION SINGLE_GLCM_DISSIMILARITY

@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.033791,BASLANGIC
0.842779,BASLANGIC
0.110022,BASLANGIC
0.788799,BASLANGIC
0.096041,BASLANGIC
0.782732,BASLANGIC
0.047382,BASLANGIC
0.026254,BASLANGIC
0.759551,BASLANGIC
0.060299,BASLANGIC
0.538259,BASLANGIC
0.093594,BASLANGIC
0.669678,BASLANGIC
0.042466,BASLANGIC
0.608466,BASLANGIC
0.057910,BASLANGIC
0.525527,BASLANGIC
0.182956,BASLANGIC
0.827502,BASLANGIC
0.158113,BASLANGIC
0.892955,BASLANGIC
0.039152,BASLANGIC
0.873283,BASLANGIC
0.047163,BASLANGIC
0.628845,BASLANGIC
0.210277,BASLANGIC
0.867986,BASLANGIC
0.062019,BASLANGIC
0.726921,BASLANGIC
0.050318,BASLANGIC
0.748616,BASLANGIC
0.051575,BASLANGIC
0.847899,BASLANGIC
0.078135,BASLANGIC
0.668814,BASLANGIC
0.259012,BASLANGIC
0.648725,BASLANGIC
0.037906,BASLANGIC
0.505825,BASLANGIC
0.129586,BASLANGIC
0.880904,BASLANGIC
0.048856,BASLANGIC
0.675372,BASLANGIC
0.123107,BASLANGIC
0.827010,BASLANGIC
0.111366,BASLANGIC
0.783215,BASLANGIC
0.081073,BASLANGIC
0.817019,BASLANGIC
0.045488,BASLANGIC
0.040450,BASLANGIC
0.794321,BASLANGIC
0.199847,BASLANGIC
0.894765,BASLANGIC
0.067367,BASLANGIC
0.883852,BASLANGIC
0.096941,BASLANGIC
0.682308,BASLANGIC
0.039907,BASLANGIC
0.664404,BASLANGIC
0.064340,BASLANGIC
0.825487,BASLANGIC
0.042170,BASLANGIC
0.598947,BASLANGIC
0.237214,BASLANGIC
0.770384,BASLANGIC
0.134541,BASLANGIC
0.801948,BASLANGIC
0.140268,BASLANGIC
0.819476,BASLANGIC
0.059461,BASLANGIC
0.688755,BASLANGIC
0.177633,BASLANGIC
0.398020,BASLANGIC
0.073447,BASLANGIC
0.612348,BASLANGIC
0.080874,BASLANGIC
0.874665,BASLANGIC
0.085151,BASLANGIC
0.730186,BASLANGIC
0.087290,BASLANGIC
0.690770,BASLANGIC
0.179490,BASLANGIC
0.590266,BASLANGIC
0.146826,BASLANGIC
0.703781,BASLANGIC
0.050072,BASLANGIC
0.746876,BASLANGIC
0.064090,BASLANGIC
0.889162,BASLANGIC
0.148710,BASLANGIC
0.915635,BASLANGIC
0.050879,BASLANGIC
0.549841,BASLANGIC
0.039601,BASLANGIC
0.634239,BASLANGIC
0.146888,BASLANGIC
0.691902,BASLANGIC
0.316187,BASLANGIC
0.909550,BASLANGIC
0.091230,BASLANGIC
0.611901,BASLANGIC
0.052197,BASLANGIC
0.720933,BASLANGIC
0.059980,BASLANGIC
0.620522,BASLANGIC
0.073072,BASLANGIC
0.734892,BASLANGIC
0.150122,BASLANGIC
0.039997,BASLANGIC
0.789850,BASLANGIC
0.074773,BASLANGIC
0.622367,BASLANGIC
0.143067,BASLANGIC
0.679253,BASLANGIC
0.064490,BASLANGIC
0.743383,BASLANGIC
0.100017,BASLANGIC
0.031745,BASLANGIC
0.621392,BASLANGIC
0.126534,BASLANGIC
0.566199,BASLANGIC
0.040673,BASLANGIC
0.623486,BASLANGIC
0.114171,BASLANGIC
0.597080,BASLANGIC
0.280214,BASLANGIC
0.555550,BASLANGIC
