@RELATION SINGLE_GLCM_ENERGY

@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.994648,BASLANGIC
0.007985,BASLANGIC
0.957382,BASLANGIC
0.013872,BASLANGIC
0.967126,BASLANGIC
0.013866,BASLANGIC
0.989985,BASLANGIC
0.996282,BASLANGIC
0.031402,BASLANGIC
0.984334,BASLANGIC
0.129606,BASLANGIC
0.965369,BASLANGIC
0.030887,BASLANGIC
0.991906,BASLANGIC
0.038552,BASLANGIC
0.985643,BASLANGIC
0.396371,BASLANGIC
0.877232,BASLANGIC
0.013470,BASLANGIC
0.906105,BASLANGIC
0.027283,BASLANGIC
0.993465,BASLANGIC
0.047784,BASLANGIC
0.990364,BASLANGIC
0.061207,BASLANGIC
0.852613,BASLANGIC
0.049891,BASLANGIC
0.984875,BASLANGIC
0.070006,BASLANGIC
0.989317,BASLANGIC
0.021966,BASLANGIC
0.988188,BASLANGIC
0.009324,BASLANGIC
0.975555,BASLANGIC
0.022678,BASLANGIC
0.794279,BASLANGIC
0.069275,BASLANGIC
0.993431,BASLANGIC
0.206678,BASLANGIC
0.948170,BASLANGIC
0.014755,BASLANGIC
0.990293,BASLANGIC
0.049026,BASLANGIC
0.938916,BASLANGIC
0.004648,BASLANGIC
0.950623,BASLANGIC
0.033875,BASLANGIC
0.973864,BASLANGIC
0.009456,BASLANGIC
0.990517,BASLANGIC
0.992333,BASLANGIC
0.059476,BASLANGIC
0.858278,BASLANGIC
0.009329,BASLANGIC
0.981099,BASLANGIC
0.037464,BASLANGIC
0.962250,BASLANGIC
0.188576,BASLANGIC
0.992829,BASLANGIC
0.099122,BASLANGIC
0.982099,BASLANGIC
0.014481,BASLANGIC
0.991663,BASLANGIC
0.091535,BASLANGIC
0.865539,BASLANGIC
0.031267,BASLANGIC
0.930448,BASLANGIC
0.024469,BASLANGIC
0.937601,BASLANGIC
0.033662,BASLANGIC
0.985851,BASLANGIC
0.084432,BASLANGIC
0.884371,BASLANGIC
0.239658,BASLANGIC
0.978922,BASLANGIC
0.148034,BASLANGIC
0.972366,BASLANGIC
0.024997,BASLANGIC
0.971845,BASLANGIC
0.065232,BASLANGIC
0.971643,BASLANGIC
0.066790,BASLANGIC
0.898767,BASLANGIC
0.058600,BASLANGIC
0.924070,BASLANGIC
0.048715,BASLANGIC
0.988787,BASLANGIC
0.021704,BASLANGIC
0.982994,BASLANGIC
0.014613,BASLANGIC
0.919960,BASLANGIC
0.008310,BASLANGIC
0.988258,BASLANGIC
0.040891,BASLANGIC
0.992984,BASLANGIC
0.113944,BASLANGIC
0.916916,BASLANGIC
0.079423,BASLANGIC
0.708085,BASLANGIC
0.010991,BASLANGIC
0.966278,BASLANGIC
0.082540,BASLANGIC
0.988151,BASLANGIC
0.066649,BASLANGIC
0.986540,BASLANGIC
0.174401,BASLANGIC
0.977926,BASLANGIC
0.070359,BASLANGIC
0.923335,BASLANGIC
0.992712,BASLANGIC
0.016513,BASLANGIC
0.976879,BASLANGIC
0.075623,BASLANGIC
0.930513,BASLANGIC
0.109197,BASLANGIC
0.982727,BASLANGIC
0.042610,BASLANGIC
0.960083,BASLANGIC
0.995285,BASLANGIC
0.054550,BASLANGIC
0.938392,BASLANGIC
0.167637,BASLANGIC
0.992762,BASLANGIC
0.035181,BASLANGIC
0.948797,BASLANGIC
0.036473,BASLANGIC
0.779743,BASLANGIC
0.058696,BASLANGIC
0.987247,BASLANGIC
0.064532,BASLANGIC
0.660810,BASLANGIC
0.035150,BASLANGIC
0.949801,BASLANGIC
0.064855,BASLANGIC
0.961939,BASLANGIC
0.028142,BASLANGIC
0.807523,BASLANGIC
0.054169,BASLANGIC
0.796043,BASLANGIC
0.074006,BASLANGIC
0.988549,BASLANGIC
0.087626,BASLANGIC
0.986836,BASLANGIC
0.087784,BASLANGIC
0.988168,BASLANGIC
0.035109,BASLANGIC
0.908760,BASLANGIC
0.028407,BASLANGIC
0.763900,BASLANGIC
0.050119,BASLANGIC
0.989074,BASLANGIC
0.011187,BASLANGIC
0.957380,BASLANGIC
0.046301,BASLANGIC
0.978590,BASLANGIC
0.362373,BASLANGIC
0.964031,BASLANGIC
0.018476,BASLANGIC
0.983874,BASLANGIC
0.083283,BASLANGIC
0.943688,BASLANGIC
0.092655,BASLANGIC
0.768992,BASLANGIC
0.019605,BASLANGIC
0.981135,BASLANGIC
0.150042,BASLANGIC
0.942727,BASLANGIC
0.068230,BASLANGIC
0.987692,BASLANGIC
0.990121,BASLANGIC
0.076081,BASLANGIC
0.881900,BASLANGIC
0.045926,BASLANGIC
0.880148,BASLANGIC
0.015399,BASLANGIC
0.991031,BASLANGIC
0.024642,BASLANGIC
0.974530,BASLANGIC
0.094905,BASLANGIC
0.909821,BASLANGIC
0.021930,BASLANGIC
0.980486,BASLANGIC
0.046034,BASLANGIC
0.990364,BASLANGIC
0.094422,BASLANGIC
0.991920,BASLANGIC
0.007310,BASLANGIC
0.941549,BASLANGIC
0.982709,BASLANGIC
0.064827,BASLANGIC
0.967559,BASLANGIC
0.986313,BASLANGIC
0.043792,BASLANGIC
0.971805,BASLANGIC
0.049191,BASLANGIC
0.983290,BASLANGIC
0.040083,BASLANGIC
0.850397,BASLANGIC
0.034144,BASLANGIC
0.816006,BASLANGIC
0.019243,BASLANGIC
0.941232,BASLANGIC
0.744054,BASLANGIC
0.033738,BASLANGIC
0.949377,BASLANGIC
0.116293,BASLANGIC
0.944628,BASLANGIC
0.976031,BASLANGIC
0.025565,BASLANGIC
0.980426,BASLANGIC
0.074818,BASLANGIC
0.942595,BASLANGIC
0.021916,BASLANGIC
0.876339,BASLANGIC
0.013389,BASLANGIC
0.988615,BASLANGIC
0.019923,BASLANGIC
0.978721,BASLANGIC
0.063793,BASLANGIC
0.975624,BASLANGIC
0.096415,BASLANGIC
0.974267,BASLANGIC
0.045863,BASLANGIC
0.962644,BASLANGIC
0.062583,BASLANGIC
0.880143,BASLANGIC
0.174063,BASLANGIC
0.841556,BASLANGIC
0.135987,BASLANGIC
0.980168,BASLANGIC
0.080293,BASLANGIC
0.984572,BASLANGIC
0.043685,BASLANGIC
0.954374,BASLANGIC
0.046097,BASLANGIC
0.941059,BASLANGIC
0.020688,BASLANGIC
0.979405,BASLANGIC
0.044240,BASLANGIC
0.984896,BASLANGIC
0.035701,BASLANGIC
0.970406,BASLANGIC
0.072022,BASLANGIC
0.979189,BASLANGIC
0.039896,BASLANGIC
0.985506,BASLANGIC
0.154018,BASLANGIC
0.995304,BASLANGIC
0.087531,BASLANGIC
0.948086,BASLANGIC
0.042006,BASLANGIC
0.961628,BASLANGIC
0.053723,NORMAL
1.000000,NORMAL
0.101009,NORMAL
1.000000,NORMAL
0.026788,NORMAL
1.000000,NORMAL
0.002483,NORMAL
1.000000,NORMAL
0.008331,NORMAL
1.000000,NORMAL
0.018276,NORMAL
1.000000,NORMAL
0.151778,NORMAL
1.000000,NORMAL
0.383568,NORMAL
1.000000,NORMAL
0.399923,NORMAL
1.000000,NORMAL
0.021818,NORMAL
1.000000,NORMAL
0.011950,NORMAL
1.000000,NORMAL
0.002465,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.051298,NORMAL
1.000000,NORMAL
0.015885,NORMAL
1.000000,NORMAL
0.089040,NORMAL
1.000000,NORMAL
0.232498,NORMAL
1.000000,NORMAL
0.057366,NORMAL
1.000000,NORMAL
0.049745,NORMAL
1.000000,NORMAL
0.190972,NORMAL
1.000000,NORMAL
0.044120,NORMAL
1.000000,NORMAL
0.007283,NORMAL
1.000000,NORMAL
0.058856,NORMAL
1.000000,NORMAL
0.015110,NORMAL
1.000000,NORMAL
0.079904,NORMAL
1.000000,NORMAL
0.096884,NORMAL
1.000000,NORMAL
0.078812,NORMAL
1.000000,NORMAL
0.139845,NORMAL
1.000000,NORMAL
0.117699,NORMAL
1.000000,NORMAL
0.057864,NORMAL
1.000000,NORMAL
0.020468,NORMAL
1.000000,NORMAL
0.011516,NORMAL
1.000000,NORMAL
0.016949,NORMAL
1.000000,NORMAL
0.106344,NORMAL
1.000000,NORMAL
0.092016,NORMAL
1.000000,NORMAL
0.133856,NORMAL
1.000000,NORMAL
0.222519,NORMAL
1.000000,NORMAL
0.027323,NORMAL
1.000000,NORMAL
0.098917,NORMAL
1.000000,NORMAL
0.049013,NORMAL
1.000000,NORMAL
0.011873,NORMAL
1.000000,NORMAL
0.180186,NORMAL
1.000000,NORMAL
0.053088,NORMAL
1.000000,NORMAL
0.012910,NORMAL
1.000000,NORMAL
0.104269,NORMAL
1.000000,NORMAL
0.056211,NORMAL
1.000000,NORMAL
0.031614,NORMAL
1.000000,NORMAL
0.012014,NORMAL
1.000000,NORMAL
0.213108,NORMAL
1.000000,NORMAL
0.115998,NORMAL
1.000000,NORMAL
0.117957,NORMAL
1.000000,NORMAL
0.249724,NORMAL
1.000000,NORMAL
0.117797,NORMAL
1.000000,NORMAL
0.213091,NORMAL
1.000000,NORMAL
0.027194,NORMAL
1.000000,NORMAL
0.207694,NORMAL
1.000000,NORMAL
0.052038,NORMAL
1.000000,NORMAL
0.122436,NORMAL
1.000000,NORMAL
0.051259,NORMAL
1.000000,NORMAL
0.046077,NORMAL
1.000000,NORMAL
0.014004,NORMAL
1.000000,NORMAL
0.187583,NORMAL
1.000000,NORMAL
0.187391,NORMAL
1.000000,NORMAL
0.152206,NORMAL
1.000000,NORMAL
0.015460,NORMAL
1.000000,NORMAL
0.213040,NORMAL
1.000000,NORMAL
0.207417,NORMAL
1.000000,NORMAL
0.053035,NORMAL
1.000000,NORMAL
0.045192,NORMAL
1.000000,NORMAL
0.087888,NORMAL
1.000000,NORMAL
0.082826,NORMAL
1.000000,NORMAL
0.138942,NORMAL
1.000000,NORMAL
0.055578,NORMAL
1.000000,NORMAL
0.034276,NORMAL
1.000000,NORMAL
0.024514,NORMAL
1.000000,NORMAL
0.016388,NORMAL
1.000000,NORMAL
0.087000,NORMAL
1.000000,NORMAL
0.091298,NORMAL
1.000000,NORMAL
0.030462,NORMAL
1.000000,NORMAL
0.006064,NORMAL
1.000000,NORMAL
0.054433,NORMAL
1.000000,NORMAL
0.012584,NORMAL
1.000000,NORMAL
0.026631,NORMAL
1.000000,NORMAL
0.047719,NORMAL
1.000000,NORMAL
0.023663,NORMAL
1.000000,NORMAL
0.075589,NORMAL
1.000000,NORMAL
0.176939,NORMAL
1.000000,NORMAL
0.048859,NORMAL
1.000000,NORMAL
0.039001,NORMAL
1.000000,NORMAL
0.088844,NORMAL
1.000000,NORMAL
0.063085,NORMAL
1.000000,NORMAL
0.016156,NORMAL
1.000000,NORMAL
0.019875,NORMAL
1.000000,NORMAL
0.017284,NORMAL
1.000000,NORMAL
0.004604,NORMAL
1.000000,NORMAL
0.100805,NORMAL
1.000000,NORMAL
0.093157,NORMAL
1.000000,NORMAL
0.049999,NORMAL
1.000000,NORMAL
0.077609,NORMAL
1.000000,NORMAL
0.093512,NORMAL
1.000000,NORMAL
0.016986,NORMAL
1.000000,NORMAL
0.015806,NORMAL
1.000000,NORMAL
0.082855,NORMAL
1.000000,NORMAL
0.091529,NORMAL
1.000000,NORMAL
0.039686,NORMAL
1.000000,NORMAL
0.080885,NORMAL
1.000000,NORMAL
0.004676,NORMAL
1.000000,NORMAL
0.115220,NORMAL
1.000000,NORMAL
0.079244,NORMAL
1.000000,NORMAL
0.056306,NORMAL
1.000000,NORMAL
0.071416,NORMAL
1.000000,NORMAL
0.073822,NORMAL
1.000000,NORMAL
0.068547,NORMAL
1.000000,NORMAL
0.172093,NORMAL
1.000000,NORMAL
0.022095,NORMAL
1.000000,NORMAL
0.032550,NORMAL
1.000000,NORMAL
0.078886,NORMAL
1.000000,NORMAL
0.115924,NORMAL
1.000000,NORMAL
0.012869,NORMAL
1.000000,NORMAL
0.054348,NORMAL
1.000000,NORMAL
0.013380,NORMAL
1.000000,NORMAL
0.135018,NORMAL
1.000000,NORMAL
0.094349,NORMAL
1.000000,NORMAL
0.040492,NORMAL
1.000000,NORMAL
0.074727,NORMAL
