@RELATION SINGLE_GLCM_HOMOGENEITY

@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.994945,BASLANGIC
0.122320,BASLANGIC
0.986631,BASLANGIC
0.195491,BASLANGIC
0.987455,BASLANGIC
0.186168,BASLANGIC
0.994280,BASLANGIC
0.996194,BASLANGIC
0.216543,BASLANGIC
0.993159,BASLANGIC
0.396934,BASLANGIC
0.987725,BASLANGIC
0.276006,BASLANGIC
0.995169,BASLANGIC
0.316975,BASLANGIC
0.992930,BASLANGIC
0.495961,BASLANGIC
0.978690,BASLANGIC
0.155861,BASLANGIC
0.980819,BASLANGIC
0.126131,BASLANGIC
0.995063,BASLANGIC
0.159846,BASLANGIC
0.994716,BASLANGIC
0.341485,BASLANGIC
0.975258,BASLANGIC
0.151102,BASLANGIC
0.992499,BASLANGIC
0.263435,BASLANGIC
0.993628,BASLANGIC
0.240657,BASLANGIC
0.993567,BASLANGIC
0.164512,BASLANGIC
0.989895,BASLANGIC
0.272525,BASLANGIC
0.967556,BASLANGIC
0.301408,BASLANGIC
0.995500,BASLANGIC
0.451754,BASLANGIC
0.983275,BASLANGIC
0.122395,BASLANGIC
0.994108,BASLANGIC
0.280404,BASLANGIC
0.984642,BASLANGIC
0.127287,BASLANGIC
0.986979,BASLANGIC
0.176940,BASLANGIC
0.989410,BASLANGIC
0.146938,BASLANGIC
0.994544,BASLANGIC
0.994945,BASLANGIC
0.191145,BASLANGIC
0.973870,BASLANGIC
0.132961,BASLANGIC
0.992221,BASLANGIC
0.136406,BASLANGIC
0.989153,BASLANGIC
0.315292,BASLANGIC
0.994851,BASLANGIC
0.297185,BASLANGIC
0.992278,BASLANGIC
0.147736,BASLANGIC
0.994346,BASLANGIC
0.323044,BASLANGIC
0.971624,BASLANGIC
0.208841,BASLANGIC
0.982024,BASLANGIC
0.211366,BASLANGIC
0.981556,BASLANGIC
0.162352,BASLANGIC
0.993377,BASLANGIC
0.294104,BASLANGIC
0.977180,BASLANGIC
0.526460,BASLANGIC
0.991466,BASLANGIC
0.345279,BASLANGIC
0.989990,BASLANGIC
0.152029,BASLANGIC
0.988358,BASLANGIC
0.253880,BASLANGIC
0.989654,BASLANGIC
0.274302,BASLANGIC
0.978174,BASLANGIC
0.310465,BASLANGIC
0.980810,BASLANGIC
0.259878,BASLANGIC
0.993654,BASLANGIC
0.201000,BASLANGIC
0.991458,BASLANGIC
0.138210,BASLANGIC
0.981731,BASLANGIC
0.135904,BASLANGIC
0.993949,BASLANGIC
0.353115,BASLANGIC
0.995063,BASLANGIC
0.313426,BASLANGIC
0.983316,BASLANGIC
0.305184,BASLANGIC
0.960672,BASLANGIC
0.102888,BASLANGIC
0.990210,BASLANGIC
0.331557,BASLANGIC
0.992961,BASLANGIC
0.308807,BASLANGIC
0.991904,BASLANGIC
0.354111,BASLANGIC
0.991726,BASLANGIC
0.286361,BASLANGIC
0.981917,BASLANGIC
0.995535,BASLANGIC
0.173781,BASLANGIC
0.992038,BASLANGIC
0.311367,BASLANGIC
0.984264,BASLANGIC
0.296952,BASLANGIC
0.992013,BASLANGIC
0.222420,BASLANGIC
0.987445,BASLANGIC
0.995957,BASLANGIC
0.322853,BASLANGIC
0.983791,BASLANGIC
0.394653,BASLANGIC
0.995223,BASLANGIC
0.278064,BASLANGIC
0.985376,BASLANGIC
0.321223,BASLANGIC
0.965376,BASLANGIC
0.357804,BASLANGIC
0.993018,BASLANGIC
0.376475,BASLANGIC
0.952740,BASLANGIC
0.232212,BASLANGIC
0.985740,BASLANGIC
0.214359,BASLANGIC
0.986876,BASLANGIC
0.209923,BASLANGIC
0.969362,BASLANGIC
0.222854,BASLANGIC
0.970343,BASLANGIC
0.341879,BASLANGIC
0.993919,BASLANGIC
0.324792,BASLANGIC
0.992567,BASLANGIC
0.343180,BASLANGIC
0.992921,BASLANGIC
0.184944,BASLANGIC
0.980541,BASLANGIC
0.264709,BASLANGIC
0.963411,BASLANGIC
0.271964,BASLANGIC
0.993021,BASLANGIC
0.067896,BASLANGIC
0.987571,BASLANGIC
0.159627,BASLANGIC
0.992256,BASLANGIC
0.447498,BASLANGIC
0.987769,BASLANGIC
0.173936,BASLANGIC
0.992992,BASLANGIC
0.324270,BASLANGIC
