@RELATION STAT_FFT_FUSION

@ATTRIBUTE stat_skew NUMERIC
@ATTRIBUTE stat_kurtosis NUMERIC
@ATTRIBUTE stat_mean NUMERIC
@ATTRIBUTE stat_std NUMERIC
@ATTRIBUTE fft_mean NUMERIC
@ATTRIBUTE fft_std NUMERIC
@ATTRIBUTE fft_max NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.705119,0.492162,0.005458,0.117702,0.940403,0.789366,0.831634,BASLANGIC
0.014123,0.002039,0.752075,0.403643,0.952963,0.906582,0.990794,BASLANGIC
0.225641,0.045090,0.053666,0.371145,0.965481,0.794403,0.905488,BASLANGIC
0.015645,0.001568,0.665304,0.446789,0.957965,0.881674,0.986833,BASLANGIC
0.259448,0.060874,0.040819,0.324462,0.963830,0.791889,0.896647,BASLANGIC
0.013604,0.001792,0.673767,0.434815,0.955939,0.892489,0.987241,BASLANGIC
0.492152,0.232909,0.011420,0.173320,0.953901,0.748720,0.855489,BASLANGIC
0.862169,0.739284,0.003662,0.096928,0.938715,0.758462,0.818743,BASLANGIC
0.042689,0.003919,0.551109,0.368748,0.948901,0.947929,0.980748,BASLANGIC
0.381294,0.136972,0.019010,0.223576,0.958983,0.751530,0.871954,BASLANGIC
0.051193,0.003069,0.370814,0.356607,0.943691,0.892446,0.967945,BASLANGIC
0.252009,0.057219,0.043237,0.333607,0.965825,0.761038,0.898507,BASLANGIC
0.015740,0.001735,0.646394,0.390081,0.944931,0.943510,0.985901,BASLANGIC
0.540522,0.282712,0.009392,0.157349,0.953502,0.717623,0.849173,BASLANGIC
0.015523,0.002249,0.636087,0.385281,0.938347,0.949661,0.985381,BASLANGIC
0.405378,0.155781,0.016831,0.210050,0.954499,0.795200,0.868022,BASLANGIC
0.058373,0.003345,0.288797,0.462527,0.947650,0.961810,0.959868,BASLANGIC
0.119384,0.010909,0.167785,0.631235,0.981645,0.743724,0.942321,BASLANGIC
0.022780,0.002822,0.607588,0.445899,0.953805,0.959271,0.983900,BASLANGIC
0.142485,0.016374,0.125048,0.552970,0.978394,0.752098,0.932822,BASLANGIC
0.021532,0.003000,0.785495,0.300922,0.952304,0.947132,0.992199,BASLANGIC
0.617990,0.373136,0.007168,0.136825,0.942559,0.845615,0.840441,BASLANGIC
0.049972,0.003832,0.511186,0.286760,0.948462,0.948542,0.978318,BASLANGIC
0.493879,0.234617,0.011270,0.172329,0.952012,0.760201,0.855061,BASLANGIC
0.035905,0.002887,0.395025,0.353157,0.940757,0.963271,0.969989,BASLANGIC
0.104872,0.008044,0.205003,0.687987,0.982699,0.775236,0.948795,BASLANGIC
0.039059,0.004901,0.432491,0.249472,0.955424,0.905640,0.972916,BASLANGIC
0.395606,0.148028,0.017710,0.215489,0.958400,0.738073,0.869666,BASLANGIC
0.057693,0.007003,0.414711,0.252279,0.944766,0.940704,0.971560,BASLANGIC
0.470041,0.212141,0.012422,0.180103,0.955216,0.737312,0.858207,BASLANGIC
0.020941,0.001892,0.714962,0.453334,0.949379,0.936221,0.989159,BASLANGIC
0.447593,0.191679,0.013747,0.189493,0.951450,0.805717,0.861482,BASLANGIC
0.013095,0.001823,0.720570,0.470562,0.952773,0.941865,0.989411,BASLANGIC
0.304371,0.085545,0.029793,0.277710,0.962154,0.741465,0.886473,BASLANGIC
0.028102,0.001524,0.610446,0.554362,0.941059,0.972006,0.984052,BASLANGIC
0.078942,0.004002,0.300793,0.802013,0.986892,0.766535,0.961183,BASLANGIC
0.048541,0.004261,0.385701,0.273325,0.946165,0.900089,0.969217,BASLANGIC
0.607630,0.360012,0.007414,0.139529,0.946759,0.796239,0.841530,BASLANGIC
0.051616,0.002255,0.463634,0.547379,0.927751,1.000000,0.975163,BASLANGIC
0.203322,0.036012,0.065466,0.407745,0.965977,0.824399,0.911911,BASLANGIC
0.022622,0.003095,0.697904,0.352500,0.951317,0.945771,0.988378,BASLANGIC
0.497848,0.238811,0.011117,0.170672,0.950081,0.790091,0.854621,BASLANGIC
0.018947,0.001279,0.490947,0.443693,0.952750,0.885625,0.977013,BASLANGIC
0.184041,0.028951,0.078968,0.446450,0.970850,0.781337,0.917970,BASLANGIC
0.013494,0.002056,0.681422,0.398092,0.950454,0.934921,0.987606,BASLANGIC
0.207149,0.037469,0.063233,0.401851,0.971241,0.744272,0.910789,BASLANGIC
0.007745,0.002838,0.483040,0.299673,0.950456,0.929309,0.976488,BASLANGIC
0.293899,0.079344,0.031946,0.287812,0.959816,0.794530,0.888727,BASLANGIC
0.014778,0.002104,0.805905,0.396030,0.951875,0.944443,0.993027,BASLANGIC
0.500149,0.240854,0.010968,0.169822,0.954789,0.704591,0.854184,BASLANGIC
0.567065,0.312970,0.008563,0.149396,0.945897,0.821837,0.846185,BASLANGIC
0.025799,0.002996,0.394559,0.321358,0.951832,0.916660,0.969950,BASLANGIC
0.108279,0.008689,0.195266,0.672994,0.979925,0.779273,0.947222,BASLANGIC
0.007396,0.001977,0.689623,0.412405,0.956204,0.933878,0.987993,BASLANGIC
0.345599,0.111546,0.023126,0.246074,0.954049,0.849852,0.878288,BASLANGIC
0.043874,0.003530,0.549382,0.294361,0.948838,0.955601,0.980646,BASLANGIC
0.239247,0.051116,0.047907,0.351782,0.966228,0.791479,0.901821,BASLANGIC
0.038904,0.002222,0.325882,0.381924,0.945536,0.958370,0.963771,BASLANGIC
0.579540,0.326384,0.008110,0.145826,0.945326,0.824680,0.844431,BASLANGIC
0.040523,0.002213,0.380329,0.427530,0.947280,0.939333,0.968764,BASLANGIC
0.361399,0.122454,0.021245,0.236036,0.960134,0.756345,0.875547,BASLANGIC
0.019633,0.001762,0.608563,0.396446,0.951129,0.938720,0.983952,BASLANGIC
