@RELATION STAT

@ATTRIBUTE stat_skew NUMERIC
@ATTRIBUTE stat_kurtosis NUMERIC
@ATTRIBUTE stat_mean NUMERIC
@ATTRIBUTE stat_std NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.705119,0.492162,0.005458,0.117702,BASLANGIC
0.014123,0.002039,0.752075,0.403643,BASLANGIC
0.225641,0.045090,0.053666,0.371145,BASLANGIC
0.015645,0.001568,0.665304,0.446789,BASLANGIC
0.259448,0.060874,0.040819,0.324462,BASLANGIC
0.013604,0.001792,0.673767,0.434815,BASLANGIC
0.492152,0.232909,0.011420,0.173320,BASLANGIC
0.862169,0.739284,0.003662,0.096928,BASLANGIC
0.042689,0.003919,0.551109,0.368748,BASLANGIC
0.381294,0.136972,0.019010,0.223576,BASLANGIC
0.051193,0.003069,0.370814,0.356607,BASLANGIC
0.252009,0.057219,0.043237,0.333607,BASLANGIC
0.015740,0.001735,0.646394,0.390081,BASLANGIC
0.540522,0.282712,0.009392,0.157349,BASLANGIC
0.015523,0.002249,0.636087,0.385281,BASLANGIC
0.405378,0.155781,0.016831,0.210050,BASLANGIC
0.058373,0.003345,0.288797,0.462527,BASLANGIC
0.119384,0.010909,0.167785,0.631235,BASLANGIC
0.022780,0.002822,0.607588,0.445899,BASLANGIC
0.142485,0.016374,0.125048,0.552970,BASLANGIC
0.021532,0.003000,0.785495,0.300922,BASLANGIC
0.617990,0.373136,0.007168,0.136825,BASLANGIC
0.049972,0.003832,0.511186,0.286760,BASLANGIC
0.493879,0.234617,0.011270,0.172329,BASLANGIC
0.035905,0.002887,0.395025,0.353157,BASLANGIC
0.104872,0.008044,0.205003,0.687987,BASLANGIC
0.039059,0.004901,0.432491,0.249472,BASLANGIC
0.395606,0.148028,0.017710,0.215489,BASLANGIC
0.057693,0.007003,0.414711,0.252279,BASLANGIC
0.470041,0.212141,0.012422,0.180103,BASLANGIC
0.020941,0.001892,0.714962,0.453334,BASLANGIC
0.447593,0.191679,0.013747,0.189493,BASLANGIC
0.013095,0.001823,0.720570,0.470562,BASLANGIC
0.304371,0.085545,0.029793,0.277710,BASLANGIC
0.028102,0.001524,0.610446,0.554362,BASLANGIC
0.078942,0.004002,0.300793,0.802013,BASLANGIC
0.048541,0.004261,0.385701,0.273325,BASLANGIC
0.607630,0.360012,0.007414,0.139529,BASLANGIC
0.051616,0.002255,0.463634,0.547379,BASLANGIC
0.203322,0.036012,0.065466,0.407745,BASLANGIC
0.022622,0.003095,0.697904,0.352500,BASLANGIC
0.497848,0.238811,0.011117,0.170672,BASLANGIC
0.018947,0.001279,0.490947,0.443693,BASLANGIC
0.184041,0.028951,0.078968,0.446450,BASLANGIC
0.013494,0.002056,0.681422,0.398092,BASLANGIC
0.207149,0.037469,0.063233,0.401851,BASLANGIC
0.007745,0.002838,0.483040,0.299673,BASLANGIC
0.293899,0.079344,0.031946,0.287812,BASLANGIC
0.014778,0.002104,0.805905,0.396030,BASLANGIC
0.500149,0.240854,0.010968,0.169822,BASLANGIC
0.567065,0.312970,0.008563,0.149396,BASLANGIC
0.025799,0.002996,0.394559,0.321358,BASLANGIC
