@RELATION SINGLE_HH_ASM

@ATTRIBUTE HH_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.992150,BASLANGIC
0.068424,BASLANGIC
0.980860,BASLANGIC
0.160510,BASLANGIC
0.980971,BASLANGIC
0.073484,BASLANGIC
0.988660,BASLANGIC
0.992993,BASLANGIC
0.084706,BASLANGIC
0.989262,BASLANGIC
0.192419,BASLANGIC
0.982655,BASLANGIC
0.057935,BASLANGIC
0.991913,BASLANGIC
0.049385,BASLANGIC
0.989262,BASLANGIC
0.315128,BASLANGIC
0.967374,BASLANGIC
0.028206,BASLANGIC
0.968199,BASLANGIC
0.046507,BASLANGIC
0.990824,BASLANGIC
0.028416,BASLANGIC
0.993597,BASLANGIC
0.104172,BASLANGIC
0.959062,BASLANGIC
0.136626,BASLANGIC
0.987580,BASLANGIC
0.024140,BASLANGIC
0.989503,BASLANGIC
0.085956,BASLANGIC
0.991913,BASLANGIC
0.065061,BASLANGIC
0.986857,BASLANGIC
0.063009,BASLANGIC
0.952906,BASLANGIC
0.108395,BASLANGIC
0.991308,BASLANGIC
0.039107,BASLANGIC
0.972725,BASLANGIC
0.010952,BASLANGIC
0.991788,BASLANGIC
0.123098,BASLANGIC
0.972971,BASLANGIC
0.053151,BASLANGIC
0.976071,BASLANGIC
0.016176,BASLANGIC
0.981931,BASLANGIC
0.044831,BASLANGIC
0.991794,BASLANGIC
0.990348,BASLANGIC
0.096631,BASLANGIC
0.964394,BASLANGIC
0.034385,BASLANGIC
0.990104,BASLANGIC
0.036114,BASLANGIC
0.985660,BASLANGIC
0.076830,BASLANGIC
0.992149,BASLANGIC
0.036528,BASLANGIC
0.986977,BASLANGIC
0.062855,BASLANGIC
0.990224,BASLANGIC
0.078798,BASLANGIC
0.965223,BASLANGIC
0.102917,BASLANGIC
0.976797,BASLANGIC
0.156371,BASLANGIC
0.975349,BASLANGIC
0.029853,BASLANGIC
0.987817,BASLANGIC
0.062004,BASLANGIC
0.974040,BASLANGIC
0.103535,BASLANGIC
0.987460,BASLANGIC
0.104256,BASLANGIC
0.982894,BASLANGIC
0.044823,BASLANGIC
0.977983,BASLANGIC
0.078689,BASLANGIC
0.985778,BASLANGIC
0.052274,BASLANGIC
0.963791,BASLANGIC
0.018825,BASLANGIC
0.967126,BASLANGIC
0.005210,BASLANGIC
0.989383,BASLANGIC
0.033781,BASLANGIC
0.991794,BASLANGIC
0.058574,BASLANGIC
0.969866,BASLANGIC
0.042320,BASLANGIC
0.992033,BASLANGIC
0.106742,BASLANGIC
0.990344,BASLANGIC
0.070832,BASLANGIC
0.972844,BASLANGIC
0.082959,BASLANGIC
0.944887,BASLANGIC
0.062621,BASLANGIC
0.988305,BASLANGIC
0.063697,BASLANGIC
0.989742,BASLANGIC
0.494905,BASLANGIC
0.990224,BASLANGIC
0.108339,BASLANGIC
0.988542,BASLANGIC
0.125655,BASLANGIC
0.976791,BASLANGIC
0.992754,BASLANGIC
0.009124,BASLANGIC
0.987818,BASLANGIC
0.068723,BASLANGIC
0.976198,BASLANGIC
0.061577,BASLANGIC
0.987701,BASLANGIC
0.054958,BASLANGIC
0.979663,BASLANGIC
0.997098,BASLANGIC
0.249176,BASLANGIC
0.972368,BASLANGIC
0.458635,BASLANGIC
0.992875,BASLANGIC
0.038572,BASLANGIC
0.982535,BASLANGIC
0.033704,BASLANGIC
0.957748,BASLANGIC
0.037701,BASLANGIC
0.988540,BASLANGIC
0.166214,BASLANGIC
0.915920,BASLANGIC
0.047152,BASLANGIC
0.979178,BASLANGIC
0.059610,BASLANGIC
0.986016,BASLANGIC
0.037413,BASLANGIC
0.960710,BASLANGIC
0.055928,BASLANGIC
0.951139,BASLANGIC
0.066435,BASLANGIC
0.990949,BASLANGIC
0.062092,BASLANGIC
0.988175,BASLANGIC
0.118653,BASLANGIC
0.987096,BASLANGIC
0.051420,BASLANGIC
0.971056,BASLANGIC
0.028524,BASLANGIC
0.953961,BASLANGIC
0.041840,BASLANGIC
0.992636,BASLANGIC
0.005260,BASLANGIC
0.978824,BASLANGIC
0.008527,BASLANGIC
0.987702,BASLANGIC
0.143112,BASLANGIC
0.979300,BASLANGIC
0.062413,BASLANGIC
0.991188,BASLANGIC
0.101423,BASLANGIC
0.977387,BASLANGIC
0.089643,BASLANGIC
0.950304,BASLANGIC
0.007158,BASLANGIC
0.987589,BASLANGIC
0.234887,BASLANGIC
0.974633,BASLANGIC
0.054682,BASLANGIC
0.991071,BASLANGIC
0.989262,BASLANGIC
0.101613,BASLANGIC
0.962260,BASLANGIC
0.061783,BASLANGIC
0.973919,BASLANGIC
0.085153,BASLANGIC
0.989984,BASLANGIC
0.071199,BASLANGIC
0.983971,BASLANGIC
0.202437,BASLANGIC
0.978221,BASLANGIC
0.055556,BASLANGIC
0.988424,BASLANGIC
0.057006,BASLANGIC
0.990346,BASLANGIC
0.083782,BASLANGIC
0.993477,BASLANGIC
0.049904,BASLANGIC
0.973694,BASLANGIC
0.988298,BASLANGIC
0.099107,BASLANGIC
0.980026,BASLANGIC
0.990106,BASLANGIC
0.077058,BASLANGIC
0.980136,BASLANGIC
0.047745,BASLANGIC
0.988419,BASLANGIC
0.050287,BASLANGIC
0.960253,BASLANGIC
0.124599,BASLANGIC
0.953845,BASLANGIC
0.128000,BASLANGIC
0.976310,BASLANGIC
0.955390,BASLANGIC
0.042090,BASLANGIC
0.975709,BASLANGIC
0.064657,BASLANGIC
0.975591,BASLANGIC
0.983377,BASLANGIC
0.086772,BASLANGIC
0.987697,BASLANGIC
0.059064,BASLANGIC
0.978226,BASLANGIC
0.043030,BASLANGIC
0.966180,BASLANGIC
0.027439,BASLANGIC
0.986977,BASLANGIC
0.078324,BASLANGIC
0.984336,BASLANGIC
0.058662,BASLANGIC
0.985902,BASLANGIC
0.044650,BASLANGIC
0.984574,BASLANGIC
0.048663,BASLANGIC
0.980500,BASLANGIC
0.029473,BASLANGIC
0.965233,BASLANGIC
0.125704,BASLANGIC
0.964627,BASLANGIC
0.120250,BASLANGIC
0.987095,BASLANGIC
0.015025,BASLANGIC
0.988662,BASLANGIC
0.046495,BASLANGIC
0.980619,BASLANGIC
0.045935,BASLANGIC
0.973092,BASLANGIC
0.068255,BASLANGIC
0.987216,BASLANGIC
0.061192,BASLANGIC
0.987699,BASLANGIC
0.064815,BASLANGIC
0.981104,BASLANGIC
0.006767,BASLANGIC
0.987455,BASLANGIC
0.080143,BASLANGIC
0.988664,BASLANGIC
0.146566,BASLANGIC
0.994445,BASLANGIC
0.059445,BASLANGIC
0.983617,BASLANGIC
0.085178,BASLANGIC
0.974398,BASLANGIC
0.046406,NORMAL
1.000000,NORMAL
0.072647,NORMAL
1.000000,NORMAL
0.013184,NORMAL
1.000000,NORMAL
0.056285,NORMAL
1.000000,NORMAL
0.026650,NORMAL
1.000000,NORMAL
0.126148,NORMAL
1.000000,NORMAL
0.097609,NORMAL
1.000000,NORMAL
0.196688,NORMAL
1.000000,NORMAL
0.208461,NORMAL
1.000000,NORMAL
0.018248,NORMAL
1.000000,NORMAL
0.057958,NORMAL
1.000000,NORMAL
0.052507,NORMAL
1.000000,NORMAL
0.001833,NORMAL
1.000000,NORMAL
0.038822,NORMAL
1.000000,NORMAL
0.039466,NORMAL
1.000000,NORMAL
0.050042,NORMAL
1.000000,NORMAL
0.140555,NORMAL
1.000000,NORMAL
0.028997,NORMAL
1.000000,NORMAL
0.020970,NORMAL
1.000000,NORMAL
0.069116,NORMAL
1.000000,NORMAL
0.029730,NORMAL
1.000000,NORMAL
0.007783,NORMAL
1.000000,NORMAL
0.015820,NORMAL
1.000000,NORMAL
0.139763,NORMAL
1.000000,NORMAL
0.066364,NORMAL
1.000000,NORMAL
0.029986,NORMAL
1.000000,NORMAL
0.029354,NORMAL
1.000000,NORMAL
0.095223,NORMAL
1.000000,NORMAL
0.102057,NORMAL
1.000000,NORMAL
0.354689,NORMAL
1.000000,NORMAL
0.073723,NORMAL
1.000000,NORMAL
0.055770,NORMAL
1.000000,NORMAL
0.022498,NORMAL
1.000000,NORMAL
0.048637,NORMAL
1.000000,NORMAL
0.004758,NORMAL
1.000000,NORMAL
0.062453,NORMAL
1.000000,NORMAL
0.071219,NORMAL
1.000000,NORMAL
0.043313,NORMAL
1.000000,NORMAL
0.045938,NORMAL
1.000000,NORMAL
0.027524,NORMAL
1.000000,NORMAL
0.026018,NORMAL
1.000000,NORMAL
0.069057,NORMAL
1.000000,NORMAL
0.057320,NORMAL
1.000000,NORMAL
0.025284,NORMAL
1.000000,NORMAL
0.041147,NORMAL
1.000000,NORMAL
0.041694,NORMAL
1.000000,NORMAL
0.022586,NORMAL
1.000000,NORMAL
0.032346,NORMAL
1.000000,NORMAL
0.080703,NORMAL
1.000000,NORMAL
0.034785,NORMAL
1.000000,NORMAL
0.044278,NORMAL
1.000000,NORMAL
0.093781,NORMAL
1.000000,NORMAL
0.046603,NORMAL
1.000000,NORMAL
0.035215,NORMAL
1.000000,NORMAL
0.008430,NORMAL
1.000000,NORMAL
0.035281,NORMAL
1.000000,NORMAL
0.027236,NORMAL
1.000000,NORMAL
0.090220,NORMAL
1.000000,NORMAL
0.063735,NORMAL
1.000000,NORMAL
0.027912,NORMAL
1.000000,NORMAL
0.016749,NORMAL
1.000000,NORMAL
0.059836,NORMAL
1.000000,NORMAL
0.082439,NORMAL
1.000000,NORMAL
0.074887,NORMAL
1.000000,NORMAL
0.022277,NORMAL
1.000000,NORMAL
0.095424,NORMAL
1.000000,NORMAL
0.082713,NORMAL
1.000000,NORMAL
0.042615,NORMAL
1.000000,NORMAL
0.071986,NORMAL
1.000000,NORMAL
0.082251,NORMAL
1.000000,NORMAL
0.030460,NORMAL
1.000000,NORMAL
0.104720,NORMAL
1.000000,NORMAL
0.040690,NORMAL
1.000000,NORMAL
0.031992,NORMAL
1.000000,NORMAL
0.036551,NORMAL
1.000000,NORMAL
0.146833,NORMAL
1.000000,NORMAL
0.038441,NORMAL
1.000000,NORMAL
0.088151,NORMAL
1.000000,NORMAL
0.061023,NORMAL
1.000000,NORMAL
0.036415,NORMAL
1.000000,NORMAL
0.068840,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.049222,NORMAL
1.000000,NORMAL
0.012628,NORMAL
1.000000,NORMAL
0.011283,NORMAL
1.000000,NORMAL
0.039082,NORMAL
1.000000,NORMAL
0.144045,NORMAL
1.000000,NORMAL
0.092867,NORMAL
1.000000,NORMAL
0.036521,NORMAL
1.000000,NORMAL
0.067054,NORMAL
1.000000,NORMAL
0.113235,NORMAL
1.000000,NORMAL
0.010669,NORMAL
1.000000,NORMAL
0.003891,NORMAL
1.000000,NORMAL
0.017563,NORMAL
1.000000,NORMAL
0.121943,NORMAL
1.000000,NORMAL
0.036916,NORMAL
1.000000,NORMAL
0.045399,NORMAL
1.000000,NORMAL
0.031163,NORMAL
1.000000,NORMAL
0.027863,NORMAL
1.000000,NORMAL
0.124824,NORMAL
1.000000,NORMAL
0.061643,NORMAL
1.000000,NORMAL
0.012112,NORMAL
1.000000,NORMAL
0.041221,NORMAL
1.000000,NORMAL
0.060766,NORMAL
1.000000,NORMAL
0.104651,NORMAL
1.000000,NORMAL
0.026569,NORMAL
1.000000,NORMAL
0.034647,NORMAL
1.000000,NORMAL
0.072680,NORMAL
1.000000,NORMAL
0.035269,NORMAL
1.000000,NORMAL
0.020857,NORMAL
1.000000,NORMAL
0.009988,NORMAL
1.000000,NORMAL
0.065039,NORMAL
1.000000,NORMAL
0.012088,NORMAL
1.000000,NORMAL
0.069138,NORMAL
1.000000,NORMAL
0.019727,NORMAL
1.000000,NORMAL
0.006803,NORMAL
1.000000,NORMAL
0.063431,NORMAL
1.000000,NORMAL
0.060752,NORMAL
1.000000,NORMAL
0.034686,NORMAL
1.000000,NORMAL
0.365894,NORMAL
1.000000,NORMAL
0.020919,NORMAL
1.000000,NORMAL
0.087787,NORMAL
1.000000,NORMAL
0.068466,NORMAL
1.000000,NORMAL
0.041241,NORMAL
1.000000,NORMAL
0.055249,NORMAL
1.000000,NORMAL
0.007883,NORMAL
1.000000,NORMAL
0.938090,TUMORLU
0.102799,TUMORLU
0.918250,TUMORLU
0.211256,TUMORLU
0.967602,TUMORLU
0.059442,TUMORLU
0.964147,TUMORLU
0.184886,TUMORLU
0.969390,TUMORLU
0.132991,TUMORLU
0.965701,TUMORLU
0.053982,TUMORLU
0.970932,TUMORLU
0.055187,TUMORLU
0.964266,TUMORLU
0.160637,TUMORLU
0.965932,TUMORLU
0.098183,TUMORLU
0.979774,TUMORLU
0.101382,TUMORLU
0.952888,TUMORLU
0.068275,TUMORLU
0.974154,TUMORLU
0.071113,TUMORLU
0.955025,TUMORLU
0.181136,TUMORLU
0.941116,TUMORLU
0.206769,TUMORLU
0.932807,TUMORLU
0.138043,TUMORLU
0.925228,TUMORLU
0.058270,TUMORLU
0.975118,TUMORLU
0.068891,TUMORLU
0.962254,TUMORLU
0.063368,TUMORLU
0.931869,TUMORLU
0.041160,TUMORLU
0.952430,TUMORLU
0.114029,TUMORLU
0.940306,TUMORLU
0.046503,TUMORLU
0.943471,TUMORLU
0.092704,TUMORLU
0.916405,TUMORLU
0.060761,TUMORLU
0.925343,TUMORLU
0.040368,TUMORLU
0.918837,TUMORLU
0.058129,TUMORLU
0.975355,TUMORLU
0.024113,TUMORLU
0.976313,TUMORLU
0.020283,TUMORLU
0.976075,TUMORLU
0.132610,TUMORLU
0.938293,TUMORLU
0.101635,TUMORLU
0.924995,TUMORLU
0.129826,TUMORLU
0.908383,TUMORLU
0.041996,TUMORLU
0.934684,TUMORLU
0.036857,TUMORLU
0.912343,TUMORLU
0.116017,TUMORLU
0.967235,TUMORLU
0.050387,TUMORLU
0.947121,TUMORLU
0.247136,TUMORLU
0.958931,TUMORLU
0.237374,TUMORLU
0.946405,TUMORLU
0.108266,TUMORLU
0.977867,TUMORLU
0.102815,TUMORLU
0.947012,TUMORLU
0.142532,TUMORLU
0.953852,TUMORLU
0.178628,TUMORLU
0.951940,TUMORLU
0.028047,TUMORLU
0.948069,TUMORLU
0.116863,TUMORLU
0.926969,TUMORLU
0.116267,TUMORLU
0.978584,TUMORLU
0.082000,TUMORLU
0.944204,TUMORLU
0.051649,TUMORLU
0.966894,TUMORLU
0.066979,TUMORLU
0.938083,TUMORLU
0.044311,TUMORLU
0.972365,TUMORLU
0.031882,TUMORLU
0.957510,TUMORLU
0.114136,TUMORLU
0.959169,TUMORLU
0.008801,TUMORLU
0.958343,TUMORLU
0.052195,TUMORLU
0.951953,TUMORLU
0.076760,TUMORLU
0.991307,TUMORLU
0.961186,TUMORLU
0.096540,TUMORLU
0.971766,TUMORLU
0.029273,TUMORLU
0.967718,TUMORLU
0.047944,TUMORLU
0.942406,TUMORLU
0.033576,TUMORLU
0.959410,TUMORLU
0.044073,TUMORLU
0.951134,TUMORLU
0.144784,TUMORLU
0.945021,TUMORLU
0.113690,TUMORLU
0.942777,TUMORLU
0.088356,TUMORLU
0.972375,TUMORLU
0.069158,TUMORLU
0.938184,TUMORLU
0.156962,TUMORLU
0.945978,TUMORLU
0.292097,TUMORLU
0.949951,TUMORLU
0.100812,TUMORLU
0.975236,TUMORLU
0.013228,TUMORLU
0.964751,TUMORLU
0.119937,TUMORLU
0.972734,TUMORLU
0.147384,TUMORLU
0.940655,TUMORLU
0.182166,TUMORLU
0.956563,TUMORLU
0.229967,TUMORLU
0.969383,TUMORLU
0.138899,TUMORLU
0.933736,TUMORLU
0.161080,TUMORLU
0.934445,TUMORLU
0.044749,TUMORLU
0.975354,TUMORLU
0.092865,TUMORLU
0.968321,TUMORLU
0.059544,TUMORLU
0.943118,TUMORLU
0.224455,TUMORLU
0.946432,TUMORLU
0.048557,TUMORLU
0.969514,TUMORLU
0.135464,TUMORLU
0.964631,TUMORLU
0.090998,TUMORLU
0.951128,TUMORLU
0.026876,TUMORLU
0.952423,TUMORLU
0.130942,TUMORLU
0.965347,TUMORLU
0.129005,TUMORLU
0.938764,TUMORLU
0.214456,TUMORLU
0.972859,TUMORLU
0.025057,TUMORLU
0.953026,TUMORLU
0.071476,TUMORLU
0.942778,TUMORLU
0.011098,TUMORLU
0.932951,TUMORLU
0.089819,TUMORLU
0.959530,TUMORLU
0.095240,TUMORLU
0.977989,TUMORLU
0.100044,TUMORLU
0.924189,TUMORLU
0.040670,TUMORLU
0.957530,TUMORLU
0.067710,TUMORLU
0.942063,TUMORLU
0.133602,TUMORLU
0.963202,TUMORLU
0.028519,TUMORLU
0.956565,TUMORLU
0.014654,TUMORLU
0.940182,TUMORLU
0.154588,TUMORLU
0.945957,TUMORLU
0.079768,TUMORLU
0.942288,TUMORLU
0.180272,TUMORLU
0.944304,TUMORLU
0.093268,TUMORLU
0.976557,TUMORLU
0.048097,TUMORLU
0.963556,TUMORLU
0.077597,TUMORLU
0.961188,TUMORLU
0.061116,TUMORLU
0.936086,TUMORLU
0.043562,TUMORLU
0.951848,TUMORLU
0.019255,TUMORLU
0.940763,TUMORLU
0.013136,TUMORLU
0.935953,TUMORLU
0.023352,TUMORLU
0.978699,TUMORLU
0.077591,TUMORLU
0.957392,TUMORLU
0.061502,TUMORLU
0.942641,TUMORLU
0.113354,TUMORLU
0.950069,TUMORLU
0.067299,TUMORLU
0.962604,TUMORLU
0.194684,TUMORLU
0.978698,TUMORLU
0.228815,TUMORLU
0.938182,TUMORLU
0.058313,TUMORLU
0.984095,TUMORLU
0.096122,TUMORLU
0.965585,TUMORLU
0.141498,TUMORLU
0.941355,TUMORLU
0.050588,TUMORLU
0.950187,TUMORLU
0.073188,TUMORLU
0.970098,TUMORLU
0.113187,TUMORLU
0.957268,TUMORLU
0.069547,TUMORLU
0.963919,TUMORLU
0.082905,TUMORLU
0.954691,TUMORLU
0.058714,TUMORLU
0.945948,TUMORLU
0.029816,TUMORLU
0.986736,TUMORLU
0.072981,TUMORLU
0.946298,TUMORLU
0.105143,TUMORLU
0.931514,TUMORLU
0.249847,TUMORLU
0.947470,TUMORLU
0.024631,TUMORLU
0.975476,TUMORLU
0.075733,TUMORLU
0.966657,TUMORLU
