@RELATION SINGLE_HH_CONTRAST

@ATTRIBUTE HH_contrast NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.031688,BASLANGIC
0.333000,BASLANGIC
0.083696,BASLANGIC
0.159551,BASLANGIC
0.063831,BASLANGIC
0.258620,BASLANGIC
0.044802,BASLANGIC
0.027416,BASLANGIC
0.275252,BASLANGIC
0.045574,BASLANGIC
0.134219,BASLANGIC
0.068164,BASLANGIC
0.398907,BASLANGIC
0.032295,BASLANGIC
0.433363,BASLANGIC
0.041617,BASLANGIC
0.126529,BASLANGIC
0.145403,BASLANGIC
0.533466,BASLANGIC
0.119171,BASLANGIC
0.385179,BASLANGIC
0.047726,BASLANGIC
0.610727,BASLANGIC
0.032044,BASLANGIC
0.299273,BASLANGIC
0.208305,BASLANGIC
0.151471,BASLANGIC
0.043345,BASLANGIC
0.577909,BASLANGIC
0.058865,BASLANGIC
0.437676,BASLANGIC
0.035294,BASLANGIC
0.421489,BASLANGIC
0.071757,BASLANGIC
0.354717,BASLANGIC
0.179984,BASLANGIC
0.170582,BASLANGIC
0.041924,BASLANGIC
0.548881,BASLANGIC
0.097563,BASLANGIC
0.663181,BASLANGIC
0.047742,BASLANGIC
0.122290,BASLANGIC
0.109941,BASLANGIC
0.270145,BASLANGIC
0.112525,BASLANGIC
0.641271,BASLANGIC
0.062407,BASLANGIC
0.375303,BASLANGIC
0.050892,BASLANGIC
0.033188,BASLANGIC
0.346518,BASLANGIC
0.132668,BASLANGIC
0.423664,BASLANGIC
0.042327,BASLANGIC
0.399855,BASLANGIC
0.056784,BASLANGIC
0.586181,BASLANGIC
0.026823,BASLANGIC
0.559001,BASLANGIC
0.055179,BASLANGIC
0.397910,BASLANGIC
0.038280,BASLANGIC
0.292978,BASLANGIC
0.140962,BASLANGIC
0.260951,BASLANGIC
0.110274,BASLANGIC
0.198871,BASLANGIC
0.082941,BASLANGIC
0.504001,BASLANGIC
0.053320,BASLANGIC
0.469698,BASLANGIC
0.077597,BASLANGIC
0.385906,BASLANGIC
0.053241,BASLANGIC
0.352962,BASLANGIC
0.071766,BASLANGIC
0.570058,BASLANGIC
0.088729,BASLANGIC
0.271835,BASLANGIC
0.066933,BASLANGIC
0.522258,BASLANGIC
0.173478,BASLANGIC
0.588419,BASLANGIC
0.099482,BASLANGIC
0.818781,BASLANGIC
0.033545,BASLANGIC
0.406299,BASLANGIC
0.052458,BASLANGIC
0.413230,BASLANGIC
0.140053,BASLANGIC
0.519694,BASLANGIC
0.041859,BASLANGIC
0.152568,BASLANGIC
0.039528,BASLANGIC
0.392760,BASLANGIC
0.114040,BASLANGIC
0.420066,BASLANGIC
0.211799,BASLANGIC
0.270139,BASLANGIC
0.053563,BASLANGIC
0.358796,BASLANGIC
0.043439,BASLANGIC
0.096496,BASLANGIC
0.023051,BASLANGIC
0.424225,BASLANGIC
0.056767,BASLANGIC
0.184401,BASLANGIC
0.082543,BASLANGIC
0.038587,BASLANGIC
0.772765,BASLANGIC
0.063013,BASLANGIC
0.415968,BASLANGIC
0.113167,BASLANGIC
0.404142,BASLANGIC
0.042810,BASLANGIC
0.341546,BASLANGIC
0.108881,BASLANGIC
0.030761,BASLANGIC
0.131469,BASLANGIC
0.092394,BASLANGIC
0.065400,BASLANGIC
0.028611,BASLANGIC
0.330996,BASLANGIC
0.073416,BASLANGIC
0.586873,BASLANGIC
0.111992,BASLANGIC
0.524760,BASLANGIC
0.039605,BASLANGIC
0.096424,BASLANGIC
0.330666,BASLANGIC
0.433207,BASLANGIC
0.084715,BASLANGIC
0.333305,BASLANGIC
0.052654,BASLANGIC
0.702065,BASLANGIC
0.143626,BASLANGIC
0.437629,BASLANGIC
0.221942,BASLANGIC
0.279597,BASLANGIC
0.042706,BASLANGIC
0.370161,BASLANGIC
0.047828,BASLANGIC
0.240777,BASLANGIC
0.048748,BASLANGIC
0.362810,BASLANGIC
0.085559,BASLANGIC
0.472125,BASLANGIC
0.188613,BASLANGIC
0.565730,BASLANGIC
0.024023,BASLANGIC
0.753115,BASLANGIC
0.129459,BASLANGIC
0.935253,BASLANGIC
0.054091,BASLANGIC
0.401434,BASLANGIC
0.084987,BASLANGIC
0.412459,BASLANGIC
0.045542,BASLANGIC
0.170184,BASLANGIC
0.088484,BASLANGIC
0.287113,BASLANGIC
0.206410,BASLANGIC
0.675372,BASLANGIC
0.079805,BASLANGIC
0.074790,BASLANGIC
0.078054,BASLANGIC
0.508552,BASLANGIC
0.028362,BASLANGIC
0.033344,BASLANGIC
0.379771,BASLANGIC
0.167044,BASLANGIC
0.304675,BASLANGIC
0.078063,BASLANGIC
0.167669,BASLANGIC
0.052799,BASLANGIC
0.244158,BASLANGIC
0.030214,BASLANGIC
0.161834,BASLANGIC
0.092741,BASLANGIC
0.320018,BASLANGIC
0.049509,BASLANGIC
0.349737,BASLANGIC
0.040040,BASLANGIC
0.357585,BASLANGIC
0.026318,BASLANGIC
0.367656,BASLANGIC
0.133499,BASLANGIC
0.050733,BASLANGIC
0.309630,BASLANGIC
0.092112,BASLANGIC
0.046583,BASLANGIC
0.172107,BASLANGIC
0.081803,BASLANGIC
0.400995,BASLANGIC
0.058292,BASLANGIC
0.355316,BASLANGIC
0.172752,BASLANGIC
0.152713,BASLANGIC
0.171583,BASLANGIC
0.180438,BASLANGIC
0.105826,BASLANGIC
0.200639,BASLANGIC
0.523925,BASLANGIC
0.064297,BASLANGIC
0.407482,BASLANGIC
0.075919,BASLANGIC
0.065091,BASLANGIC
0.198140,BASLANGIC
0.047159,BASLANGIC
0.350407,BASLANGIC
0.091614,BASLANGIC
0.390559,BASLANGIC
0.146761,BASLANGIC
0.584549,BASLANGIC
0.055190,BASLANGIC
0.225247,BASLANGIC
0.084399,BASLANGIC
0.448552,BASLANGIC
0.086211,BASLANGIC
0.607611,BASLANGIC
0.067726,BASLANGIC
0.310665,BASLANGIC
