@RELATION SINGLE_HH_CORRELATION

@ATTRIBUTE HH_correlation NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.061762,BASLANGIC
0.074203,BASLANGIC
0.125532,BASLANGIC
0.082738,BASLANGIC
0.071688,BASLANGIC
0.096629,BASLANGIC
0.083687,BASLANGIC
0.026849,BASLANGIC
0.067723,BASLANGIC
0.076778,BASLANGIC
0.066060,BASLANGIC
0.040327,BASLANGIC
0.053276,BASLANGIC
0.020713,BASLANGIC
0.039554,BASLANGIC
0.102513,BASLANGIC
0.073244,BASLANGIC
0.048563,BASLANGIC
0.054389,BASLANGIC
0.084100,BASLANGIC
0.052932,BASLANGIC
0.042088,BASLANGIC
0.044138,BASLANGIC
0.141530,BASLANGIC
0.065289,BASLANGIC
0.060809,BASLANGIC
0.066293,BASLANGIC
0.151711,BASLANGIC
0.050741,BASLANGIC
0.084082,BASLANGIC
0.056424,BASLANGIC
0.105925,BASLANGIC
0.048060,BASLANGIC
0.062041,BASLANGIC
0.078832,BASLANGIC
0.093803,BASLANGIC
0.067639,BASLANGIC
0.136603,BASLANGIC
0.051691,BASLANGIC
0.062569,BASLANGIC
0.053764,BASLANGIC
0.102854,BASLANGIC
0.058425,BASLANGIC
0.094602,BASLANGIC
0.053132,BASLANGIC
0.108167,BASLANGIC
0.048988,BASLANGIC
0.048919,BASLANGIC
0.067933,BASLANGIC
0.074451,BASLANGIC
0.169664,BASLANGIC
0.045781,BASLANGIC
0.118866,BASLANGIC
0.050292,BASLANGIC
0.122117,BASLANGIC
0.049669,BASLANGIC
0.137152,BASLANGIC
0.059504,BASLANGIC
0.081914,BASLANGIC
0.051056,BASLANGIC
0.085480,BASLANGIC
0.064918,BASLANGIC
0.058101,BASLANGIC
0.051649,BASLANGIC
0.003308,BASLANGIC
0.055561,BASLANGIC
0.114884,BASLANGIC
0.068948,BASLANGIC
0.014215,BASLANGIC
0.047254,BASLANGIC
0.037156,BASLANGIC
0.068606,BASLANGIC
0.130207,BASLANGIC
0.062991,BASLANGIC
0.194937,BASLANGIC
0.077030,BASLANGIC
0.118563,BASLANGIC
0.073139,BASLANGIC
0.069137,BASLANGIC
0.039212,BASLANGIC
0.024961,BASLANGIC
0.062119,BASLANGIC
0.022783,BASLANGIC
0.081885,BASLANGIC
0.041336,BASLANGIC
0.053552,BASLANGIC
0.130039,BASLANGIC
0.052180,BASLANGIC
0.158659,BASLANGIC
0.061150,BASLANGIC
0.011964,BASLANGIC
0.064251,BASLANGIC
0.120918,BASLANGIC
0.068071,BASLANGIC
0.136454,BASLANGIC
0.075900,BASLANGIC
0.066415,BASLANGIC
0.073173,BASLANGIC
0.108223,BASLANGIC
0.044659,BASLANGIC
0.154070,BASLANGIC
0.053224,BASLANGIC
0.163982,BASLANGIC
0.073360,BASLANGIC
0.157241,BASLANGIC
0.060967,BASLANGIC
0.170029,BASLANGIC
0.052238,BASLANGIC
0.092887,BASLANGIC
0.089882,BASLANGIC
0.065961,BASLANGIC
0.030889,BASLANGIC
0.083290,BASLANGIC
0.089497,BASLANGIC
0.066288,BASLANGIC
0.133382,BASLANGIC
0.071360,BASLANGIC
0.141698,BASLANGIC
0.111923,BASLANGIC
0.076423,BASLANGIC
0.101581,BASLANGIC
0.076168,BASLANGIC
0.116190,BASLANGIC
0.059267,BASLANGIC
0.103260,BASLANGIC
0.060270,BASLANGIC
0.120408,BASLANGIC
0.051530,BASLANGIC
0.143200,BASLANGIC
0.040850,BASLANGIC
0.025904,BASLANGIC
0.043756,BASLANGIC
0.086334,BASLANGIC
0.060358,BASLANGIC
0.088885,BASLANGIC
0.050092,BASLANGIC
0.055498,BASLANGIC
0.077773,BASLANGIC
0.039406,BASLANGIC
0.075180,BASLANGIC
0.042490,BASLANGIC
0.039203,BASLANGIC
0.087668,BASLANGIC
0.052023,BASLANGIC
0.116668,BASLANGIC
0.054356,BASLANGIC
0.139817,BASLANGIC
0.060640,BASLANGIC
0.063759,BASLANGIC
0.065206,BASLANGIC
0.163440,BASLANGIC
0.056860,BASLANGIC
0.000000,BASLANGIC
0.053436,BASLANGIC
0.192905,BASLANGIC
0.053104,BASLANGIC
0.094367,BASLANGIC
0.047045,BASLANGIC
0.074830,BASLANGIC
0.055594,BASLANGIC
0.068108,BASLANGIC
0.072423,BASLANGIC
0.059348,BASLANGIC
0.070901,BASLANGIC
0.161131,BASLANGIC
0.070598,BASLANGIC
0.099977,BASLANGIC
0.059090,BASLANGIC
0.122786,BASLANGIC
0.155833,BASLANGIC
0.081714,BASLANGIC
0.078974,BASLANGIC
0.062680,BASLANGIC
0.065268,BASLANGIC
0.066798,BASLANGIC
0.072870,BASLANGIC
0.061947,BASLANGIC
0.030324,BASLANGIC
0.075123,BASLANGIC
0.088283,BASLANGIC
0.052468,BASLANGIC
0.038080,BASLANGIC
0.068036,BASLANGIC
0.107590,BASLANGIC
0.061769,BASLANGIC
0.055732,BASLANGIC
0.076172,BASLANGIC
0.125788,BASLANGIC
0.098101,BASLANGIC
0.060992,BASLANGIC
0.160199,BASLANGIC
0.099173,BASLANGIC
0.044607,BASLANGIC
0.140653,BASLANGIC
0.052711,BASLANGIC
0.057859,BASLANGIC
0.061916,BASLANGIC
0.122436,BASLANGIC
0.051081,BASLANGIC
0.045838,BASLANGIC
0.073380,BASLANGIC
0.006773,BASLANGIC
0.079913,BASLANGIC
0.051983,BASLANGIC
0.057464,BASLANGIC
0.059756,BASLANGIC
0.168773,BASLANGIC
0.098712,BASLANGIC
0.046280,BASLANGIC
0.142769,BASLANGIC
0.042815,BASLANGIC
0.055616,BASLANGIC
0.065234,BASLANGIC
0.121160,BASLANGIC
0.073505,BASLANGIC
0.110029,BASLANGIC
0.054324,BASLANGIC
0.108754,BASLANGIC
0.061549,BASLANGIC
0.080849,BASLANGIC
0.064966,BASLANGIC
0.112220,BASLANGIC
0.046991,BASLANGIC
0.091340,BASLANGIC
0.065611,BASLANGIC
0.074577,BASLANGIC
0.049780,BASLANGIC
0.099725,BASLANGIC
0.058191,BASLANGIC
0.064032,BASLANGIC
0.067847,BASLANGIC
0.007523,BASLANGIC
0.060624,BASLANGIC
0.086028,BASLANGIC
0.059128,BASLANGIC
0.107130,BASLANGIC
0.043477,BASLANGIC
0.120790,BASLANGIC
0.055163,BASLANGIC
0.131506,BASLANGIC
0.076625,BASLANGIC
0.094514,BASLANGIC
0.057091,BASLANGIC
0.117990,BASLANGIC
0.051233,BASLANGIC
0.113371,BASLANGIC
0.066687,BASLANGIC
0.189621,BASLANGIC
0.046387,BASLANGIC
0.098939,BASLANGIC
0.038334,BASLANGIC
0.088901,BASLANGIC
0.043462,NORMAL
1.000000,NORMAL
0.061255,NORMAL
1.000000,NORMAL
0.064139,NORMAL
1.000000,NORMAL
0.052597,NORMAL
1.000000,NORMAL
0.057595,NORMAL
1.000000,NORMAL
0.033754,NORMAL
1.000000,NORMAL
0.060259,NORMAL
1.000000,NORMAL
0.073891,NORMAL
1.000000,NORMAL
0.062554,NORMAL
1.000000,NORMAL
0.054725,NORMAL
1.000000,NORMAL
0.061106,NORMAL
1.000000,NORMAL
0.061708,NORMAL
1.000000,NORMAL
0.067372,NORMAL
1.000000,NORMAL
0.065218,NORMAL
1.000000,NORMAL
0.053631,NORMAL
1.000000,NORMAL
0.055464,NORMAL
1.000000,NORMAL
0.045739,NORMAL
1.000000,NORMAL
0.061110,NORMAL
1.000000,NORMAL
0.063003,NORMAL
1.000000,NORMAL
0.062511,NORMAL
1.000000,NORMAL
0.057299,NORMAL
1.000000,NORMAL
0.058479,NORMAL
1.000000,NORMAL
0.056453,NORMAL
1.000000,NORMAL
0.055053,NORMAL
1.000000,NORMAL
0.060619,NORMAL
1.000000,NORMAL
0.074017,NORMAL
1.000000,NORMAL
0.055137,NORMAL
1.000000,NORMAL
0.062170,NORMAL
1.000000,NORMAL
0.074936,NORMAL
1.000000,NORMAL
0.098356,NORMAL
1.000000,NORMAL
0.058092,NORMAL
1.000000,NORMAL
0.059178,NORMAL
1.000000,NORMAL
0.079154,NORMAL
1.000000,NORMAL
0.055893,NORMAL
1.000000,NORMAL
0.067199,NORMAL
1.000000,NORMAL
0.063354,NORMAL
1.000000,NORMAL
0.054050,NORMAL
1.000000,NORMAL
0.080996,NORMAL
1.000000,NORMAL
0.078146,NORMAL
1.000000,NORMAL
0.065122,NORMAL
1.000000,NORMAL
0.041777,NORMAL
1.000000,NORMAL
0.057264,NORMAL
1.000000,NORMAL
0.058250,NORMAL
1.000000,NORMAL
0.052298,NORMAL
1.000000,NORMAL
0.059012,NORMAL
1.000000,NORMAL
0.053428,NORMAL
1.000000,NORMAL
0.070592,NORMAL
1.000000,NORMAL
0.049503,NORMAL
1.000000,NORMAL
0.068104,NORMAL
1.000000,NORMAL
0.049162,NORMAL
1.000000,NORMAL
0.075264,NORMAL
1.000000,NORMAL
0.068488,NORMAL
1.000000,NORMAL
0.051126,NORMAL
1.000000,NORMAL
0.068398,NORMAL
1.000000,NORMAL
0.057239,NORMAL
1.000000,NORMAL
0.064695,NORMAL
1.000000,NORMAL
0.044154,NORMAL
1.000000,NORMAL
0.060944,NORMAL
1.000000,NORMAL
0.062240,NORMAL
1.000000,NORMAL
0.066709,NORMAL
1.000000,NORMAL
0.053612,NORMAL
1.000000,NORMAL
0.064034,NORMAL
1.000000,NORMAL
0.063171,NORMAL
1.000000,NORMAL
0.068195,NORMAL
1.000000,NORMAL
0.039909,NORMAL
1.000000,NORMAL
0.060863,NORMAL
1.000000,NORMAL
0.057157,NORMAL
1.000000,NORMAL
0.049627,NORMAL
1.000000,NORMAL
0.061061,NORMAL
1.000000,NORMAL
0.043079,NORMAL
1.000000,NORMAL
0.070015,NORMAL
1.000000,NORMAL
0.062047,NORMAL
1.000000,NORMAL
0.044805,NORMAL
1.000000,NORMAL
0.044871,NORMAL
1.000000,NORMAL
0.040122,NORMAL
1.000000,NORMAL
0.064000,NORMAL
1.000000,NORMAL
0.090111,NORMAL
1.000000,NORMAL
0.044933,NORMAL
1.000000,NORMAL
0.065814,NORMAL
1.000000,NORMAL
0.070108,NORMAL
1.000000,NORMAL
0.058416,NORMAL
1.000000,NORMAL
0.051211,NORMAL
1.000000,NORMAL
0.039386,NORMAL
1.000000,NORMAL
0.052275,NORMAL
1.000000,NORMAL
0.036340,NORMAL
1.000000,NORMAL
0.046455,NORMAL
1.000000,NORMAL
0.057492,NORMAL
1.000000,NORMAL
0.050532,NORMAL
1.000000,NORMAL
0.056496,NORMAL
1.000000,NORMAL
0.043828,NORMAL
1.000000,NORMAL
0.049616,NORMAL
1.000000,NORMAL
0.052457,NORMAL
1.000000,NORMAL
0.053170,NORMAL
1.000000,NORMAL
0.035741,NORMAL
1.000000,NORMAL
0.037308,NORMAL
1.000000,NORMAL
0.047968,NORMAL
1.000000,NORMAL
0.052229,NORMAL
1.000000,NORMAL
0.046411,NORMAL
1.000000,NORMAL
0.066222,NORMAL
1.000000,NORMAL
0.043441,NORMAL
1.000000,NORMAL
0.042693,NORMAL
1.000000,NORMAL
0.053580,NORMAL
1.000000,NORMAL
0.056023,NORMAL
1.000000,NORMAL
0.064468,NORMAL
1.000000,NORMAL
0.042214,NORMAL
1.000000,NORMAL
0.064930,NORMAL
1.000000,NORMAL
0.051704,NORMAL
1.000000,NORMAL
0.042259,NORMAL
1.000000,NORMAL
0.056062,NORMAL
1.000000,NORMAL
0.053017,NORMAL
1.000000,NORMAL
0.059425,NORMAL
1.000000,NORMAL
0.061222,NORMAL
1.000000,NORMAL
0.050546,NORMAL
1.000000,NORMAL
0.062162,NORMAL
1.000000,NORMAL
0.042988,NORMAL
1.000000,NORMAL
0.047623,NORMAL
1.000000,NORMAL
0.057900,NORMAL
1.000000,NORMAL
0.061879,NORMAL
1.000000,NORMAL
0.055183,NORMAL
1.000000,NORMAL
0.128342,NORMAL
1.000000,NORMAL
0.065718,NORMAL
1.000000,NORMAL
0.061157,NORMAL
1.000000,NORMAL
0.055202,NORMAL
1.000000,NORMAL
0.051774,NORMAL
1.000000,NORMAL
0.063118,NORMAL
1.000000,NORMAL
0.071358,NORMAL
1.000000,NORMAL
0.106254,TUMORLU
0.058305,TUMORLU
0.067205,TUMORLU
0.043576,TUMORLU
0.076741,TUMORLU
0.062769,TUMORLU
0.096156,TUMORLU
0.058983,TUMORLU
0.074540,TUMORLU
0.046709,TUMORLU
0.101075,TUMORLU
0.044642,TUMORLU
0.077649,TUMORLU
0.061775,TUMORLU
0.084904,TUMORLU
0.042302,TUMORLU
0.060749,TUMORLU
0.041607,TUMORLU
0.120827,TUMORLU
0.042577,TUMORLU
0.079786,TUMORLU
0.046310,TUMORLU
0.057810,TUMORLU
0.054460,TUMORLU
0.039206,TUMORLU
0.067896,TUMORLU
0.073716,TUMORLU
0.084496,TUMORLU
0.078786,TUMORLU
0.067858,TUMORLU
0.096953,TUMORLU
0.058239,TUMORLU
0.094463,TUMORLU
0.060871,TUMORLU
0.081952,TUMORLU
0.058883,TUMORLU
0.092637,TUMORLU
0.061819,TUMORLU
0.096881,TUMORLU
0.083308,TUMORLU
0.100282,TUMORLU
0.068216,TUMORLU
0.103253,TUMORLU
0.051146,TUMORLU
0.122679,TUMORLU
0.067527,TUMORLU
0.082092,TUMORLU
0.051886,TUMORLU
0.096537,TUMORLU
0.066908,TUMORLU
0.069845,TUMORLU
0.063121,TUMORLU
0.159755,TUMORLU
0.066417,TUMORLU
0.123450,TUMORLU
0.045605,TUMORLU
0.048737,TUMORLU
0.060807,TUMORLU
0.119366,TUMORLU
0.063105,TUMORLU
0.124602,TUMORLU
0.070727,TUMORLU
0.062579,TUMORLU
0.061324,TUMORLU
0.083316,TUMORLU
0.040773,TUMORLU
0.071617,TUMORLU
0.054649,TUMORLU
0.092824,TUMORLU
0.059306,TUMORLU
0.071721,TUMORLU
0.100340,TUMORLU
0.046335,TUMORLU
0.060049,TUMORLU
0.123035,TUMORLU
0.056589,TUMORLU
0.092984,TUMORLU
0.050976,TUMORLU
0.120761,TUMORLU
0.063940,TUMORLU
0.078550,TUMORLU
0.060035,TUMORLU
0.125766,TUMORLU
0.072214,TUMORLU
0.104259,TUMORLU
0.061311,TUMORLU
0.158679,TUMORLU
0.060298,TUMORLU
0.087619,TUMORLU
0.057911,TUMORLU
0.120110,TUMORLU
0.056430,TUMORLU
0.088715,TUMORLU
0.050884,TUMORLU
0.134155,TUMORLU
0.065620,TUMORLU
0.117863,TUMORLU
0.063462,TUMORLU
0.065855,TUMORLU
0.080687,TUMORLU
0.091683,TUMORLU
0.061214,TUMORLU
0.045149,TUMORLU
0.049725,TUMORLU
0.045859,TUMORLU
0.057762,TUMORLU
0.057386,TUMORLU
0.125317,TUMORLU
0.039947,TUMORLU
0.097874,TUMORLU
0.052640,TUMORLU
0.057804,TUMORLU
0.058560,TUMORLU
0.095836,TUMORLU
0.063802,TUMORLU
0.081431,TUMORLU
0.073655,TUMORLU
0.095969,TUMORLU
0.043049,TUMORLU
0.094283,TUMORLU
0.060329,TUMORLU
0.112751,TUMORLU
0.070072,TUMORLU
0.068499,TUMORLU
0.055264,TUMORLU
0.108822,TUMORLU
0.079277,TUMORLU
0.127900,TUMORLU
0.065590,TUMORLU
0.126740,TUMORLU
0.038815,TUMORLU
0.067214,TUMORLU
0.073094,TUMORLU
0.084282,TUMORLU
0.056051,TUMORLU
0.074425,TUMORLU
0.054607,TUMORLU
0.105724,TUMORLU
0.057530,TUMORLU
0.107198,TUMORLU
0.071363,TUMORLU
0.084430,TUMORLU
0.055844,TUMORLU
0.069801,TUMORLU
0.052141,TUMORLU
0.075603,TUMORLU
0.070141,TUMORLU
0.081762,TUMORLU
0.062754,TUMORLU
0.054258,TUMORLU
0.098255,TUMORLU
0.077024,TUMORLU
0.070400,TUMORLU
0.136850,TUMORLU
0.060833,TUMORLU
0.102879,TUMORLU
0.072618,TUMORLU
0.060624,TUMORLU
0.057590,TUMORLU
0.119981,TUMORLU
0.064505,TUMORLU
0.105792,TUMORLU
0.054900,TUMORLU
0.127376,TUMORLU
0.049812,TUMORLU
0.122253,TUMORLU
0.062950,TUMORLU
0.090618,TUMORLU
0.036095,TUMORLU
0.087073,TUMORLU
0.052859,TUMORLU
0.107732,TUMORLU
0.068061,TUMORLU
0.100614,TUMORLU
0.056690,TUMORLU
0.071517,TUMORLU
0.069114,TUMORLU
0.078518,TUMORLU
0.051513,TUMORLU
0.125542,TUMORLU
0.045868,TUMORLU
0.130201,TUMORLU
0.051813,TUMORLU
0.072255,TUMORLU
0.058567,TUMORLU
0.060067,TUMORLU
0.063751,TUMORLU
0.070690,TUMORLU
0.081488,TUMORLU
0.119191,TUMORLU
0.058342,TUMORLU
0.085178,TUMORLU
0.042869,TUMORLU
0.061362,TUMORLU
0.087579,TUMORLU
0.080643,TUMORLU
0.060114,TUMORLU
