@RELATION SINGLE_HH_DISSIMILARITY

@ATTRIBUTE HH_dissimilarity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.013513,BASLANGIC
0.525072,BASLANGIC
0.035544,BASLANGIC
0.314242,BASLANGIC
0.029888,BASLANGIC
0.442541,BASLANGIC
0.018824,BASLANGIC
0.011949,BASLANGIC
0.460388,BASLANGIC
0.018986,BASLANGIC
0.288248,BASLANGIC
0.029728,BASLANGIC
0.551891,BASLANGIC
0.013358,BASLANGIC
0.589042,BASLANGIC
0.018547,BASLANGIC
0.236414,BASLANGIC
0.059860,BASLANGIC
0.654600,BASLANGIC
0.053136,BASLANGIC
0.562886,BASLANGIC
0.018179,BASLANGIC
0.720420,BASLANGIC
0.012914,BASLANGIC
0.449613,BASLANGIC
0.083856,BASLANGIC
0.334373,BASLANGIC
0.019346,BASLANGIC
0.694675,BASLANGIC
0.023406,BASLANGIC
0.551958,BASLANGIC
0.015125,BASLANGIC
0.578409,BASLANGIC
0.028234,BASLANGIC
0.524395,BASLANGIC
0.079359,BASLANGIC
0.356334,BASLANGIC
0.017813,BASLANGIC
0.642933,BASLANGIC
0.045703,BASLANGIC
0.778803,BASLANGIC
0.017223,BASLANGIC
0.311891,BASLANGIC
0.048338,BASLANGIC
0.491015,BASLANGIC
0.046604,BASLANGIC
0.741870,BASLANGIC
0.029326,BASLANGIC
0.574856,BASLANGIC
0.018624,BASLANGIC
0.014879,BASLANGIC
0.502127,BASLANGIC
0.059719,BASLANGIC
0.589258,BASLANGIC
0.018339,BASLANGIC
0.598717,BASLANGIC
0.024812,BASLANGIC
0.658773,BASLANGIC
0.011347,BASLANGIC
0.668612,BASLANGIC
0.022723,BASLANGIC
0.567758,BASLANGIC
0.016736,BASLANGIC
0.454473,BASLANGIC
0.060952,BASLANGIC
0.433993,BASLANGIC
0.044471,BASLANGIC
0.352810,BASLANGIC
0.037893,BASLANGIC
0.655492,BASLANGIC
0.021359,BASLANGIC
0.591590,BASLANGIC
0.037437,BASLANGIC
0.496915,BASLANGIC
0.023516,BASLANGIC
0.494158,BASLANGIC
0.031082,BASLANGIC
0.678905,BASLANGIC
0.039971,BASLANGIC
0.437471,BASLANGIC
0.028443,BASLANGIC
0.621558,BASLANGIC
0.070995,BASLANGIC
0.735501,BASLANGIC
0.047347,BASLANGIC
0.833474,BASLANGIC
0.016809,BASLANGIC
0.587016,BASLANGIC
0.020064,BASLANGIC
0.566497,BASLANGIC
0.056760,BASLANGIC
0.650030,BASLANGIC
0.015485,BASLANGIC
0.344673,BASLANGIC
0.017779,BASLANGIC
0.532731,BASLANGIC
0.047746,BASLANGIC
0.540380,BASLANGIC
0.094430,BASLANGIC
0.468662,BASLANGIC
0.022761,BASLANGIC
0.523477,BASLANGIC
0.018694,BASLANGIC
0.155916,BASLANGIC
0.012549,BASLANGIC
0.543414,BASLANGIC
0.022396,BASLANGIC
0.346303,BASLANGIC
0.037479,BASLANGIC
0.015486,BASLANGIC
0.839817,BASLANGIC
0.024058,BASLANGIC
0.570833,BASLANGIC
0.045443,BASLANGIC
0.548638,BASLANGIC
0.019307,BASLANGIC
0.507724,BASLANGIC
0.042574,BASLANGIC
0.008369,BASLANGIC
0.270547,BASLANGIC
0.041657,BASLANGIC
0.144605,BASLANGIC
0.012749,BASLANGIC
0.547496,BASLANGIC
0.031206,BASLANGIC
0.711244,BASLANGIC
0.056991,BASLANGIC
0.658262,BASLANGIC
0.018259,BASLANGIC
0.257768,BASLANGIC
0.143509,BASLANGIC
0.568843,BASLANGIC
0.037443,BASLANGIC
0.509986,BASLANGIC
0.022888,BASLANGIC
0.754149,BASLANGIC
0.062427,BASLANGIC
0.586751,BASLANGIC
0.092757,BASLANGIC
0.468746,BASLANGIC
0.016938,BASLANGIC
0.523186,BASLANGIC
0.019994,BASLANGIC
0.413819,BASLANGIC
0.021192,BASLANGIC
0.549429,BASLANGIC
0.041500,BASLANGIC
0.625518,BASLANGIC
0.080753,BASLANGIC
0.668037,BASLANGIC
0.011863,BASLANGIC
0.846865,BASLANGIC
0.047271,BASLANGIC
0.898002,BASLANGIC
0.023680,BASLANGIC
0.501695,BASLANGIC
0.036516,BASLANGIC
0.557367,BASLANGIC
0.017495,BASLANGIC
0.372914,BASLANGIC
0.037488,BASLANGIC
0.452846,BASLANGIC
0.088974,BASLANGIC
0.795696,BASLANGIC
0.029707,BASLANGIC
0.196925,BASLANGIC
0.037404,BASLANGIC
0.623712,BASLANGIC
0.013836,BASLANGIC
0.015564,BASLANGIC
0.482022,BASLANGIC
0.069778,BASLANGIC
0.497014,BASLANGIC
0.037974,BASLANGIC
0.378909,BASLANGIC
0.021441,BASLANGIC
0.439807,BASLANGIC
0.017703,BASLANGIC
0.305682,BASLANGIC
0.039786,BASLANGIC
0.508833,BASLANGIC
0.021164,BASLANGIC
0.524899,BASLANGIC
0.016851,BASLANGIC
0.498048,BASLANGIC
0.011065,BASLANGIC
0.565682,BASLANGIC
0.054155,BASLANGIC
0.022245,BASLANGIC
0.470466,BASLANGIC
0.035865,BASLANGIC
0.019789,BASLANGIC
0.392183,BASLANGIC
0.035909,BASLANGIC
0.559927,BASLANGIC
0.023413,BASLANGIC
0.537819,BASLANGIC
0.073107,BASLANGIC
0.330291,BASLANGIC
0.077639,BASLANGIC
0.358226,BASLANGIC
0.043128,BASLANGIC
0.083002,BASLANGIC
0.645318,BASLANGIC
0.033750,BASLANGIC
0.562419,BASLANGIC
0.037826,BASLANGIC
0.028111,BASLANGIC
0.403116,BASLANGIC
0.021152,BASLANGIC
0.525804,BASLANGIC
0.039782,BASLANGIC
0.562278,BASLANGIC
0.061841,BASLANGIC
0.703307,BASLANGIC
0.024414,BASLANGIC
0.421155,BASLANGIC
0.032812,BASLANGIC
0.575737,BASLANGIC
0.032896,BASLANGIC
0.701332,BASLANGIC
0.027905,BASLANGIC
0.515736,BASLANGIC
0.036878,BASLANGIC
0.727768,BASLANGIC
0.069380,BASLANGIC
0.426429,BASLANGIC
0.061784,BASLANGIC
0.442085,BASLANGIC
0.021561,BASLANGIC
0.807610,BASLANGIC
0.023777,BASLANGIC
0.634679,BASLANGIC
0.035312,BASLANGIC
0.518033,BASLANGIC
0.050463,BASLANGIC
0.438577,BASLANGIC
0.018302,BASLANGIC
0.470347,BASLANGIC
0.025611,BASLANGIC
0.590089,BASLANGIC
0.039765,BASLANGIC
0.762882,BASLANGIC
0.021159,BASLANGIC
0.410424,BASLANGIC
0.025132,BASLANGIC
0.443386,BASLANGIC
0.010816,BASLANGIC
0.447970,BASLANGIC
0.032250,BASLANGIC
0.402888,BASLANGIC
0.047500,BASLANGIC
0.590972,NORMAL
0.000000,NORMAL
0.618782,NORMAL
0.000000,NORMAL
0.748464,NORMAL
0.000000,NORMAL
0.440928,NORMAL
0.000000,NORMAL
0.638679,NORMAL
0.000000,NORMAL
0.318734,NORMAL
0.000000,NORMAL
0.430873,NORMAL
0.000000,NORMAL
0.434006,NORMAL
0.000000,NORMAL
0.479926,NORMAL
0.000000,NORMAL
0.710635,NORMAL
0.000000,NORMAL
0.423648,NORMAL
0.000000,NORMAL
0.455353,NORMAL
0.000000,NORMAL
0.821047,NORMAL
0.000000,NORMAL
0.623176,NORMAL
0.000000,NORMAL
0.589638,NORMAL
0.000000,NORMAL
0.630525,NORMAL
0.000000,NORMAL
0.503730,NORMAL
0.000000,NORMAL
0.644619,NORMAL
0.000000,NORMAL
0.810331,NORMAL
0.000000,NORMAL
0.667677,NORMAL
0.000000,NORMAL
0.721686,NORMAL
0.000000,NORMAL
0.825021,NORMAL
0.000000,NORMAL
0.719851,NORMAL
0.000000,NORMAL
0.330557,NORMAL
0.000000,NORMAL
0.478517,NORMAL
0.000000,NORMAL
0.662135,NORMAL
0.000000,NORMAL
0.672007,NORMAL
0.000000,NORMAL
0.607314,NORMAL
0.000000,NORMAL
0.513215,NORMAL
0.000000,NORMAL
0.177508,NORMAL
0.000000,NORMAL
0.399047,NORMAL
0.000000,NORMAL
0.496334,NORMAL
0.000000,NORMAL
0.645335,NORMAL
