@RELATION SINGLE_HH_ENERGY

@ATTRIBUTE HH_energy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.995394,BASLANGIC
0.166661,BASLANGIC
0.988738,BASLANGIC
0.312538,BASLANGIC
0.988804,BASLANGIC
0.176196,BASLANGIC
0.993340,BASLANGIC
0.995890,BASLANGIC
0.196312,BASLANGIC
0.993695,BASLANGIC
0.354292,BASLANGIC
0.989799,BASLANGIC
0.146293,BASLANGIC
0.995255,BASLANGIC
0.128774,BASLANGIC
0.993695,BASLANGIC
0.491971,BASLANGIC
0.980739,BASLANGIC
0.080696,BASLANGIC
0.981230,BASLANGIC
0.122645,BASLANGIC
0.994614,BASLANGIC
0.081188,BASLANGIC
0.996244,BASLANGIC
0.229122,BASLANGIC
0.975782,BASLANGIC
0.278917,BASLANGIC
0.992704,BASLANGIC
0.070518,BASLANGIC
0.993837,BASLANGIC
0.198485,BASLANGIC
0.995255,BASLANGIC
0.160288,BASLANGIC
0.992278,BASLANGIC
0.156353,BASLANGIC
0.972097,BASLANGIC
0.235960,BASLANGIC
0.994899,BASLANGIC
0.106366,BASLANGIC
0.983919,BASLANGIC
0.034523,BASLANGIC
0.995181,BASLANGIC
0.258855,BASLANGIC
0.984066,BASLANGIC
0.136625,BASLANGIC
0.985904,BASLANGIC
0.049453,BASLANGIC
0.989371,BASLANGIC
0.119019,BASLANGIC
0.995185,BASLANGIC
0.994334,BASLANGIC
0.216722,BASLANGIC
0.978964,BASLANGIC
0.095526,BASLANGIC
0.994191,BASLANGIC
0.099541,BASLANGIC
0.991572,BASLANGIC
0.182319,BASLANGIC
0.995393,BASLANGIC
0.100509,BASLANGIC
0.992349,BASLANGIC
0.155981,BASLANGIC
0.994261,BASLANGIC
0.185852,BASLANGIC
0.979458,BASLANGIC
0.227104,BASLANGIC
0.986334,BASLANGIC
0.306864,BASLANGIC
0.985477,BASLANGIC
0.084744,BASLANGIC
0.992844,BASLANGIC
0.154370,BASLANGIC
0.984700,BASLANGIC
0.228136,BASLANGIC
0.992634,BASLANGIC
0.229299,BASLANGIC
0.989941,BASLANGIC
0.118923,BASLANGIC
0.987036,BASLANGIC
0.185677,BASLANGIC
0.991642,BASLANGIC
0.134785,BASLANGIC
0.978605,BASLANGIC
0.056647,BASLANGIC
0.980592,BASLANGIC
0.017139,BASLANGIC
0.993766,BASLANGIC
0.094108,BASLANGIC
0.995185,BASLANGIC
0.147531,BASLANGIC
0.982221,BASLANGIC
0.113511,BASLANGIC
0.995325,BASLANGIC
0.233322,BASLANGIC
0.994332,BASLANGIC
0.171247,BASLANGIC
0.983991,BASLANGIC
0.193302,BASLANGIC
0.967281,BASLANGIC
0.155592,BASLANGIC
0.993131,BASLANGIC
0.157678,BASLANGIC
0.993977,BASLANGIC
0.654811,BASLANGIC
0.994261,BASLANGIC
0.235869,BASLANGIC
0.993271,BASLANGIC
0.262717,BASLANGIC
0.986330,BASLANGIC
0.995749,BASLANGIC
0.029183,BASLANGIC
