@RELATION SINGLE_HH_HOMOGENEITY

@ATTRIBUTE HH_homogeneity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.994578,BASLANGIC
0.270816,BASLANGIC
0.986420,BASLANGIC
0.478852,BASLANGIC
0.986974,BASLANGIC
0.325749,BASLANGIC
0.992634,BASLANGIC
0.995003,BASLANGIC
0.330115,BASLANGIC
0.992500,BASLANGIC
0.516941,BASLANGIC
0.987841,BASLANGIC
0.263144,BASLANGIC
0.994668,BASLANGIC
0.234663,BASLANGIC
0.992536,BASLANGIC
0.625596,BASLANGIC
0.977523,BASLANGIC
0.188396,BASLANGIC
0.977781,BASLANGIC
0.238522,BASLANGIC
0.993646,BASLANGIC
0.147775,BASLANGIC
0.995337,BASLANGIC
0.362967,BASLANGIC
0.970600,BASLANGIC
0.440394,BASLANGIC
0.991800,BASLANGIC
0.161799,BASLANGIC
0.992369,BASLANGIC
0.301751,BASLANGIC
0.994460,BASLANGIC
0.263031,BASLANGIC
0.990457,BASLANGIC
0.283812,BASLANGIC
0.967468,BASLANGIC
0.410920,BASLANGIC
0.993806,BASLANGIC
0.217124,BASLANGIC
0.980795,BASLANGIC
0.098817,BASLANGIC
0.994102,BASLANGIC
0.443044,BASLANGIC
0.980803,BASLANGIC
0.267488,BASLANGIC
0.983097,BASLANGIC
0.120249,BASLANGIC
0.987247,BASLANGIC
0.220517,BASLANGIC
0.994392,BASLANGIC
0.993471,BASLANGIC
0.325635,BASLANGIC
0.975675,BASLANGIC
0.209929,BASLANGIC
0.992925,BASLANGIC
0.192430,BASLANGIC
0.990450,BASLANGIC
0.258461,BASLANGIC
0.995233,BASLANGIC
0.205266,BASLANGIC
0.991505,BASLANGIC
0.256457,BASLANGIC
0.992979,BASLANGIC
0.331568,BASLANGIC
0.975394,BASLANGIC
0.362868,BASLANGIC
0.984243,BASLANGIC
0.450680,BASLANGIC
0.983091,BASLANGIC
0.181528,BASLANGIC
0.992070,BASLANGIC
0.259743,BASLANGIC
0.982714,BASLANGIC
0.360205,BASLANGIC
0.991134,BASLANGIC
0.349237,BASLANGIC
0.988017,BASLANGIC
0.204435,BASLANGIC
0.984201,BASLANGIC
0.344718,BASLANGIC
0.989690,BASLANGIC
0.244371,BASLANGIC
0.974173,BASLANGIC
0.127516,BASLANGIC
0.977373,BASLANGIC
0.086405,BASLANGIC
0.992569,BASLANGIC
0.207387,BASLANGIC
0.994213,BASLANGIC
0.260607,BASLANGIC
0.978736,BASLANGIC
0.210588,BASLANGIC
0.994507,BASLANGIC
0.407492,BASLANGIC
0.993123,BASLANGIC
0.295354,BASLANGIC
0.981167,BASLANGIC
0.311119,BASLANGIC
0.960986,BASLANGIC
0.297394,BASLANGIC
0.991668,BASLANGIC
0.288676,BASLANGIC
0.993026,BASLANGIC
0.747881,BASLANGIC
0.993525,BASLANGIC
0.328891,BASLANGIC
0.991968,BASLANGIC
0.439453,BASLANGIC
0.983770,BASLANGIC
0.994811,BASLANGIC
0.082669,BASLANGIC
0.991689,BASLANGIC
0.268276,BASLANGIC
0.983141,BASLANGIC
0.279337,BASLANGIC
0.991473,BASLANGIC
0.279767,BASLANGIC
0.985870,BASLANGIC
0.997883,BASLANGIC
0.555720,BASLANGIC
0.981249,BASLANGIC
0.738277,BASLANGIC
0.995082,BASLANGIC
0.218252,BASLANGIC
0.987839,BASLANGIC
0.158722,BASLANGIC
0.970924,BASLANGIC
0.184169,BASLANGIC
0.991952,BASLANGIC
0.512922,BASLANGIC
0.940530,BASLANGIC
0.252597,BASLANGIC
0.985138,BASLANGIC
0.281023,BASLANGIC
0.990744,BASLANGIC
0.164794,BASLANGIC
0.973339,BASLANGIC
0.248572,BASLANGIC
0.964810,BASLANGIC
0.314607,BASLANGIC
0.993854,BASLANGIC
0.283263,BASLANGIC
0.991749,BASLANGIC
0.383490,BASLANGIC
0.991254,BASLANGIC
0.252761,BASLANGIC
0.980281,BASLANGIC
0.194918,BASLANGIC
0.967567,BASLANGIC
0.204423,BASLANGIC
0.994729,BASLANGIC
0.054716,BASLANGIC
0.984870,BASLANGIC
0.077528,BASLANGIC
0.991376,BASLANGIC
0.387321,BASLANGIC
0.985574,BASLANGIC
0.265543,BASLANGIC
0.993702,BASLANGIC
0.385077,BASLANGIC
0.984558,BASLANGIC
0.350275,BASLANGIC
0.964564,BASLANGIC
0.084848,BASLANGIC
0.991288,BASLANGIC
0.611135,BASLANGIC
0.983302,BASLANGIC
0.242344,BASLANGIC
0.993764,BASLANGIC
0.992765,BASLANGIC
0.369768,BASLANGIC
0.973547,BASLANGIC
0.291097,BASLANGIC
0.982037,BASLANGIC
0.364459,BASLANGIC
0.992830,BASLANGIC
0.323108,BASLANGIC
0.989236,BASLANGIC
0.512746,BASLANGIC
0.984406,BASLANGIC
0.271432,BASLANGIC
0.991749,BASLANGIC
0.273763,BASLANGIC
0.993354,BASLANGIC
0.327464,BASLANGIC
0.995568,BASLANGIC
0.230885,BASLANGIC
0.981385,BASLANGIC
0.991743,BASLANGIC
0.347768,BASLANGIC
0.986325,BASLANGIC
0.992784,BASLANGIC
0.343328,BASLANGIC
0.986088,BASLANGIC
0.255968,BASLANGIC
0.991743,BASLANGIC
0.250147,BASLANGIC
0.972309,BASLANGIC
0.437617,BASLANGIC
0.967012,BASLANGIC
0.423447,BASLANGIC
0.983472,BASLANGIC
0.968566,BASLANGIC
0.204367,BASLANGIC
0.982915,BASLANGIC
0.262124,BASLANGIC
0.982915,BASLANGIC
0.988697,BASLANGIC
0.353461,BASLANGIC
