@RELATION SINGLE_HL_ASM

@ATTRIBUTE HL_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.986775,BASLANGIC
0.034186,BASLANGIC
0.963303,BASLANGIC
0.125580,BASLANGIC
0.967876,BASLANGIC
0.161075,BASLANGIC
0.980140,BASLANGIC
0.989626,BASLANGIC
0.058198,BASLANGIC
0.980260,BASLANGIC
0.138801,BASLANGIC
0.969526,BASLANGIC
0.070613,BASLANGIC
0.983219,BASLANGIC
0.026218,BASLANGIC
0.978603,BASLANGIC
0.224119,BASLANGIC
0.934795,BASLANGIC
0.051168,BASLANGIC
0.947536,BASLANGIC
0.046646,BASLANGIC
0.986064,BASLANGIC
0.009856,BASLANGIC
0.984286,BASLANGIC
0.068813,BASLANGIC
0.922376,BASLANGIC
0.231879,BASLANGIC
0.974585,BASLANGIC
0.048931,BASLANGIC
0.976946,BASLANGIC
0.064480,BASLANGIC
0.983572,BASLANGIC
0.053523,BASLANGIC
0.973645,BASLANGIC
0.067687,BASLANGIC
0.916068,BASLANGIC
0.204488,BASLANGIC
0.983572,BASLANGIC
0.040746,BASLANGIC
0.954544,BASLANGIC
0.046943,BASLANGIC
0.984402,BASLANGIC
0.265119,BASLANGIC
0.952893,BASLANGIC
0.052925,BASLANGIC
0.959801,BASLANGIC
0.081689,BASLANGIC
0.969290,BASLANGIC
0.075359,BASLANGIC
0.981797,BASLANGIC
0.980731,BASLANGIC
0.035760,BASLANGIC
0.933082,BASLANGIC
0.084094,BASLANGIC
0.979193,BASLANGIC
0.007669,BASLANGIC
0.969763,BASLANGIC
0.058864,BASLANGIC
0.988319,BASLANGIC
0.103277,BASLANGIC
0.976475,BASLANGIC
0.066962,BASLANGIC
0.982268,BASLANGIC
0.062905,BASLANGIC
0.930868,BASLANGIC
0.053227,BASLANGIC
0.949518,BASLANGIC
0.171599,BASLANGIC
0.958034,BASLANGIC
0.027423,BASLANGIC
0.978954,BASLANGIC
0.083953,BASLANGIC
0.952078,BASLANGIC
0.075713,BASLANGIC
0.971996,BASLANGIC
0.126855,BASLANGIC
0.965766,BASLANGIC
0.023346,BASLANGIC
