@RELATION SINGLE_HL_CONTRAST

@ATTRIBUTE HL_contrast NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.029497,BASLANGIC
0.374585,BASLANGIC
0.036469,BASLANGIC
0.117006,BASLANGIC
0.031326,BASLANGIC
0.134133,BASLANGIC
0.025103,BASLANGIC
0.028188,BASLANGIC
0.276428,BASLANGIC
0.030239,BASLANGIC
0.139864,BASLANGIC
0.037028,BASLANGIC
0.267599,BASLANGIC
0.032496,BASLANGIC
0.427057,BASLANGIC
0.031007,BASLANGIC
0.292378,BASLANGIC
0.094909,BASLANGIC
0.280695,BASLANGIC
0.071950,BASLANGIC
0.352553,BASLANGIC
0.025609,BASLANGIC
0.715329,BASLANGIC
0.031777,BASLANGIC
0.304505,BASLANGIC
0.075872,BASLANGIC
0.077129,BASLANGIC
0.044185,BASLANGIC
0.341194,BASLANGIC
0.043127,BASLANGIC
0.364813,BASLANGIC
0.035214,BASLANGIC
0.297990,BASLANGIC
0.037814,BASLANGIC
0.205254,BASLANGIC
0.124813,BASLANGIC
0.087025,BASLANGIC
0.023253,BASLANGIC
0.400723,BASLANGIC
0.044586,BASLANGIC
0.279852,BASLANGIC
0.027926,BASLANGIC
0.082073,BASLANGIC
0.052998,BASLANGIC
0.209708,BASLANGIC
0.035517,BASLANGIC
0.156641,BASLANGIC
0.044085,BASLANGIC
0.208849,BASLANGIC
0.035756,BASLANGIC
0.046646,BASLANGIC
0.439823,BASLANGIC
0.081884,BASLANGIC
0.216814,BASLANGIC
0.048091,BASLANGIC
0.626990,BASLANGIC
0.041158,BASLANGIC
0.681981,BASLANGIC
0.032303,BASLANGIC
0.155572,BASLANGIC
0.049159,BASLANGIC
0.229166,BASLANGIC
0.032851,BASLANGIC
0.255702,BASLANGIC
0.104425,BASLANGIC
0.392592,BASLANGIC
0.054295,BASLANGIC
0.147650,BASLANGIC
0.040515,BASLANGIC
0.429018,BASLANGIC
0.030704,BASLANGIC
0.259183,BASLANGIC
0.095375,BASLANGIC
0.403689,BASLANGIC
0.057827,BASLANGIC
0.244551,BASLANGIC
0.042632,BASLANGIC
0.653888,BASLANGIC
0.037779,BASLANGIC
0.452056,BASLANGIC
0.045627,BASLANGIC
0.731531,BASLANGIC
0.058483,BASLANGIC
0.543180,BASLANGIC
0.068183,BASLANGIC
0.462570,BASLANGIC
0.030871,BASLANGIC
0.159550,BASLANGIC
0.042447,BASLANGIC
0.136800,BASLANGIC
0.099776,BASLANGIC
0.260429,BASLANGIC
0.039848,BASLANGIC
0.226932,BASLANGIC
0.023159,BASLANGIC
0.478819,BASLANGIC
0.076425,BASLANGIC
0.183813,BASLANGIC
0.109249,BASLANGIC
0.482693,BASLANGIC
0.029808,BASLANGIC
0.320284,BASLANGIC
0.025804,BASLANGIC
0.130027,BASLANGIC
0.020451,BASLANGIC
0.290747,BASLANGIC
0.045479,BASLANGIC
0.200980,BASLANGIC
0.065734,BASLANGIC
0.045175,BASLANGIC
0.512175,BASLANGIC
0.048783,BASLANGIC
0.396708,BASLANGIC
0.059281,BASLANGIC
0.489064,BASLANGIC
0.044783,BASLANGIC
0.330180,BASLANGIC
0.062856,BASLANGIC
0.026952,BASLANGIC
0.168227,BASLANGIC
0.072029,BASLANGIC
0.093564,BASLANGIC
0.022455,BASLANGIC
0.306100,BASLANGIC
0.052166,BASLANGIC
0.693915,BASLANGIC
0.056647,BASLANGIC
0.614995,BASLANGIC
0.041627,BASLANGIC
0.111916,BASLANGIC
0.164151,BASLANGIC
0.157321,BASLANGIC
0.054720,BASLANGIC
0.165760,BASLANGIC
0.041158,BASLANGIC
0.498745,BASLANGIC
0.088361,BASLANGIC
0.291866,BASLANGIC
0.155668,BASLANGIC
0.607564,BASLANGIC
0.034023,BASLANGIC
0.398655,BASLANGIC
0.029928,BASLANGIC
0.336915,BASLANGIC
0.046992,BASLANGIC
0.407007,BASLANGIC
0.044388,BASLANGIC
0.154004,BASLANGIC
0.101568,BASLANGIC
0.471793,BASLANGIC
0.026198,BASLANGIC
0.634625,BASLANGIC
0.083431,BASLANGIC
0.531691,BASLANGIC
0.057517,BASLANGIC
0.404121,BASLANGIC
0.051941,BASLANGIC
0.198378,BASLANGIC
0.032248,BASLANGIC
0.149156,BASLANGIC
0.063653,BASLANGIC
0.284620,BASLANGIC
0.139171,BASLANGIC
0.358464,BASLANGIC
0.042199,BASLANGIC
0.111362,BASLANGIC
0.048918,BASLANGIC
0.524590,BASLANGIC
0.035363,BASLANGIC
0.023072,BASLANGIC
0.237631,BASLANGIC
0.067809,BASLANGIC
0.177538,BASLANGIC
0.096245,BASLANGIC
0.362851,BASLANGIC
0.048505,BASLANGIC
0.357618,BASLANGIC
0.026709,BASLANGIC
0.225943,BASLANGIC
0.101080,BASLANGIC
0.141935,BASLANGIC
0.037572,BASLANGIC
0.145004,BASLANGIC
0.034460,BASLANGIC
0.578577,BASLANGIC
0.021512,BASLANGIC
0.383209,BASLANGIC
0.058527,BASLANGIC
0.037129,BASLANGIC
0.257779,BASLANGIC
0.052997,BASLANGIC
0.038117,BASLANGIC
0.304780,BASLANGIC
0.038339,BASLANGIC
0.527285,BASLANGIC
0.040132,BASLANGIC
0.396692,BASLANGIC
0.088026,BASLANGIC
0.209937,BASLANGIC
0.082789,BASLANGIC
0.173365,BASLANGIC
0.056815,BASLANGIC
0.094039,BASLANGIC
0.628474,BASLANGIC
0.054664,BASLANGIC
0.164282,BASLANGIC
0.083796,BASLANGIC
0.028904,BASLANGIC
0.370096,BASLANGIC
0.045391,BASLANGIC
0.521673,BASLANGIC
0.050551,BASLANGIC
0.169583,BASLANGIC
0.070398,BASLANGIC
0.390578,BASLANGIC
0.034907,BASLANGIC
0.282739,BASLANGIC
0.052465,BASLANGIC
0.397966,BASLANGIC
0.033734,BASLANGIC
0.607630,BASLANGIC
0.039587,BASLANGIC
0.128820,BASLANGIC
0.057817,BASLANGIC
0.173341,BASLANGIC
0.070773,BASLANGIC
0.396248,BASLANGIC
0.056986,BASLANGIC
0.288472,BASLANGIC
0.025972,BASLANGIC
0.079907,BASLANGIC
0.024252,BASLANGIC
0.361955,BASLANGIC
0.056752,BASLANGIC
0.453053,BASLANGIC
0.044255,BASLANGIC
0.297220,BASLANGIC
0.029831,BASLANGIC
0.627654,BASLANGIC
0.051056,BASLANGIC
0.276378,BASLANGIC
0.075024,BASLANGIC
0.505393,BASLANGIC
0.034697,BASLANGIC
0.381995,BASLANGIC
0.054214,BASLANGIC
0.300160,BASLANGIC
0.023077,BASLANGIC
0.444571,BASLANGIC
0.061493,BASLANGIC
0.111021,BASLANGIC
0.051463,BASLANGIC
0.823263,NORMAL
0.000000,NORMAL
0.454329,NORMAL
0.000000,NORMAL
0.626552,NORMAL
0.000000,NORMAL
0.462168,NORMAL
0.000000,NORMAL
