@RELATION SINGLE_HL_CORRELATION

@ATTRIBUTE HL_correlation NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.225135,BASLANGIC
0.263092,BASLANGIC
0.224724,BASLANGIC
0.249938,BASLANGIC
0.187266,BASLANGIC
0.226138,BASLANGIC
0.242534,BASLANGIC
0.183729,BASLANGIC
0.284938,BASLANGIC
0.221497,BASLANGIC
0.256100,BASLANGIC
0.196965,BASLANGIC
0.248246,BASLANGIC
0.237892,BASLANGIC
0.246733,BASLANGIC
0.222212,BASLANGIC
0.391133,BASLANGIC
0.204266,BASLANGIC
0.355395,BASLANGIC
0.210898,BASLANGIC
0.177662,BASLANGIC
0.248245,BASLANGIC
0.193150,BASLANGIC
0.244873,BASLANGIC
0.350964,BASLANGIC
0.239544,BASLANGIC
0.175853,BASLANGIC
0.188943,BASLANGIC
0.220360,BASLANGIC
0.224446,BASLANGIC
0.229489,BASLANGIC
0.238452,BASLANGIC
0.185238,BASLANGIC
0.201001,BASLANGIC
0.472777,BASLANGIC
0.206745,BASLANGIC
0.215271,BASLANGIC
0.222801,BASLANGIC
0.365450,BASLANGIC
0.241234,BASLANGIC
0.240270,BASLANGIC
0.224974,BASLANGIC
0.199020,BASLANGIC
0.243988,BASLANGIC
0.252079,BASLANGIC
0.242839,BASLANGIC
0.180978,BASLANGIC
0.212543,BASLANGIC
0.250314,BASLANGIC
0.254200,BASLANGIC
0.251559,BASLANGIC
0.246818,BASLANGIC
0.236902,BASLANGIC
0.231304,BASLANGIC
0.248084,BASLANGIC
0.244216,BASLANGIC
0.203019,BASLANGIC
0.239190,BASLANGIC
0.228568,BASLANGIC
0.216773,BASLANGIC
0.230844,BASLANGIC
0.196434,BASLANGIC
0.237963,BASLANGIC
0.173359,BASLANGIC
0.165698,BASLANGIC
0.264283,BASLANGIC
0.247819,BASLANGIC
0.256838,BASLANGIC
0.193360,BASLANGIC
0.279965,BASLANGIC
0.237272,BASLANGIC
0.273635,BASLANGIC
0.235377,BASLANGIC
0.291175,BASLANGIC
0.263374,BASLANGIC
0.340325,BASLANGIC
0.235526,BASLANGIC
0.276502,BASLANGIC
0.236313,BASLANGIC
0.218167,BASLANGIC
0.236135,BASLANGIC
0.263349,BASLANGIC
0.218946,BASLANGIC
0.289489,BASLANGIC
0.221076,BASLANGIC
0.214472,BASLANGIC
0.236712,BASLANGIC
0.169528,BASLANGIC
0.224237,BASLANGIC
0.319243,BASLANGIC
0.237904,BASLANGIC
0.195313,BASLANGIC
0.248532,BASLANGIC
0.243260,BASLANGIC
0.222239,BASLANGIC
0.312980,BASLANGIC
0.231925,BASLANGIC
0.375105,BASLANGIC
0.213970,BASLANGIC
0.277174,BASLANGIC
0.181654,BASLANGIC
0.250926,BASLANGIC
0.243065,BASLANGIC
0.101383,BASLANGIC
0.171551,BASLANGIC
0.277081,BASLANGIC
0.231224,BASLANGIC
0.270755,BASLANGIC
0.262950,BASLANGIC
0.243714,BASLANGIC
0.238834,BASLANGIC
0.211411,BASLANGIC
0.270722,BASLANGIC
0.228490,BASLANGIC
0.261872,BASLANGIC
0.196181,BASLANGIC
0.270634,BASLANGIC
0.257414,BASLANGIC
0.206341,BASLANGIC
0.284144,BASLANGIC
0.264662,BASLANGIC
0.194409,BASLANGIC
0.157585,BASLANGIC
0.257105,BASLANGIC
0.200854,BASLANGIC
0.229663,BASLANGIC
0.196942,BASLANGIC
0.263173,BASLANGIC
0.224712,BASLANGIC
0.293747,BASLANGIC
0.219691,BASLANGIC
0.173333,BASLANGIC
0.233677,BASLANGIC
0.286595,BASLANGIC
0.222744,BASLANGIC
0.233373,BASLANGIC
0.230282,BASLANGIC
0.425769,BASLANGIC
0.250577,BASLANGIC
0.240840,BASLANGIC
0.227266,BASLANGIC
0.250653,BASLANGIC
0.243331,BASLANGIC
0.288732,BASLANGIC
0.187897,BASLANGIC
0.291677,BASLANGIC
0.182546,BASLANGIC
0.326879,BASLANGIC
0.237391,BASLANGIC
0.262442,BASLANGIC
0.152793,BASLANGIC
0.269644,BASLANGIC
0.246180,BASLANGIC
0.266994,BASLANGIC
0.272661,BASLANGIC
0.263125,BASLANGIC
0.255873,BASLANGIC
0.290324,BASLANGIC
0.155771,BASLANGIC
0.263437,BASLANGIC
0.238377,BASLANGIC
0.438301,BASLANGIC
0.225629,BASLANGIC
0.279547,BASLANGIC
0.257287,BASLANGIC
0.284189,BASLANGIC
0.199102,BASLANGIC
0.272553,BASLANGIC
0.260324,BASLANGIC
0.222168,BASLANGIC
0.258262,BASLANGIC
0.210211,BASLANGIC
0.193530,BASLANGIC
0.238514,BASLANGIC
0.265938,BASLANGIC
0.176098,BASLANGIC
0.296288,BASLANGIC
0.223846,BASLANGIC
0.276899,BASLANGIC
0.244893,BASLANGIC
0.252425,BASLANGIC
0.181641,BASLANGIC
0.238107,BASLANGIC
0.238477,BASLANGIC
0.224467,BASLANGIC
0.168958,BASLANGIC
0.382590,BASLANGIC
0.242952,BASLANGIC
0.171157,BASLANGIC
0.282537,BASLANGIC
0.205363,BASLANGIC
0.213702,BASLANGIC
0.256697,BASLANGIC
0.216454,BASLANGIC
0.305185,BASLANGIC
0.226285,BASLANGIC
0.348780,BASLANGIC
0.245766,BASLANGIC
0.186215,BASLANGIC
0.200171,BASLANGIC
0.324839,BASLANGIC
0.213927,BASLANGIC
0.133830,BASLANGIC
0.240681,BASLANGIC
0.234362,BASLANGIC
0.254325,BASLANGIC
0.276215,BASLANGIC
0.250195,BASLANGIC
0.243098,BASLANGIC
0.174713,BASLANGIC
0.276520,BASLANGIC
0.243883,BASLANGIC
0.267634,BASLANGIC
0.242249,BASLANGIC
0.290773,BASLANGIC
0.234899,BASLANGIC
0.237878,BASLANGIC
0.254945,BASLANGIC
0.249494,BASLANGIC
0.211503,BASLANGIC
0.304966,BASLANGIC
0.222600,BASLANGIC
0.235429,BASLANGIC
0.250958,BASLANGIC
0.358699,BASLANGIC
0.216507,BASLANGIC
0.328650,BASLANGIC
0.195735,BASLANGIC
0.305886,BASLANGIC
0.198477,BASLANGIC
0.212730,BASLANGIC
0.185929,BASLANGIC
0.248213,BASLANGIC
0.195062,BASLANGIC
0.269158,BASLANGIC
0.211340,BASLANGIC
0.203538,BASLANGIC
0.186040,BASLANGIC
0.263994,BASLANGIC
0.254436,BASLANGIC
0.238494,BASLANGIC
0.240764,BASLANGIC
0.247270,BASLANGIC
0.228661,BASLANGIC
0.254326,BASLANGIC
0.226586,BASLANGIC
0.245250,BASLANGIC
0.208154,BASLANGIC
0.247573,BASLANGIC
0.267650,BASLANGIC
0.235242,BASLANGIC
0.218389,BASLANGIC
0.179484,NORMAL
1.000000,NORMAL
0.223292,NORMAL
1.000000,NORMAL
0.308455,NORMAL
1.000000,NORMAL
0.226012,NORMAL
1.000000,NORMAL
0.188886,NORMAL
1.000000,NORMAL
0.176048,NORMAL
1.000000,NORMAL
0.194891,NORMAL
1.000000,NORMAL
0.288036,NORMAL
1.000000,NORMAL
0.268902,NORMAL
1.000000,NORMAL
0.237559,NORMAL
1.000000,NORMAL
0.268479,NORMAL
1.000000,NORMAL
0.241307,NORMAL
1.000000,NORMAL
0.232097,NORMAL
1.000000,NORMAL
0.121403,NORMAL
1.000000,NORMAL
0.188763,NORMAL
1.000000,NORMAL
0.173051,NORMAL
1.000000,NORMAL
0.188738,NORMAL
1.000000,NORMAL
0.257216,NORMAL
1.000000,NORMAL
0.201868,NORMAL
1.000000,NORMAL
0.202910,NORMAL
1.000000,NORMAL
0.213204,NORMAL
1.000000,NORMAL
0.254218,NORMAL
1.000000,NORMAL
0.244814,NORMAL
1.000000,NORMAL
0.247906,NORMAL
1.000000,NORMAL
0.258782,NORMAL
1.000000,NORMAL
0.229060,NORMAL
1.000000,NORMAL
0.285670,NORMAL
1.000000,NORMAL
0.209815,NORMAL
1.000000,NORMAL
0.290784,NORMAL
1.000000,NORMAL
0.147173,NORMAL
1.000000,NORMAL
0.160447,NORMAL
1.000000,NORMAL
0.227108,NORMAL
1.000000,NORMAL
0.256525,NORMAL
1.000000,NORMAL
0.196543,NORMAL
1.000000,NORMAL
0.209119,NORMAL
1.000000,NORMAL
0.229988,NORMAL
1.000000,NORMAL
0.275499,NORMAL
1.000000,NORMAL
0.297390,NORMAL
1.000000,NORMAL
0.246844,NORMAL
1.000000,NORMAL
0.218511,NORMAL
1.000000,NORMAL
0.221846,NORMAL
1.000000,NORMAL
0.278905,NORMAL
1.000000,NORMAL
0.195587,NORMAL
1.000000,NORMAL
0.215583,NORMAL
1.000000,NORMAL
0.269257,NORMAL
1.000000,NORMAL
0.212089,NORMAL
1.000000,NORMAL
0.309238,NORMAL
1.000000,NORMAL
0.227817,NORMAL
1.000000,NORMAL
0.264499,NORMAL
1.000000,NORMAL
0.184021,NORMAL
1.000000,NORMAL
0.219036,NORMAL
1.000000,NORMAL
0.267607,NORMAL
1.000000,NORMAL
0.201334,NORMAL
1.000000,NORMAL
0.284364,NORMAL
1.000000,NORMAL
0.301249,NORMAL
1.000000,NORMAL
0.266170,NORMAL
1.000000,NORMAL
0.189807,NORMAL
1.000000,NORMAL
0.255626,NORMAL
1.000000,NORMAL
0.190904,NORMAL
1.000000,NORMAL
0.196158,NORMAL
1.000000,NORMAL
0.214813,NORMAL
1.000000,NORMAL
0.185154,NORMAL
1.000000,NORMAL
0.198336,NORMAL
1.000000,NORMAL
0.262282,NORMAL
1.000000,NORMAL
0.207956,NORMAL
1.000000,NORMAL
0.268047,NORMAL
1.000000,NORMAL
0.259693,NORMAL
1.000000,NORMAL
0.213174,NORMAL
1.000000,NORMAL
0.149724,NORMAL
1.000000,NORMAL
0.118827,NORMAL
1.000000,NORMAL
0.299377,NORMAL
1.000000,NORMAL
0.264003,NORMAL
1.000000,NORMAL
0.180184,NORMAL
1.000000,NORMAL
0.164026,NORMAL
1.000000,NORMAL
0.168221,NORMAL
1.000000,NORMAL
0.222257,NORMAL
1.000000,NORMAL
0.247850,NORMAL
1.000000,NORMAL
0.268270,NORMAL
1.000000,NORMAL
0.230826,NORMAL
1.000000,NORMAL
0.267104,NORMAL
1.000000,NORMAL
0.224130,NORMAL
1.000000,NORMAL
0.213439,NORMAL
1.000000,NORMAL
0.213245,NORMAL
1.000000,NORMAL
0.184165,NORMAL
1.000000,NORMAL
0.179048,NORMAL
1.000000,NORMAL
0.179308,NORMAL
1.000000,NORMAL
0.248855,NORMAL
1.000000,NORMAL
0.219470,NORMAL
1.000000,NORMAL
0.190896,NORMAL
1.000000,NORMAL
0.172384,NORMAL
1.000000,NORMAL
0.158387,NORMAL
1.000000,NORMAL
0.234933,NORMAL
1.000000,NORMAL
0.186993,NORMAL
1.000000,NORMAL
0.178137,NORMAL
1.000000,NORMAL
0.148066,NORMAL
1.000000,NORMAL
0.179581,NORMAL
1.000000,NORMAL
0.139615,NORMAL
1.000000,NORMAL
0.215280,NORMAL
1.000000,NORMAL
0.195632,NORMAL
1.000000,NORMAL
0.160788,NORMAL
1.000000,NORMAL
0.241773,NORMAL
1.000000,NORMAL
0.279232,NORMAL
1.000000,NORMAL
0.221174,NORMAL
1.000000,NORMAL
0.189358,NORMAL
1.000000,NORMAL
0.185839,NORMAL
1.000000,NORMAL
0.195277,NORMAL
1.000000,NORMAL
0.269673,NORMAL
1.000000,NORMAL
0.206398,NORMAL
1.000000,NORMAL
0.210351,NORMAL
1.000000,NORMAL
0.234090,NORMAL
1.000000,NORMAL
0.244774,NORMAL
1.000000,NORMAL
0.215242,NORMAL
1.000000,NORMAL
0.180794,NORMAL
1.000000,NORMAL
0.192451,NORMAL
1.000000,NORMAL
0.198371,NORMAL
1.000000,NORMAL
0.206251,NORMAL
1.000000,NORMAL
0.183770,NORMAL
1.000000,NORMAL
0.301525,NORMAL
1.000000,NORMAL
0.227754,NORMAL
1.000000,NORMAL
0.146884,NORMAL
1.000000,NORMAL
0.253567,NORMAL
1.000000,NORMAL
0.212323,NORMAL
1.000000,NORMAL
0.208985,NORMAL
1.000000,NORMAL
0.188777,NORMAL
1.000000,NORMAL
0.297627,NORMAL
1.000000,NORMAL
0.188354,NORMAL
1.000000,NORMAL
0.228973,TUMORLU
0.258698,TUMORLU
0.144456,TUMORLU
0.287435,TUMORLU
0.226436,TUMORLU
0.298791,TUMORLU
0.212349,TUMORLU
0.284774,TUMORLU
0.181278,TUMORLU
0.319688,TUMORLU
0.215608,TUMORLU
0.303452,TUMORLU
0.222447,TUMORLU
0.297123,TUMORLU
0.183247,TUMORLU
0.306085,TUMORLU
0.219494,TUMORLU
0.195652,TUMORLU
0.234368,TUMORLU
0.172303,TUMORLU
0.226600,TUMORLU
0.133462,TUMORLU
0.211099,TUMORLU
0.179134,TUMORLU
0.216725,TUMORLU
0.196810,TUMORLU
0.230551,TUMORLU
0.180317,TUMORLU
0.243263,TUMORLU
0.247730,TUMORLU
0.224002,TUMORLU
0.240679,TUMORLU
0.223846,TUMORLU
0.360238,TUMORLU
0.220153,TUMORLU
0.295949,TUMORLU
0.247410,TUMORLU
0.227292,TUMORLU
0.217479,TUMORLU
0.254157,TUMORLU
0.162557,TUMORLU
0.310667,TUMORLU
0.214672,TUMORLU
0.274674,TUMORLU
0.203335,TUMORLU
0.261536,TUMORLU
0.202924,TUMORLU
0.381560,TUMORLU
0.206061,TUMORLU
0.306172,TUMORLU
0.217080,TUMORLU
0.241316,TUMORLU
0.214519,TUMORLU
0.234321,TUMORLU
0.219269,TUMORLU
0.286137,TUMORLU
0.222189,TUMORLU
0.353290,TUMORLU
0.216146,TUMORLU
0.330589,TUMORLU
0.105000,TUMORLU
0.314076,TUMORLU
0.222672,TUMORLU
0.299339,TUMORLU
0.228153,TUMORLU
0.230769,TUMORLU
0.219600,TUMORLU
0.277312,TUMORLU
0.067542,TUMORLU
0.318797,TUMORLU
0.196542,TUMORLU
0.366981,TUMORLU
0.201445,TUMORLU
0.286666,TUMORLU
0.240935,TUMORLU
0.225923,TUMORLU
0.236916,TUMORLU
0.137034,TUMORLU
0.218791,TUMORLU
0.153481,TUMORLU
0.205571,TUMORLU
0.278706,TUMORLU
0.210393,TUMORLU
0.274212,TUMORLU
0.209123,TUMORLU
0.237359,TUMORLU
0.192259,TUMORLU
0.321476,TUMORLU
0.236346,TUMORLU
0.272047,TUMORLU
0.171616,TUMORLU
0.289888,TUMORLU
0.219558,TUMORLU
0.281313,TUMORLU
0.181620,TUMORLU
0.216987,TUMORLU
0.217009,TUMORLU
0.307663,TUMORLU
0.210740,TUMORLU
0.282447,TUMORLU
0.186834,TUMORLU
0.232969,TUMORLU
0.160438,TUMORLU
0.147667,TUMORLU
0.266781,TUMORLU
0.198092,TUMORLU
0.260055,TUMORLU
0.135302,TUMORLU
0.215602,TUMORLU
0.209554,TUMORLU
0.294309,TUMORLU
0.000000,TUMORLU
0.285844,TUMORLU
0.204803,TUMORLU
0.315060,TUMORLU
0.231700,TUMORLU
0.277476,TUMORLU
0.205106,TUMORLU
0.236234,TUMORLU
0.204716,TUMORLU
0.193503,TUMORLU
0.229211,TUMORLU
0.278966,TUMORLU
0.242133,TUMORLU
0.316879,TUMORLU
0.229731,TUMORLU
0.261296,TUMORLU
0.208304,TUMORLU
0.246056,TUMORLU
0.201345,TUMORLU
0.225878,TUMORLU
0.226999,TUMORLU
0.269801,TUMORLU
0.210598,TUMORLU
0.146887,TUMORLU
0.195742,TUMORLU
0.281780,TUMORLU
0.226455,TUMORLU
0.258529,TUMORLU
0.174409,TUMORLU
0.265275,TUMORLU
0.181284,TUMORLU
0.150494,TUMORLU
0.241845,TUMORLU
0.193954,TUMORLU
0.222822,TUMORLU
0.175333,TUMORLU
0.216680,TUMORLU
0.311868,TUMORLU
0.137278,TUMORLU
0.326062,TUMORLU
0.218050,TUMORLU
0.290731,TUMORLU
0.243645,TUMORLU
0.252683,TUMORLU
0.225373,TUMORLU
0.270809,TUMORLU
0.258430,TUMORLU
0.233378,TUMORLU
0.248688,TUMORLU
0.227831,TUMORLU
0.218256,TUMORLU
0.287012,TUMORLU
0.218058,TUMORLU
0.221964,TUMORLU
0.240546,TUMORLU
0.231602,TUMORLU
0.212562,TUMORLU
0.220931,TUMORLU
0.237290,TUMORLU
0.239746,TUMORLU
0.229598,TUMORLU
0.249981,TUMORLU
0.225787,TUMORLU
0.243182,TUMORLU
0.206168,TUMORLU
0.289788,TUMORLU
0.226192,TUMORLU
0.280211,TUMORLU
0.227645,TUMORLU
0.311121,TUMORLU
0.240669,TUMORLU
0.231968,TUMORLU
0.210587,TUMORLU
0.343024,TUMORLU
0.217678,TUMORLU
0.268177,TUMORLU
0.216548,TUMORLU
0.280014,TUMORLU
0.242813,TUMORLU
0.232943,TUMORLU
0.148186,TUMORLU
0.178816,TUMORLU
0.154640,TUMORLU
0.263236,TUMORLU
0.197976,TUMORLU
0.213087,TUMORLU
0.184686,TUMORLU
0.204959,TUMORLU
0.196808,TUMORLU
0.323820,TUMORLU
0.197021,TUMORLU
0.345270,TUMORLU
0.200716,TUMORLU
0.357202,TUMORLU
0.199092,TUMORLU
0.282003,TUMORLU
0.249812,TUMORLU
0.178640,TUMORLU
0.062081,TUMORLU
0.278698,TUMORLU
0.219793,TUMORLU
0.246105,TUMORLU
0.221474,TUMORLU
0.201338,TUMORLU
0.218704,TUMORLU
0.157252,TUMORLU
0.191310,TUMORLU
0.150098,TUMORLU
0.171781,TUMORLU
