@RELATION SINGLE_HL_DISSIMILARITY

@ATTRIBUTE HL_dissimilarity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.015437,BASLANGIC
0.588341,BASLANGIC
0.026395,BASLANGIC
0.290695,BASLANGIC
0.023235,BASLANGIC
0.295210,BASLANGIC
0.015932,BASLANGIC
0.013085,BASLANGIC
0.475206,BASLANGIC
0.017043,BASLANGIC
0.309453,BASLANGIC
0.024551,BASLANGIC
0.465183,BASLANGIC
0.016969,BASLANGIC
0.624263,BASLANGIC
0.018655,BASLANGIC
0.387082,BASLANGIC
0.057082,BASLANGIC
0.484539,BASLANGIC
0.046771,BASLANGIC
0.549215,BASLANGIC
0.014444,BASLANGIC
0.829200,BASLANGIC
0.016105,BASLANGIC
0.482009,BASLANGIC
0.056323,BASLANGIC
0.214538,BASLANGIC
0.023841,BASLANGIC
0.545317,BASLANGIC
0.023768,BASLANGIC
0.538238,BASLANGIC
0.018579,BASLANGIC
0.497281,BASLANGIC
0.022652,BASLANGIC
0.399569,BASLANGIC
0.076807,BASLANGIC
0.233254,BASLANGIC
0.014528,BASLANGIC
0.576771,BASLANGIC
0.033511,BASLANGIC
0.494768,BASLANGIC
0.015610,BASLANGIC
0.211500,BASLANGIC
0.036886,BASLANGIC
0.436876,BASLANGIC
0.028511,BASLANGIC
0.362078,BASLANGIC
0.027076,BASLANGIC
0.418259,BASLANGIC
0.019153,BASLANGIC
0.021670,BASLANGIC
0.622469,BASLANGIC
0.053203,BASLANGIC
0.410310,BASLANGIC
0.025071,BASLANGIC
0.798410,BASLANGIC
0.024837,BASLANGIC
0.733004,BASLANGIC
0.014370,BASLANGIC
0.344595,BASLANGIC
0.026298,BASLANGIC
0.427749,BASLANGIC
0.017584,BASLANGIC
0.449542,BASLANGIC
0.060337,BASLANGIC
0.565253,BASLANGIC
0.037211,BASLANGIC
0.306596,BASLANGIC
0.029170,BASLANGIC
0.630411,BASLANGIC
0.018830,BASLANGIC
0.440578,BASLANGIC
0.050454,BASLANGIC
0.528594,BASLANGIC
0.030315,BASLANGIC
0.410409,BASLANGIC
0.026907,BASLANGIC
0.769618,BASLANGIC
0.028431,BASLANGIC
0.602423,BASLANGIC
0.026918,BASLANGIC
0.778053,BASLANGIC
0.045685,BASLANGIC
0.711240,BASLANGIC
0.044798,BASLANGIC
0.624406,BASLANGIC
0.017584,BASLANGIC
0.354256,BASLANGIC
0.021957,BASLANGIC
0.309204,BASLANGIC
0.056899,BASLANGIC
0.440674,BASLANGIC
0.017589,BASLANGIC
0.437998,BASLANGIC
0.015024,BASLANGIC
0.615595,BASLANGIC
0.044003,BASLANGIC
0.334270,BASLANGIC
0.074784,BASLANGIC
0.643732,BASLANGIC
0.019561,BASLANGIC
0.511385,BASLANGIC
0.015518,BASLANGIC
0.195188,BASLANGIC
0.012993,BASLANGIC
0.483118,BASLANGIC
0.023280,BASLANGIC
0.332043,BASLANGIC
0.037821,BASLANGIC
0.020058,BASLANGIC
0.701935,BASLANGIC
0.024487,BASLANGIC
0.588093,BASLANGIC
0.037836,BASLANGIC
0.614921,BASLANGIC
0.023023,BASLANGIC
0.508010,BASLANGIC
0.036924,BASLANGIC
0.009996,BASLANGIC
0.343386,BASLANGIC
0.041696,BASLANGIC
0.219372,BASLANGIC
0.013372,BASLANGIC
0.549223,BASLANGIC
0.030043,BASLANGIC
0.831519,BASLANGIC
0.043185,BASLANGIC
0.755776,BASLANGIC
0.020675,BASLANGIC
0.243790,BASLANGIC
0.109246,BASLANGIC
0.317266,BASLANGIC
0.034223,BASLANGIC
0.349039,BASLANGIC
0.026304,BASLANGIC
0.674628,BASLANGIC
0.056602,BASLANGIC
0.484777,BASLANGIC
0.090817,BASLANGIC
0.730424,BASLANGIC
0.016590,BASLANGIC
0.563369,BASLANGIC
0.017380,BASLANGIC
0.522744,BASLANGIC
0.024671,BASLANGIC
0.594191,BASLANGIC
0.032707,BASLANGIC
0.357257,BASLANGIC
0.067657,BASLANGIC
0.628269,BASLANGIC
0.014231,BASLANGIC
0.797195,BASLANGIC
0.043342,BASLANGIC
0.703939,BASLANGIC
0.030433,BASLANGIC
0.519546,BASLANGIC
0.032527,BASLANGIC
0.397117,BASLANGIC
0.016872,BASLANGIC
0.364359,BASLANGIC
0.037651,BASLANGIC
0.449861,BASLANGIC
0.086784,BASLANGIC
0.565834,BASLANGIC
0.025539,BASLANGIC
0.249431,BASLANGIC
0.032026,BASLANGIC
0.654893,BASLANGIC
0.018993,BASLANGIC
0.014323,BASLANGIC
0.360299,BASLANGIC
0.049171,BASLANGIC
0.358850,BASLANGIC
0.051976,BASLANGIC
0.579299,BASLANGIC
0.024134,BASLANGIC
0.560590,BASLANGIC
0.016064,BASLANGIC
0.366590,BASLANGIC
0.052050,BASLANGIC
0.331196,BASLANGIC
0.021862,BASLANGIC
0.333192,BASLANGIC
0.019363,BASLANGIC
0.682325,BASLANGIC
0.012055,BASLANGIC
0.591686,BASLANGIC
0.040597,BASLANGIC
0.021956,BASLANGIC
0.455451,BASLANGIC
0.029825,BASLANGIC
0.020637,BASLANGIC
0.545851,BASLANGIC
0.027232,BASLANGIC
0.664905,BASLANGIC
0.021470,BASLANGIC
0.591469,BASLANGIC
0.057969,BASLANGIC
0.363222,BASLANGIC
0.060582,BASLANGIC
0.343692,BASLANGIC
0.036279,BASLANGIC
0.060785,BASLANGIC
0.740982,BASLANGIC
0.033775,BASLANGIC
0.357788,BASLANGIC
0.048241,BASLANGIC
0.021005,BASLANGIC
0.582897,BASLANGIC
0.024010,BASLANGIC
0.681135,BASLANGIC
0.034006,BASLANGIC
0.371569,BASLANGIC
0.050422,BASLANGIC
0.596579,BASLANGIC
0.021793,BASLANGIC
0.487819,BASLANGIC
0.030673,BASLANGIC
0.540550,BASLANGIC
0.023306,BASLANGIC
0.732661,BASLANGIC
0.024968,BASLANGIC
0.336392,BASLANGIC
0.034601,BASLANGIC
0.365774,BASLANGIC
0.049749,BASLANGIC
0.542102,BASLANGIC
0.042995,BASLANGIC
0.496922,BASLANGIC
0.016798,BASLANGIC
0.240420,BASLANGIC
0.017083,BASLANGIC
0.535027,BASLANGIC
0.034035,BASLANGIC
0.677376,BASLANGIC
0.033617,BASLANGIC
0.529641,BASLANGIC
0.017744,BASLANGIC
0.788223,BASLANGIC
0.026002,BASLANGIC
0.451444,BASLANGIC
0.039568,BASLANGIC
