@RELATION SINGLE_HL_ENERGY

@ATTRIBUTE HL_energy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.992497,BASLANGIC
0.108501,BASLANGIC
0.979057,BASLANGIC
0.280658,BASLANGIC
0.981689,BASLANGIC
0.331307,BASLANGIC
0.988714,BASLANGIC
0.994119,BASLANGIC
0.162998,BASLANGIC
0.988783,BASLANGIC
0.300180,BASLANGIC
0.982637,BASLANGIC
0.187766,BASLANGIC
0.990472,BASLANGIC
0.087647,BASLANGIC
0.987836,BASLANGIC
0.409922,BASLANGIC
0.962516,BASLANGIC
0.148073,BASLANGIC
0.969937,BASLANGIC
0.138081,BASLANGIC
0.992092,BASLANGIC
0.037824,BASLANGIC
0.991080,BASLANGIC
0.184226,BASLANGIC
0.955233,BASLANGIC
0.418877,BASLANGIC
0.985538,BASLANGIC
0.143186,BASLANGIC
0.986889,BASLANGIC
0.175830,BASLANGIC
0.990672,BASLANGIC
0.153211,BASLANGIC
0.984999,BASLANGIC
0.181993,BASLANGIC
0.951512,BASLANGIC
0.386705,BASLANGIC
0.990672,BASLANGIC
0.124479,BASLANGIC
0.974002,BASLANGIC
0.138729,BASLANGIC
0.991146,BASLANGIC
0.455692,BASLANGIC
0.973046,BASLANGIC
0.151923,BASLANGIC
0.977039,BASLANGIC
0.208498,BASLANGIC
0.982501,BASLANGIC
0.196817,BASLANGIC
0.989660,BASLANGIC
0.989052,BASLANGIC
0.112444,BASLANGIC
0.961513,BASLANGIC
0.212786,BASLANGIC
0.988173,BASLANGIC
0.030101,BASLANGIC
0.982772,BASLANGIC
0.164395,BASLANGIC
0.993376,BASLANGIC
0.245630,BASLANGIC
0.986619,BASLANGIC
0.180735,BASLANGIC
0.989929,BASLANGIC
0.172682,BASLANGIC
0.960219,BASLANGIC
0.152551,BASLANGIC
0.971090,BASLANGIC
0.345255,BASLANGIC
0.976020,BASLANGIC
0.090913,BASLANGIC
0.988036,BASLANGIC
0.212547,BASLANGIC
0.972572,BASLANGIC
0.197469,BASLANGIC
0.984053,BASLANGIC
0.282606,BASLANGIC
0.980476,BASLANGIC
0.079694,BASLANGIC
