@RELATION SINGLE_HL_HOMOGENEITY

@ATTRIBUTE HL_homogeneity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.991888,BASLANGIC
0.210402,BASLANGIC
0.980321,BASLANGIC
0.494603,BASLANGIC
0.982331,BASLANGIC
0.502834,BASLANGIC
0.989084,BASLANGIC
0.993638,BASLANGIC
0.312977,BASLANGIC
0.989335,BASLANGIC
0.485714,BASLANGIC
0.982700,BASLANGIC
0.328559,BASLANGIC
0.990616,BASLANGIC
0.188772,BASLANGIC
0.988217,BASLANGIC
0.517874,BASLANGIC
0.963422,BASLANGIC
0.308966,BASLANGIC
0.969418,BASLANGIC
0.250287,BASLANGIC
0.991819,BASLANGIC
0.077569,BASLANGIC
0.991177,BASLANGIC
0.329757,BASLANGIC
0.956794,BASLANGIC
0.601709,BASLANGIC
0.984975,BASLANGIC
0.258698,BASLANGIC
0.986896,BASLANGIC
0.292611,BASLANGIC
0.990189,BASLANGIC
0.292069,BASLANGIC
0.985856,BASLANGIC
0.386013,BASLANGIC
0.951659,BASLANGIC
0.579442,BASLANGIC
0.990620,BASLANGIC
0.244497,BASLANGIC
0.974279,BASLANGIC
0.278533,BASLANGIC
0.990783,BASLANGIC
0.620621,BASLANGIC
0.973590,BASLANGIC
0.315998,BASLANGIC
0.977684,BASLANGIC
0.390126,BASLANGIC
0.982401,BASLANGIC
0.348564,BASLANGIC
0.989578,BASLANGIC
0.988990,BASLANGIC
0.212617,BASLANGIC
0.963108,BASLANGIC
0.370051,BASLANGIC
0.987296,BASLANGIC
0.068476,BASLANGIC
0.984079,BASLANGIC
0.223525,BASLANGIC
0.993082,BASLANGIC
0.428051,BASLANGIC
0.986327,BASLANGIC
0.349113,BASLANGIC
0.989893,BASLANGIC
0.329230,BASLANGIC
0.960675,BASLANGIC
0.261833,BASLANGIC
0.973042,BASLANGIC
0.502639,BASLANGIC
0.977451,BASLANGIC
0.186235,BASLANGIC
0.987835,BASLANGIC
0.362111,BASLANGIC
0.972312,BASLANGIC
0.337112,BASLANGIC
0.983984,BASLANGIC
0.420966,BASLANGIC
0.981282,BASLANGIC
0.144820,BASLANGIC
0.977723,BASLANGIC
0.235086,BASLANGIC
0.983355,BASLANGIC
0.152566,BASLANGIC
0.964395,BASLANGIC
0.152539,BASLANGIC
0.966395,BASLANGIC
0.221889,BASLANGIC
0.989087,BASLANGIC
0.410492,BASLANGIC
0.987890,BASLANGIC
0.483680,BASLANGIC
0.966798,BASLANGIC
0.368836,BASLANGIC
0.991276,BASLANGIC
0.321778,BASLANGIC
0.989836,BASLANGIC
0.246109,BASLANGIC
0.974120,BASLANGIC
0.476096,BASLANGIC
0.945117,BASLANGIC
0.194202,BASLANGIC
0.986057,BASLANGIC
0.300050,BASLANGIC
0.990709,BASLANGIC
