@RELATION SINGLE_LH_ASM

@ATTRIBUTE LH_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.985545,BASLANGIC
0.021327,BASLANGIC
0.958974,BASLANGIC
0.079227,BASLANGIC
0.967869,BASLANGIC
0.113984,BASLANGIC
0.978721,BASLANGIC
0.988068,BASLANGIC
0.059111,BASLANGIC
0.977167,BASLANGIC
0.121679,BASLANGIC
0.963952,BASLANGIC
0.053259,BASLANGIC
0.982908,BASLANGIC
0.039390,BASLANGIC
0.978479,BASLANGIC
0.234076,BASLANGIC
0.936979,BASLANGIC
0.077813,BASLANGIC
0.941084,BASLANGIC
0.042640,BASLANGIC
0.981112,BASLANGIC
0.052593,BASLANGIC
0.987468,BASLANGIC
0.191802,BASLANGIC
0.924043,BASLANGIC
0.073518,BASLANGIC
0.977525,BASLANGIC
0.078029,BASLANGIC
0.977882,BASLANGIC
0.042016,BASLANGIC
0.979679,BASLANGIC
0.068261,BASLANGIC
0.968226,BASLANGIC
0.075900,BASLANGIC
0.909149,BASLANGIC
0.089438,BASLANGIC
0.981709,BASLANGIC
0.176502,BASLANGIC
0.954131,BASLANGIC
0.046753,BASLANGIC
0.984467,BASLANGIC
0.085385,BASLANGIC
0.950590,BASLANGIC
0.008473,BASLANGIC
0.958503,BASLANGIC
0.042802,BASLANGIC
0.968583,BASLANGIC
0.041004,BASLANGIC
0.981594,BASLANGIC
0.984230,BASLANGIC
0.057757,BASLANGIC
0.930439,BASLANGIC
0.074768,BASLANGIC
0.975850,BASLANGIC
0.034887,BASLANGIC
0.972880,BASLANGIC
0.124251,BASLANGIC
0.984107,BASLANGIC
0.050629,BASLANGIC
0.976452,BASLANGIC
0.031093,BASLANGIC
0.981713,BASLANGIC
0.069903,BASLANGIC
0.934524,BASLANGIC
0.046704,BASLANGIC
0.948827,BASLANGIC
0.153167,BASLANGIC
0.952943,BASLANGIC
0.030754,BASLANGIC
0.977524,BASLANGIC
0.113603,BASLANGIC
0.937331,BASLANGIC
0.151874,BASLANGIC
0.975378,BASLANGIC
0.191474,BASLANGIC
0.971796,BASLANGIC
0.083112,BASLANGIC
0.963715,BASLANGIC
0.059406,BASLANGIC
0.971800,BASLANGIC
0.068381,BASLANGIC
0.934051,BASLANGIC
0.080074,BASLANGIC
0.945780,BASLANGIC
0.055580,BASLANGIC
0.980275,BASLANGIC
0.029280,BASLANGIC
0.974305,BASLANGIC
0.057377,BASLANGIC
0.946029,BASLANGIC
0.028554,BASLANGIC
0.984108,BASLANGIC
0.047508,BASLANGIC
0.982789,BASLANGIC
0.066479,BASLANGIC
0.946009,BASLANGIC
0.117947,BASLANGIC
0.889994,BASLANGIC
0.032120,BASLANGIC
0.971920,BASLANGIC
0.088349,BASLANGIC
0.977406,BASLANGIC
0.162148,BASLANGIC
0.976925,BASLANGIC
0.162721,BASLANGIC
0.976330,BASLANGIC
0.111991,BASLANGIC
0.946133,BASLANGIC
0.986267,BASLANGIC
0.036043,BASLANGIC
0.974302,BASLANGIC
0.057275,BASLANGIC
0.953541,BASLANGIC
0.050125,BASLANGIC
0.978002,BASLANGIC
0.049781,BASLANGIC
0.956255,BASLANGIC
0.989873,BASLANGIC
0.126917,BASLANGIC
0.953190,BASLANGIC
0.204349,BASLANGIC
0.984827,BASLANGIC
0.020272,BASLANGIC
0.962648,BASLANGIC
0.047236,BASLANGIC
0.911552,BASLANGIC
0.068973,BASLANGIC
0.978360,BASLANGIC
0.050576,BASLANGIC
0.861833,BASLANGIC
0.079567,BASLANGIC
0.963598,BASLANGIC
0.086753,BASLANGIC
0.972989,BASLANGIC
0.061649,BASLANGIC
0.916842,BASLANGIC
0.098648,BASLANGIC
0.909029,BASLANGIC
0.089579,BASLANGIC
0.979554,BASLANGIC
0.142079,BASLANGIC
0.978720,BASLANGIC
0.071855,BASLANGIC
0.977883,BASLANGIC
0.038683,BASLANGIC
0.950239,BASLANGIC
0.047551,BASLANGIC
0.906461,BASLANGIC
0.091068,BASLANGIC
0.981110,BASLANGIC
0.008194,BASLANGIC
0.958028,BASLANGIC
0.061307,BASLANGIC
0.974899,BASLANGIC
0.178415,BASLANGIC
0.960394,BASLANGIC
0.068398,BASLANGIC
0.980516,BASLANGIC
0.058168,BASLANGIC
0.958498,BASLANGIC
0.124828,BASLANGIC
0.902146,BASLANGIC
0.040631,BASLANGIC
0.970253,BASLANGIC
0.123301,BASLANGIC
0.958268,BASLANGIC
0.087738,BASLANGIC
0.982309,BASLANGIC
0.978123,BASLANGIC
0.086078,BASLANGIC
0.919071,BASLANGIC
0.072882,BASLANGIC
0.945999,BASLANGIC
0.034146,BASLANGIC
0.979076,BASLANGIC
0.057813,BASLANGIC
0.974896,BASLANGIC
0.077611,BASLANGIC
0.947187,BASLANGIC
0.048373,BASLANGIC
0.975614,BASLANGIC
0.077137,BASLANGIC
0.983032,BASLANGIC
0.072819,BASLANGIC
0.989629,BASLANGIC
0.080275,BASLANGIC
0.945895,BASLANGIC
0.979081,BASLANGIC
0.082411,BASLANGIC
0.963241,BASLANGIC
0.980634,BASLANGIC
0.043988,BASLANGIC
0.962538,BASLANGIC
0.093038,BASLANGIC
0.975735,BASLANGIC
0.081106,BASLANGIC
0.925334,BASLANGIC
0.071521,BASLANGIC
0.921285,BASLANGIC
0.050014,BASLANGIC
0.953656,BASLANGIC
0.929075,BASLANGIC
0.064775,BASLANGIC
0.953777,BASLANGIC
0.096770,BASLANGIC
0.959092,BASLANGIC
0.967755,BASLANGIC
0.068393,BASLANGIC
0.974419,BASLANGIC
0.081909,BASLANGIC
0.954481,BASLANGIC
0.052586,BASLANGIC
0.931371,BASLANGIC
0.048489,BASLANGIC
0.976209,BASLANGIC
0.038112,BASLANGIC
0.969652,BASLANGIC
0.059461,BASLANGIC
0.967515,BASLANGIC
0.050365,BASLANGIC
0.973227,BASLANGIC
0.046606,BASLANGIC
0.965139,BASLANGIC
0.145330,BASLANGIC
0.939690,BASLANGIC
