@RELATION SINGLE_LH_CONTRAST

@ATTRIBUTE LH_contrast NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.029941,BASLANGIC
0.511086,BASLANGIC
0.079824,BASLANGIC
0.377623,BASLANGIC
0.054477,BASLANGIC
0.225857,BASLANGIC
0.040227,BASLANGIC
0.020656,BASLANGIC
0.441606,BASLANGIC
0.054614,BASLANGIC
0.221580,BASLANGIC
0.042722,BASLANGIC
0.641856,BASLANGIC
0.034379,BASLANGIC
0.633227,BASLANGIC
0.034585,BASLANGIC
0.332482,BASLANGIC
0.103229,BASLANGIC
0.305430,BASLANGIC
0.074867,BASLANGIC
0.494968,BASLANGIC
0.046578,BASLANGIC
0.636773,BASLANGIC
0.025306,BASLANGIC
0.203693,BASLANGIC
0.104993,BASLANGIC
0.710406,BASLANGIC
0.040561,BASLANGIC
0.843225,BASLANGIC
0.036318,BASLANGIC
0.548442,BASLANGIC
0.045393,BASLANGIC
0.415696,BASLANGIC
0.044594,BASLANGIC
0.356560,BASLANGIC
0.132980,BASLANGIC
0.497484,BASLANGIC
0.036466,BASLANGIC
0.333264,BASLANGIC
0.096944,BASLANGIC
0.515764,BASLANGIC
0.035956,BASLANGIC
0.222159,BASLANGIC
0.078275,BASLANGIC
0.648504,BASLANGIC
0.065158,BASLANGIC
0.498061,BASLANGIC
0.041778,BASLANGIC
0.375959,BASLANGIC
0.033950,BASLANGIC
0.020423,BASLANGIC
0.443674,BASLANGIC
0.119988,BASLANGIC
0.424762,BASLANGIC
0.048922,BASLANGIC
0.768274,BASLANGIC
0.053530,BASLANGIC
0.559590,BASLANGIC
0.033613,BASLANGIC
0.425158,BASLANGIC
0.033079,BASLANGIC
0.541177,BASLANGIC
0.023888,BASLANGIC
0.447828,BASLANGIC
0.164238,BASLANGIC
0.401738,BASLANGIC
0.105455,BASLANGIC
0.277716,BASLANGIC
0.084325,BASLANGIC
0.601082,BASLANGIC
0.040076,BASLANGIC
0.329587,BASLANGIC
0.129021,BASLANGIC
0.456861,BASLANGIC
0.030918,BASLANGIC
0.273631,BASLANGIC
0.044955,BASLANGIC
0.436651,BASLANGIC
0.050482,BASLANGIC
0.629264,BASLANGIC
0.055797,BASLANGIC
0.510158,BASLANGIC
0.090506,BASLANGIC
0.358268,BASLANGIC
0.100934,BASLANGIC
0.510686,BASLANGIC
0.035517,BASLANGIC
0.613532,BASLANGIC
0.079059,BASLANGIC
0.317030,BASLANGIC
0.078854,BASLANGIC
0.655963,BASLANGIC
0.030970,BASLANGIC
0.290285,BASLANGIC
0.022158,BASLANGIC
0.369414,BASLANGIC
0.088061,BASLANGIC
0.356433,BASLANGIC
0.173635,BASLANGIC
0.549935,BASLANGIC
0.046889,BASLANGIC
0.432197,BASLANGIC
0.040368,BASLANGIC
0.317504,BASLANGIC
0.063493,BASLANGIC
0.464427,BASLANGIC
0.041803,BASLANGIC
