@RELATION SINGLE_LH_CORRELATION

@ATTRIBUTE LH_correlation NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.328189,BASLANGIC
0.279687,BASLANGIC
0.323521,BASLANGIC
0.271862,BASLANGIC
0.303292,BASLANGIC
0.265498,BASLANGIC
0.318625,BASLANGIC
0.294016,BASLANGIC
0.297700,BASLANGIC
0.308817,BASLANGIC
0.228105,BASLANGIC
0.283174,BASLANGIC
0.230673,BASLANGIC
0.294335,BASLANGIC
0.196350,BASLANGIC
0.330088,BASLANGIC
0.231213,BASLANGIC
0.304160,BASLANGIC
0.300796,BASLANGIC
0.305370,BASLANGIC
0.257102,BASLANGIC
0.327941,BASLANGIC
0.243842,BASLANGIC
0.217956,BASLANGIC
0.360951,BASLANGIC
0.310112,BASLANGIC
0.096207,BASLANGIC
0.275966,BASLANGIC
0.051888,BASLANGIC
0.324888,BASLANGIC
0.243085,BASLANGIC
0.305934,BASLANGIC
0.279915,BASLANGIC
0.325590,BASLANGIC
0.417882,BASLANGIC
0.323588,BASLANGIC
0.255336,BASLANGIC
0.336321,BASLANGIC
0.326999,BASLANGIC
0.318066,BASLANGIC
0.242608,BASLANGIC
0.300395,BASLANGIC
0.237236,BASLANGIC
0.333863,BASLANGIC
0.286034,BASLANGIC
0.304258,BASLANGIC
0.254585,BASLANGIC
0.326109,BASLANGIC
0.290276,BASLANGIC
0.336871,BASLANGIC
0.334916,BASLANGIC
0.266228,BASLANGIC
0.283648,BASLANGIC
0.198202,BASLANGIC
0.359326,BASLANGIC
0.164443,BASLANGIC
0.298218,BASLANGIC
0.173381,BASLANGIC
0.274815,BASLANGIC
0.283795,BASLANGIC
0.326180,BASLANGIC
0.275553,BASLANGIC
0.278739,BASLANGIC
0.254138,BASLANGIC
0.311690,BASLANGIC
0.242963,BASLANGIC
0.357641,BASLANGIC
0.330499,BASLANGIC
0.313741,BASLANGIC
0.210263,BASLANGIC
0.329406,BASLANGIC
0.342825,BASLANGIC
0.344794,BASLANGIC
0.267447,BASLANGIC
0.300189,BASLANGIC
0.319697,BASLANGIC
0.334428,BASLANGIC
0.280366,BASLANGIC
0.319622,BASLANGIC
0.253516,BASLANGIC
0.321022,BASLANGIC
0.290754,BASLANGIC
0.314785,BASLANGIC
0.271787,BASLANGIC
0.299894,BASLANGIC
0.293127,BASLANGIC
0.255831,BASLANGIC
0.280468,BASLANGIC
0.307975,BASLANGIC
0.291535,BASLANGIC
0.335575,BASLANGIC
0.264067,BASLANGIC
0.328273,BASLANGIC
0.364456,BASLANGIC
0.308967,BASLANGIC
0.330427,BASLANGIC
0.328783,BASLANGIC
0.403189,BASLANGIC
0.318113,BASLANGIC
0.275439,BASLANGIC
0.303495,BASLANGIC
0.252970,BASLANGIC
0.303880,BASLANGIC
0.273265,BASLANGIC
0.345040,BASLANGIC
0.183142,BASLANGIC
0.315567,BASLANGIC
0.285256,BASLANGIC
0.355587,BASLANGIC
0.276352,BASLANGIC
0.274457,BASLANGIC
0.339611,BASLANGIC
0.301912,BASLANGIC
0.284401,BASLANGIC
0.263448,BASLANGIC
0.307031,BASLANGIC
0.246863,BASLANGIC
0.305686,BASLANGIC
0.242178,BASLANGIC
0.308263,BASLANGIC
0.318697,BASLANGIC
0.260627,BASLANGIC
0.310348,BASLANGIC
0.224582,BASLANGIC
0.311305,BASLANGIC
0.372797,BASLANGIC
0.323801,BASLANGIC
0.247240,BASLANGIC
0.332969,BASLANGIC
0.271358,BASLANGIC
0.315140,BASLANGIC
0.246500,BASLANGIC
0.316668,BASLANGIC
0.244596,BASLANGIC
0.299871,BASLANGIC
0.311875,BASLANGIC
0.333059,BASLANGIC
0.313255,BASLANGIC
0.302799,BASLANGIC
0.255377,BASLANGIC
0.315755,BASLANGIC
0.236470,BASLANGIC
0.282845,BASLANGIC
0.242616,BASLANGIC
0.325449,BASLANGIC
0.265635,BASLANGIC
0.261457,BASLANGIC
0.372915,BASLANGIC
0.337209,BASLANGIC
0.299904,BASLANGIC
0.352552,BASLANGIC
0.258646,BASLANGIC
0.295829,BASLANGIC
0.216848,BASLANGIC
0.328573,BASLANGIC
0.198449,BASLANGIC
0.347261,BASLANGIC
0.277762,BASLANGIC
0.326267,BASLANGIC
0.254268,BASLANGIC
0.331814,BASLANGIC
0.381252,BASLANGIC
0.318206,BASLANGIC
0.279949,BASLANGIC
0.348108,BASLANGIC
0.217335,BASLANGIC
0.290404,BASLANGIC
0.269827,BASLANGIC
0.310597,BASLANGIC
0.294690,BASLANGIC
0.308820,BASLANGIC
0.330642,BASLANGIC
0.260156,BASLANGIC
0.347112,BASLANGIC
0.282943,BASLANGIC
0.315828,BASLANGIC
0.308531,BASLANGIC
0.292277,BASLANGIC
0.255944,BASLANGIC
0.333548,BASLANGIC
0.279453,BASLANGIC
0.310530,BASLANGIC
0.275867,BASLANGIC
0.323545,BASLANGIC
0.243754,BASLANGIC
0.260823,BASLANGIC
0.372181,BASLANGIC
0.346099,BASLANGIC
0.303698,BASLANGIC
0.296708,BASLANGIC
0.318123,BASLANGIC
0.298976,BASLANGIC
0.246003,BASLANGIC
0.324026,BASLANGIC
0.216218,BASLANGIC
0.312900,BASLANGIC
0.357631,BASLANGIC
0.283631,BASLANGIC
0.256184,BASLANGIC
0.311227,BASLANGIC
0.364082,BASLANGIC
0.297913,BASLANGIC
0.289650,BASLANGIC
0.251126,BASLANGIC
0.329991,BASLANGIC
0.336730,BASLANGIC
0.316575,BASLANGIC
