@RELATION SINGLE_LH_DISSIMILARITY

@ATTRIBUTE LH_dissimilarity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.018122,BASLANGIC
0.719325,BASLANGIC
0.047935,BASLANGIC
0.558761,BASLANGIC
0.035459,BASLANGIC
0.430136,BASLANGIC
0.022803,BASLANGIC
0.013150,BASLANGIC
0.603718,BASLANGIC
0.027168,BASLANGIC
0.381865,BASLANGIC
0.031356,BASLANGIC
0.701199,BASLANGIC
0.019341,BASLANGIC
0.662080,BASLANGIC
0.022080,BASLANGIC
0.363209,BASLANGIC
0.066289,BASLANGIC
0.492822,BASLANGIC
0.052027,BASLANGIC
0.673258,BASLANGIC
0.024821,BASLANGIC
0.726943,BASLANGIC
0.013924,BASLANGIC
0.352022,BASLANGIC
0.073671,BASLANGIC
0.632484,BASLANGIC
0.024482,BASLANGIC
0.612344,BASLANGIC
0.022930,BASLANGIC
0.670342,BASLANGIC
0.023885,BASLANGIC
0.599261,BASLANGIC
0.031194,BASLANGIC
0.529041,BASLANGIC
0.088534,BASLANGIC
0.605273,BASLANGIC
0.020623,BASLANGIC
0.429178,BASLANGIC
0.059053,BASLANGIC
0.685852,BASLANGIC
0.019849,BASLANGIC
0.436751,BASLANGIC
0.051424,BASLANGIC
0.819229,BASLANGIC
0.042624,BASLANGIC
0.656882,BASLANGIC
0.029086,BASLANGIC
0.590278,BASLANGIC
0.020345,BASLANGIC
0.014787,BASLANGIC
0.614388,BASLANGIC
0.078685,BASLANGIC
0.580342,BASLANGIC
0.027652,BASLANGIC
0.777918,BASLANGIC
0.031858,BASLANGIC
0.601604,BASLANGIC
0.017843,BASLANGIC
0.607627,BASLANGIC
0.021295,BASLANGIC
0.732011,BASLANGIC
0.016380,BASLANGIC
0.593728,BASLANGIC
0.093571,BASLANGIC
0.598402,BASLANGIC
0.062021,BASLANGIC
0.421449,BASLANGIC
0.051729,BASLANGIC
0.731177,BASLANGIC
0.024043,BASLANGIC
0.484097,BASLANGIC
0.072017,BASLANGIC
0.501833,BASLANGIC
0.022245,BASLANGIC
0.418318,BASLANGIC
0.029533,BASLANGIC
0.605971,BASLANGIC
0.035801,BASLANGIC
0.696236,BASLANGIC
0.034144,BASLANGIC
0.623814,BASLANGIC
0.063313,BASLANGIC
0.529076,BASLANGIC
0.061341,BASLANGIC
0.646497,BASLANGIC
0.020922,BASLANGIC
0.736530,BASLANGIC
0.038557,BASLANGIC
0.527014,BASLANGIC
0.053398,BASLANGIC
0.766345,BASLANGIC
0.017979,BASLANGIC
0.516673,BASLANGIC
0.015838,BASLANGIC
0.540278,BASLANGIC
0.054997,BASLANGIC
0.496243,BASLANGIC
0.113163,BASLANGIC
0.708066,BASLANGIC
0.029213,BASLANGIC
0.538458,BASLANGIC
0.025032,BASLANGIC
0.450995,BASLANGIC
0.033758,BASLANGIC
0.513181,BASLANGIC
0.025039,BASLANGIC
0.539804,BASLANGIC
0.078272,BASLANGIC
0.015834,BASLANGIC
0.719140,BASLANGIC
0.030648,BASLANGIC
0.624719,BASLANGIC
0.048817,BASLANGIC
0.718733,BASLANGIC
0.024028,BASLANGIC
0.582496,BASLANGIC
0.042990,BASLANGIC
0.013744,BASLANGIC
0.409045,BASLANGIC
0.042774,BASLANGIC
0.277262,BASLANGIC
0.018348,BASLANGIC
0.773629,BASLANGIC
0.045239,BASLANGIC
0.579552,BASLANGIC
0.115677,BASLANGIC
0.564542,BASLANGIC
0.026232,BASLANGIC
0.540154,BASLANGIC
0.134221,BASLANGIC
0.610078,BASLANGIC
0.039551,BASLANGIC
0.565054,BASLANGIC
0.032684,BASLANGIC
0.522972,BASLANGIC
0.110641,BASLANGIC
0.543902,BASLANGIC
0.073716,BASLANGIC
0.524590,BASLANGIC
0.027772,BASLANGIC
0.439883,BASLANGIC
0.025714,BASLANGIC
0.589794,BASLANGIC
0.020755,BASLANGIC
0.719644,BASLANGIC
0.045225,BASLANGIC
0.605229,BASLANGIC
0.104365,BASLANGIC
0.548707,BASLANGIC
0.022453,BASLANGIC
0.924585,BASLANGIC
0.040235,BASLANGIC
0.586193,BASLANGIC
0.024531,BASLANGIC
0.519407,BASLANGIC
0.039014,BASLANGIC
0.595828,BASLANGIC
0.021849,BASLANGIC
0.484217,BASLANGIC
0.049854,BASLANGIC
0.459910,BASLANGIC
0.091489,BASLANGIC
0.614032,BASLANGIC
0.030722,BASLANGIC
0.406882,BASLANGIC
0.034401,BASLANGIC
0.612136,BASLANGIC
0.019204,BASLANGIC
0.023572,BASLANGIC
0.503800,BASLANGIC
0.080260,BASLANGIC
0.604101,BASLANGIC
0.073151,BASLANGIC
0.665358,BASLANGIC
0.023220,BASLANGIC
0.562130,BASLANGIC
0.030782,BASLANGIC
0.463291,BASLANGIC
0.057840,BASLANGIC
0.561525,BASLANGIC
0.023708,BASLANGIC
0.566794,BASLANGIC
0.015970,BASLANGIC
0.592029,BASLANGIC
0.015253,BASLANGIC
0.404397,BASLANGIC
0.048555,BASLANGIC
0.026449,BASLANGIC
0.613118,BASLANGIC
0.040913,BASLANGIC
0.021658,BASLANGIC
0.558336,BASLANGIC
0.040467,BASLANGIC
0.612114,BASLANGIC
0.026308,BASLANGIC
0.473879,BASLANGIC
0.069499,BASLANGIC
0.534340,BASLANGIC
0.078461,BASLANGIC
0.620578,BASLANGIC
0.048619,BASLANGIC
0.074674,BASLANGIC
0.635072,BASLANGIC
0.049128,BASLANGIC
0.559055,BASLANGIC
0.038950,BASLANGIC
0.042808,BASLANGIC
0.559728,BASLANGIC
0.026088,BASLANGIC
0.551695,BASLANGIC
0.058376,BASLANGIC
0.516358,BASLANGIC
0.072904,BASLANGIC
0.583572,BASLANGIC
0.023675,BASLANGIC
0.627913,BASLANGIC
0.033659,BASLANGIC
0.594835,BASLANGIC
0.033088,BASLANGIC
0.605610,BASLANGIC
0.021609,BASLANGIC
0.574120,BASLANGIC
0.037767,BASLANGIC
0.478747,BASLANGIC
0.062842,BASLANGIC
0.347902,BASLANGIC
0.085480,BASLANGIC
0.283509,BASLANGIC
0.042473,BASLANGIC
0.804485,BASLANGIC
0.026543,BASLANGIC
0.593569,BASLANGIC
0.057109,BASLANGIC
0.763706,BASLANGIC
0.052963,BASLANGIC
0.660419,BASLANGIC
0.030649,BASLANGIC
0.471149,BASLANGIC
0.027982,BASLANGIC
0.566543,BASLANGIC
0.033992,BASLANGIC
0.624276,BASLANGIC
0.023357,BASLANGIC
0.537224,BASLANGIC
0.027612,BASLANGIC
0.359345,BASLANGIC
0.015053,BASLANGIC
0.565705,BASLANGIC
0.041516,BASLANGIC
0.381193,BASLANGIC
0.036073,BASLANGIC
0.848389,NORMAL
0.000000,NORMAL
0.667918,NORMAL
0.000000,NORMAL
0.712610,NORMAL
0.000000,NORMAL
0.687062,NORMAL
0.000000,NORMAL
0.844236,NORMAL
0.000000,NORMAL
0.861672,NORMAL
0.000000,NORMAL
0.549777,NORMAL
0.000000,NORMAL
0.486501,NORMAL
0.000000,NORMAL
0.538866,NORMAL
0.000000,NORMAL
0.687364,NORMAL
0.000000,NORMAL
0.560509,NORMAL
0.000000,NORMAL
0.812601,NORMAL
0.000000,NORMAL
0.863745,NORMAL
0.000000,NORMAL
0.570927,NORMAL
0.000000,NORMAL
0.634426,NORMAL
0.000000,NORMAL
0.490615,NORMAL
0.000000,NORMAL
0.633051,NORMAL
0.000000,NORMAL
0.568855,NORMAL
0.000000,NORMAL
0.944786,NORMAL
0.000000,NORMAL
0.610021,NORMAL
0.000000,NORMAL
0.665188,NORMAL
0.000000,NORMAL
0.824314,NORMAL
0.000000,NORMAL
0.665816,NORMAL
0.000000,NORMAL
0.598410,NORMAL
0.000000,NORMAL
0.582332,NORMAL
0.000000,NORMAL
0.578908,NORMAL
0.000000,NORMAL
0.580909,NORMAL
0.000000,NORMAL
0.524196,NORMAL
0.000000,NORMAL
0.546503,NORMAL
0.000000,NORMAL
0.298671,NORMAL
0.000000,NORMAL
0.609640,NORMAL
0.000000,NORMAL
0.604321,NORMAL
0.000000,NORMAL
0.520898,NORMAL
0.000000,NORMAL
0.578885,NORMAL
0.000000,NORMAL
0.720759,NORMAL
0.000000,NORMAL
0.487047,NORMAL
0.000000,NORMAL
0.489799,NORMAL
0.000000,NORMAL
0.533607,NORMAL
0.000000,NORMAL
0.568666,NORMAL
0.000000,NORMAL
0.598904,NORMAL
0.000000,NORMAL
0.751403,NORMAL
0.000000,NORMAL
0.467864,NORMAL
0.000000,NORMAL
0.548457,NORMAL
0.000000,NORMAL
0.781684,NORMAL
0.000000,NORMAL
0.524062,NORMAL
0.000000,NORMAL
0.534900,NORMAL
0.000000,NORMAL
0.697625,NORMAL
0.000000,NORMAL
0.883216,NORMAL
0.000000,NORMAL
0.482204,NORMAL
0.000000,NORMAL
0.756988,NORMAL
0.000000,NORMAL
0.663892,NORMAL
0.000000,NORMAL
0.386944,NORMAL
0.000000,NORMAL
0.787347,NORMAL
0.000000,NORMAL
0.585755,NORMAL
0.000000,NORMAL
0.717074,NORMAL
0.000000,NORMAL
0.457143,NORMAL
0.000000,NORMAL
0.616163,NORMAL
0.000000,NORMAL
