@RELATION SINGLE_LH_ENERGY

@ATTRIBUTE LH_energy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.991541,BASLANGIC
0.064250,BASLANGIC
0.975829,BASLANGIC
0.188312,BASLANGIC
0.981113,BASLANGIC
0.246288,BASLANGIC
0.987526,BASLANGIC
0.993021,BASLANGIC
0.149758,BASLANGIC
0.986610,BASLANGIC
0.258366,BASLANGIC
0.978790,BASLANGIC
0.138408,BASLANGIC
0.989991,BASLANGIC
0.108629,BASLANGIC
0.987383,BASLANGIC
0.406421,BASLANGIC
0.962664,BASLANGIC
0.185743,BASLANGIC
0.965133,BASLANGIC
0.114915,BASLANGIC
0.988934,BASLANGIC
0.135686,BASLANGIC
0.992669,BASLANGIC
0.355108,BASLANGIC
0.954850,BASLANGIC
0.177563,BASLANGIC
0.986821,BASLANGIC
0.186057,BASLANGIC
0.987031,BASLANGIC
0.114256,BASLANGIC
0.988090,BASLANGIC
0.167918,BASLANGIC
0.981324,BASLANGIC
0.182673,BASLANGIC
0.945784,BASLANGIC
0.206068,BASLANGIC
0.989285,BASLANGIC
0.335314,BASLANGIC
0.972943,BASLANGIC
0.124182,BASLANGIC
0.990907,BASLANGIC
0.199427,BASLANGIC
0.970830,BASLANGIC
0.027706,BASLANGIC
0.975551,BASLANGIC
0.116094,BASLANGIC
0.981536,BASLANGIC
0.111851,BASLANGIC
0.989217,BASLANGIC
0.990768,BASLANGIC
0.147513,BASLANGIC
0.958718,BASLANGIC
0.179952,BASLANGIC
0.985832,BASLANGIC
0.097479,BASLANGIC
0.984079,BASLANGIC
0.262491,BASLANGIC
0.990696,BASLANGIC
0.133150,BASLANGIC
0.986188,BASLANGIC
0.088217,BASLANGIC
0.989288,BASLANGIC
0.170939,BASLANGIC
0.961178,BASLANGIC
0.124606,BASLANGIC
0.969773,BASLANGIC
0.303838,BASLANGIC
0.972233,BASLANGIC
0.088232,BASLANGIC
0.986820,BASLANGIC
0.245951,BASLANGIC
0.962873,BASLANGIC
0.302847,BASLANGIC
0.985554,BASLANGIC
0.355196,BASLANGIC
0.983438,BASLANGIC
0.194901,BASLANGIC
0.978649,BASLANGIC
0.150658,BASLANGIC
0.983439,BASLANGIC
0.168270,BASLANGIC
0.960899,BASLANGIC
0.189987,BASLANGIC
0.967950,BASLANGIC
0.142775,BASLANGIC
0.988441,BASLANGIC
0.084383,BASLANGIC
0.984920,BASLANGIC
0.146612,BASLANGIC
0.968099,BASLANGIC
0.082466,BASLANGIC
0.990696,BASLANGIC
0.126578,BASLANGIC
0.989920,BASLANGIC
0.164855,BASLANGIC
0.968089,BASLANGIC
0.253075,BASLANGIC
0.934017,BASLANGIC
0.091190,BASLANGIC
0.983511,BASLANGIC
0.204340,BASLANGIC
0.986751,BASLANGIC
0.316484,BASLANGIC
0.986466,BASLANGIC
0.317438,BASLANGIC
0.986116,BASLANGIC
0.243628,BASLANGIC
0.968159,BASLANGIC
0.991964,BASLANGIC
0.100261,BASLANGIC
0.984919,BASLANGIC
0.146350,BASLANGIC
0.972592,BASLANGIC
0.131967,BASLANGIC
0.987102,BASLANGIC
0.131283,BASLANGIC
0.974211,BASLANGIC
0.994079,BASLANGIC
0.266318,BASLANGIC
0.972383,BASLANGIC
0.370869,BASLANGIC
0.991119,BASLANGIC
0.061302,BASLANGIC
0.978015,BASLANGIC
0.124697,BASLANGIC
0.947244,BASLANGIC
0.169048,BASLANGIC
0.987313,BASLANGIC
0.133143,BASLANGIC
0.916507,BASLANGIC
0.188417,BASLANGIC
0.978579,BASLANGIC
0.201658,BASLANGIC
0.984142,BASLANGIC
0.155160,BASLANGIC
0.950470,BASLANGIC
0.221828,BASLANGIC
0.945715,BASLANGIC
0.206592,BASLANGIC
0.988016,BASLANGIC
0.288306,BASLANGIC
0.987525,BASLANGIC
0.174853,BASLANGIC
0.987032,BASLANGIC
0.106621,BASLANGIC
0.970621,BASLANGIC
0.126546,BASLANGIC
0.944142,BASLANGIC
0.208992,BASLANGIC
0.988932,BASLANGIC
0.026726,BASLANGIC
0.975266,BASLANGIC
0.154347,BASLANGIC
0.985271,BASLANGIC
0.338320,BASLANGIC
0.976676,BASLANGIC
0.168301,BASLANGIC
0.988584,BASLANGIC
0.148342,BASLANGIC
0.975546,BASLANGIC
0.263467,BASLANGIC
0.941500,BASLANGIC
0.111368,BASLANGIC
0.982525,BASLANGIC
0.260946,BASLANGIC
0.975410,BASLANGIC
0.203380,BASLANGIC
0.989639,BASLANGIC
0.987174,BASLANGIC
0.200419,BASLANGIC
0.951830,BASLANGIC
0.176791,BASLANGIC
0.968079,BASLANGIC
0.096331,BASLANGIC
0.987734,BASLANGIC
0.147465,BASLANGIC
0.985269,BASLANGIC
0.185573,BASLANGIC
0.968791,BASLANGIC
0.128259,BASLANGIC
0.985693,BASLANGIC
0.184644,BASLANGIC
0.990064,BASLANGIC
0.176576,BASLANGIC
0.993936,BASLANGIC
0.190130,BASLANGIC
0.968019,BASLANGIC
0.987738,BASLANGIC
0.194177,BASLANGIC
0.978367,BASLANGIC
0.988653,BASLANGIC
0.118471,BASLANGIC
0.977950,BASLANGIC
0.212490,BASLANGIC
0.985764,BASLANGIC
0.191827,BASLANGIC
0.955635,BASLANGIC
0.174203,BASLANGIC
0.953177,BASLANGIC
0.131934,BASLANGIC
0.972661,BASLANGIC
0.957898,BASLANGIC
0.161086,BASLANGIC
0.972732,BASLANGIC
0.218533,BASLANGIC
0.975900,BASLANGIC
0.981044,BASLANGIC
0.168304,BASLANGIC
0.984988,BASLANGIC
0.192870,BASLANGIC
0.973152,BASLANGIC
0.136614,BASLANGIC
0.959283,BASLANGIC
0.128342,BASLANGIC
0.986044,BASLANGIC
0.105649,BASLANGIC
0.982169,BASLANGIC
0.151120,BASLANGIC
0.980904,BASLANGIC
0.132427,BASLANGIC
0.984284,BASLANGIC
0.124275,BASLANGIC
0.979493,BASLANGIC
0.293323,BASLANGIC
0.964295,BASLANGIC
0.415581,BASLANGIC
0.950262,BASLANGIC
0.448544,BASLANGIC
0.982240,BASLANGIC
0.039245,BASLANGIC
0.987242,BASLANGIC
0.155208,BASLANGIC
0.974068,BASLANGIC
0.076677,BASLANGIC
0.969847,BASLANGIC
0.095124,BASLANGIC
0.986819,BASLANGIC
0.205687,BASLANGIC
0.985976,BASLANGIC
0.143568,BASLANGIC
0.978510,BASLANGIC
0.136239,BASLANGIC
0.986539,BASLANGIC
0.144431,BASLANGIC
0.985483,BASLANGIC
0.422987,BASLANGIC
0.993093,BASLANGIC
0.175125,BASLANGIC
0.978155,BASLANGIC
0.232845,BASLANGIC
0.972456,BASLANGIC
0.088809,NORMAL
1.000000,NORMAL
0.138032,NORMAL
1.000000,NORMAL
0.071219,NORMAL
1.000000,NORMAL
0.067140,NORMAL
1.000000,NORMAL
