@RELATION SINGLE_LH_HOMOGENEITY

@ATTRIBUTE LH_homogeneity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.990352,BASLANGIC
0.119824,BASLANGIC
0.973795,BASLANGIC
0.284729,BASLANGIC
0.978907,BASLANGIC
0.368072,BASLANGIC
0.986870,BASLANGIC
0.992358,BASLANGIC
0.243983,BASLANGIC
0.985480,BASLANGIC
0.440286,BASLANGIC
0.978173,BASLANGIC
0.217137,BASLANGIC
0.989593,BASLANGIC
0.228635,BASLANGIC
0.986686,BASLANGIC
0.559547,BASLANGIC
0.960841,BASLANGIC
0.330343,BASLANGIC
0.964247,BASLANGIC
0.191791,BASLANGIC
0.987667,BASLANGIC
0.196716,BASLANGIC
0.992500,BASLANGIC
0.490239,BASLANGIC
0.952718,BASLANGIC
0.279737,BASLANGIC
0.986039,BASLANGIC
0.325569,BASLANGIC
0.986388,BASLANGIC
0.218338,BASLANGIC
0.987394,BASLANGIC
0.259416,BASLANGIC
0.980317,BASLANGIC
0.307678,BASLANGIC
0.944001,BASLANGIC
0.287969,BASLANGIC
0.988751,BASLANGIC
0.460442,BASLANGIC
0.969147,BASLANGIC
0.183513,BASLANGIC
0.989755,BASLANGIC
0.349434,BASLANGIC
0.968518,BASLANGIC
0.063181,BASLANGIC
0.974856,BASLANGIC
0.197750,BASLANGIC
0.980301,BASLANGIC
0.227230,BASLANGIC
0.988720,BASLANGIC
0.990314,BASLANGIC
0.238705,BASLANGIC
0.954789,BASLANGIC
0.281119,BASLANGIC
0.985067,BASLANGIC
0.171392,BASLANGIC
0.982993,BASLANGIC
0.333319,BASLANGIC
0.990017,BASLANGIC
0.235620,BASLANGIC
0.986381,BASLANGIC
0.144333,BASLANGIC
0.988908,BASLANGIC
0.267580,BASLANGIC
0.955541,BASLANGIC
0.236336,BASLANGIC
0.967899,BASLANGIC
0.419351,BASLANGIC
0.969687,BASLANGIC
0.164264,BASLANGIC
0.986102,BASLANGIC
0.363497,BASLANGIC
0.960732,BASLANGIC
0.410456,BASLANGIC
0.985472,BASLANGIC
0.453256,BASLANGIC
0.982376,BASLANGIC
0.267670,BASLANGIC
0.976798,BASLANGIC
0.234142,BASLANGIC
0.981456,BASLANGIC
0.270249,BASLANGIC
0.958550,BASLANGIC
0.296198,BASLANGIC
0.965794,BASLANGIC
0.238993,BASLANGIC
0.987825,BASLANGIC
0.153198,BASLANGIC
0.983181,BASLANGIC
0.281735,BASLANGIC
0.966597,BASLANGIC
0.159399,BASLANGIC
0.990154,BASLANGIC
0.259363,BASLANGIC
0.989366,BASLANGIC
0.299401,BASLANGIC
0.967157,BASLANGIC
0.369793,BASLANGIC
0.930163,BASLANGIC
0.165598,BASLANGIC
0.983045,BASLANGIC
0.320669,BASLANGIC
0.986094,BASLANGIC
0.421748,BASLANGIC
0.984373,BASLANGIC
0.405620,BASLANGIC
0.985446,BASLANGIC
0.351507,BASLANGIC
0.964829,BASLANGIC
0.991222,BASLANGIC
0.169754,BASLANGIC
0.983854,BASLANGIC
0.241701,BASLANGIC
0.971395,BASLANGIC
0.217708,BASLANGIC
0.986653,BASLANGIC
0.254841,BASLANGIC
0.973202,BASLANGIC
0.993205,BASLANGIC
0.415040,BASLANGIC
0.972410,BASLANGIC
0.533086,BASLANGIC
0.990257,BASLANGIC
0.132635,BASLANGIC
0.976779,BASLANGIC
0.259952,BASLANGIC
0.943298,BASLANGIC
0.282815,BASLANGIC
0.986404,BASLANGIC
0.260081,BASLANGIC
0.910937,BASLANGIC
0.273701,BASLANGIC
0.976360,BASLANGIC
0.295474,BASLANGIC
0.982988,BASLANGIC
0.296503,BASLANGIC
0.945487,BASLANGIC
0.325092,BASLANGIC
0.945347,BASLANGIC
0.313351,BASLANGIC
0.986746,BASLANGIC
0.410508,BASLANGIC
0.986830,BASLANGIC
0.276682,BASLANGIC
0.986280,BASLANGIC
0.184998,BASLANGIC
0.969288,BASLANGIC
0.222485,BASLANGIC
0.940080,BASLANGIC
0.306716,BASLANGIC
0.987585,BASLANGIC
0.029894,BASLANGIC
0.974013,BASLANGIC
0.266013,BASLANGIC
0.984725,BASLANGIC
0.410068,BASLANGIC
0.975625,BASLANGIC
0.258821,BASLANGIC
0.987930,BASLANGIC
0.282644,BASLANGIC
0.973002,BASLANGIC
0.395664,BASLANGIC
0.938647,BASLANGIC
0.199574,BASLANGIC
0.982405,BASLANGIC
0.438775,BASLANGIC
0.974361,BASLANGIC
0.271170,BASLANGIC
0.989335,BASLANGIC
0.986173,BASLANGIC
0.365358,BASLANGIC
0.949791,BASLANGIC
0.255891,BASLANGIC
0.965034,BASLANGIC
0.170557,BASLANGIC
0.986821,BASLANGIC
0.251392,BASLANGIC
0.983429,BASLANGIC
0.356175,BASLANGIC
0.967972,BASLANGIC
0.243406,BASLANGIC
0.985488,BASLANGIC
0.303061,BASLANGIC
0.989646,BASLANGIC
0.283520,BASLANGIC
0.992655,BASLANGIC
0.364980,BASLANGIC
0.968500,BASLANGIC
0.985826,BASLANGIC
0.276349,BASLANGIC
0.977590,BASLANGIC
0.987272,BASLANGIC
0.240335,BASLANGIC
0.976205,BASLANGIC
0.297645,BASLANGIC
0.985275,BASLANGIC
0.328584,BASLANGIC
0.954944,BASLANGIC
0.295806,BASLANGIC
0.950518,BASLANGIC
0.231117,BASLANGIC
0.970987,BASLANGIC
0.955265,BASLANGIC
0.247997,BASLANGIC
0.971296,BASLANGIC
0.317705,BASLANGIC
0.974537,BASLANGIC
0.979344,BASLANGIC
0.261472,BASLANGIC
0.984330,BASLANGIC
0.340743,BASLANGIC
0.970461,BASLANGIC
0.279900,BASLANGIC
0.957068,BASLANGIC
0.247229,BASLANGIC
0.985014,BASLANGIC
0.208517,BASLANGIC
0.981002,BASLANGIC
0.272296,BASLANGIC
