@RELATION SINGLE_LL_ASM

@ATTRIBUTE LL_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.978999,BASLANGIC
0.002204,BASLANGIC
0.902542,BASLANGIC
0.003813,BASLANGIC
0.918782,BASLANGIC
0.003594,BASLANGIC
0.967015,BASLANGIC
0.986364,BASLANGIC
0.006745,BASLANGIC
0.955938,BASLANGIC
0.032108,BASLANGIC
0.919062,BASLANGIC
0.005498,BASLANGIC
0.972358,BASLANGIC
0.007455,BASLANGIC
0.959968,BASLANGIC
0.127944,BASLANGIC
0.753074,BASLANGIC
0.004046,BASLANGIC
0.808407,BASLANGIC
0.005089,BASLANGIC
0.977362,BASLANGIC
0.004609,BASLANGIC
0.972245,BASLANGIC
0.009933,BASLANGIC
0.711831,BASLANGIC
0.005142,BASLANGIC
0.960776,BASLANGIC
0.006571,BASLANGIC
0.968177,BASLANGIC
0.005259,BASLANGIC
0.964240,BASLANGIC
0.003560,BASLANGIC
0.941268,BASLANGIC
0.007181,BASLANGIC
0.614248,BASLANGIC
0.007985,BASLANGIC
0.975849,BASLANGIC
0.060827,BASLANGIC
0.876110,BASLANGIC
0.002493,BASLANGIC
0.970499,BASLANGIC
0.008737,BASLANGIC
0.863284,BASLANGIC
0.001214,BASLANGIC
0.889454,BASLANGIC
0.002579,BASLANGIC
0.935824,BASLANGIC
0.001970,BASLANGIC
0.968875,BASLANGIC
0.970499,BASLANGIC
0.008769,BASLANGIC
0.716437,BASLANGIC
0.004133,BASLANGIC
0.947089,BASLANGIC
0.002245,BASLANGIC
0.914558,BASLANGIC
0.045945,BASLANGIC
0.976435,BASLANGIC
0.015378,BASLANGIC
0.951676,BASLANGIC
0.003112,BASLANGIC
0.975733,BASLANGIC
0.007858,BASLANGIC
0.733083,BASLANGIC
0.005080,BASLANGIC
0.844669,BASLANGIC
0.008624,BASLANGIC
0.868229,BASLANGIC
0.006458,BASLANGIC
0.959966,BASLANGIC
0.014111,BASLANGIC
0.762357,BASLANGIC
0.061386,BASLANGIC
0.942158,BASLANGIC
0.032259,BASLANGIC
0.934603,BASLANGIC
0.005325,BASLANGIC
0.928988,BASLANGIC
0.005888,BASLANGIC
0.927757,BASLANGIC
0.012152,BASLANGIC
0.796324,BASLANGIC
0.013041,BASLANGIC
0.840997,BASLANGIC
0.008683,BASLANGIC
0.968647,BASLANGIC
0.004484,BASLANGIC
0.952141,BASLANGIC
0.004285,BASLANGIC
0.824722,BASLANGIC
0.003604,BASLANGIC
0.968179,BASLANGIC
0.008916,BASLANGIC
0.975735,BASLANGIC
0.020711,BASLANGIC
0.824514,BASLANGIC
0.018192,BASLANGIC
0.481995,BASLANGIC
0.002548,BASLANGIC
0.923051,BASLANGIC
