@RELATION SINGLE_LL_CORRELATION

@ATTRIBUTE LL_correlation NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.355350,BASLANGIC
0.812324,BASLANGIC
0.767030,BASLANGIC
0.835124,BASLANGIC
0.728860,BASLANGIC
0.847125,BASLANGIC
0.549004,BASLANGIC
0.167414,BASLANGIC
0.785118,BASLANGIC
0.633810,BASLANGIC
0.860112,BASLANGIC
0.754634,BASLANGIC
0.846097,BASLANGIC
0.493656,BASLANGIC
0.868367,BASLANGIC
0.616529,BASLANGIC
0.885146,BASLANGIC
0.866315,BASLANGIC
0.805867,BASLANGIC
0.849596,BASLANGIC
0.590712,BASLANGIC
0.439473,BASLANGIC
0.524385,BASLANGIC
0.507211,BASLANGIC
0.773185,BASLANGIC
0.863355,BASLANGIC
0.411323,BASLANGIC
0.583914,BASLANGIC
0.578298,BASLANGIC
0.554406,BASLANGIC
0.857364,BASLANGIC
0.559560,BASLANGIC
0.836189,BASLANGIC
0.702446,BASLANGIC
0.902514,BASLANGIC
0.881453,BASLANGIC
0.716772,BASLANGIC
0.429611,BASLANGIC
0.934333,BASLANGIC
0.770891,BASLANGIC
0.719572,BASLANGIC
0.521000,BASLANGIC
0.875758,BASLANGIC
0.819660,BASLANGIC
0.805350,BASLANGIC
0.780590,BASLANGIC
0.680157,BASLANGIC
0.721275,BASLANGIC
0.793883,BASLANGIC
0.571470,BASLANGIC
0.496818,BASLANGIC
0.693477,BASLANGIC
0.874155,BASLANGIC
0.770397,BASLANGIC
0.698620,BASLANGIC
0.593329,BASLANGIC
0.762923,BASLANGIC
0.827503,BASLANGIC
0.419494,BASLANGIC
0.866314,BASLANGIC
0.643961,BASLANGIC
0.798789,BASLANGIC
0.486277,BASLANGIC
0.687446,BASLANGIC
0.821733,BASLANGIC
0.828498,BASLANGIC
0.837335,BASLANGIC
0.826534,BASLANGIC
0.791019,BASLANGIC
0.793935,BASLANGIC
0.619976,BASLANGIC
0.769434,BASLANGIC
0.869192,BASLANGIC
0.918898,BASLANGIC
0.685902,BASLANGIC
0.860902,BASLANGIC
0.724582,BASLANGIC
0.848863,BASLANGIC
0.708628,BASLANGIC
0.602028,BASLANGIC
0.729932,BASLANGIC
0.874745,BASLANGIC
0.840411,BASLANGIC
0.909327,BASLANGIC
0.817606,BASLANGIC
0.839189,BASLANGIC
0.556013,BASLANGIC
0.888094,BASLANGIC
0.640426,BASLANGIC
0.762708,BASLANGIC
0.836507,BASLANGIC
0.798458,BASLANGIC
0.565860,BASLANGIC
0.927973,BASLANGIC
0.440037,BASLANGIC
0.891506,BASLANGIC
0.839944,BASLANGIC
0.884854,BASLANGIC
0.895547,BASLANGIC
0.765838,BASLANGIC
0.741740,BASLANGIC
0.918374,BASLANGIC
0.562631,BASLANGIC
0.847417,BASLANGIC
0.577752,BASLANGIC
0.863208,BASLANGIC
0.699753,BASLANGIC
0.846088,BASLANGIC
0.839868,BASLANGIC
0.452761,BASLANGIC
0.861411,BASLANGIC
0.700678,BASLANGIC
0.688429,BASLANGIC
0.814565,BASLANGIC
0.807947,BASLANGIC
0.641912,BASLANGIC
0.869122,BASLANGIC
0.768484,BASLANGIC
0.291508,BASLANGIC
0.916818,BASLANGIC
0.816172,BASLANGIC
0.911122,BASLANGIC
0.454171,BASLANGIC
0.838282,BASLANGIC
0.789711,BASLANGIC
0.931876,BASLANGIC
0.871210,BASLANGIC
0.796557,BASLANGIC
0.588750,BASLANGIC
0.901265,BASLANGIC
0.889952,BASLANGIC
0.796158,BASLANGIC
0.798649,BASLANGIC
0.828084,BASLANGIC
0.761516,BASLANGIC
0.839116,BASLANGIC
0.885319,BASLANGIC
0.897596,BASLANGIC
0.889653,BASLANGIC
0.792697,BASLANGIC
0.543197,BASLANGIC
0.661217,BASLANGIC
0.548164,BASLANGIC
0.758378,BASLANGIC
0.574509,BASLANGIC
0.860371,BASLANGIC
0.833122,BASLANGIC
0.877596,BASLANGIC
0.894166,BASLANGIC
0.875457,BASLANGIC
0.551821,BASLANGIC
0.662180,BASLANGIC
0.783061,BASLANGIC
0.520763,BASLANGIC
0.701070,BASLANGIC
0.776125,BASLANGIC
0.776167,BASLANGIC
0.789715,BASLANGIC
0.628698,BASLANGIC
0.725826,BASLANGIC
0.822860,BASLANGIC
0.897324,BASLANGIC
0.894039,BASLANGIC
0.823043,BASLANGIC
0.694495,BASLANGIC
0.864743,BASLANGIC
0.796435,BASLANGIC
0.864153,BASLANGIC
0.597290,BASLANGIC
0.544272,BASLANGIC
0.733654,BASLANGIC
0.856008,BASLANGIC
0.838296,BASLANGIC
0.863669,BASLANGIC
0.848799,BASLANGIC
0.489942,BASLANGIC
0.771434,BASLANGIC
0.647131,BASLANGIC
0.831828,BASLANGIC
0.851930,BASLANGIC
0.825631,BASLANGIC
0.673625,BASLANGIC
0.925272,BASLANGIC
0.555165,BASLANGIC
0.752064,BASLANGIC
0.430860,BASLANGIC
0.860619,BASLANGIC
0.808686,BASLANGIC
0.656844,BASLANGIC
0.890083,BASLANGIC
0.718028,BASLANGIC
0.587264,BASLANGIC
0.853980,BASLANGIC
0.731064,BASLANGIC
0.835872,BASLANGIC
0.631749,BASLANGIC
0.901091,BASLANGIC
0.872073,BASLANGIC
0.829286,BASLANGIC
0.881566,BASLANGIC
0.837606,BASLANGIC
0.808289,BASLANGIC
0.892970,BASLANGIC
0.788425,BASLANGIC
0.796825,BASLANGIC
0.924933,BASLANGIC
0.789817,BASLANGIC
0.711380,BASLANGIC
0.860699,BASLANGIC
0.643886,BASLANGIC
0.775430,BASLANGIC
0.825737,BASLANGIC
0.828270,BASLANGIC
0.869056,BASLANGIC
0.819061,BASLANGIC
0.587223,BASLANGIC
0.854835,BASLANGIC
0.680442,BASLANGIC
0.816241,BASLANGIC
0.710489,BASLANGIC
0.909960,BASLANGIC
0.710822,BASLANGIC
0.835685,BASLANGIC
0.745548,BASLANGIC
0.849451,BASLANGIC
0.857909,BASLANGIC
0.854644,BASLANGIC
0.866813,BASLANGIC
0.940391,BASLANGIC
0.666171,BASLANGIC
0.793924,BASLANGIC
0.635054,BASLANGIC
0.776607,BASLANGIC
0.776482,BASLANGIC
0.826265,BASLANGIC
0.802024,BASLANGIC
0.645867,BASLANGIC
0.693642,BASLANGIC
0.848632,BASLANGIC
0.626400,BASLANGIC
0.734186,BASLANGIC
0.746008,BASLANGIC
0.605382,BASLANGIC
0.683314,BASLANGIC
0.866753,BASLANGIC
0.581747,BASLANGIC
0.876069,BASLANGIC
0.279365,BASLANGIC
0.774322,BASLANGIC
0.791773,BASLANGIC
0.865524,BASLANGIC
0.752981,BASLANGIC
0.800801,NORMAL
1.000000,NORMAL
0.851871,NORMAL
1.000000,NORMAL
0.832082,NORMAL
1.000000,NORMAL
0.854139,NORMAL
1.000000,NORMAL
0.741150,NORMAL
1.000000,NORMAL
0.819445,NORMAL
1.000000,NORMAL
0.841936,NORMAL
1.000000,NORMAL
0.890506,NORMAL
1.000000,NORMAL
0.879772,NORMAL
1.000000,NORMAL
0.855789,NORMAL
1.000000,NORMAL
0.794940,NORMAL
1.000000,NORMAL
0.856407,NORMAL
1.000000,NORMAL
0.885346,NORMAL
1.000000,NORMAL
0.896322,NORMAL
1.000000,NORMAL
0.848323,NORMAL
1.000000,NORMAL
0.915808,NORMAL
1.000000,NORMAL
0.908561,NORMAL
1.000000,NORMAL
0.615728,NORMAL
1.000000,NORMAL
0.324374,NORMAL
1.000000,NORMAL
0.912958,NORMAL
1.000000,NORMAL
0.879878,NORMAL
1.000000,NORMAL
0.836350,NORMAL
1.000000,NORMAL
0.877708,NORMAL
1.000000,NORMAL
0.807454,NORMAL
1.000000,NORMAL
0.675911,NORMAL
1.000000,NORMAL
0.814171,NORMAL
1.000000,NORMAL
0.872782,NORMAL
1.000000,NORMAL
0.650637,NORMAL
1.000000,NORMAL
0.907465,NORMAL
1.000000,NORMAL
0.899722,NORMAL
1.000000,NORMAL
0.633612,NORMAL
1.000000,NORMAL
0.798262,NORMAL
1.000000,NORMAL
0.921946,NORMAL
1.000000,NORMAL
0.651709,NORMAL
1.000000,NORMAL
0.698088,NORMAL
1.000000,NORMAL
0.820511,NORMAL
1.000000,NORMAL
0.909556,NORMAL
1.000000,NORMAL
0.727723,NORMAL
1.000000,NORMAL
0.862800,NORMAL
1.000000,NORMAL
0.873898,NORMAL
1.000000,NORMAL
0.760860,NORMAL
1.000000,NORMAL
0.909314,NORMAL
1.000000,NORMAL
0.883500,NORMAL
1.000000,NORMAL
0.748685,NORMAL
1.000000,NORMAL
0.878189,NORMAL
1.000000,NORMAL
0.876635,NORMAL
1.000000,NORMAL
0.811992,NORMAL
1.000000,NORMAL
0.766098,NORMAL
1.000000,NORMAL
0.904840,NORMAL
1.000000,NORMAL
0.868622,NORMAL
1.000000,NORMAL
0.862541,NORMAL
1.000000,NORMAL
0.911266,NORMAL
1.000000,NORMAL
0.869558,NORMAL
