@RELATION SINGLE_LL_HOMOGENEITY

@ATTRIBUTE LL_homogeneity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.989088,BASLANGIC
0.178267,BASLANGIC
0.965955,BASLANGIC
0.237274,BASLANGIC
0.969670,BASLANGIC
0.241782,BASLANGIC
0.983448,BASLANGIC
0.992463,BASLANGIC
0.284539,BASLANGIC
0.981182,BASLANGIC
0.406007,BASLANGIC
0.971348,BASLANGIC
0.286937,BASLANGIC
0.985001,BASLANGIC
0.345833,BASLANGIC
0.981936,BASLANGIC
0.501945,BASLANGIC
0.937735,BASLANGIC
0.236834,BASLANGIC
0.950675,BASLANGIC
0.197551,BASLANGIC
0.987473,BASLANGIC
0.141608,BASLANGIC
0.986897,BASLANGIC
0.351328,BASLANGIC
0.930311,BASLANGIC
0.161467,BASLANGIC
0.981878,BASLANGIC
0.216199,BASLANGIC
0.984255,BASLANGIC
0.282873,BASLANGIC
0.982966,BASLANGIC
0.221041,BASLANGIC
0.975762,BASLANGIC
0.330646,BASLANGIC
0.912776,BASLANGIC
0.261023,BASLANGIC
0.987363,BASLANGIC
0.473557,BASLANGIC
0.952732,BASLANGIC
0.174813,BASLANGIC
0.984718,BASLANGIC
0.319697,BASLANGIC
0.956757,BASLANGIC
0.165888,BASLANGIC
0.964624,BASLANGIC
0.151098,BASLANGIC
0.974200,BASLANGIC
0.179102,BASLANGIC
0.984772,BASLANGIC
0.984650,BASLANGIC
0.201529,BASLANGIC
0.931171,BASLANGIC
0.244040,BASLANGIC
0.976807,BASLANGIC
0.096331,BASLANGIC
0.973531,BASLANGIC
0.315105,BASLANGIC
0.988822,BASLANGIC
0.315589,BASLANGIC
0.978051,BASLANGIC
0.187307,BASLANGIC
0.987382,BASLANGIC
0.237056,BASLANGIC
0.926782,BASLANGIC
0.241008,BASLANGIC
0.952300,BASLANGIC
0.308664,BASLANGIC
0.959300,BASLANGIC
0.225116,BASLANGIC
0.981612,BASLANGIC
0.311428,BASLANGIC
0.937478,BASLANGIC
0.497819,BASLANGIC
0.974825,BASLANGIC
0.377208,BASLANGIC
0.975662,BASLANGIC
0.193707,BASLANGIC
0.970267,BASLANGIC
0.198576,BASLANGIC
0.971039,BASLANGIC
0.287580,BASLANGIC
0.945853,BASLANGIC
0.330509,BASLANGIC
0.953158,BASLANGIC
0.284071,BASLANGIC
0.985141,BASLANGIC
0.236287,BASLANGIC
0.980149,BASLANGIC
0.229725,BASLANGIC
0.945942,BASLANGIC
0.205720,BASLANGIC
0.985262,BASLANGIC
0.368245,BASLANGIC
0.986798,BASLANGIC
0.346129,BASLANGIC
0.951156,BASLANGIC
0.376487,BASLANGIC
0.898245,BASLANGIC
0.160010,BASLANGIC
0.974855,BASLANGIC
0.367953,BASLANGIC
0.982891,BASLANGIC
0.331291,BASLANGIC
0.978709,BASLANGIC
0.339521,BASLANGIC
0.978568,BASLANGIC
0.347047,BASLANGIC
0.946697,BASLANGIC
0.987267,BASLANGIC
0.216402,BASLANGIC
0.977682,BASLANGIC
0.243015,BASLANGIC
0.958519,BASLANGIC
0.294854,BASLANGIC
0.980846,BASLANGIC
0.273178,BASLANGIC
0.970286,BASLANGIC
0.990562,BASLANGIC
0.377256,BASLANGIC
0.960797,BASLANGIC
0.410002,BASLANGIC
0.986953,BASLANGIC
0.241350,BASLANGIC
0.963287,BASLANGIC
0.328663,BASLANGIC
0.905015,BASLANGIC
0.292745,BASLANGIC
0.981791,BASLANGIC
0.399902,BASLANGIC
0.872378,BASLANGIC
0.233131,BASLANGIC
0.965010,BASLANGIC
0.285745,BASLANGIC
