@RELATION WAVELET_ALL_BANDS_COMBINED

@ATTRIBUTE LL_glcm_contrast NUMERIC
@ATTRIBUTE LL_glcm_dissimilarity NUMERIC
@ATTRIBUTE LL_glcm_homogeneity NUMERIC
@ATTRIBUTE LL_glcm_energy NUMERIC
@ATTRIBUTE LL_glcm_correlation NUMERIC
@ATTRIBUTE LL_glcm_ASM NUMERIC
@ATTRIBUTE LH_glcm_contrast NUMERIC
@ATTRIBUTE LH_glcm_dissimilarity NUMERIC
@ATTRIBUTE LH_glcm_homogeneity NUMERIC
@ATTRIBUTE LH_glcm_energy NUMERIC
@ATTRIBUTE LH_glcm_correlation NUMERIC
@ATTRIBUTE LH_glcm_ASM NUMERIC
@ATTRIBUTE HL_glcm_contrast NUMERIC
@ATTRIBUTE HL_glcm_dissimilarity NUMERIC
@ATTRIBUTE HL_glcm_homogeneity NUMERIC
@ATTRIBUTE HL_glcm_energy NUMERIC
@ATTRIBUTE HL_glcm_correlation NUMERIC
@ATTRIBUTE HL_glcm_ASM NUMERIC
@ATTRIBUTE HH_glcm_contrast NUMERIC
@ATTRIBUTE HH_glcm_dissimilarity NUMERIC
@ATTRIBUTE HH_glcm_homogeneity NUMERIC
@ATTRIBUTE HH_glcm_energy NUMERIC
@ATTRIBUTE HH_glcm_correlation NUMERIC
@ATTRIBUTE HH_glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.069268,0.026928,0.989088,0.988755,0.355350,0.978999,0.029941,0.018122,0.990352,0.991541,0.328189,0.985545,0.029497,0.015437,0.991888,0.992497,0.225135,0.986775,0.031688,0.013513,0.994578,0.995394,0.061762,0.992150,BASLANGIC
0.413341,0.640132,0.178267,0.015952,0.812324,0.002204,0.511086,0.719325,0.119824,0.064250,0.279687,0.021327,0.374585,0.588341,0.210402,0.108501,0.263092,0.034186,0.333000,0.525072,0.270816,0.166661,0.074203,0.068424,BASLANGIC
0.266117,0.089473,0.965955,0.946767,0.767030,0.902542,0.079824,0.047935,0.973795,0.975829,0.323521,0.958974,0.036469,0.026395,0.980321,0.979057,0.224724,0.963303,0.083696,0.035544,0.986420,0.988738,0.125532,0.980860,BASLANGIC
0.432362,0.596753,0.237274,0.026348,0.835124,0.003813,0.377623,0.558761,0.284729,0.188312,0.271862,0.079227,0.117006,0.290695,0.494603,0.280658,0.249938,0.125580,0.159551,0.314242,0.478852,0.312538,0.082738,0.160510,BASLANGIC
0.238617,0.077784,0.969670,0.955830,0.728860,0.918782,0.054477,0.035459,0.978907,0.981113,0.303292,0.967869,0.031326,0.023235,0.982331,0.981689,0.187266,0.967876,0.063831,0.029888,0.986974,0.988804,0.071688,0.980971,BASLANGIC
0.361898,0.569724,0.241782,0.024730,0.847125,0.003594,0.225857,0.430136,0.368072,0.246288,0.265498,0.113984,0.134133,0.295210,0.502834,0.331307,0.226138,0.161075,0.258620,0.442541,0.325749,0.176196,0.096629,0.073484,BASLANGIC
0.110007,0.039387,0.983448,0.982285,0.549004,0.967015,0.040227,0.022803,0.986870,0.987526,0.318625,0.978721,0.025103,0.015932,0.989084,0.988714,0.242534,0.980140,0.044802,0.018824,0.992634,0.993340,0.083687,0.988660,BASLANGIC
0.062688,0.020910,0.992463,0.992712,0.167414,0.986364,0.020656,0.013150,0.992358,0.993021,0.294016,0.988068,0.028188,0.013085,0.993638,0.994119,0.183729,0.989626,0.027416,0.011949,0.995003,0.995890,0.026849,0.992993,BASLANGIC
0.337212,0.531710,0.284539,0.042034,0.785118,0.006745,0.441606,0.603718,0.243983,0.149758,0.297700,0.059111,0.276428,0.475206,0.312977,0.162998,0.284938,0.058198,0.275252,0.460388,0.330115,0.196312,0.067723,0.084706,BASLANGIC
0.150698,0.049044,0.981182,0.976268,0.633810,0.955938,0.054614,0.027168,0.985480,0.986610,0.308817,0.977167,0.030239,0.017043,0.989335,0.988783,0.221497,0.980260,0.045574,0.018986,0.992500,0.993695,0.076778,0.989262,BASLANGIC
0.272485,0.431029,0.406007,0.133802,0.860112,0.032108,0.221580,0.381865,0.440286,0.258366,0.228105,0.121679,0.139864,0.309453,0.485714,0.300180,0.256100,0.138801,0.134219,0.288248,0.516941,0.354292,0.066060,0.192419,BASLANGIC
0.227007,0.075056,0.971348,0.955985,0.754634,0.919062,0.042722,0.031356,0.978173,0.978790,0.283174,0.963952,0.037028,0.024551,0.982700,0.982637,0.196965,0.969526,0.068164,0.029728,0.987841,0.989799,0.040327,0.982655,BASLANGIC
0.338858,0.535849,0.286937,0.035611,0.846097,0.005498,0.641856,0.701199,0.217137,0.138408,0.230673,0.053259,0.267599,0.465183,0.328559,0.187766,0.248246,0.070613,0.398907,0.551891,0.263144,0.146293,0.053276,0.057935,BASLANGIC
0.088000,0.034532,0.985001,0.985174,0.493656,0.972358,0.034379,0.019341,0.989593,0.989991,0.294335,0.982908,0.032496,0.016969,0.990616,0.990472,0.237892,0.983219,0.032295,0.013358,0.994668,0.995255,0.020713,0.991913,BASLANGIC
0.256893,0.453557,0.345833,0.045736,0.868367,0.007455,0.633227,0.662080,0.228635,0.108629,0.196350,0.039390,0.427057,0.624263,0.188772,0.087647,0.246733,0.026218,0.433363,0.589042,0.234663,0.128774,0.039554,0.049385,BASLANGIC
0.138048,0.047410,0.981936,0.978461,0.616529,0.959968,0.034585,0.022080,0.986686,0.987383,0.330088,0.978479,0.031007,0.018655,0.988217,0.987836,0.222212,0.978603,0.041617,0.018547,0.992536,0.993695,0.102513,0.989262,BASLANGIC
0.281741,0.390010,0.501945,0.318380,0.885146,0.127944,0.332482,0.363209,0.559547,0.406421,0.231213,0.234076,0.292378,0.387082,0.517874,0.409922,0.391133,0.224119,0.126529,0.236414,0.625596,0.491971,0.073244,0.315128,BASLANGIC
0.413760,0.149077,0.937735,0.859218,0.866315,0.753074,0.103229,0.066289,0.960841,0.962664,0.304160,0.936979,0.094909,0.057082,0.963422,0.962516,0.204266,0.934795,0.145403,0.059860,0.977523,0.980739,0.048563,0.967374,BASLANGIC
0.410050,0.592205,0.236834,0.027667,0.805867,0.004046,0.305430,0.492822,0.330343,0.185743,0.300796,0.077813,0.280695,0.484539,0.308966,0.148073,0.355395,0.051168,0.533466,0.654600,0.188396,0.080696,0.054389,0.028206,BASLANGIC
0.385067,0.128641,0.950675,0.892557,0.849596,0.808407,0.074867,0.052027,0.964247,0.965133,0.305370,0.941084,0.071950,0.046771,0.969418,0.969937,0.210898,0.947536,0.119171,0.053136,0.977781,0.981230,0.084100,0.968199,BASLANGIC
0.420461,0.633484,0.197551,0.032756,0.590712,0.005089,0.494968,0.673258,0.191791,0.114915,0.257102,0.042640,0.352553,0.549215,0.250287,0.138081,0.177662,0.046646,0.385179,0.562886,0.238522,0.122645,0.052932,0.046507,BASLANGIC
