@RELATION WAVELET_BAND_HH

@ATTRIBUTE HH_glcm_contrast NUMERIC
@ATTRIBUTE HH_glcm_dissimilarity NUMERIC
@ATTRIBUTE HH_glcm_homogeneity NUMERIC
@ATTRIBUTE HH_glcm_energy NUMERIC
@ATTRIBUTE HH_glcm_correlation NUMERIC
@ATTRIBUTE HH_glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.031688,0.013513,0.994578,0.995394,0.061762,0.992150,BASLANGIC
0.333000,0.525072,0.270816,0.166661,0.074203,0.068424,BASLANGIC
0.083696,0.035544,0.986420,0.988738,0.125532,0.980860,BASLANGIC
0.159551,0.314242,0.478852,0.312538,0.082738,0.160510,BASLANGIC
0.063831,0.029888,0.986974,0.988804,0.071688,0.980971,BASLANGIC
0.258620,0.442541,0.325749,0.176196,0.096629,0.073484,BASLANGIC
0.044802,0.018824,0.992634,0.993340,0.083687,0.988660,BASLANGIC
0.027416,0.011949,0.995003,0.995890,0.026849,0.992993,BASLANGIC
0.275252,0.460388,0.330115,0.196312,0.067723,0.084706,BASLANGIC
0.045574,0.018986,0.992500,0.993695,0.076778,0.989262,BASLANGIC
0.134219,0.288248,0.516941,0.354292,0.066060,0.192419,BASLANGIC
0.068164,0.029728,0.987841,0.989799,0.040327,0.982655,BASLANGIC
0.398907,0.551891,0.263144,0.146293,0.053276,0.057935,BASLANGIC
0.032295,0.013358,0.994668,0.995255,0.020713,0.991913,BASLANGIC
0.433363,0.589042,0.234663,0.128774,0.039554,0.049385,BASLANGIC
0.041617,0.018547,0.992536,0.993695,0.102513,0.989262,BASLANGIC
0.126529,0.236414,0.625596,0.491971,0.073244,0.315128,BASLANGIC
0.145403,0.059860,0.977523,0.980739,0.048563,0.967374,BASLANGIC
0.533466,0.654600,0.188396,0.080696,0.054389,0.028206,BASLANGIC
0.119171,0.053136,0.977781,0.981230,0.084100,0.968199,BASLANGIC
0.385179,0.562886,0.238522,0.122645,0.052932,0.046507,BASLANGIC
0.047726,0.018179,0.993646,0.994614,0.042088,0.990824,BASLANGIC
0.610727,0.720420,0.147775,0.081188,0.044138,0.028416,BASLANGIC
0.032044,0.012914,0.995337,0.996244,0.141530,0.993597,BASLANGIC
0.299273,0.449613,0.362967,0.229122,0.065289,0.104172,BASLANGIC
0.208305,0.083856,0.970600,0.975782,0.060809,0.959062,BASLANGIC
0.151471,0.334373,0.440394,0.278917,0.066293,0.136626,BASLANGIC
0.043345,0.019346,0.991800,0.992704,0.151711,0.987580,BASLANGIC
0.577909,0.694675,0.161799,0.070518,0.050741,0.024140,BASLANGIC
0.058865,0.023406,0.992369,0.993837,0.084082,0.989503,BASLANGIC
0.437676,0.551958,0.301751,0.198485,0.056424,0.085956,BASLANGIC
0.035294,0.015125,0.994460,0.995255,0.105925,0.991913,BASLANGIC
0.421489,0.578409,0.263031,0.160288,0.048060,0.065061,BASLANGIC
0.071757,0.028234,0.990457,0.992278,0.062041,0.986857,BASLANGIC
0.354717,0.524395,0.283812,0.156353,0.078832,0.063009,BASLANGIC
0.179984,0.079359,0.967468,0.972097,0.093803,0.952906,BASLANGIC
0.170582,0.356334,0.410920,0.235960,0.067639,0.108395,BASLANGIC
0.041924,0.017813,0.993806,0.994899,0.136603,0.991308,BASLANGIC
0.548881,0.642933,0.217124,0.106366,0.051691,0.039107,BASLANGIC
0.097563,0.045703,0.980795,0.983919,0.062569,0.972725,BASLANGIC
0.663181,0.778803,0.098817,0.034523,0.053764,0.010952,BASLANGIC
0.047742,0.017223,0.994102,0.995181,0.102854,0.991788,BASLANGIC
0.122290,0.311891,0.443044,0.258855,0.058425,0.123098,BASLANGIC
0.109941,0.048338,0.980803,0.984066,0.094602,0.972971,BASLANGIC
0.270145,0.491015,0.267488,0.136625,0.053132,0.053151,BASLANGIC
0.112525,0.046604,0.983097,0.985904,0.108167,0.976071,BASLANGIC
0.641271,0.741870,0.120249,0.049453,0.048988,0.016176,BASLANGIC
0.062407,0.029326,0.987247,0.989371,0.048919,0.981931,BASLANGIC
0.375303,0.574856,0.220517,0.119019,0.067933,0.044831,BASLANGIC
0.050892,0.018624,0.994392,0.995185,0.074451,0.991794,BASLANGIC
0.033188,0.014879,0.993471,0.994334,0.169664,0.990348,BASLANGIC
0.346518,0.502127,0.325635,0.216722,0.045781,0.096631,BASLANGIC
0.132668,0.059719,0.975675,0.978964,0.118866,0.964394,BASLANGIC
0.423664,0.589258,0.209929,0.095526,0.050292,0.034385,BASLANGIC
0.042327,0.018339,0.992925,0.994191,0.122117,0.990104,BASLANGIC
0.399855,0.598717,0.192430,0.099541,0.049669,0.036114,BASLANGIC
0.056784,0.024812,0.990450,0.991572,0.137152,0.985660,BASLANGIC
0.586181,0.658773,0.258461,0.182319,0.059504,0.076830,BASLANGIC
0.026823,0.011347,0.995233,0.995393,0.081914,0.992149,BASLANGIC
0.559001,0.668612,0.205266,0.100509,0.051056,0.036528,BASLANGIC
0.055179,0.022723,0.991505,0.992349,0.085480,0.986977,BASLANGIC
0.397910,0.567758,0.256457,0.155981,0.064918,0.062855,BASLANGIC
0.038280,0.016736,0.992979,0.994261,0.058101,0.990224,BASLANGIC
0.292978,0.454473,0.331568,0.185852,0.051649,0.078798,BASLANGIC
0.140962,0.060952,0.975394,0.979458,0.003308,0.965223,BASLANGIC
0.260951,0.433993,0.362868,0.227104,0.055561,0.102917,BASLANGIC
0.110274,0.044471,0.984243,0.986334,0.114884,0.976797,BASLANGIC
0.198871,0.352810,0.450680,0.306864,0.068948,0.156371,BASLANGIC
0.082941,0.037893,0.983091,0.985477,0.014215,0.975349,BASLANGIC
0.504001,0.655492,0.181528,0.084744,0.047254,0.029853,BASLANGIC
0.053320,0.021359,0.992070,0.992844,0.037156,0.987817,BASLANGIC
0.469698,0.591590,0.259743,0.154370,0.068606,0.062004,BASLANGIC
0.077597,0.037437,0.982714,0.984700,0.130207,0.974040,BASLANGIC
0.385906,0.496915,0.360205,0.228136,0.062991,0.103535,BASLANGIC
0.053241,0.023516,0.991134,0.992634,0.194937,0.987460,BASLANGIC
0.352962,0.494158,0.349237,0.229299,0.077030,0.104256,BASLANGIC
0.071766,0.031082,0.988017,0.989941,0.118563,0.982894,BASLANGIC
0.570058,0.678905,0.204435,0.118923,0.073139,0.044823,BASLANGIC
0.088729,0.039971,0.984201,0.987036,0.069137,0.977983,BASLANGIC
0.271835,0.437471,0.344718,0.185677,0.039212,0.078689,BASLANGIC
0.066933,0.028443,0.989690,0.991642,0.024961,0.985778,BASLANGIC
0.522258,0.621558,0.244371,0.134785,0.062119,0.052274,BASLANGIC
0.173478,0.070995,0.974173,0.978605,0.022783,0.963791,BASLANGIC
0.588419,0.735501,0.127516,0.056647,0.081885,0.018825,BASLANGIC
0.099482,0.047347,0.977373,0.980592,0.041336,0.967126,BASLANGIC
0.818781,0.833474,0.086405,0.017139,0.053552,0.005210,BASLANGIC
0.033545,0.016809,0.992569,0.993766,0.130039,0.989383,BASLANGIC
0.406299,0.587016,0.207387,0.094108,0.052180,0.033781,BASLANGIC
0.052458,0.020064,0.994213,0.995185,0.158659,0.991794,BASLANGIC
0.413230,0.566497,0.260607,0.147531,0.061150,0.058574,BASLANGIC
0.140053,0.056760,0.978736,0.982221,0.011964,0.969866,BASLANGIC
0.519694,0.650030,0.210588,0.113511,0.064251,0.042320,BASLANGIC
0.041859,0.015485,0.994507,0.995325,0.120918,0.992033,BASLANGIC
