@RELATION WAVELET_BAND_HL

@ATTRIBUTE HL_glcm_contrast NUMERIC
@ATTRIBUTE HL_glcm_dissimilarity NUMERIC
@ATTRIBUTE HL_glcm_homogeneity NUMERIC
@ATTRIBUTE HL_glcm_energy NUMERIC
@ATTRIBUTE HL_glcm_correlation NUMERIC
@ATTRIBUTE HL_glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.029497,0.015437,0.991888,0.992497,0.225135,0.986775,BASLANGIC
0.374585,0.588341,0.210402,0.108501,0.263092,0.034186,BASLANGIC
0.036469,0.026395,0.980321,0.979057,0.224724,0.963303,BASLANGIC
0.117006,0.290695,0.494603,0.280658,0.249938,0.125580,BASLANGIC
0.031326,0.023235,0.982331,0.981689,0.187266,0.967876,BASLANGIC
0.134133,0.295210,0.502834,0.331307,0.226138,0.161075,BASLANGIC
0.025103,0.015932,0.989084,0.988714,0.242534,0.980140,BASLANGIC
0.028188,0.013085,0.993638,0.994119,0.183729,0.989626,BASLANGIC
0.276428,0.475206,0.312977,0.162998,0.284938,0.058198,BASLANGIC
0.030239,0.017043,0.989335,0.988783,0.221497,0.980260,BASLANGIC
0.139864,0.309453,0.485714,0.300180,0.256100,0.138801,BASLANGIC
0.037028,0.024551,0.982700,0.982637,0.196965,0.969526,BASLANGIC
0.267599,0.465183,0.328559,0.187766,0.248246,0.070613,BASLANGIC
0.032496,0.016969,0.990616,0.990472,0.237892,0.983219,BASLANGIC
0.427057,0.624263,0.188772,0.087647,0.246733,0.026218,BASLANGIC
0.031007,0.018655,0.988217,0.987836,0.222212,0.978603,BASLANGIC
0.292378,0.387082,0.517874,0.409922,0.391133,0.224119,BASLANGIC
0.094909,0.057082,0.963422,0.962516,0.204266,0.934795,BASLANGIC
0.280695,0.484539,0.308966,0.148073,0.355395,0.051168,BASLANGIC
0.071950,0.046771,0.969418,0.969937,0.210898,0.947536,BASLANGIC
0.352553,0.549215,0.250287,0.138081,0.177662,0.046646,BASLANGIC
0.025609,0.014444,0.991819,0.992092,0.248245,0.986064,BASLANGIC
0.715329,0.829200,0.077569,0.037824,0.193150,0.009856,BASLANGIC
0.031777,0.016105,0.991177,0.991080,0.244873,0.984286,BASLANGIC
0.304505,0.482009,0.329757,0.184226,0.350964,0.068813,BASLANGIC
0.075872,0.056323,0.956794,0.955233,0.239544,0.922376,BASLANGIC
0.077129,0.214538,0.601709,0.418877,0.175853,0.231879,BASLANGIC
0.044185,0.023841,0.984975,0.985538,0.188943,0.974585,BASLANGIC
0.341194,0.545317,0.258698,0.143186,0.220360,0.048931,BASLANGIC
0.043127,0.023768,0.986896,0.986889,0.224446,0.976946,BASLANGIC
0.364813,0.538238,0.292611,0.175830,0.229489,0.064480,BASLANGIC
0.035214,0.018579,0.990189,0.990672,0.238452,0.983572,BASLANGIC
0.297990,0.497281,0.292069,0.153211,0.185238,0.053523,BASLANGIC
0.037814,0.022652,0.985856,0.984999,0.201001,0.973645,BASLANGIC
0.205254,0.399569,0.386013,0.181993,0.472777,0.067687,BASLANGIC
0.124813,0.076807,0.951659,0.951512,0.206745,0.916068,BASLANGIC
0.087025,0.233254,0.579442,0.386705,0.215271,0.204488,BASLANGIC
0.023253,0.014528,0.990620,0.990672,0.222801,0.983572,BASLANGIC
0.400723,0.576771,0.244497,0.124479,0.365450,0.040746,BASLANGIC
0.044586,0.033511,0.974279,0.974002,0.241234,0.954544,BASLANGIC
0.279852,0.494768,0.278533,0.138729,0.240270,0.046943,BASLANGIC
0.027926,0.015610,0.990783,0.991146,0.224974,0.984402,BASLANGIC
0.082073,0.211500,0.620621,0.455692,0.199020,0.265119,BASLANGIC
0.052998,0.036886,0.973590,0.973046,0.243988,0.952893,BASLANGIC
0.209708,0.436876,0.315998,0.151923,0.252079,0.052925,BASLANGIC
0.035517,0.028511,0.977684,0.977039,0.242839,0.959801,BASLANGIC
0.156641,0.362078,0.390126,0.208498,0.180978,0.081689,BASLANGIC
0.044085,0.027076,0.982401,0.982501,0.212543,0.969290,BASLANGIC
0.208849,0.418259,0.348564,0.196817,0.250314,0.075359,BASLANGIC
0.035756,0.019153,0.989578,0.989660,0.254200,0.981797,BASLANGIC
0.046646,0.021670,0.988990,0.989052,0.251559,0.980731,BASLANGIC
0.439823,0.622469,0.212617,0.112444,0.246818,0.035760,BASLANGIC
0.081884,0.053203,0.963108,0.961513,0.236902,0.933082,BASLANGIC
0.216814,0.410310,0.370051,0.212786,0.231304,0.084094,BASLANGIC
0.048091,0.025071,0.987296,0.988173,0.248084,0.979193,BASLANGIC
0.626990,0.798410,0.068476,0.030101,0.244216,0.007669,BASLANGIC
0.041158,0.024837,0.984079,0.982772,0.203019,0.969763,BASLANGIC
0.681981,0.733004,0.223525,0.164395,0.239190,0.058864,BASLANGIC
0.032303,0.014370,0.993082,0.993376,0.228568,0.988319,BASLANGIC
0.155572,0.344595,0.428051,0.245630,0.216773,0.103277,BASLANGIC
0.049159,0.026298,0.986327,0.986619,0.230844,0.976475,BASLANGIC
0.229166,0.427749,0.349113,0.180735,0.196434,0.066962,BASLANGIC
0.032851,0.017584,0.989893,0.989929,0.237963,0.982268,BASLANGIC
0.255702,0.449542,0.329230,0.172682,0.173359,0.062905,BASLANGIC
0.104425,0.060337,0.960675,0.960219,0.165698,0.930868,BASLANGIC
0.392592,0.565253,0.261833,0.152551,0.264283,0.053227,BASLANGIC
0.054295,0.037211,0.973042,0.971090,0.247819,0.949518,BASLANGIC
0.147650,0.306596,0.502639,0.345255,0.256838,0.171599,BASLANGIC
0.040515,0.029170,0.977451,0.976020,0.193360,0.958034,BASLANGIC
0.429018,0.630411,0.186235,0.090913,0.279965,0.027423,BASLANGIC
0.030704,0.018830,0.987835,0.988036,0.237272,0.978954,BASLANGIC
0.259183,0.440578,0.362111,0.212547,0.273635,0.083953,BASLANGIC
0.095375,0.050454,0.972312,0.972572,0.235377,0.952078,BASLANGIC
0.403689,0.528594,0.337112,0.197469,0.291175,0.075713,BASLANGIC
0.057827,0.030315,0.983984,0.984053,0.263374,0.971996,BASLANGIC
0.244551,0.410409,0.420966,0.282606,0.340325,0.126855,BASLANGIC
0.042632,0.026907,0.981282,0.980476,0.235526,0.965766,BASLANGIC
0.653888,0.769618,0.144820,0.079694,0.276502,0.023346,BASLANGIC
0.037779,0.028431,0.977723,0.977301,0.236313,0.960256,BASLANGIC
0.452056,0.602423,0.235086,0.115069,0.218167,0.036844,BASLANGIC
0.045627,0.026918,0.983355,0.983310,0.236135,0.970701,BASLANGIC
0.731531,0.778053,0.152566,0.076210,0.263349,0.022135,BASLANGIC
0.058483,0.045685,0.964395,0.962989,0.218946,0.935604,BASLANGIC
0.543180,0.711240,0.152539,0.080026,0.289489,0.023468,BASLANGIC
0.068183,0.044798,0.966395,0.964742,0.221076,0.938608,BASLANGIC
0.462570,0.624406,0.221889,0.118463,0.214472,0.038232,BASLANGIC
0.030871,0.017584,0.989087,0.988916,0.236712,0.980494,BASLANGIC
0.159550,0.354256,0.410492,0.229206,0.169528,0.093458,BASLANGIC
0.042447,0.021957,0.987890,0.988105,0.224237,0.979075,BASLANGIC
0.136800,0.309204,0.483680,0.267403,0.319243,0.116909,BASLANGIC
0.099776,0.056899,0.966798,0.967437,0.237904,0.943235,BASLANGIC
0.260429,0.440674,0.368836,0.240180,0.195313,0.099963,BASLANGIC
0.039848,0.017589,0.991276,0.991348,0.248532,0.984757,BASLANGIC
0.226932,0.437998,0.321778,0.166582,0.243260,0.059926,BASLANGIC
0.023159,0.015024,0.989836,0.989794,0.222239,0.982032,BASLANGIC
0.478819,0.615595,0.246109,0.135441,0.312980,0.045517,BASLANGIC
0.076425,0.044003,0.974120,0.973989,0.231925,0.954523,BASLANGIC
0.183813,0.334270,0.476096,0.259137,0.375105,0.111702,BASLANGIC
0.109249,0.074784,0.945117,0.942879,0.213970,0.901506,BASLANGIC
0.482693,0.643732,0.194202,0.088597,0.277174,0.026560,BASLANGIC
0.029808,0.019561,0.986057,0.984931,0.181654,0.973527,BASLANGIC
0.320284,0.511385,0.300050,0.175555,0.250926,0.064370,BASLANGIC
0.025804,0.015518,0.990709,0.991010,0.243065,0.984165,BASLANGIC
0.130027,0.195188,0.692337,0.567058,0.101383,0.378413,BASLANGIC
0.020451,0.012993,0.990879,0.990743,0.171551,0.983695,BASLANGIC
0.290747,0.483118,0.333843,0.189437,0.277081,0.071450,BASLANGIC
0.045479,0.023280,0.986908,0.986823,0.231224,0.976832,BASLANGIC
0.200980,0.332043,0.508771,0.366906,0.270755,0.188454,BASLANGIC
0.065734,0.037821,0.975997,0.975072,0.262950,0.956395,BASLANGIC
0.045175,0.020058,0.989514,0.989593,0.243714,0.981679,BASLANGIC
0.512175,0.701935,0.145091,0.060670,0.238834,0.016891,BASLANGIC
0.048783,0.024487,0.986435,0.987226,0.211411,0.977536,BASLANGIC
0.396708,0.588093,0.232705,0.118844,0.270722,0.038408,BASLANGIC
0.059281,0.037836,0.973709,0.971769,0.228490,0.950689,BASLANGIC
0.489064,0.614921,0.252470,0.145265,0.261872,0.049870,BASLANGIC
0.044783,0.023023,0.985775,0.985471,0.196181,0.974469,BASLANGIC
0.330180,0.508010,0.290587,0.148121,0.270634,0.051196,BASLANGIC
0.062856,0.036924,0.976893,0.977230,0.257414,0.960132,BASLANGIC
0.026952,0.009996,0.995922,0.996011,0.206341,0.992959,BASLANGIC
0.168227,0.343386,0.437573,0.228354,0.284144,0.092969,BASLANGIC
0.072029,0.041696,0.974010,0.972775,0.264662,0.952426,BASLANGIC
0.093564,0.219372,0.618881,0.454015,0.194409,0.263589,BASLANGIC
0.022455,0.013372,0.991121,0.991349,0.157585,0.984758,BASLANGIC
0.306100,0.549223,0.207648,0.092851,0.257105,0.028132,BASLANGIC
0.052166,0.030043,0.981387,0.981153,0.200854,0.966943,BASLANGIC
0.693915,0.831519,0.060760,0.028422,0.229663,0.007205,BASLANGIC
0.056647,0.043185,0.964779,0.962457,0.196942,0.934692,BASLANGIC
0.614995,0.755776,0.116712,0.048801,0.263173,0.013134,BASLANGIC
0.041627,0.020675,0.988203,0.987970,0.224712,0.978838,BASLANGIC
0.111916,0.243790,0.582526,0.396461,0.293747,0.212767,BASLANGIC
0.164151,0.109246,0.923653,0.921871,0.219691,0.866548,BASLANGIC
0.157321,0.317266,0.479963,0.307793,0.173333,0.144098,BASLANGIC
0.054720,0.034223,0.976540,0.976016,0.233677,0.958030,BASLANGIC
0.165760,0.349039,0.430443,0.230899,0.286595,0.094486,BASLANGIC
0.041158,0.026304,0.983780,0.983989,0.222744,0.971885,BASLANGIC
0.498745,0.674628,0.163708,0.079583,0.233373,0.023309,BASLANGIC
0.088361,0.056602,0.960010,0.957338,0.230282,0.925962,BASLANGIC
0.291866,0.484777,0.319370,0.156369,0.425769,0.055028,BASLANGIC
0.155668,0.090817,0.945862,0.946037,0.250577,0.906821,BASLANGIC
0.607564,0.730424,0.159145,0.074429,0.240840,0.021520,BASLANGIC
0.034023,0.016590,0.990879,0.990200,0.227266,0.982744,BASLANGIC
0.398655,0.563369,0.272817,0.151905,0.250653,0.052928,BASLANGIC
0.029928,0.017380,0.988992,0.988985,0.243331,0.980614,BASLANGIC
0.336915,0.522744,0.279437,0.134088,0.288732,0.044899,BASLANGIC
0.046992,0.024671,0.986034,0.986283,0.187897,0.975887,BASLANGIC
0.407007,0.594191,0.221158,0.104347,0.291677,0.032545,BASLANGIC
0.044388,0.032707,0.974391,0.972918,0.182546,0.952673,BASLANGIC
0.154004,0.357257,0.408515,0.203727,0.326879,0.079118,BASLANGIC
0.101568,0.067657,0.952408,0.951712,0.237391,0.916405,BASLANGIC
0.471793,0.628269,0.216304,0.116132,0.262442,0.037254,BASLANGIC
0.026198,0.014231,0.991355,0.991079,0.152793,0.984286,BASLANGIC
0.634625,0.797195,0.077813,0.032938,0.269644,0.008469,BASLANGIC
0.083431,0.043342,0.974954,0.974531,0.246180,0.955460,BASLANGIC
0.531691,0.703939,0.151558,0.079067,0.266994,0.023120,BASLANGIC
0.057517,0.030433,0.983563,0.983444,0.272661,0.970933,BASLANGIC
0.404121,0.519546,0.386960,0.313478,0.263125,0.148145,BASLANGIC
0.051941,0.032527,0.979190,0.978918,0.255873,0.963062,BASLANGIC
0.198378,0.397117,0.387272,0.225260,0.290324,0.091240,BASLANGIC
0.032248,0.016872,0.990613,0.990202,0.155771,0.982746,BASLANGIC
0.149156,0.364359,0.391740,0.209685,0.263437,0.082347,BASLANGIC
0.063653,0.037651,0.975848,0.975271,0.238377,0.956740,BASLANGIC
0.284620,0.449861,0.378046,0.222396,0.438301,0.089554,BASLANGIC
0.139171,0.086784,0.945381,0.945232,0.225629,0.905466,BASLANGIC
0.358464,0.565834,0.232969,0.118875,0.279547,0.038410,BASLANGIC
0.042199,0.025539,0.984401,0.983043,0.257287,0.970233,BASLANGIC
0.111362,0.249431,0.564707,0.335725,0.284189,0.164459,BASLANGIC
0.048918,0.032026,0.978038,0.977639,0.199102,0.960841,BASLANGIC
0.524590,0.654893,0.231738,0.144213,0.272553,0.049413,BASLANGIC
0.035363,0.018993,0.989372,0.989255,0.260324,0.981087,BASLANGIC
0.023072,0.014323,0.990219,0.990201,0.222168,0.982745,BASLANGIC
0.237631,0.360299,0.492658,0.337566,0.258262,0.165806,BASLANGIC
0.067809,0.049171,0.963836,0.963329,0.210211,0.936194,BASLANGIC
0.177538,0.358850,0.423276,0.254577,0.193530,0.108814,BASLANGIC
0.096245,0.051976,0.970012,0.969669,0.238514,0.947074,BASLANGIC
0.362851,0.579299,0.214760,0.104786,0.265938,0.032714,BASLANGIC
0.048505,0.024134,0.986820,0.987767,0.176098,0.978483,BASLANGIC
0.357618,0.560590,0.242399,0.117703,0.296288,0.037922,BASLANGIC
0.026709,0.016064,0.988408,0.988310,0.223846,0.979431,BASLANGIC
0.225943,0.366590,0.438669,0.242256,0.276899,0.101288,BASLANGIC
0.101080,0.052050,0.973610,0.974525,0.244893,0.955456,BASLANGIC
0.141935,0.331196,0.440922,0.240157,0.252425,0.099972,BASLANGIC
0.037572,0.021862,0.986908,0.986756,0.181641,0.976714,BASLANGIC
0.145004,0.333192,0.440843,0.248943,0.238107,0.105299,BASLANGIC
0.034460,0.019363,0.988523,0.988241,0.238477,0.979312,BASLANGIC
0.578577,0.682325,0.210026,0.122351,0.224467,0.039853,BASLANGIC
0.021512,0.012055,0.992484,0.992836,0.168958,0.987371,BASLANGIC
0.383209,0.591686,0.203093,0.077301,0.382590,0.022527,BASLANGIC
0.058527,0.040597,0.971521,0.969741,0.242952,0.947193,BASLANGIC
0.037129,0.021956,0.986851,0.986822,0.171157,0.976830,BASLANGIC
0.257779,0.455451,0.345684,0.209578,0.282537,0.082300,BASLANGIC
0.052997,0.029825,0.980359,0.978586,0.205363,0.962484,BASLANGIC
0.038117,0.020637,0.987011,0.987092,0.213702,0.977302,BASLANGIC
0.304780,0.545851,0.214889,0.091063,0.256697,0.027469,BASLANGIC
0.038339,0.027232,0.979791,0.978719,0.216454,0.962714,BASLANGIC
0.527285,0.664905,0.203828,0.105387,0.305185,0.032948,BASLANGIC
0.040132,0.021470,0.987724,0.987362,0.226285,0.977774,BASLANGIC
0.396692,0.591469,0.216532,0.098143,0.348780,0.030153,BASLANGIC
0.088026,0.057969,0.961293,0.960305,0.245766,0.931017,BASLANGIC
0.209937,0.363222,0.439769,0.275731,0.186215,0.122308,BASLANGIC
0.082789,0.060582,0.953334,0.951811,0.200171,0.916573,BASLANGIC
0.173365,0.343692,0.445854,0.251361,0.324839,0.106909,BASLANGIC
0.056815,0.036279,0.975980,0.976219,0.213927,0.958382,BASLANGIC
0.094039,0.060785,0.954803,0.951340,0.133830,0.915768,BASLANGIC
0.628474,0.740982,0.148035,0.067914,0.240681,0.019311,BASLANGIC
0.054664,0.033775,0.976922,0.976085,0.234362,0.958148,BASLANGIC
0.164282,0.357788,0.410058,0.230523,0.254325,0.094231,BASLANGIC
0.083796,0.048241,0.971678,0.971893,0.276215,0.950905,BASLANGIC
0.028904,0.021005,0.983742,0.983379,0.250195,0.970820,BASLANGIC
0.370096,0.582897,0.215858,0.103020,0.243098,0.032024,BASLANGIC
0.045391,0.024010,0.985445,0.985943,0.174713,0.975294,BASLANGIC
0.521673,0.681135,0.162605,0.078048,0.276520,0.022772,BASLANGIC
0.050551,0.034006,0.976762,0.976757,0.243883,0.959314,BASLANGIC
0.169583,0.371569,0.402863,0.205483,0.267634,0.080043,BASLANGIC
0.070398,0.050422,0.964357,0.962182,0.242249,0.934228,BASLANGIC
0.390578,0.596579,0.204785,0.092937,0.290773,0.028185,BASLANGIC
0.034907,0.021793,0.985920,0.986145,0.234899,0.975646,BASLANGIC
0.282739,0.487819,0.296746,0.157893,0.237878,0.055724,BASLANGIC
0.052465,0.030673,0.982066,0.981620,0.254945,0.967757,BASLANGIC
0.397966,0.540550,0.313369,0.194947,0.249494,0.074357,BASLANGIC
0.033734,0.023306,0.983947,0.983446,0.211503,0.970936,BASLANGIC
0.607630,0.732661,0.180419,0.112048,0.304966,0.035619,BASLANGIC
0.039587,0.024968,0.982872,0.982298,0.222600,0.968936,BASLANGIC
0.128820,0.336392,0.416491,0.219442,0.235429,0.087826,BASLANGIC
0.057817,0.034601,0.977759,0.976626,0.250958,0.959086,BASLANGIC
0.173341,0.365774,0.426408,0.251851,0.358699,0.107132,BASLANGIC
0.070773,0.049749,0.963568,0.961576,0.216507,0.933189,BASLANGIC
0.396248,0.542102,0.292845,0.153051,0.328650,0.053472,BASLANGIC
0.056986,0.042995,0.967547,0.966312,0.195735,0.941300,BASLANGIC
0.288472,0.496922,0.282138,0.150165,0.305886,0.052130,BASLANGIC
0.025972,0.016798,0.987949,0.988443,0.198477,0.979665,BASLANGIC
0.079907,0.240420,0.555481,0.374150,0.212730,0.194239,BASLANGIC
0.024252,0.017083,0.987182,0.986553,0.185929,0.976359,BASLANGIC
0.361955,0.535027,0.287141,0.142311,0.248213,0.048516,BASLANGIC
0.056752,0.034035,0.977514,0.978041,0.195062,0.961538,BASLANGIC
0.453053,0.677376,0.122653,0.050075,0.269158,0.013521,BASLANGIC
0.044255,0.033617,0.974256,0.971905,0.211340,0.950923,BASLANGIC
