@RELATION WAVELET_BAND_LH

@ATTRIBUTE LH_glcm_contrast NUMERIC
@ATTRIBUTE LH_glcm_dissimilarity NUMERIC
@ATTRIBUTE LH_glcm_homogeneity NUMERIC
@ATTRIBUTE LH_glcm_energy NUMERIC
@ATTRIBUTE LH_glcm_correlation NUMERIC
@ATTRIBUTE LH_glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.029941,0.018122,0.990352,0.991541,0.328189,0.985545,BASLANGIC
0.511086,0.719325,0.119824,0.064250,0.279687,0.021327,BASLANGIC
0.079824,0.047935,0.973795,0.975829,0.323521,0.958974,BASLANGIC
0.377623,0.558761,0.284729,0.188312,0.271862,0.079227,BASLANGIC
0.054477,0.035459,0.978907,0.981113,0.303292,0.967869,BASLANGIC
0.225857,0.430136,0.368072,0.246288,0.265498,0.113984,BASLANGIC
0.040227,0.022803,0.986870,0.987526,0.318625,0.978721,BASLANGIC
0.020656,0.013150,0.992358,0.993021,0.294016,0.988068,BASLANGIC
0.441606,0.603718,0.243983,0.149758,0.297700,0.059111,BASLANGIC
0.054614,0.027168,0.985480,0.986610,0.308817,0.977167,BASLANGIC
0.221580,0.381865,0.440286,0.258366,0.228105,0.121679,BASLANGIC
0.042722,0.031356,0.978173,0.978790,0.283174,0.963952,BASLANGIC
0.641856,0.701199,0.217137,0.138408,0.230673,0.053259,BASLANGIC
0.034379,0.019341,0.989593,0.989991,0.294335,0.982908,BASLANGIC
0.633227,0.662080,0.228635,0.108629,0.196350,0.039390,BASLANGIC
0.034585,0.022080,0.986686,0.987383,0.330088,0.978479,BASLANGIC
0.332482,0.363209,0.559547,0.406421,0.231213,0.234076,BASLANGIC
0.103229,0.066289,0.960841,0.962664,0.304160,0.936979,BASLANGIC
0.305430,0.492822,0.330343,0.185743,0.300796,0.077813,BASLANGIC
0.074867,0.052027,0.964247,0.965133,0.305370,0.941084,BASLANGIC
0.494968,0.673258,0.191791,0.114915,0.257102,0.042640,BASLANGIC
0.046578,0.024821,0.987667,0.988934,0.327941,0.981112,BASLANGIC
0.636773,0.726943,0.196716,0.135686,0.243842,0.052593,BASLANGIC
0.025306,0.013924,0.992500,0.992669,0.217956,0.987468,BASLANGIC
0.203693,0.352022,0.490239,0.355108,0.360951,0.191802,BASLANGIC
0.104993,0.073671,0.952718,0.954850,0.310112,0.924043,BASLANGIC
0.710406,0.632484,0.279737,0.177563,0.096207,0.073518,BASLANGIC
0.040561,0.024482,0.986039,0.986821,0.275966,0.977525,BASLANGIC
0.843225,0.612344,0.325569,0.186057,0.051888,0.078029,BASLANGIC
0.036318,0.022930,0.986388,0.987031,0.324888,0.977882,BASLANGIC
0.548442,0.670342,0.218338,0.114256,0.243085,0.042016,BASLANGIC
0.045393,0.023885,0.987394,0.988090,0.305934,0.979679,BASLANGIC
0.415696,0.599261,0.259416,0.167918,0.279915,0.068261,BASLANGIC
0.044594,0.031194,0.980317,0.981324,0.325590,0.968226,BASLANGIC
0.356560,0.529041,0.307678,0.182673,0.417882,0.075900,BASLANGIC
0.132980,0.088534,0.944001,0.945784,0.323588,0.909149,BASLANGIC
0.497484,0.605273,0.287969,0.206068,0.255336,0.089438,BASLANGIC
0.036466,0.020623,0.988751,0.989285,0.336321,0.981709,BASLANGIC
0.333264,0.429178,0.460442,0.335314,0.326999,0.176502,BASLANGIC
0.096944,0.059053,0.969147,0.972943,0.318066,0.954131,BASLANGIC
0.515764,0.685852,0.183513,0.124182,0.242608,0.046753,BASLANGIC
0.035956,0.019849,0.989755,0.990907,0.300395,0.984467,BASLANGIC
0.222159,0.436751,0.349434,0.199427,0.237236,0.085385,BASLANGIC
0.078275,0.051424,0.968518,0.970830,0.333863,0.950590,BASLANGIC
0.648504,0.819229,0.063181,0.027706,0.286034,0.008473,BASLANGIC
0.065158,0.042624,0.974856,0.975551,0.304258,0.958503,BASLANGIC
0.498061,0.656882,0.197750,0.116094,0.254585,0.042802,BASLANGIC
0.041778,0.029086,0.980301,0.981536,0.326109,0.968583,BASLANGIC
0.375959,0.590278,0.227230,0.111851,0.290276,0.041004,BASLANGIC
0.033950,0.020345,0.988720,0.989217,0.336871,0.981594,BASLANGIC
0.020423,0.014787,0.990314,0.990768,0.334916,0.984230,BASLANGIC
0.443674,0.614388,0.238705,0.147513,0.266228,0.057757,BASLANGIC
0.119988,0.078685,0.954789,0.958718,0.283648,0.930439,BASLANGIC
0.424762,0.580342,0.281119,0.179952,0.198202,0.074768,BASLANGIC
0.048922,0.027652,0.985067,0.985832,0.359326,0.975850,BASLANGIC
0.768274,0.777918,0.171392,0.097479,0.164443,0.034887,BASLANGIC
0.053530,0.031858,0.982993,0.984079,0.298218,0.972880,BASLANGIC
0.559590,0.601604,0.333319,0.262491,0.173381,0.124251,BASLANGIC
0.033613,0.017843,0.990017,0.990696,0.274815,0.984107,BASLANGIC
0.425158,0.607627,0.235620,0.133150,0.283795,0.050629,BASLANGIC
0.033079,0.021295,0.986381,0.986188,0.326180,0.976452,BASLANGIC
0.541177,0.732011,0.144333,0.088217,0.275553,0.031093,BASLANGIC
0.023888,0.016380,0.988908,0.989288,0.278739,0.981713,BASLANGIC
0.447828,0.593728,0.267580,0.170939,0.254138,0.069903,BASLANGIC
0.164238,0.093571,0.955541,0.961178,0.311690,0.934524,BASLANGIC
0.401738,0.598402,0.236336,0.124606,0.242963,0.046704,BASLANGIC
0.105455,0.062021,0.967899,0.969773,0.357641,0.948827,BASLANGIC
0.277716,0.421449,0.419351,0.303838,0.330499,0.153167,BASLANGIC
0.084325,0.051729,0.969687,0.972233,0.313741,0.952943,BASLANGIC
0.601082,0.731177,0.164264,0.088232,0.210263,0.030754,BASLANGIC
0.040076,0.024043,0.986102,0.986820,0.329406,0.977524,BASLANGIC
