@RELATION DOMAIN_TRANSFORM

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.069268,0.026928,0.989088,0.988755,0.355350,0.978999,BASLANGIC
0.413341,0.640132,0.178267,0.015952,0.812324,0.002204,BASLANGIC
0.266117,0.089473,0.965955,0.946767,0.767030,0.902542,BASLANGIC
0.432362,0.596753,0.237274,0.026348,0.835124,0.003813,BASLANGIC
0.238617,0.077784,0.969670,0.955830,0.728860,0.918782,BASLANGIC
0.361898,0.569724,0.241782,0.024730,0.847125,0.003594,BASLANGIC
0.110007,0.039387,0.983448,0.982285,0.549004,0.967015,BASLANGIC
0.062688,0.020910,0.992463,0.992712,0.167414,0.986364,BASLANGIC
0.337212,0.531710,0.284539,0.042034,0.785118,0.006745,BASLANGIC
0.150698,0.049044,0.981182,0.976268,0.633810,0.955938,BASLANGIC
0.272485,0.431029,0.406007,0.133802,0.860112,0.032108,BASLANGIC
0.227007,0.075056,0.971348,0.955985,0.754634,0.919062,BASLANGIC
0.338858,0.535849,0.286937,0.035611,0.846097,0.005498,BASLANGIC
0.088000,0.034532,0.985001,0.985174,0.493656,0.972358,BASLANGIC
0.256893,0.453557,0.345833,0.045736,0.868367,0.007455,BASLANGIC
0.138048,0.047410,0.981936,0.978461,0.616529,0.959968,BASLANGIC
0.281741,0.390010,0.501945,0.318380,0.885146,0.127944,BASLANGIC
0.413760,0.149077,0.937735,0.859218,0.866315,0.753074,BASLANGIC
0.410050,0.592205,0.236834,0.027667,0.805867,0.004046,BASLANGIC
0.385067,0.128641,0.950675,0.892557,0.849596,0.808407,BASLANGIC
0.420461,0.633484,0.197551,0.032756,0.590712,0.005089,BASLANGIC
0.079783,0.030735,0.987473,0.987874,0.439473,0.977362,BASLANGIC
0.638325,0.772449,0.141608,0.029682,0.524385,0.004609,BASLANGIC
0.112234,0.036832,0.986897,0.985113,0.507211,0.972245,BASLANGIC
0.370737,0.500489,0.351328,0.057368,0.773185,0.009933,BASLANGIC
0.505365,0.171415,0.930311,0.833567,0.863355,0.711831,BASLANGIC
0.549406,0.708528,0.161467,0.033321,0.411323,0.005142,BASLANGIC
0.161132,0.050284,0.981878,0.978900,0.583914,0.960776,BASLANGIC
0.542087,0.660634,0.216199,0.040915,0.578298,0.006571,BASLANGIC
0.117565,0.040703,0.984255,0.982914,0.554406,0.968177,BASLANGIC
0.371648,0.553753,0.282873,0.034391,0.857364,0.005259,BASLANGIC
0.120821,0.042158,0.982966,0.980781,0.559560,0.964240,BASLANGIC
0.461649,0.642971,0.221041,0.024695,0.836189,0.003560,BASLANGIC
0.192582,0.063599,0.975762,0.968247,0.702446,0.941268,BASLANGIC
0.320439,0.490407,0.330646,0.044619,0.902514,0.007181,BASLANGIC
0.597603,0.211257,0.912776,0.769761,0.881453,0.614248,BASLANGIC
0.393948,0.578441,0.261023,0.048098,0.716772,0.007985,BASLANGIC
0.090417,0.031133,0.987363,0.987058,0.429611,0.975849,BASLANGIC
0.225038,0.377866,0.473557,0.202513,0.934333,0.060827,BASLANGIC
0.273533,0.105154,0.952732,0.931841,0.770891,0.876110,BASLANGIC
0.478263,0.674913,0.174813,0.017823,0.719572,0.002493,BASLANGIC
0.106660,0.038669,0.984718,0.984170,0.521000,0.970499,BASLANGIC
0.289839,0.488194,0.319697,0.052097,0.875758,0.008737,BASLANGIC
0.277231,0.100912,0.956757,0.924519,0.819660,0.863284,BASLANGIC
0.429067,0.659319,0.165888,0.009314,0.805350,0.001214,BASLANGIC
0.274938,0.089542,0.964624,0.939404,0.780590,0.889454,BASLANGIC
0.490091,0.690316,0.151098,0.018540,0.680157,0.002579,BASLANGIC
0.191240,0.065795,0.974200,0.965254,0.721275,0.935824,BASLANGIC
0.454025,0.656393,0.179102,0.014296,0.793883,0.001970,BASLANGIC
0.097118,0.037347,0.984772,0.983292,0.571470,0.968875,BASLANGIC
0.091900,0.034418,0.984650,0.984170,0.496818,0.970499,BASLANGIC
0.476944,0.653222,0.201529,0.052182,0.693477,0.008769,BASLANGIC
0.442508,0.161471,0.931171,0.836468,0.874155,0.716437,BASLANGIC
0.391399,0.590520,0.244040,0.027770,0.770397,0.004133,BASLANGIC
0.148760,0.056399,0.976807,0.971437,0.698620,0.947089,BASLANGIC
0.685438,0.813286,0.096331,0.015909,0.593329,0.002245,BASLANGIC
0.242337,0.076906,0.973531,0.953480,0.762923,0.914558,BASLANGIC
0.404236,0.564113,0.315105,0.169514,0.827503,0.045945,BASLANGIC
0.105609,0.032628,0.988822,0.987374,0.419494,0.976435,BASLANGIC
0.335746,0.526183,0.315589,0.079913,0.866314,0.015378,BASLANGIC
0.152221,0.053213,0.978051,0.973944,0.643961,0.951676,BASLANGIC
