@RELATION WAVELET_SINGLE_GLCM_CONTRAST

@ATTRIBUTE wavelet_contrast NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.069268,BASLANGIC
0.413341,BASLANGIC
0.266117,BASLANGIC
0.432362,BASLANGIC
0.238617,BASLANGIC
0.361898,BASLANGIC
0.110007,BASLANGIC
0.062688,BASLANGIC
0.337212,BASLANGIC
0.150698,BASLANGIC
0.272485,BASLANGIC
0.227007,BASLANGIC
0.338858,BASLANGIC
0.088000,BASLANGIC
0.256893,BASLANGIC
0.138048,BASLANGIC
0.281741,BASLANGIC
0.413760,BASLANGIC
0.410050,BASLANGIC
0.385067,BASLANGIC
0.420461,BASLANGIC
0.079783,BASLANGIC
0.638325,BASLANGIC
0.112234,BASLANGIC
0.370737,BASLANGIC
0.505365,BASLANGIC
0.549406,BASLANGIC
0.161132,BASLANGIC
0.542087,BASLANGIC
0.117565,BASLANGIC
0.371648,BASLANGIC
0.120821,BASLANGIC
0.461649,BASLANGIC
0.192582,BASLANGIC
0.320439,BASLANGIC
0.597603,BASLANGIC
0.393948,BASLANGIC
0.090417,BASLANGIC
0.225038,BASLANGIC
0.273533,BASLANGIC
0.478263,BASLANGIC
0.106660,BASLANGIC
0.289839,BASLANGIC
0.277231,BASLANGIC
0.429067,BASLANGIC
0.274938,BASLANGIC
0.490091,BASLANGIC
0.191240,BASLANGIC
0.454025,BASLANGIC
0.097118,BASLANGIC
0.091900,BASLANGIC
0.476944,BASLANGIC
0.442508,BASLANGIC
0.391399,BASLANGIC
0.148760,BASLANGIC
0.685438,BASLANGIC
0.242337,BASLANGIC
0.404236,BASLANGIC
0.105609,BASLANGIC
0.335746,BASLANGIC
0.152221,BASLANGIC
0.463482,BASLANGIC
0.100666,BASLANGIC
0.396044,BASLANGIC
0.556434,BASLANGIC
0.417919,BASLANGIC
0.302903,BASLANGIC
0.408520,BASLANGIC
0.327443,BASLANGIC
0.400498,BASLANGIC
0.129547,BASLANGIC
0.385242,BASLANGIC
0.380537,BASLANGIC
0.182370,BASLANGIC
0.175949,BASLANGIC
0.356963,BASLANGIC
0.202424,BASLANGIC
0.548764,BASLANGIC
0.200319,BASLANGIC
0.559971,BASLANGIC
0.202400,BASLANGIC
0.408414,BASLANGIC
0.433327,BASLANGIC
0.238717,BASLANGIC
0.349642,BASLANGIC
0.351145,BASLANGIC
0.124969,BASLANGIC
0.346646,BASLANGIC
0.155746,BASLANGIC
0.455778,BASLANGIC
0.328726,BASLANGIC
0.509013,BASLANGIC
0.120966,BASLANGIC
0.247157,BASLANGIC
0.092259,BASLANGIC
0.282410,BASLANGIC
0.338794,BASLANGIC
0.378182,BASLANGIC
0.781019,BASLANGIC
0.543894,BASLANGIC
0.237243,BASLANGIC
0.252256,BASLANGIC
0.127374,BASLANGIC
0.429421,BASLANGIC
0.127931,BASLANGIC
0.348025,BASLANGIC
0.174687,BASLANGIC
0.379515,BASLANGIC
