@RELATION WAVELET_SINGLE_GLCM_DISSIMILARITY

@ATTRIBUTE wavelet_dissimilarity NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.026928,BASLANGIC
0.640132,BASLANGIC
0.089473,BASLANGIC
0.596753,BASLANGIC
0.077784,BASLANGIC
0.569724,BASLANGIC
0.039387,BASLANGIC
0.020910,BASLANGIC
0.531710,BASLANGIC
0.049044,BASLANGIC
0.431029,BASLANGIC
0.075056,BASLANGIC
0.535849,BASLANGIC
0.034532,BASLANGIC
0.453557,BASLANGIC
0.047410,BASLANGIC
0.390010,BASLANGIC
0.149077,BASLANGIC
0.592205,BASLANGIC
0.128641,BASLANGIC
0.633484,BASLANGIC
0.030735,BASLANGIC
0.772449,BASLANGIC
0.036832,BASLANGIC
0.500489,BASLANGIC
0.171415,BASLANGIC
0.708528,BASLANGIC
0.050284,BASLANGIC
0.660634,BASLANGIC
0.040703,BASLANGIC
0.553753,BASLANGIC
0.042158,BASLANGIC
0.642971,BASLANGIC
0.063599,BASLANGIC
0.490407,BASLANGIC
0.211257,BASLANGIC
0.578441,BASLANGIC
0.031133,BASLANGIC
0.377866,BASLANGIC
0.105154,BASLANGIC
0.674913,BASLANGIC
0.038669,BASLANGIC
0.488194,BASLANGIC
0.100912,BASLANGIC
0.659319,BASLANGIC
0.089542,BASLANGIC
0.690316,BASLANGIC
0.065795,BASLANGIC
0.656393,BASLANGIC
0.037347,BASLANGIC
0.034418,BASLANGIC
0.653222,BASLANGIC
0.161471,BASLANGIC
0.590520,BASLANGIC
0.056399,BASLANGIC
0.813286,BASLANGIC
0.076906,BASLANGIC
0.564113,BASLANGIC
0.032628,BASLANGIC
0.526183,BASLANGIC
0.053213,BASLANGIC
0.664529,BASLANGIC
0.033779,BASLANGIC
0.593480,BASLANGIC
0.189015,BASLANGIC
0.604640,BASLANGIC
0.112396,BASLANGIC
0.535972,BASLANGIC
0.108378,BASLANGIC
0.614318,BASLANGIC
0.046656,BASLANGIC
0.542494,BASLANGIC
0.144896,BASLANGIC
0.344391,BASLANGIC
0.061997,BASLANGIC
0.497332,BASLANGIC
0.065795,BASLANGIC
0.704041,BASLANGIC
0.069499,BASLANGIC
0.697801,BASLANGIC
0.072500,BASLANGIC
0.578059,BASLANGIC
0.142546,BASLANGIC
0.463482,BASLANGIC
0.118109,BASLANGIC
0.544404,BASLANGIC
0.040225,BASLANGIC
0.568225,BASLANGIC
0.052052,BASLANGIC
0.623574,BASLANGIC
0.124068,BASLANGIC
0.676703,BASLANGIC
0.040197,BASLANGIC
0.431865,BASLANGIC
0.032415,BASLANGIC
0.478662,BASLANGIC
0.119699,BASLANGIC
0.494876,BASLANGIC
0.258685,BASLANGIC
0.721041,BASLANGIC
0.073260,BASLANGIC
0.445544,BASLANGIC
0.042594,BASLANGIC
0.553550,BASLANGIC
0.049576,BASLANGIC
0.514485,BASLANGIC
0.058590,BASLANGIC
0.517721,BASLANGIC
0.126905,BASLANGIC
0.032972,BASLANGIC
0.610487,BASLANGIC
0.060804,BASLANGIC
0.614386,BASLANGIC
0.114159,BASLANGIC
0.577180,BASLANGIC
0.050446,BASLANGIC
0.554206,BASLANGIC
0.080085,BASLANGIC
0.024520,BASLANGIC
0.443523,BASLANGIC
0.102700,BASLANGIC
0.422025,BASLANGIC
0.031974,BASLANGIC
0.546479,BASLANGIC
0.091767,BASLANGIC
0.461057,BASLANGIC
0.226191,BASLANGIC
0.501306,BASLANGIC
0.045487,BASLANGIC
0.387800,BASLANGIC
0.306321,BASLANGIC
0.623429,BASLANGIC
0.091730,BASLANGIC
0.558973,BASLANGIC
0.077567,BASLANGIC
0.559864,BASLANGIC
0.202616,BASLANGIC
0.527505,BASLANGIC
0.198506,BASLANGIC
0.574466,BASLANGIC
0.045403,BASLANGIC
0.591337,BASLANGIC
0.046687,BASLANGIC
0.568967,BASLANGIC
0.043152,BASLANGIC
0.572517,BASLANGIC
0.122084,BASLANGIC
0.467627,BASLANGIC
0.217384,BASLANGIC
0.529273,BASLANGIC
0.040235,BASLANGIC
0.814751,BASLANGIC
0.086719,BASLANGIC
0.763981,BASLANGIC
0.060029,BASLANGIC
0.582304,BASLANGIC
0.077376,BASLANGIC
0.650913,BASLANGIC
0.047969,BASLANGIC
0.634147,BASLANGIC
0.098343,BASLANGIC
0.462636,BASLANGIC
0.218117,BASLANGIC
0.618757,BASLANGIC
0.055812,BASLANGIC
0.505202,BASLANGIC
0.096259,BASLANGIC
0.599582,BASLANGIC
0.041556,BASLANGIC
0.039258,BASLANGIC
0.589619,BASLANGIC
0.158939,BASLANGIC
0.624185,BASLANGIC
0.153074,BASLANGIC
0.676259,BASLANGIC
0.039831,BASLANGIC
0.657399,BASLANGIC
0.070431,BASLANGIC
0.554270,BASLANGIC
0.131886,BASLANGIC
0.675463,BASLANGIC
0.054612,BASLANGIC
0.472583,BASLANGIC
0.038625,BASLANGIC
0.495773,BASLANGIC
0.033781,BASLANGIC
0.545411,BASLANGIC
0.100227,BASLANGIC
0.052291,BASLANGIC
0.518275,BASLANGIC
0.075752,BASLANGIC
0.046279,BASLANGIC
0.449394,BASLANGIC
0.069315,BASLANGIC
0.538827,BASLANGIC
0.050539,BASLANGIC
0.524674,BASLANGIC
0.164446,BASLANGIC
0.504435,BASLANGIC
0.184302,BASLANGIC
0.594754,BASLANGIC
0.101498,BASLANGIC
0.209499,BASLANGIC
0.639953,BASLANGIC
0.096541,BASLANGIC
0.409054,BASLANGIC
0.098053,BASLANGIC
0.067930,BASLANGIC
0.542365,BASLANGIC
0.055185,BASLANGIC
0.608993,BASLANGIC
0.100221,BASLANGIC
0.586844,BASLANGIC
0.151851,BASLANGIC
0.606215,BASLANGIC
0.043596,BASLANGIC
0.604868,BASLANGIC
0.058647,BASLANGIC
0.506192,BASLANGIC
0.063465,BASLANGIC
0.516504,BASLANGIC
0.062226,BASLANGIC
0.496414,BASLANGIC
0.085265,BASLANGIC
0.561553,BASLANGIC
0.144848,BASLANGIC
0.414580,BASLANGIC
0.180050,BASLANGIC
0.401756,BASLANGIC
0.061575,BASLANGIC
0.578741,BASLANGIC
0.049886,BASLANGIC
0.566326,BASLANGIC
0.096332,BASLANGIC
0.535958,BASLANGIC
0.102717,BASLANGIC
0.636556,BASLANGIC
0.057865,BASLANGIC
0.458708,BASLANGIC
0.047842,BASLANGIC
0.594464,BASLANGIC
0.069905,BASLANGIC
0.703938,BASLANGIC
0.056715,BASLANGIC
0.435655,BASLANGIC
0.047399,BASLANGIC
0.391740,BASLANGIC
0.025157,BASLANGIC
0.590668,BASLANGIC
0.097074,BASLANGIC
0.483413,BASLANGIC
0.082169,BASLANGIC
0.623055,NORMAL
0.000000,NORMAL
0.510930,NORMAL
0.000000,NORMAL
0.609463,NORMAL
0.000000,NORMAL
0.560968,NORMAL
0.000000,NORMAL
0.755789,NORMAL
0.000000,NORMAL
0.703579,NORMAL
0.000000,NORMAL
0.566730,NORMAL
0.000000,NORMAL
0.425859,NORMAL
0.000000,NORMAL
0.427510,NORMAL
0.000000,NORMAL
0.622774,NORMAL
0.000000,NORMAL
0.638028,NORMAL
0.000000,NORMAL
0.577470,NORMAL
0.000000,NORMAL
0.630396,NORMAL
0.000000,NORMAL
0.530822,NORMAL
0.000000,NORMAL
0.602889,NORMAL
0.000000,NORMAL
0.486427,NORMAL
0.000000,NORMAL
0.462764,NORMAL
0.000000,NORMAL
0.753566,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.000000,NORMAL
0.426787,NORMAL
0.000000,NORMAL
0.529181,NORMAL
0.000000,NORMAL
0.634050,NORMAL
0.000000,NORMAL
0.569350,NORMAL
0.000000,NORMAL
0.636778,NORMAL
0.000000,NORMAL
0.664743,NORMAL
0.000000,NORMAL
0.506316,NORMAL
0.000000,NORMAL
0.574845,NORMAL
0.000000,NORMAL
0.628141,NORMAL
0.000000,NORMAL
0.502005,NORMAL
0.000000,NORMAL
0.476572,NORMAL
0.000000,NORMAL
0.770809,NORMAL
0.000000,NORMAL
0.641189,NORMAL
0.000000,NORMAL
0.454863,NORMAL
0.000000,NORMAL
0.654938,NORMAL
0.000000,NORMAL
0.603794,NORMAL
0.000000,NORMAL
0.531458,NORMAL
0.000000,NORMAL
0.409791,NORMAL
0.000000,NORMAL
0.668167,NORMAL
0.000000,NORMAL
0.560608,NORMAL
0.000000,NORMAL
0.564182,NORMAL
0.000000,NORMAL
0.695726,NORMAL
0.000000,NORMAL
0.466498,NORMAL
0.000000,NORMAL
0.562611,NORMAL
0.000000,NORMAL
0.730566,NORMAL
0.000000,NORMAL
0.543671,NORMAL
0.000000,NORMAL
0.555193,NORMAL
0.000000,NORMAL
0.615497,NORMAL
0.000000,NORMAL
0.697172,NORMAL
0.000000,NORMAL
0.445662,NORMAL
0.000000,NORMAL
0.569852,NORMAL
0.000000,NORMAL
0.582288,NORMAL
0.000000,NORMAL
0.408272,NORMAL
0.000000,NORMAL
0.558628,NORMAL
0.000000,NORMAL
0.420920,NORMAL
0.000000,NORMAL
0.607091,NORMAL
0.000000,NORMAL
0.423305,NORMAL
0.000000,NORMAL
0.569502,NORMAL
0.000000,NORMAL
0.547277,NORMAL
0.000000,NORMAL
0.587263,NORMAL
0.000000,NORMAL
0.581370,NORMAL
0.000000,NORMAL
0.689192,NORMAL
0.000000,NORMAL
0.431073,NORMAL
0.000000,NORMAL
0.470745,NORMAL
0.000000,NORMAL
0.530383,NORMAL
0.000000,NORMAL
