@RELATION WAVELET_SINGLE_GLCM_ENERGY

@ATTRIBUTE wavelet_energy NUMERIC
@ATTRIBUTE class {BASLANGIC,NORMAL,TUMORLU}

@DATA
0.988755,BASLANGIC
0.015952,BASLANGIC
0.946767,BASLANGIC
0.026348,BASLANGIC
0.955830,BASLANGIC
0.024730,BASLANGIC
0.982285,BASLANGIC
0.992712,BASLANGIC
0.042034,BASLANGIC
0.976268,BASLANGIC
0.133802,BASLANGIC
0.955985,BASLANGIC
0.035611,BASLANGIC
0.985174,BASLANGIC
0.045736,BASLANGIC
0.978461,BASLANGIC
0.318380,BASLANGIC
0.859218,BASLANGIC
0.027667,BASLANGIC
0.892557,BASLANGIC
0.032756,BASLANGIC
0.987874,BASLANGIC
0.029682,BASLANGIC
0.985113,BASLANGIC
0.057368,BASLANGIC
0.833567,BASLANGIC
0.033321,BASLANGIC
0.978900,BASLANGIC
0.040915,BASLANGIC
0.982914,BASLANGIC
0.034391,BASLANGIC
0.980781,BASLANGIC
0.024695,BASLANGIC
0.968247,BASLANGIC
0.044619,BASLANGIC
0.769761,BASLANGIC
0.048098,BASLANGIC
0.987058,BASLANGIC
0.202513,BASLANGIC
0.931841,BASLANGIC
0.017823,BASLANGIC
0.984170,BASLANGIC
0.052097,BASLANGIC
0.924519,BASLANGIC
0.009314,BASLANGIC
0.939404,BASLANGIC
0.018540,BASLANGIC
0.965254,BASLANGIC
0.014296,BASLANGIC
0.983292,BASLANGIC
0.984170,BASLANGIC
0.052182,BASLANGIC
0.836468,BASLANGIC
0.027770,BASLANGIC
0.971437,BASLANGIC
0.015909,BASLANGIC
0.953480,BASLANGIC
0.169514,BASLANGIC
0.987374,BASLANGIC
0.079913,BASLANGIC
0.973944,BASLANGIC
0.021723,BASLANGIC
0.986996,BASLANGIC
0.047272,BASLANGIC
0.846867,BASLANGIC
0.033457,BASLANGIC
0.913794,BASLANGIC
0.051157,BASLANGIC
0.927348,BASLANGIC
0.040705,BASLANGIC
0.978460,BASLANGIC
0.074961,BASLANGIC
0.864894,BASLANGIC
0.203783,BASLANGIC
0.968735,BASLANGIC
0.134294,BASLANGIC
0.964582,BASLANGIC
0.034846,BASLANGIC
0.961484,BASLANGIC
0.037371,BASLANGIC
0.960804,BASLANGIC
0.067115,BASLANGIC
0.885376,BASLANGIC
0.070681,BASLANGIC
0.911664,BASLANGIC
0.051472,BASLANGIC
0.983169,BASLANGIC
0.029920,BASLANGIC
0.974198,BASLANGIC
0.029102,BASLANGIC
0.902169,BASLANGIC
0.024735,BASLANGIC
0.982915,BASLANGIC
0.052916,BASLANGIC
0.986997,BASLANGIC
0.098924,BASLANGIC
0.902047,BASLANGIC
0.090349,BASLANGIC
0.674607,BASLANGIC
0.018559,BASLANGIC
0.958198,BASLANGIC
0.093877,BASLANGIC
0.980091,BASLANGIC
0.077811,BASLANGIC
0.977388,BASLANGIC
0.107267,BASLANGIC
0.969826,BASLANGIC
0.065419,BASLANGIC
0.904813,BASLANGIC
0.986621,BASLANGIC
0.032925,BASLANGIC
0.968508,BASLANGIC
0.040938,BASLANGIC
0.919267,BASLANGIC
0.085459,BASLANGIC
0.975706,BASLANGIC
0.046994,BASLANGIC
0.950961,BASLANGIC
0.991203,BASLANGIC
0.075536,BASLANGIC
0.926836,BASLANGIC
0.130255,BASLANGIC
0.986494,BASLANGIC
0.022468,BASLANGIC
0.936158,BASLANGIC
0.046717,BASLANGIC
0.750556,BASLANGIC
0.038013,BASLANGIC
0.980089,BASLANGIC
0.069433,BASLANGIC
0.609731,BASLANGIC
0.031822,BASLANGIC
0.938693,BASLANGIC
0.073620,BASLANGIC
0.953012,BASLANGIC
0.038823,BASLANGIC
0.781039,BASLANGIC
0.061548,BASLANGIC
0.773516,BASLANGIC
0.045685,BASLANGIC
0.980151,BASLANGIC
0.055173,BASLANGIC
0.981409,BASLANGIC
0.052394,BASLANGIC
0.979461,BASLANGIC
0.055913,BASLANGIC
0.897578,BASLANGIC
0.045746,BASLANGIC
0.738452,BASLANGIC
0.066237,BASLANGIC
0.982602,BASLANGIC
0.009128,BASLANGIC
0.945115,BASLANGIC
0.026408,BASLANGIC
0.967992,BASLANGIC
0.269344,BASLANGIC
0.953582,BASLANGIC
0.027276,BASLANGIC
0.978529,BASLANGIC
0.032731,BASLANGIC
0.930764,BASLANGIC
0.111779,BASLANGIC
0.741232,BASLANGIC
0.025944,BASLANGIC
0.971501,BASLANGIC
0.087359,BASLANGIC
0.931143,BASLANGIC
0.076084,BASLANGIC
0.980719,BASLANGIC
0.980218,BASLANGIC
0.071847,BASLANGIC
0.860036,BASLANGIC
0.037848,BASLANGIC
0.860305,BASLANGIC
0.021712,BASLANGIC
0.983667,BASLANGIC
0.027905,BASLANGIC
0.966320,BASLANGIC
0.097231,BASLANGIC
0.889044,BASLANGIC
0.026853,BASLANGIC
0.973208,BASLANGIC
0.065684,BASLANGIC
0.983104,BASLANGIC
0.072001,BASLANGIC
0.987623,BASLANGIC
0.024800,BASLANGIC
0.926824,BASLANGIC
0.974512,BASLANGIC
0.077781,BASLANGIC
0.957056,BASLANGIC
0.979529,BASLANGIC
0.038562,BASLANGIC
0.962381,BASLANGIC
0.062965,BASLANGIC
0.976521,BASLANGIC
0.045479,BASLANGIC
0.833618,BASLANGIC
0.060692,BASLANGIC
0.795256,BASLANGIC
0.038201,BASLANGIC
0.926519,BASLANGIC
0.728151,BASLANGIC
0.029512,BASLANGIC
0.933718,BASLANGIC
0.135712,BASLANGIC
0.936846,BASLANGIC
0.963476,BASLANGIC
0.031311,BASLANGIC
0.974013,BASLANGIC
0.033298,BASLANGIC
0.926901,BASLANGIC
0.031208,BASLANGIC
0.858061,BASLANGIC
0.025436,BASLANGIC
0.979775,BASLANGIC
0.024431,BASLANGIC
0.968682,BASLANGIC
0.074603,BASLANGIC
0.963617,BASLANGIC
0.123625,BASLANGIC
0.968398,BASLANGIC
0.032520,BASLANGIC
0.949318,BASLANGIC
0.064232,BASLANGIC
0.864952,BASLANGIC
0.156204,BASLANGIC
0.820507,BASLANGIC
0.131668,BASLANGIC
0.971183,BASLANGIC
0.035454,BASLANGIC
0.975195,BASLANGIC
0.045028,BASLANGIC
0.938107,BASLANGIC
0.025846,BASLANGIC
0.927294,BASLANGIC
0.026552,BASLANGIC
0.971315,BASLANGIC
0.037626,BASLANGIC
0.977147,BASLANGIC
0.038470,BASLANGIC
0.958937,BASLANGIC
0.026783,BASLANGIC
0.971514,BASLANGIC
0.039228,BASLANGIC
0.979782,BASLANGIC
0.143333,BASLANGIC
0.991330,BASLANGIC
0.042901,BASLANGIC
0.934223,BASLANGIC
0.028822,BASLANGIC
0.947903,BASLANGIC
0.044298,NORMAL
1.000000,NORMAL
0.108736,NORMAL
1.000000,NORMAL
0.030437,NORMAL
1.000000,NORMAL
0.015568,NORMAL
1.000000,NORMAL
0.006335,NORMAL
1.000000,NORMAL
0.023869,NORMAL
1.000000,NORMAL
0.142066,NORMAL
1.000000,NORMAL
0.372764,NORMAL
1.000000,NORMAL
0.397324,NORMAL
1.000000,NORMAL
0.026230,NORMAL
1.000000,NORMAL
0.012425,NORMAL
1.000000,NORMAL
0.012985,NORMAL
1.000000,NORMAL
0.009127,NORMAL
1.000000,NORMAL
0.065855,NORMAL
1.000000,NORMAL
0.031308,NORMAL
1.000000,NORMAL
0.094209,NORMAL
1.000000,NORMAL
0.242743,NORMAL
1.000000,NORMAL
0.026357,NORMAL
1.000000,NORMAL
0.009244,NORMAL
1.000000,NORMAL
0.196071,NORMAL
1.000000,NORMAL
0.053807,NORMAL
1.000000,NORMAL
0.019077,NORMAL
1.000000,NORMAL
0.052068,NORMAL
1.000000,NORMAL
0.016650,NORMAL
1.000000,NORMAL
0.043738,NORMAL
1.000000,NORMAL
0.050473,NORMAL
1.000000,NORMAL
0.056302,NORMAL
1.000000,NORMAL
0.087535,NORMAL
1.000000,NORMAL
0.094593,NORMAL
1.000000,NORMAL
0.060211,NORMAL
1.000000,NORMAL
0.010704,NORMAL
1.000000,NORMAL
0.016175,NORMAL
1.000000,NORMAL
0.035166,NORMAL
1.000000,NORMAL
0.051778,NORMAL
1.000000,NORMAL
0.042199,NORMAL
1.000000,NORMAL
0.090200,NORMAL
1.000000,NORMAL
0.240638,NORMAL
1.000000,NORMAL
0.034962,NORMAL
1.000000,NORMAL
0.106736,NORMAL
1.000000,NORMAL
0.059048,NORMAL
1.000000,NORMAL
0.012621,NORMAL
1.000000,NORMAL
0.165395,NORMAL
1.000000,NORMAL
0.058786,NORMAL
1.000000,NORMAL
0.011177,NORMAL
1.000000,NORMAL
0.117678,NORMAL
1.000000,NORMAL
0.067754,NORMAL
1.000000,NORMAL
0.032351,NORMAL
1.000000,NORMAL
0.012310,NORMAL
1.000000,NORMAL
0.225400,NORMAL
1.000000,NORMAL
0.105826,NORMAL
1.000000,NORMAL
0.095286,NORMAL
1.000000,NORMAL
0.266307,NORMAL
1.000000,NORMAL
0.114969,NORMAL
1.000000,NORMAL
0.134371,NORMAL
1.000000,NORMAL
0.031353,NORMAL
1.000000,NORMAL
0.146908,NORMAL
1.000000,NORMAL
0.051651,NORMAL
1.000000,NORMAL
0.134068,NORMAL
1.000000,NORMAL
0.049625,NORMAL
1.000000,NORMAL
0.055295,NORMAL
1.000000,NORMAL
0.015743,NORMAL
1.000000,NORMAL
0.204157,NORMAL
1.000000,NORMAL
0.189777,NORMAL
1.000000,NORMAL
0.079468,NORMAL
1.000000,NORMAL
0.014255,NORMAL
1.000000,NORMAL
0.154196,NORMAL
1.000000,NORMAL
0.135527,NORMAL
1.000000,NORMAL
0.054371,NORMAL
1.000000,NORMAL
0.028705,NORMAL
1.000000,NORMAL
0.061112,NORMAL
1.000000,NORMAL
0.030881,NORMAL
1.000000,NORMAL
0.131231,NORMAL
1.000000,NORMAL
0.040630,NORMAL
1.000000,NORMAL
0.029166,NORMAL
1.000000,NORMAL
0.020609,NORMAL
1.000000,NORMAL
0.026130,NORMAL
1.000000,NORMAL
0.040090,NORMAL
1.000000,NORMAL
0.046126,NORMAL
1.000000,NORMAL
0.044750,NORMAL
1.000000,NORMAL
0.017643,NORMAL
1.000000,NORMAL
0.069974,NORMAL
1.000000,NORMAL
0.000000,NORMAL
1.000000,NORMAL
0.016974,NORMAL
1.000000,NORMAL
0.029849,NORMAL
1.000000,NORMAL
0.006198,NORMAL
1.000000,NORMAL
0.047134,NORMAL
1.000000,NORMAL
0.161147,NORMAL
1.000000,NORMAL
0.058974,NORMAL
1.000000,NORMAL
0.051289,NORMAL
1.000000,NORMAL
0.065455,NORMAL
1.000000,NORMAL
0.057581,NORMAL
1.000000,NORMAL
0.011527,NORMAL
1.000000,NORMAL
0.020218,NORMAL
1.000000,NORMAL
0.008397,NORMAL
1.000000,NORMAL
0.008888,NORMAL
1.000000,NORMAL
0.080203,NORMAL
1.000000,NORMAL
0.073961,NORMAL
1.000000,NORMAL
0.039146,NORMAL
1.000000,NORMAL
0.044403,NORMAL
1.000000,NORMAL
0.063798,NORMAL
1.000000,NORMAL
0.035781,NORMAL
1.000000,NORMAL
0.019182,NORMAL
1.000000,NORMAL
0.065011,NORMAL
1.000000,NORMAL
0.082212,NORMAL
1.000000,NORMAL
0.030751,NORMAL
1.000000,NORMAL
0.060931,NORMAL
1.000000,NORMAL
0.016074,NORMAL
1.000000,NORMAL
0.091357,NORMAL
1.000000,NORMAL
0.055547,NORMAL
1.000000,NORMAL
0.026375,NORMAL
1.000000,NORMAL
0.036394,NORMAL
1.000000,NORMAL
0.042144,NORMAL
1.000000,NORMAL
0.028839,NORMAL
1.000000,NORMAL
0.136718,NORMAL
1.000000,NORMAL
0.018726,NORMAL
1.000000,NORMAL
0.019378,NORMAL
1.000000,NORMAL
0.037393,NORMAL
1.000000,NORMAL
0.136197,NORMAL
1.000000,NORMAL
0.012077,NORMAL
1.000000,NORMAL
0.060609,NORMAL
1.000000,NORMAL
0.011740,NORMAL
1.000000,NORMAL
0.083894,NORMAL
1.000000,NORMAL
0.055267,NORMAL
1.000000,NORMAL
0.051059,NORMAL
1.000000,NORMAL
0.063252,NORMAL
1.000000,NORMAL
0.011573,NORMAL
1.000000,NORMAL
0.642892,TUMORLU
0.022083,TUMORLU
0.647266,TUMORLU
0.097348,TUMORLU
0.911848,TUMORLU
0.095580,TUMORLU
0.901036,TUMORLU
0.107078,TUMORLU
0.909252,TUMORLU
0.091875,TUMORLU
0.912470,TUMORLU
0.107756,TUMORLU
0.927470,TUMORLU
0.095252,TUMORLU
0.919726,TUMORLU
0.097990,TUMORLU
0.922652,TUMORLU
0.016776,TUMORLU
0.952636,TUMORLU
0.028047,TUMORLU
0.903696,TUMORLU
0.027720,TUMORLU
0.952726,TUMORLU
0.029961,TUMORLU
0.879424,TUMORLU
0.093168,TUMORLU
0.795761,TUMORLU
0.045251,TUMORLU
0.707357,TUMORLU
0.092449,TUMORLU
0.740225,TUMORLU
